Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
407775;Aberdeen Standard - American Focused Equity Fund A;    386,06;  386,00;2023-01-23
900894;Aberdeen Standard - Select Euro High Yield Bond A;    259,27;  259,23;2023-01-24
367698;Aberdeen Standard SICAV I - European Sustainable Equity Fund A;    779,57;  779,47;2023-01-24
865063;Aberdeen Standard SICAV I - Europé ex UK Sustainable Equity Fund A;    203,36;  203,34;2023-01-24
848069;Aberdeen Standard SICAV I - Global Innovation Equity Fund A ;     81,41;   81,39;2023-01-24
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    137,11;  137,09;2023-01-24
757575;Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund A;     43,06;   43,06;2023-01-24
938845;AGCM Fund- Asia Growth Sub- Fund RC;    202,86;  202,86;2023-01-23
897520;AIFM Proethos fond;    216,20;  216,20;2023-01-24
182584;Aktia Capital Placeringsfond B;     51,04;   51,03;2023-01-24
339473;Aktia Nordic Small Cap Placeringsfond B;     47,40;   47,39;2023-01-24
308908;Aktie-Ansvar Avkastningsfond A;    115,78;  115,78;2023-01-24
344739;Aktie-Ansvar Sverige A;    803,55;  803,55;2023-01-24
528894;Aktiespararna Direktavkastning;    200,11;  200,11;2023-01-24
290072;Aktiespararna Topp Sverige Hållbar;     25,77;   25,77;2023-01-24
147348;Alfred Berg Aktiv C;   2382,55; 2381,64;2023-01-24
183178;Alfred Berg Norge C;   1401,36; 1400,82;2023-01-24
111518;Alfred Berg Obligasjon C;    118,88;  118,83;2023-01-24
933359;Allianz China A-shares AT;    137,52;  137,50;2023-01-20
753731;Allianz China Equity A;    668,95;  668,85;2023-01-20
250878;Allianz Emerging Asia Equity A;    757,95;  757,84;2023-01-20
717900;Allianz Euro High Yield Bond A;   1145,58; 1145,42;2023-01-24
538751;Allianz Europe Small Cap Equity AT;   3154,39; 3153,96;2023-01-24
273839;Allianz Global Equity Growth AT;     99,50;   99,48;2023-01-24
502922;Allianz Global Metals and Mining A;    753,36;  753,26;2023-01-24
878694;Allianz Global Water AT;   1677,86; 1677,63;2023-01-24
309666;Allianz Pet and Animal Wellbeing AT;     78,68;   78,67;2023-01-24
395434;Allianz Thailand Equity A;   7135,38; 7134,42;2023-01-24
823096;AMF Aktiefond Asien Stilla Havet;    285,16;  285,16;2023-01-20
538462;AMF Aktiefond Europa;    293,34;  293,34;2023-01-24
908277;AMF Aktiefond Global;    284,70;  284,70;2023-01-24
520692;AMF Aktiefond Nordamerika;    460,24;  460,24;2023-01-24
269357;AMF Aktiefond Småbolag;   1192,70; 1192,70;2023-01-24
681783;AMF Aktiefond Sverige;    799,76;  799,76;2023-01-24
645952;AMF Aktiefond Världen;    568,79;  568,79;2023-01-24
610121;AMF Balansfond;    354,18;  354,18;2023-01-24
305185;AMF Räntefond Kort;    111,13;  111,13;2023-01-24
574293;AMF Räntefond Lång;    141,17;  141,17;2023-01-24
265512;AMF Räntefond Mix;    109,68;  109,68;2023-01-24
791863;Amundi Funds Global Equity Conservative A2;   1249,13; 1248,94;2023-01-23
174490;Amundi Funds Japan Equity Value A2;   1136,90; 1136,75;2023-01-23
756031;Amundi Funds Latin America Equity A2;   4567,41; 4566,74;2023-01-23
720201;Amundi Funds SBI FM India Equity A2;   3395,53; 3395,03;2023-01-23
863522;Amundi Funds Volatility World A2;   1019,03; 1018,88;2023-01-23
581371;AP7 Aktiefond;    511,32;  511,32;2023-01-24
545541;AP7 Räntefond;    106,93;  106,93;2023-01-24
715955;Avanza Emerging Markets;    116,92;  116,92;2023-01-19
680124;Avanza Global;    152,79;  152,79;2023-01-23
734491;Avanza Zero ;    343,97;  343,97;2023-01-24
294322;AXA IM Globlal Equity QI B;    255,98;  255,95;2023-01-23
401810;AXA IM Pacific Ex-Japan Equity QI B;    479,02;  478,95;2023-01-23
616797;AXA IM US Equity QI B;    333,43;  333,39;2023-01-23
652628;Axa Rosenberg Japan Small Cap Alpha Fund B;    189,43;  189,41;2022-06-28
477729;Baring Asia Growth A;   1189,39; 1189,22;2023-01-24
983593;Baring Eastern Europe A;    246,18;  246,15;2022-10-31
191080;Baring Global Emerging Markets A;    431,37;  431,30;2023-01-24
262741;Baring Global Resources A;    249,10;  249,07;2023-01-24
334409;Baring Hong Kong China A;  13348,65;13346,69;2023-01-24
235291;Baring Latin America A;    345,34;  345,29;2023-01-24
285990;BL - American Small & Mid Caps B;   2332,00; 2331,66;2023-01-23
551804;BL - Bond Dollar B;    911,29;  911,16;2023-01-23
178509;BL - Bond Emerging Markets Euro B;   1058,84; 1058,70;2023-01-23
153833;BL - Emerging Markets B;   1911,50; 1911,24;2023-01-23
300996;BL - Equities America B;    946,39;  946,25;2023-01-23
321828;BL - Equities Asia B;   1124,20; 1124,04;2023-01-23
118000;BL - Equities Dividend B;   2625,42; 2625,07;2023-01-23
336826;BL - Equities Europe B;   1148,17; 1148,01;2023-01-23
142679;BL - Equities Japan B;   1820,79; 1820,56;2023-01-23
250167;BL - European Small & Mid Caps B;   2251,84; 2251,54;2023-01-23
480145;BL - Global 30 B;   1096,54; 1096,39;2023-01-23
444315;BL - Global 50 B;   1124,19; 1124,04;2023-01-23
408484;BL - Global 75 B;   1111,70; 1111,55;2023-01-23
515973;BL - Global Bond Opportunities B;    991,27;  991,13;2023-01-23
320358;BL - Global Equities B;   1150,18; 1150,02;2023-01-23
647669;BL - Global Flexible B;   2238,57; 2238,27;2023-01-23
214338;BL - Global Flexible USD B;   1711,07; 1710,82;2023-01-23
749953;BL - Sustainable Horizon B;   1121,96; 1121,81;2023-01-23
608463;BlackRock - Asian Dragon Fund A2;    482,62;  482,55;2023-01-19
391896;BlackRock - China A2;    191,85;  191,83;2023-01-24
987784;BlackRock - Emerging Europe A2;    326,92;  326,87;2022-10-31
231100;BlackRock - Emerging Markets A2;    387,89;  387,84;2023-01-24
916122;BlackRock - Euro Markets A2;    417,19;  417,13;2023-01-24
