Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    220,74;  220,71;2024-01-10
367698;abrdn SICAV I - European Sustainable Equity Fund A;    845,98;  845,87;2024-01-10
848069;abrdn SICAV I - Global Innovation Equity Fund A;     84,10;   84,09;2024-01-10
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    138,62;  138,61;2024-01-10
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     47,09;   47,08;2024-01-10
900894;abrdn SICAV I - Select Euro High Yield Bond A;    281,24;  281,20;2024-01-10
938845;AGCM Fund- Asia Growth Sub- Fund RC;    165,39;  165,39;2024-01-09
897520;AIFM Proethos fond;    187,18;  187,18;2024-01-10
182584;Aktia Capital Placeringsfond B;     50,31;   50,31;2024-01-10
339473;Aktia Nordic Small Cap Placeringsfond B;     45,93;   45,93;2024-01-10
308908;Aktie-Ansvar Avkastningsfond A;    120,54;  120,54;2024-01-10
344739;Aktie-Ansvar Sverige A;    848,68;  848,68;2024-01-10
528894;Aktiespararna Direktavkastning;    196,27;  196,27;2024-01-10
290072;Aktiespararna Topp Sverige Hållbar;     27,95;   27,95;2024-01-10
147348;Alfred Berg Aktiv C;   2517,06; 2516,04;2024-01-10
183178;Alfred Berg Norge C;   1465,40; 1464,81;2024-01-10
111518;Alfred Berg Obligasjon C;    114,97;  114,92;2024-01-10
933359;Allianz China A-shares AT;     89,96;   89,95;2024-01-10
753731;Allianz China Equity A;    457,04;  456,98;2024-01-10
717900;Allianz Euro High Yield Bond A;   1204,57; 1204,41;2024-01-10
538751;Allianz Europe Small Cap Equity AT;   3310,18; 3309,74;2024-01-10
273839;Allianz Global Equity Growth AT;    111,74;  111,72;2024-01-10
502922;Allianz Global Metals and Mining A;    621,60;  621,51;2024-01-10
878694;Allianz Global Water AT;   1786,75; 1786,51;2024-01-10
309666;Allianz Pet and Animal Wellbeing AT;     80,80;   80,79;2024-01-10
823096;AMF Aktiefond Asien Stilla Havet;    277,21;  277,21;2024-01-10
538462;AMF Aktiefond Europa;    315,55;  315,55;2024-01-10
908277;AMF Aktiefond Global;    330,96;  330,96;2024-01-10
520692;AMF Aktiefond Nordamerika;    576,47;  576,47;2024-01-10
269357;AMF Aktiefond Småbolag;   1125,43; 1125,43;2024-01-10
681783;AMF Aktiefond Sverige;    839,14;  839,14;2024-01-10
645952;AMF Aktiefond Världen;    628,84;  628,84;2024-01-10
610121;AMF Balansfond;    378,31;  378,31;2024-01-10
305185;AMF Räntefond Kort;    115,35;  115,35;2024-01-10
574293;AMF Räntefond Lång;    147,38;  147,38;2024-01-10
265512;AMF Räntefond Mix;    112,11;  112,11;2024-01-10
791863;Amundi Funds Global Equity Conservative A2;   1288,75; 1288,56;2024-01-09
174490;Amundi Funds Japan Equity Value A2;   1217,85; 1217,68;2024-01-09
756031;Amundi Funds Latin America Equity A2;   5878,78; 5877,92;2024-01-09
720201;Amundi Funds SBI FM India Equity A2;   3971,66; 3971,08;2024-01-09
863522;Amundi Funds Volatility World A2;    993,81;  993,67;2024-01-09
581371;AP7 Aktiefond;    587,54;  587,54;2024-01-10
545541;AP7 Räntefond;    110,68;  110,68;2024-01-10
715955;Avanza Emerging Markets;    114,53;  114,53;2024-01-09
680124;Avanza Global;    178,14;  178,14;2024-01-09
734491;Avanza Zero ;    374,60;  374,60;2024-01-10
294322;AXA IM Globlal Equity QI B;    294,73;  294,69;2024-01-09
401810;AXA IM Pacific Ex-Japan Equity QI B;    438,40;  438,34;2024-01-09
616797;AXA IM US Equity QI B;    384,15;  384,10;2024-01-09
477729;Baring Asia Growth A;    990,78;  990,64;2024-01-10
191080;Baring Global Emerging Markets A;    392,79;  392,73;2024-01-10
262741;Baring Global Resources A;    232,01;  231,98;2024-01-10
334409;Baring Hong Kong China A;   9146,19; 9144,85;2024-01-10
235291;Baring Latin America A;    389,31;  389,26;2024-01-10
285990;BL - American Small & Mid Caps B;   2394,85; 2394,50;2024-01-09
551804;BL - Bond Dollar B;    918,54;  918,41;2024-01-09
178509;BL - Bond Emerging Markets Euro B;   1120,66; 1120,51;2024-01-09
153833;BL - Emerging Markets B;   1804,93; 1804,69;2024-01-09
300996;BL - Equities America B;   1050,11; 1049,96;2024-01-09
321828;BL - Equities Asia B;    985,10;  984,95;2024-01-09
118000;BL - Equities Dividend B;   2758,87; 2758,51;2024-01-09
336826;BL - Equities Europe B;   1195,43; 1195,27;2024-01-09
142679;BL - Equities Japan B;   1909,03; 1908,76;2024-01-09
250167;BL - European Small & Mid Caps B;   2360,88; 2360,57;2024-01-09
480145;BL - Global 30 B;   1115,83; 1115,68;2024-01-09
444315;BL - Global 50 B;   1156,47; 1156,32;2024-01-09
408484;BL - Global 75 B;   1150,75; 1150,59;2024-01-09
515973;BL - Global Bond Opportunities B;   1041,62; 1041,48;2024-01-09
320358;BL - Global Equities B;   1298,49; 1298,32;2024-01-09
647669;BL - Global Flexible B;   2164,64; 2164,35;2024-01-09
214338;BL - Global Flexible USD B;   1783,55; 1783,29;2024-01-09
749953;BL - Global Impact;   1231,47; 1231,30;2024-01-09
608463;BlackRock - Asian Dragon Fund A2;    430,97;  430,90;2024-01-10
391896;BlackRock - China A2;    141,85;  141,83;2024-01-10
231100;BlackRock - Emerging Markets A2;    371,10;  371,04;2024-01-10
916122;BlackRock - Euro Markets A2;    435,52;  435,46;2024-01-10
696898;BlackRock - European Value A2;   1023,19; 1023,06;2024-01-10
302760;BlackRock - Global Allocation A2;    738,20;  738,09;2024-01-10
572637;BlackRock - Global High Yield Bond Fund A2;    292,70;  292,66;2024-01-10
768499;BlackRock - India A2;    535,15;  535,07;2024-01-10
159442;BlackRock - Japan Small & MidCap A2;    693,89;  693,78;2024-01-10
661066;BlackRock - Latin American A2;    783,54;  783,42;2024-01-10
536806;BlackRock - Natural Resources Growth & Income Fund A2;    128,44;  128,42;2024-01-10
553578;BlackRock - Sustainable Energy A2;    166,31;  166,28;2024-01-10
768556;BlackRock - US Basic Value A2;   1229,96; 1229,78;2024-01-10
804385;BlackRock - US Flexible Equity A2;    608,12;  608,03;2024-01-10
625236;BlackRock - US Mid-Cap Value Fund A2;   3502,79; 3502,28;2024-01-10
517748;BlackRock - World Energy A2;    239,99;  239,96;2024-01-10
410258;BlackRock - World Financials A2;    418,17;  418,11;2024-01-10
338590;BlackRock - World Gold A2;    324,84;  324,79;2024-01-10
374421;BlackRock - World Healthscience A2;    686,11;  686,01;2024-01-10
481911;BlackRock - World Mining A2;    613,24;  613,15;2024-01-10
644294;BlackRock - World Real Estate Securities Fund A2;    154,74;  154,72;2024-01-10
446088;BlackRock - World Technology A2;    722,13;  722,03;2024-01-10
408062;C WorldWide Asia 1A;   1751,19; 1750,93;2024-01-10
515554;C WorldWide Global Equities 1A;   2018,92; 2018,62;2024-01-10
479725;C WorldWide Global Equities Ethical 1A;    370,47;  370,42;2024-01-10
443895;C WorldWide Healthcare Select 1A;   1611,09; 1610,87;2024-01-10
792697;C WorldWide Sweden 1A;    359,39;  359,39;2024-01-10
721035;C WorldWide Sweden Small Cap 1A;    624,44;  624,44;2024-01-10
345497;Captor Dahlia Green Bond A;    275,34;  275,34;2024-01-10
180927;Captor Iris Bond A;    253,99;  253,99;2024-01-10
537639;Carnegie Corporate Bond A;    440,11;  440,11;2024-01-09
320176;Carnegie Fastighetsfond Norden A;    505,43;  505,43;2024-01-10
505586;Carnegie Indienfond A;    832,14;  832,14;2024-01-10
214163;Carnegie Likviditetsfond A;   1267,40; 1267,40;2024-01-10
341362;Carnegie Listed Private Equity A;    598,89;  598,89;2024-01-10
554691;Carnegie Obligationsfond A;    952,88;  952,88;2024-01-10
584912;Carnegie Småbolagsfond A;    493,01;  493,01;2024-01-10
357483;Carnegie Strategifond A;   2024,87; 2024,87;2024-01-10
393314;Carnegie Sverigefond A;   4328,10; 4328,10;2024-01-10
309492;CB European Quality Fund A Cap;   1794,27; 1794,03;2024-01-09
976506;CB Save Earth Fund RC;    299,98;  299,94;2024-01-09
384750;Cicero Avkastning A;    128,83;  128,83;2024-01-10
959502;Cicero Hållbar Mix A;    163,05;  163,05;2024-01-10
422709;Coeli  - Global Select Fund R;    328,25;  328,25;2024-01-10
386870;Coeli - Nordic Corporate Bond Fund R;    114,37;  114,37;2024-01-10
330324;CPR Invest Global Gold Mines A2;    713,24;  713,13;2024-01-09
366154;CPR Invest Global Lifestyles A2;    975,87;  975,72;2024-01-09
613729;Danske Invest  SICAV - Global Index Restricted;    297,81;  297,81;2024-01-09
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   3770,31; 3770,31;2024-01-10
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    155,09;  155,09;2024-01-09
901181;Danske Invest SICAV - Europe SI;    173,41;  173,41;2024-01-10
252411;Danske Invest SICAV - Global Index SI;   3036,77; 3036,77;2024-01-09
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1237,12; 1237,12;2024-01-10
901603;Danske Invest SICAV - Sverige Ränta SI;   1102,57; 1102,57;2024-01-10
973263;Danske Invest SICAV - Sverige SI;   6110,88; 6110,88;2024-01-10
184580;Delphi Global A2;   1607,87; 1607,87;2024-01-09
388298;Delphi Nordic Acc;  44911,01;44892,84;2024-01-09
291906;Didner & Gerge Aktiefond;   3891,86; 3891,86;2024-01-10
541235;Didner & Gerge Global;    418,66;  418,66;2024-01-10
140491;Didner & Gerge Småbolag;   1115,64; 1115,64;2024-01-10
219170;DNB Europa Indeks S;    114,98;  114,98;2024-01-09
326660;DNB Global Emerging Markets S;     99,79;   99,79;2024-01-09
362491;DNB Global Indeks S;    119,57;  119,57;2024-01-09
147512;DNB Grönt Skifte Norden S;    137,65;  137,65;2024-01-09
255001;DNB Health Care S;    158,32;  158,32;2024-01-09
290833;DNB SMB S;    108,20;  108,20;2024-01-09
183343;DNB Teknologi S;    134,94;  134,94;2024-01-09
511890;East Capital China A-shares A;    105,87;  105,87;2024-01-10
623637;East Capital Global Emerging Markets Sustainable A;    213,08;  213,08;2024-01-10
870907;East Capital Global Frontier Markets A;    187,47;  187,47;2024-01-10
134593;Enter Cross Credit A;   1148,47; 1148,47;2024-01-10
643700;Enter Select A;   3080,88; 3080,88;2024-01-10
170423;Enter Sverige A;   3709,18; 3709,18;2024-01-10
664482;Evli Corporate Bond Placeringsfonden B ;   1332,70; 1332,70;2024-01-09
229625;Evli Emerging Markets Credit Placeringsfonden B;   1232,43; 1232,27;2024-01-09
764951;Evli Europa Placeringsfonden B;   1942,19; 1941,93;2024-01-09
570044;Evli Finland Select Placeringsfonden B;    617,01;  616,93;2024-01-09
367987;Evli GEM Placeringsfonden B;   2129,41; 2129,13;2024-01-09
793109;Evli Global Placeringsfonden B;   3814,38; 3814,38;2024-01-09
700310;Evli High Yield Placeringsfonden B;   1690,50; 1690,50;2024-01-09
574582;Evli Likviditet Placeringsfonden B;   1115,18; 1115,18;2024-01-09
668269;Evli Nordic Placeringsfonden B;   3727,26; 3726,77;2024-01-09
621631;Evli Short Corporate Bond Placeringsfonden B;    339,00;  338,96;2024-01-09
610410;Evli Sverige Aktieindex B;   2521,89; 2521,89;2024-01-09
420463;Evli Sverige Småbolag;   7331,22; 7331,22;2024-01-09
850776;Fidelity - America Fund A;    422,98;  422,92;2024-01-10
994095;Fidelity - Asian Pacific Opportunities Fund A;    315,72;  315,68;2024-01-10
922435;Fidelity - Asian Special Situations Fund A;    410,67;  410,61;2024-01-10
886606;Fidelity - China Consumer  Fund A;    178,46;  178,44;2024-01-10
