Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
407775;Aberdeen Standard - American Focused Equity Fund A;    386,06;  386,00;2023-01-23
900894;Aberdeen Standard - Select Euro High Yield Bond A;    264,51;  264,47;2023-02-07
367698;Aberdeen Standard SICAV I - European Sustainable Equity Fund A;    814,39;  814,28;2023-02-07
865063;Aberdeen Standard SICAV I - Europé ex UK Sustainable Equity Fund A;    213,68;  213,65;2023-02-07
848069;Aberdeen Standard SICAV I - Global Innovation Equity Fund A ;     86,28;   86,27;2023-02-07
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    139,73;  139,70;2023-02-07
757575;Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund A;     44,40;   44,39;2023-02-07
938845;AGCM Fund- Asia Growth Sub- Fund RC;    202,03;  202,03;2023-02-06
897520;AIFM Proethos fond;    221,52;  221,52;2023-02-07
182584;Aktia Capital Placeringsfond B;     53,34;   53,33;2023-02-07
339473;Aktia Nordic Small Cap Placeringsfond B;     48,94;   48,93;2023-02-07
308908;Aktie-Ansvar Avkastningsfond A;    116,36;  116,36;2023-02-07
344739;Aktie-Ansvar Sverige A;    819,67;  819,67;2023-02-07
528894;Aktiespararna Direktavkastning;    200,74;  200,74;2023-02-07
290072;Aktiespararna Topp Sverige Hållbar;     26,00;   26,00;2023-02-07
147348;Alfred Berg Aktiv C;   2370,81; 2369,88;2023-02-07
183178;Alfred Berg Norge C;   1398,26; 1397,71;2023-02-07
111518;Alfred Berg Obligasjon C;    117,66;  117,62;2023-02-07
933359;Allianz China A-shares AT;    137,17;  137,15;2023-02-07
753731;Allianz China Equity A;    657,30;  657,21;2023-02-07
250878;Allianz Emerging Asia Equity A;    765,60;  765,49;2023-02-07
717900;Allianz Euro High Yield Bond A;   1186,56; 1186,40;2023-02-07
538751;Allianz Europe Small Cap Equity AT;   3291,92; 3291,49;2023-02-07
273839;Allianz Global Equity Growth AT;    106,17;  106,16;2023-02-07
502922;Allianz Global Metals and Mining A;    759,37;  759,27;2023-02-07
878694;Allianz Global Water AT;   1781,38; 1781,14;2023-02-07
309666;Allianz Pet and Animal Wellbeing AT;     83,88;   83,86;2023-02-07
395434;Allianz Thailand Equity A;   7246,82; 7245,87;2023-02-07
823096;AMF Aktiefond Asien Stilla Havet;    292,97;  292,97;2023-02-07
538462;AMF Aktiefond Europa;    301,26;  301,26;2023-02-07
908277;AMF Aktiefond Global;    298,56;  298,56;2023-02-07
520692;AMF Aktiefond Nordamerika;    490,68;  490,68;2023-02-07
269357;AMF Aktiefond Småbolag;   1205,90; 1205,90;2023-02-07
681783;AMF Aktiefond Sverige;    812,12;  812,12;2023-02-07
645952;AMF Aktiefond Världen;    586,72;  586,72;2023-02-07
610121;AMF Balansfond;    360,60;  360,60;2023-02-07
305185;AMF Räntefond Kort;    111,35;  111,35;2023-02-07
574293;AMF Räntefond Lång;    142,02;  142,02;2023-02-07
265512;AMF Räntefond Mix;    109,79;  109,79;2023-02-07
791863;Amundi Funds Global Equity Conservative A2;   1296,24; 1296,06;2023-02-06
174490;Amundi Funds Japan Equity Value A2;   1180,48; 1180,33;2023-02-06
756031;Amundi Funds Latin America Equity A2;   4601,02; 4600,37;2023-02-06
720201;Amundi Funds SBI FM India Equity A2;   3411,00; 3410,51;2023-02-06
863522;Amundi Funds Volatility World A2;   1046,42; 1046,27;2023-02-06
581371;AP7 Aktiefond;    542,56;  542,56;2023-02-07
545541;AP7 Räntefond;    107,42;  107,42;2023-02-07
715955;Avanza Emerging Markets;    117,23;  117,23;2023-02-06
680124;Avanza Global;    160,84;  160,84;2023-02-06
734491;Avanza Zero ;    349,96;  349,96;2023-02-07
294322;AXA IM Globlal Equity QI B;    265,60;  265,56;2023-02-03
401810;AXA IM Pacific Ex-Japan Equity QI B;    490,26;  490,19;2023-02-03
616797;AXA IM US Equity QI B;    348,94;  348,89;2023-02-03
652628;Axa Rosenberg Japan Small Cap Alpha Fund B;    189,43;  189,41;2022-06-28
477729;Baring Asia Growth A;   1184,66; 1184,49;2023-02-07
983593;Baring Eastern Europe A;    246,18;  246,15;2022-10-31
191080;Baring Global Emerging Markets A;    432,33;  432,27;2023-02-07
262741;Baring Global Resources A;    250,35;  250,32;2023-02-07
334409;Baring Hong Kong China A;  13084,62;13082,77;2023-02-07
235291;Baring Latin America A;    343,68;  343,63;2023-02-07
285990;BL - American Small & Mid Caps B;   2453,33; 2452,98;2023-02-06
551804;BL - Bond Dollar B;    936,49;  936,36;2023-02-06
178509;BL - Bond Emerging Markets Euro B;   1090,75; 1090,61;2023-02-06
153833;BL - Emerging Markets B;   1952,53; 1952,27;2023-02-06
300996;BL - Equities America B;    990,40;  990,26;2023-02-06
321828;BL - Equities Asia B;   1138,76; 1138,60;2023-02-06
118000;BL - Equities Dividend B;   2706,66; 2706,31;2023-02-06
336826;BL - Equities Europe B;   1186,16; 1186,01;2023-02-06
142679;BL - Equities Japan B;   1875,64; 1875,41;2023-02-06
250167;BL - European Small & Mid Caps B;   2349,25; 2348,94;2023-02-06
480145;BL - Global 30 B;   1116,24; 1116,09;2023-02-06
444315;BL - Global 50 B;   1145,14; 1144,99;2023-02-06
408484;BL - Global 75 B;   1132,12; 1131,97;2023-02-06
515973;BL - Global Bond Opportunities B;   1017,40; 1017,26;2023-02-06
320358;BL - Global Equities B;   1191,31; 1191,15;2023-02-06
647669;BL - Global Flexible B;   2277,95; 2277,65;2023-02-06
214338;BL - Global Flexible USD B;   1784,87; 1784,62;2023-02-06
749953;BL - Sustainable Horizon B;   1155,54; 1155,39;2023-02-06
608463;BlackRock - Asian Dragon Fund A2;    500,60;  500,53;2023-02-07
391896;BlackRock - China A2;    191,00;  190,97;2023-02-07
987784;BlackRock - Emerging Europe A2;    326,92;  326,87;2022-10-31
231100;BlackRock - Emerging Markets A2;    396,97;  396,92;2023-02-07
916122;BlackRock - Euro Markets A2;    438,69;  438,63;2023-02-07
696898;BlackRock - European Value A2;    976,61;  976,48;2023-02-07
302760;BlackRock - Global Allocation A2;    716,34;  716,23;2023-02-07
572637;BlackRock - Global High Yield Bond Fund A2;    284,01;  283,97;2023-02-07
536806;BlackRock - Global Natural Resources Growth & Income Fund A2;    144,92;  144,90;2023-02-07
768499;BlackRock - India A2;    465,88;  465,81;2023-02-07
159442;BlackRock - Japan Small & MidCap A2;    659,75;  659,65;2023-02-07
661066;BlackRock - Latin American A2;    632,78;  632,69;2023-02-07
553578;BlackRock - Sustainable Energy A2;    174,86;  174,84;2023-02-07
768556;BlackRock - US Basic Value A2;   1196,44; 1196,27;2023-02-07
804385;BlackRock - US Flexible Equity A2;    559,10;  559,02;2023-02-07
625236;BlackRock - US Mid-Cap Value Fund A2;   3521,16; 3520,66;2023-02-07
517748;BlackRock - World Energy A2;    244,30;  244,26;2023-02-07
410258;BlackRock - World Financials A2;    385,51;  385,45;2023-02-07
338590;BlackRock - World Gold A2;    361,83;  361,78;2023-02-07
374421;BlackRock - World Healthscience A2;    657,84;  657,74;2023-02-07
481911;BlackRock - World Mining A2;    725,57;  725,47;2023-02-07
644294;BlackRock - World Real Estate Securities Fund A2;    158,94;  158,92;2023-02-07
