Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    221,71;  221,68;2023-08-31
367698;abrdn SICAV I - European Sustainable Equity Fund A;    847,50;  847,39;2023-08-31
848069;abrdn SICAV I - Global Innovation Equity Fund A;     82,69;   82,68;2023-08-31
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    142,55;  142,53;2023-08-31
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     47,92;   47,91;2023-08-31
900894;abrdn SICAV I - Select Euro High Yield Bond A;    280,94;  280,91;2023-08-31
938845;AGCM Fund- Asia Growth Sub- Fund RC;    194,93;  194,93;2023-08-30
897520;AIFM Proethos fond;    200,41;  200,41;2023-08-31
182584;Aktia Capital Placeringsfond B;     51,44;   51,43;2023-08-31
339473;Aktia Nordic Small Cap Placeringsfond B;     43,74;   43,73;2023-08-31
308908;Aktie-Ansvar Avkastningsfond A;    118,95;  118,95;2023-08-31
344739;Aktie-Ansvar Sverige A;    793,37;  793,37;2023-08-31
528894;Aktiespararna Direktavkastning;    178,79;  178,79;2023-08-31
290072;Aktiespararna Topp Sverige Hållbar;     25,84;   25,84;2023-08-31
147348;Alfred Berg Aktiv C;   2477,60; 2476,63;2023-08-31
183178;Alfred Berg Norge C;   1440,32; 1439,76;2023-08-31
111518;Alfred Berg Obligasjon C;    115,57;  115,52;2023-08-31
933359;Allianz China A-shares AT;    114,33;  114,31;2023-08-31
753731;Allianz China Equity A;    563,06;  562,98;2023-08-31
717900;Allianz Euro High Yield Bond A;   1250,29; 1250,13;2023-08-31
538751;Allianz Europe Small Cap Equity AT;   3400,25; 3399,82;2023-08-31
273839;Allianz Global Equity Growth AT;    114,35;  114,33;2023-08-31
502922;Allianz Global Metals and Mining A;    695,17;  695,08;2023-08-31
878694;Allianz Global Water AT;   1837,04; 1836,81;2023-08-31
309666;Allianz Pet and Animal Wellbeing AT;     86,64;   86,62;2023-08-31
823096;AMF Aktiefond Asien Stilla Havet;    290,68;  290,68;2023-08-31
538462;AMF Aktiefond Europa;    323,61;  323,61;2023-08-31
908277;AMF Aktiefond Global;    334,17;  334,17;2023-08-31
520692;AMF Aktiefond Nordamerika;    578,64;  578,64;2023-08-31
269357;AMF Aktiefond Småbolag;   1045,24; 1045,24;2023-08-31
681783;AMF Aktiefond Sverige;    778,16;  778,16;2023-08-31
645952;AMF Aktiefond Världen;    608,88;  608,88;2023-08-31
610121;AMF Balansfond;    361,33;  361,33;2023-08-31
305185;AMF Räntefond Kort;    113,16;  113,16;2023-08-31
574293;AMF Räntefond Lång;    141,18;  141,18;2023-08-31
265512;AMF Räntefond Mix;    108,27;  108,27;2023-08-31
791863;Amundi Funds Global Equity Conservative A2;   1332,17; 1331,99;2023-08-30
174490;Amundi Funds Japan Equity Value A2;   1255,94; 1255,77;2023-08-30
756031;Amundi Funds Latin America Equity A2;   5821,31; 5820,51;2023-08-30
720201;Amundi Funds SBI FM India Equity A2;   3855,07; 3854,54;2023-08-30
863522;Amundi Funds Volatility World A2;   1063,87; 1063,72;2023-08-30
581371;AP7 Aktiefond;    593,45;  593,45;2023-08-31
545541;AP7 Räntefond;    106,93;  106,93;2023-08-31
715955;Avanza Emerging Markets;    119,43;  119,43;2023-08-30
680124;Avanza Global;    177,44;  177,44;2023-08-30
734491;Avanza Zero ;    347,85;  347,85;2023-08-31
294322;AXA IM Globlal Equity QI B;    297,05;  297,01;2023-08-30
401810;AXA IM Pacific Ex-Japan Equity QI B;    455,49;  455,43;2023-08-30
616797;AXA IM US Equity QI B;    389,61;  389,56;2023-08-30
477729;Baring Asia Growth A;   1116,32; 1116,17;2023-08-31
191080;Baring Global Emerging Markets A;    421,35;  421,29;2023-08-31
262741;Baring Global Resources A;    250,57;  250,54;2023-08-31
334409;Baring Hong Kong China A;  11350,75;11349,18;2023-08-31
235291;Baring Latin America A;    380,80;  380,75;2023-08-31
285990;BL - American Small & Mid Caps B;   2515,60; 2515,25;2023-08-30
551804;BL - Bond Dollar B;    949,31;  949,18;2023-08-30
178509;BL - Bond Emerging Markets Euro B;   1136,22; 1136,08;2023-08-30
153833;BL - Emerging Markets B;   1952,66; 1952,41;2023-08-30
300996;BL - Equities America B;   1092,18; 1092,03;2023-08-30
321828;BL - Equities Asia B;   1100,45; 1100,30;2023-08-30
118000;BL - Equities Dividend B;   2833,10; 2832,74;2023-08-30
336826;BL - Equities Europe B;   1246,36; 1246,21;2023-08-30
142679;BL - Equities Japan B;   1978,12; 1977,86;2023-08-30
250167;BL - European Small & Mid Caps B;   2430,03; 2429,72;2023-08-30
480145;BL - Global 30 B;   1157,04; 1156,90;2023-08-30
444315;BL - Global 50 B;   1198,21; 1198,06;2023-08-30
408484;BL - Global 75 B;   1194,78; 1194,63;2023-08-30
515973;BL - Global Bond Opportunities B;   1060,15; 1060,01;2023-08-30
320358;BL - Global Equities B;   1309,30; 1309,14;2023-08-30
647669;BL - Global Flexible B;   2268,89; 2268,60;2023-08-30
214338;BL - Global Flexible USD B;   1871,73; 1871,47;2023-08-30
749953;BL - Global Impact;   1236,66; 1236,51;2023-08-30
608463;BlackRock - Asian Dragon Fund A2;    477,77;  477,71;2023-08-31
391896;BlackRock - China A2;    163,93;  163,91;2023-08-31
231100;BlackRock - Emerging Markets A2;    399,50;  399,45;2023-08-31
916122;BlackRock - Euro Markets A2;    459,73;  459,68;2023-08-31
696898;BlackRock - European Value A2;   1046,25; 1046,12;2023-08-31
302760;BlackRock - Global Allocation A2;    752,59;  752,48;2023-08-31
572637;BlackRock - Global High Yield Bond Fund A2;    295,90;  295,86;2023-08-31
