Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    234,40;  234,37;2024-02-01
367698;abrdn SICAV I - European Sustainable Equity Fund A;    899,90;  899,78;2024-02-01
848069;abrdn SICAV I - Global Innovation Equity Fund A;     87,81;   87,80;2024-02-01
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    143,26;  143,24;2024-02-01
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     49,56;   49,55;2024-02-01
900894;abrdn SICAV I - Select Euro High Yield Bond A;    285,45;  285,41;2024-02-01
938845;AGCM Fund- Asia Growth Sub- Fund RC;    162,26;  162,26;2024-01-31
897520;AIFM Proethos fond;    180,62;  180,62;2024-02-01
182584;Aktia Capital Placeringsfond B;     50,33;   50,33;2024-02-01
339473;Aktia Nordic Small Cap Placeringsfond B;     46,26;   46,25;2024-02-01
308908;Aktie-Ansvar Avkastningsfond A;    121,04;  121,04;2024-02-01
344739;Aktie-Ansvar Sverige A;    845,12;  845,12;2024-02-01
528894;Aktiespararna Direktavkastning;    193,91;  193,91;2024-02-01
290072;Aktiespararna Topp Sverige;     28,11;   28,11;2024-02-01
147348;Alfred Berg Aktiv C;   2517,78; 2516,77;2024-02-01
183178;Alfred Berg Norge C;   1459,49; 1458,90;2024-02-01
111518;Alfred Berg Obligasjon C;    115,08;  115,03;2024-02-01
933359;Allianz China A-shares AT;     88,00;   87,99;2024-02-01
753731;Allianz China Equity A;    444,58;  444,52;2024-02-01
717900;Allianz Euro High Yield Bond A;   1224,89; 1224,73;2024-02-01
538751;Allianz Europe Small Cap Equity AT;   3369,02; 3368,57;2024-02-01
273839;Allianz Global Equity Growth AT;    117,58;  117,56;2024-02-01
502922;Allianz Global Metals and Mining A;    630,16;  630,08;2024-02-01
878694;Allianz Global Water AT;   1842,64; 1842,40;2024-02-01
309666;Allianz Pet and Animal Wellbeing AT;     80,94;   80,93;2024-02-01
823096;AMF Aktiefond Asien Stilla Havet;    285,89;  285,89;2024-02-01
538462;AMF Aktiefond Europa;    324,79;  324,79;2024-02-01
908277;AMF Aktiefond Global;    345,40;  345,40;2024-02-01
520692;AMF Aktiefond Nordamerika;    607,87;  607,87;2024-02-01
269357;AMF Aktiefond Småbolag;   1137,77; 1137,77;2024-02-01
681783;AMF Aktiefond Sverige;    854,34;  854,34;2024-02-01
645952;AMF Aktiefond Världen;    648,13;  648,13;2024-02-01
610121;AMF Balansfond;    385,31;  385,31;2024-02-01
305185;AMF Räntefond Kort;    115,61;  115,61;2024-02-01
574293;AMF Räntefond Lång;    148,19;  148,19;2024-02-01
265512;AMF Räntefond Mix;    112,61;  112,61;2024-02-01
791863;Amundi Funds Global Equity Conservative A2;   1325,89; 1325,70;2024-01-31
174490;Amundi Funds Japan Equity Value A2;   1237,55; 1237,20;2024-01-31
756031;Amundi Funds Latin America Equity A2;   5939,90; 5939,05;2024-01-31
720201;Amundi Funds SBI FM India Equity A2;   4045,00; 4044,42;2024-01-31
863522;Amundi Funds Volatility World A2;   1004,69; 1004,55;2024-01-31
581371;AP7 Aktiefond;    610,66;  610,66;2024-02-01
545541;AP7 Räntefond;    111,08;  111,08;2024-02-01
715955;Avanza Emerging Markets;    113,22;  113,22;2024-01-31
680124;Avanza Global;    182,58;  182,58;2024-01-31
734491;Avanza Zero ;    378,26;  378,26;2024-02-01
294322;AXA IM Globlal Equity QI B;    305,89;  305,85;2024-01-31
401810;AXA IM Pacific Ex-Japan Equity QI B;    445,47;  445,40;2024-01-31
616797;AXA IM US Equity QI B;    397,80;  397,74;2024-01-31
477729;Baring Asia Growth A;   1012,82; 1012,68;2024-02-01
191080;Baring Global Emerging Markets A;    398,69;  398,63;2024-02-01
262741;Baring Global Resources A;    237,31;  237,27;2024-02-01
334409;Baring Hong Kong China A;   8938,42; 8937,14;2024-02-01
235291;Baring Latin America A;    393,98;  393,92;2024-02-01
285990;BL - American Small & Mid Caps B;   2451,00; 2450,65;2024-01-31
551804;BL - Bond Dollar B;    939,23;  939,09;2024-01-31
178509;BL - Bond Emerging Markets Euro B;   1132,21; 1132,06;2024-01-31
153833;BL - Emerging Markets B;   1791,65; 1791,41;2024-01-31
300996;BL - Equities America B;   1073,91; 1073,75;2024-01-31
321828;BL - Equities Asia B;    983,67;  983,53;2024-01-31
118000;BL - Equities Dividend B;   2844,79; 2844,41;2024-01-31
336826;BL - Equities Europe B;   1234,95; 1234,78;2024-01-31
142679;BL - Equities Japan B;   1958,03; 1957,48;2024-01-31
250167;BL - European Small & Mid Caps B;   2410,87; 2410,55;2024-01-31
480145;BL - Global 30 B;   1126,58; 1126,43;2024-01-31
444315;BL - Global 50 B;   1170,06; 1169,91;2024-01-31
408484;BL - Global 75 B;   1167,70; 1167,54;2024-01-31
515973;BL - Global Bond Opportunities B;   1051,90; 1051,76;2024-01-31
320358;BL - Global Equities B;   1337,91; 1337,73;2024-01-31
647669;BL - Global Flexible B;   2201,80; 2201,51;2024-01-31
214338;BL - Global Flexible USD B;   1826,73; 1826,46;2024-01-31
749953;BL - Global Impact;   1259,62; 1259,45;2024-01-31
608463;BlackRock - Asian Dragon Fund A2;    438,64;  438,57;2024-02-01
391896;BlackRock - China A2;    142,24;  142,22;2024-02-01
231100;BlackRock - Emerging Markets A2;    375,05;  375,00;2024-02-01
916122;BlackRock - Euro Markets A2;    464,53;  464,46;2024-02-01
696898;BlackRock - European Value A2;   1031,28; 1031,14;2024-02-01
302760;BlackRock - Global Allocation A2;    763,28;  763,17;2024-02-01
572637;BlackRock - Global High Yield Bond Fund A2;    301,52;  301,48;2024-02-01
768499;BlackRock - India A2;    555,04;  554,96;2024-02-01
159442;BlackRock - Japan Small & MidCap A2;    719,77;  719,66;2024-02-01
661066;BlackRock - Latin American A2;    781,58;  781,47;2024-02-01
536806;BlackRock - Natural Resources Growth & Income Fund A2;    128,33;  128,31;2024-02-01
553578;BlackRock - Sustainable Energy A2;    165,98;  165,96;2024-02-01
768556;BlackRock - US Basic Value A2;   1259,96; 1259,78;2024-02-01
804385;BlackRock - US Flexible Equity A2;    640,18;  640,09;2024-02-01
625236;BlackRock - US Mid-Cap Value Fund A2;   3570,29; 3569,77;2024-02-01
517748;BlackRock - World Energy A2;    248,39;  248,36;2024-02-01
410258;BlackRock - World Financials A2;    426,19;  426,13;2024-02-01
338590;BlackRock - World Gold A2;    325,47;  325,43;2024-02-01
374421;BlackRock - World Healthscience A2;    702,41;  702,31;2024-02-01
481911;BlackRock - World Mining A2;    616,54;  616,45;2024-02-01
644294;BlackRock - World Real Estate Securities Fund A2;    152,28;  152,26;2024-02-01
446088;BlackRock - World Technology A2;    784,30;  784,19;2024-02-01
408062;C WorldWide Asia 1A;   1774,74; 1774,48;2024-02-01
515554;C WorldWide Global Equities 1A;   2118,51; 2118,21;2024-02-01
479725;C WorldWide Global Equities Ethical 1A;    387,57;  387,52;2024-02-01
443895;C WorldWide Healthcare Select 1A;   1595,54; 1595,33;2024-02-01
792697;C WorldWide Sweden 1A;    366,70;  366,70;2024-02-01
721035;C WorldWide Sweden Small Cap 1A;    638,69;  638,69;2024-02-01
345497;Captor Dahlia Green Bond A;    277,62;  277,62;2024-02-01
180927;Captor Iris Bond A;    255,69;  255,69;2024-02-01
537639;Carnegie Corporate Bond A;    446,12;  446,12;2024-01-31
320176;Carnegie Fastighetsfond Norden A;    505,86;  505,86;2024-02-01
505586;Carnegie Indienfond A;    850,90;  850,90;2024-02-01
214163;Carnegie Likviditetsfond A;   1270,86; 1270,86;2024-02-01
341362;Carnegie Listed Private Equity A;    627,92;  627,92;2024-02-01
554691;Carnegie Obligationsfond A;    958,35;  958,35;2024-02-01
584912;Carnegie Småbolagsfond A;    490,29;  490,29;2024-02-01
357483;Carnegie Strategifond A;   2037,32; 2037,32;2024-02-01
393314;Carnegie Sverigefond A;   4350,75; 4350,75;2024-02-01
309492;CB European Quality Fund A Cap;   1845,16; 1844,91;2024-01-31
976506;CB Save Earth Fund RC;    303,36;  303,32;2024-01-31
384750;Cicero Avkastning A;    129,62;  129,62;2024-02-01
959502;Cicero Hållbar Mix A;    166,41;  166,41;2024-02-01
422709;Coeli  - Global Select Fund R;    345,26;  345,26;2024-02-01
386870;Coeli - Nordic Corporate Bond Fund R;    115,26;  115,26;2024-02-01
330324;CPR Invest Global Gold Mines A2;    695,78;  695,68;2024-01-31
366154;CPR Invest Global Lifestyles A2;   1022,60; 1022,45;2024-01-31
613729;Danske Invest  SICAV - Global Index Restricted;    305,19;  305,19;2024-01-31
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   3831,61; 3831,61;2024-02-01
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    156,83;  156,83;2024-01-31
901181;Danske Invest SICAV - Europe SI;    180,67;  180,67;2024-02-01
252411;Danske Invest SICAV - Global Index SI;   3114,10; 3114,10;2024-01-31
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1241,39; 1241,39;2024-02-01
901603;Danske Invest SICAV - Sverige Ränta SI;   1107,07; 1107,07;2024-02-01
973263;Danske Invest SICAV - Sverige SI;   6265,25; 6265,25;2024-02-01
184580;Delphi Global A2;   1707,96; 1707,96;2024-01-31
388298;Delphi Nordic Acc;  45258,25;45240,02;2024-01-31
291906;Didner & Gerge Aktiefond;   3896,77; 3896,77;2024-02-01
541235;Didner & Gerge Global;    426,84;  426,84;2024-02-01
140491;Didner & Gerge Småbolag;   1118,04; 1118,04;2024-02-01
219170;DNB Europa Indeks S;    118,23;  118,23;2024-01-30
326660;DNB Global Emerging Markets S;    101,47;  101,47;2024-01-30
362491;DNB Global Indeks S;    125,06;  125,06;2024-01-30
147512;DNB Grönt Skifte Norden S;    138,97;  138,97;2024-01-30
255001;DNB Health Care S;    159,85;  159,85;2024-01-30
290833;DNB SMB S;    111,02;  111,02;2024-01-30
183343;DNB Teknologi S;    143,30;  143,30;2024-01-30
511890;East Capital China A-shares A;    105,36;  105,36;2024-02-01
623637;East Capital Global Emerging Markets Sustainable A;    215,02;  215,02;2024-02-01
870907;East Capital Global Frontier Markets A;    191,09;  191,09;2024-02-01
134593;Enter Cross Credit A;   1154,85; 1154,85;2024-02-01
643700;Enter Select A;   3133,51; 3133,51;2024-02-01
170423;Enter Sverige A;   3783,31; 3783,31;2024-02-01
664482;Evli Corporate Bond Placeringsfonden B ;   1347,68; 1347,68;2024-01-31
229625;Evli Emerging Markets Credit Placeringsfonden B;   1249,74; 1249,57;2024-01-31
764951;Evli Europa Placeringsfonden B;   1993,94; 1993,68;2024-01-31
570044;Evli Finland Select Placeringsfonden B;    615,21;  615,13;2024-01-31
367987;Evli GEM Placeringsfonden B;   2207,44; 2207,15;2024-01-31
793109;Evli Global Placeringsfonden B;   3924,81; 3924,81;2024-01-31
700310;Evli High Yield Placeringsfonden B;   1710,56; 1710,56;2024-01-31
574582;Evli Likviditet Placeringsfonden B;   1118,69; 1118,69;2024-01-31
668269;Evli Nordic Placeringsfonden B;   3719,19; 3718,69;2024-01-31
621631;Evli Short Corporate Bond Placeringsfonden B;    342,53;  342,48;2024-01-31
610410;Evli Sverige Aktieindex B;   2534,19; 2534,19;2024-01-31
420463;Evli Sverige Småbolag;   7383,62; 7383,62;2024-01-31
850776;Fidelity - America Fund A;    431,92;  431,86;2024-02-01
994095;Fidelity - Asian Pacific Opportunities Fund A;    315,93;  315,88;2024-02-01
922435;Fidelity - Asian Special Situations Fund A;    415,22;  415,16;2024-02-01
886606;Fidelity - China Consumer  Fund A;    172,29;  172,27;2024-02-01
958264;Fidelity - China Focus Fund A;     95,15;   95,14;2024-02-01
313320;Fidelity - Emerging Asia Fund A;    315,59;  315,55;2024-02-01
349150;Fidelity - Emerging Markets Funds A;    168,01;  167,98;2024-02-01
814947;Fidelity - European Dynamic Growth Fund A;    389,04;  388,99;2024-02-01
277491;Fidelity - Global High  Yield Fund A;    159,18;  159,16;2024-02-01
976928;Folksam LO Sverige;    540,05;  540,05;2024-02-01
941096;Folksam LO Världen;    341,93;  341,93;2024-02-01
356063;Fondita European Small Cap Placeringsfond B;   4019,50; 4018,97;2024-02-01
202002;Fondita Global Megatrends Placeringsfond B;   1216,44; 1216,28;2024-02-01
364323;Fondita Healthcare Placeringsfond B;   1662,05; 1661,83;2024-02-01
785493;Fondita Nordic Micro Cap Placeringsfond B;   4311,72; 4311,15;2024-02-01
237834;Fondita Nordic Small Cap Placeringsfond B;   2189,01; 2188,72;2024-02-01
566556;Fondita Sustainable Europe Placeringfond;   2136,50; 2136,21;2024-02-01
389239;Franklin Biotechnology Discovery Fund;    417,78;  417,72;2024-01-31
170894;Franklin India Fund A ;    650,51;  650,41;2024-01-31
717496;Franklin Mutual Global Discovery Fund A;    266,45;  266,41;2024-01-31
532558;Franklin Natural Resources Fund A;     80,66;   80,65;2024-01-31
496729;Franklin Technology Fund A;    437,24;  437,18;2024-01-31
384107;Franklin U.S. Opportunities Fund A;    302,36;  302,31;2024-01-31
201111;GodFond Sverige & Världen;    435,92;  435,92;2024-02-01
992099;Goldman Sachs Asia Equity Income P;  11330,43;11328,81;2024-02-01
899773;Goldman Sachs Europe Equity P;   1022,02; 1021,89;2024-02-01
899352;Goldman Sachs Europe Sustainable Equity P;   5942,70; 5941,91;2024-02-01
848770;Goldman Sachs Eurozone Equity P;   2428,69; 2428,36;2024-02-01
523050;Goldman Sachs Global Equity Impact Opportunities P;   6104,61; 6103,80;2024-02-01
401695;Goldman Sachs Global Social Impact Equity P;  22434,12;22430,90;2024-02-01
666370;Goldman Sachs Greater China Equity P;  10532,43;10530,92;2024-02-01
971010;Goldman Sachs Green Bond P;     87,32;   87,32;2024-02-01
920439;Goldman Sachs Japan Equity P (Former NN);    586,77;  586,69;2024-02-01
857037;Goldman Sachs Protection P;    358,69;  358,64;2024-02-01
929224;Handelsbanken  USA Index Criteria A1;    803,95;  803,95;2024-02-01
840033;Handelsbanken Amerika Tema A1;   2057,54; 2057,54;2024-02-01
504100;Handelsbanken Asien Tema A1;    769,96;  769,96;2024-02-01
750075;Handelsbanken Emerging Markets Index A1;    183,00;  183,00;2024-02-01
629543;Handelsbanken Europa Index Criteria A1;    188,79;  188,79;2024-02-01
785907;Handelsbanken Global Index Criteria A1;    483,99;  483,99;2024-02-01
549552;Handelsbanken Global Småbolag Index Criteria A1;    167,01;  167,01;2024-02-01
123679;Handelsbanken Global Tema A1;    910,31;  910,31;2024-02-01
644005;Handelsbanken Hälsovård Tema A1;    431,07;  431,07;2024-02-01
687509;Handelsbanken Hållbar Energi A1;    300,96;  300,96;2024-02-01
718205;Handelsbanken Kortränta A1;    152,02;  152,02;2024-02-01
679837;Handelsbanken Latinamerika Impact Tema A1;    342,25;  342,25;2024-02-01
524702;Handelsbanken Långränta A1;    109,95;  109,95;2024-02-01
811117;Handelsbanken Norden Tema A1;   1764,28; 1764,28;2024-02-01
751495;Handelsbanken Nordiska Småbolag A1;   1552,44; 1552,44;2024-02-01
167114;Handelsbanken Pension 40 A12;    160,42;  160,42;2024-01-31
314682;Handelsbanken Pension 50 A12;    223,27;  223,27;2024-01-31
350512;Handelsbanken Pension 60 A12;    343,58;  343,58;2024-01-31
278853;Handelsbanken Pension 70 A12;    396,25;  396,25;2024-01-31
243022;Handelsbanken Pension 80 A12;    398,22;  398,22;2024-01-31
952010;Handelsbanken Svenska Småbolag A1;   2184,27; 2184,27;2024-02-01
465914;Handelsbanken Sverige 100 Index Criteria A1;    389,82;  389,82;2024-02-01
916189;Handelsbanken Sverige Tema A1;   3094,39; 3094,39;2024-02-01
987842;Handelsbanken Tillväxtmarknad Tema A1;    385,00;  385,00;2024-02-01
500976;HealthInvest Alpha Fund;    146,77;  146,77;2024-01-31
282632;Holberg Global A;    543,04;  542,82;2024-02-01
980284;Holberg Kreditt ;    108,20;  108,16;2024-02-01
354290;Holberg Norden;    770,84;  770,53;2024-02-01
318469;Holberg Norge;    973,36;  972,97;2024-02-01
712299;Humle Småbolagsfond A;    642,17;  642,17;2024-02-01
307306;Indecap Guide 1 C;    113,70;  113,70;2024-01-31
271478;Indecap Guide 2 C;    213,81;  213,81;2024-01-31
106849;Indecap Guide Sverige C;    245,80;  245,80;2024-01-31
233585;JPMorgan China A;    518,02;  517,95;2024-02-01
305243;JPMorgan Emerging Markets Equity A ;    391,05;  390,99;2024-02-01
676460;Kotak Funds - India ESG A;    249,68;  249,65;2024-02-01
895699;Kotak Funds - India Midcap A;    370,51;  370,46;2024-02-01
224493;KPA Blandfond;    410,50;  410,50;2024-02-01
182759;Lannebo Europa Småbolag A;     14,82;   14,82;2024-02-01
878520;Lannebo Mixfond;     33,25;   33,25;2024-02-01
861104;Lannebo Mixfond Offensiv A;    286,47;  286,47;2024-02-01
478313;Lannebo Räntefond Kort;    124,01;  124,01;2024-02-01
842690;Lannebo Småbolag;    162,29;  162,29;2024-02-01
806869;Lannebo Sverige;     60,92;   60,92;2024-02-01
146928;Lannebo Sverige Hållbar A;   2137,37; 2137,37;2024-02-01
490292;Lannebo Sverige Plus;     83,26;   83,26;2024-02-01
771030;Lannebo Teknik;     20,03;   20,03;2024-02-01
385401;Länsförsäkringar Asienfond A;    174,07;  174,07;2024-02-01
492306;Länsförsäkringar Europa Aktiv A;    636,04;  636,04;2024-02-01
479840;Länsförsäkringar Europa Index;    317,54;  317,54;2024-02-01
313742;Länsförsäkringar Fastighetsfond A;   6115,84; 6115,84;2024-02-01
874560;Länsförsäkringar Företagsobligation Vision ;    113,63;  113,63;2024-02-01
658997;Länsförsäkringar Global Index;    417,12;  417,12;2024-02-01
563965;Länsförsäkringar Global Vision A;     85,22;   85,22;2024-02-01
470104;Länsförsäkringar Japan Index;    169,23;  169,23;2024-02-01
420646;Länsförsäkringar Kort Räntefond;    108,93;  108,93;2024-02-01
242081;Länsförsäkringar Lång Räntefond A;    161,93;  161,93;2024-02-01
599795;Länsförsäkringar Mix Vision A;    509,43;  509,43;2024-02-01
515676;Länsförsäkringar Småbolag Sverige Vision A;   1580,42; 1580,42;2024-02-01
814772;Länsförsäkringar Sparmål 2015;    236,31;  236,31;2024-01-31
