Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    248,23;  248,20;2024-03-13
367698;abrdn SICAV I - European Sustainable Equity Fund A;    951,83;  951,70;2024-03-13
848069;abrdn SICAV I - Global Innovation Equity Fund A;     88,75;   88,74;2024-03-13
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    140,25;  140,23;2024-03-13
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     50,58;   50,57;2024-03-13
900894;abrdn SICAV I - Select Euro High Yield Bond A;    286,38;  286,34;2024-03-13
938845;AGCM Fund- Asia Growth Sub- Fund RC;    175,29;  175,29;2024-03-12
897520;AIFM Proethos fond;    166,99;  166,99;2024-03-13
182584;Aktia Capital Placeringsfond B;     49,20;   49,19;2024-03-13
339473;Aktia Nordic Small Cap Placeringsfond B;     47,57;   47,56;2024-03-13
308908;Aktie-Ansvar Avkastningsfond A;    122,14;  122,14;2024-03-13
344739;Aktie-Ansvar Sverige A;    884,12;  884,12;2024-03-13
528894;Aktiespararna Direktavkastning;    202,11;  202,11;2024-03-13
290072;Aktiespararna Topp Sverige;     30,05;   30,05;2024-03-13
147348;Alfred Berg Aktiv C;   2551,42; 2550,37;2024-03-13
183178;Alfred Berg Norge C;   1469,22; 1468,61;2024-03-13
111518;Alfred Berg Obligasjon C;    113,39;  113,35;2024-03-13
933359;Allianz China A-shares AT;     97,28;   97,26;2024-03-13
753731;Allianz China Equity A;    482,64;  482,57;2024-03-13
717900;Allianz Euro High Yield Bond A;   1229,58; 1229,41;2024-03-13
538751;Allianz Europe Small Cap Equity AT;   3360,53; 3360,08;2024-03-13
273839;Allianz Global Equity Growth AT;    122,01;  121,99;2024-03-13
502922;Allianz Global Metals and Mining A;    616,08;  615,99;2024-03-13
878694;Allianz Global Water AT;   1981,47; 1981,21;2024-03-13
309666;Allianz Pet and Animal Wellbeing AT;     80,87;   80,86;2024-03-13
823096;AMF Aktiefond Asien Stilla Havet;    298,69;  298,69;2024-03-13
538462;AMF Aktiefond Europa;    337,90;  337,90;2024-03-13
908277;AMF Aktiefond Global;    361,17;  361,17;2024-03-13
520692;AMF Aktiefond Nordamerika;    632,66;  632,66;2024-03-13
269357;AMF Aktiefond Småbolag;   1188,17; 1188,17;2024-03-13
681783;AMF Aktiefond Sverige;    910,82;  910,82;2024-03-13
645952;AMF Aktiefond Världen;    684,41;  684,41;2024-03-13
610121;AMF Balansfond;    399,37;  399,37;2024-03-13
305185;AMF Räntefond Kort;    116,15;  116,15;2024-03-13
574293;AMF Räntefond Lång;    148,01;  148,01;2024-03-13
265512;AMF Räntefond Mix;    111,76;  111,76;2024-03-13
791863;Amundi Funds Global Equity Conservative A2;   1328,77; 1328,57;2024-03-12
174490;Amundi Funds Japan Equity Value A2;   1256,03; 1255,85;2024-03-12
756031;Amundi Funds Latin America Equity A2;   5861,80; 5860,94;2024-03-12
720201;Amundi Funds SBI FM India Equity A2;   4059,83; 4059,24;2024-03-12
863522;Amundi Funds Volatility World A2;    985,82;  985,68;2024-03-12
581371;AP7 Aktiefond;    636,34;  636,34;2024-03-13
545541;AP7 Räntefond;    110,98;  110,98;2024-03-13
715955;Avanza Emerging Markets;    120,83;  120,83;2024-03-12
680124;Avanza Global;    192,15;  192,15;2024-03-12
734491;Avanza Zero ;    404,63;  404,63;2024-03-13
294322;AXA IM Globlal Equity QI B;    317,34;  317,30;2024-03-12
401810;AXA IM Pacific Ex-Japan Equity QI B;    449,65;  449,58;2024-03-12
616797;AXA IM US Equity QI B;    415,96;  415,90;2024-03-12
477729;Baring Asia Growth A;   1081,32; 1081,15;2024-03-13
191080;Baring Global Emerging Markets A;    425,09;  425,03;2024-03-13
262741;Baring Global Resources A;    242,81;  242,77;2024-03-13
334409;Baring Hong Kong China A;   9705,73; 9704,21;2024-03-13
235291;Baring Latin America A;    379,83;  379,77;2024-03-13
285990;BL - American Small & Mid Caps B;   2534,04; 2533,67;2024-03-12
551804;BL - Bond Dollar B;    914,25;  914,11;2024-03-12
178509;BL - Bond Emerging Markets Euro B;   1129,59; 1129,44;2024-03-12
153833;BL - Emerging Markets B;   1877,44; 1877,18;2024-03-12
300996;BL - Equities America B;   1093,65; 1093,49;2024-03-12
321828;BL - Equities Asia B;   1053,00; 1052,85;2024-03-12
118000;BL - Equities Dividend B;   2924,15; 2923,75;2024-03-12
336826;BL - Equities Europe B;   1296,25; 1296,08;2024-03-12
142679;BL - Equities Japan B;   1996,52; 1996,23;2024-03-12
250167;BL - European Small & Mid Caps B;   2528,86; 2528,52;2024-03-12
480145;BL - Global 30 B;   1127,80; 1127,65;2024-03-12
444315;BL - Global 50 B;   1178,92; 1178,76;2024-03-12
408484;BL - Global 75 B;   1185,18; 1185,02;2024-03-12
515973;BL - Global Bond Opportunities B;   1041,12; 1040,98;2024-03-12
320358;BL - Global Equities B;   1385,85; 1385,66;2024-03-12
647669;BL - Global Flexible B;   2224,62; 2224,33;2024-03-12
214338;BL - Global Flexible USD B;   1831,66; 1831,40;2024-03-12
749953;BL - Global Impact;   1347,15; 1346,96;2024-03-12
608463;BlackRock - Asian Dragon Fund A2;    458,58;  458,51;2024-03-13
391896;BlackRock - China A2;    149,10;  149,08;2024-03-13
231100;BlackRock - Emerging Markets A2;    384,85;  384,79;2024-03-13
916122;BlackRock - Euro Markets A2;    502,09;  502,02;2024-03-13
696898;BlackRock - European Value A2;   1067,55; 1067,41;2024-03-13
302760;BlackRock - Global Allocation A2;    780,14;  780,01;2024-03-13
