Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;Aberdeen Standard SICAV I - Europe ex UK Sustainable Equity Fund A;    219,74;  219,71;2023-04-17
367698;Aberdeen Standard SICAV I - European Sustainable Equity Fund A;    831,09;  830,98;2023-04-17
848069;Aberdeen Standard SICAV I - Global Innovation Equity Fund A ;     81,00;   80,99;2023-04-17
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    133,31;  133,29;2023-04-17
757575;Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund A;     43,48;   43,48;2023-04-17
900894;Aberdeen Standard SICAV I - Select Euro High Yield Bond A;    265,74;  265,71;2023-04-17
938845;AGCM Fund- Asia Growth Sub- Fund RC;    195,36;  195,36;2023-04-14
897520;AIFM Proethos fond;    213,09;  213,09;2023-04-14
182584;Aktia Capital Placeringsfond B;     53,27;   53,26;2023-04-17
339473;Aktia Nordic Small Cap Placeringsfond B;     47,63;   47,63;2023-04-17
308908;Aktie-Ansvar Avkastningsfond A;    117,36;  117,36;2023-04-17
344739;Aktie-Ansvar Sverige A;    825,39;  825,39;2023-04-17
528894;Aktiespararna Direktavkastning;    196,15;  196,15;2023-04-17
290072;Aktiespararna Topp Sverige Hållbar;     26,47;   26,47;2023-04-17
147348;Alfred Berg Aktiv C;   2334,77; 2333,83;2023-04-17
183178;Alfred Berg Norge C;   1368,05; 1367,50;2023-04-17
111518;Alfred Berg Obligasjon C;    112,95;  112,90;2023-04-17
933359;Allianz China A-shares AT;    128,49;  128,47;2023-04-17
753731;Allianz China Equity A;    592,14;  592,05;2023-04-17
250878;Allianz Emerging Asia Equity A;    710,03;  709,93;2023-04-17
717900;Allianz Euro High Yield Bond A;   1169,36; 1169,21;2023-04-17
538751;Allianz Europe Small Cap Equity AT;   3293,07; 3292,63;2023-04-17
273839;Allianz Global Equity Growth AT;    104,04;  104,02;2023-04-17
502922;Allianz Global Metals and Mining A;    748,52;  748,42;2023-04-17
878694;Allianz Global Water AT;   1713,87; 1713,65;2023-04-17
309666;Allianz Pet and Animal Wellbeing AT;     81,07;   81,05;2023-04-17
395434;Allianz Thailand Equity A;   6721,48; 6720,59;2023-04-05
823096;AMF Aktiefond Asien Stilla Havet;    280,82;  280,82;2023-04-17
538462;AMF Aktiefond Europa;    308,81;  308,81;2023-04-17
908277;AMF Aktiefond Global;    295,55;  295,55;2023-04-17
520692;AMF Aktiefond Nordamerika;    484,23;  484,23;2023-04-17
269357;AMF Aktiefond Småbolag;   1183,55; 1183,55;2023-04-17
