Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  27089,89;27086,33;2024-10-17
848069;abrdn SICAV I - Global Innovation Equity Fund A;     97,89;   97,88;2024-10-17
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    142,15;  142,13;2024-10-17
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     52,02;   52,01;2024-10-17
900894;abrdn SICAV I - Select Euro High Yield Bond A;    300,86;  300,82;2024-10-17
182584;Aktia Capital Placeringsfond B;     53,84;   53,83;2024-10-17
339473;Aktia Nordic Small Cap Placeringsfond B;     50,71;   50,70;2024-10-17
308908;Aktie-Ansvar Avkastningsfond A;    125,84;  125,84;2024-10-17
344739;Aktie-Ansvar Sverige A;    952,34;  952,34;2024-10-17
528894;Aktiespararna Direktavkastning;    217,71;  217,71;2024-10-17
290072;Aktiespararna Topp Sverige;     32,00;   32,00;2024-10-17
147348;Alfred Berg Aktiv C;   2843,41; 2842,23;2024-10-17
183178;Alfred Berg Norge C;   1642,90; 1642,21;2024-10-17
111518;Alfred Berg Obligasjon C;    115,56;  115,51;2024-10-17
933359;Allianz China A-shares AT;    107,26;  107,25;2024-10-17
753731;Allianz China Equity A;    569,24;  569,16;2024-10-17
717900;Allianz Euro High Yield Bond A;   1314,32; 1314,14;2024-10-17
538751;Allianz Europe Small Cap Equity AT;   3359,82; 3359,38;2024-10-17
273839;Allianz Global Equity Growth AT;    126,03;  126,01;2024-10-17
502922;Allianz Global Metals and Mining A;    713,13;  713,03;2024-10-17
878694;Allianz Global Water AT;   2146,01; 2145,73;2024-10-17
309666;Allianz Pet and Animal Wellbeing AT;     90,46;   90,45;2024-10-17
823096;AMF Aktiefond Asien Stilla Havet;    336,37;  336,37;2024-10-17
538462;AMF Aktiefond Europa;    361,48;  361,48;2024-10-17
908277;AMF Aktiefond Global;    399,51;  399,51;2024-10-17
520692;AMF Aktiefond Nordamerika;    717,25;  717,25;2024-10-17
269357;AMF Aktiefond Småbolag;   1308,38; 1308,38;2024-10-17
681783;AMF Aktiefond Sverige;    989,86;  989,86;2024-10-17
645952;AMF Aktiefond Världen;    748,25;  748,25;2024-10-17
610121;AMF Balansfond;    429,02;  429,02;2024-10-17
305185;AMF Räntefond Kort;    119,54;  119,54;2024-10-17
574293;AMF Räntefond Lång;    154,63;  154,63;2024-10-17
265512;AMF Räntefond Mix;    115,31;  115,31;2024-10-17
791863;Amundi Funds Global Equity Conservative A2;   1495,18; 1494,96;2024-10-16
174490;Amundi Funds Japan Equity Value A2;   1329,22; 1329,03;2024-10-16
756031;Amundi Funds Latin America Equity A2;   5234,63; 5233,88;2024-10-16
720201;Amundi Funds SBI FM India Equity A2;   4567,81; 4567,16;2024-10-16
863522;Amundi Funds Volatility World A2;   1053,93; 1053,78;2024-10-16
581371;AP7 Aktiefond;    730,71;  730,71;2024-10-17
545541;AP7 Räntefond;    115,23;  115,23;2024-10-17
715955;Avanza Emerging Markets;    137,18;  137,18;2024-10-16
680124;Avanza Global;    218,30;  218,30;2024-10-17
734491;Avanza Zero ;    424,96;  424,96;2024-10-17
294322;AXA IM Globlal Equity QI B;    353,22;  353,17;2024-10-16
401810;AXA IM Pacific Ex-Japan Equity QI B;    505,69;  505,62;2024-10-16
616797;AXA IM US Equity QI B;    465,44;  465,37;2024-10-16
477729;Baring Asia Growth A;   1234,28; 1234,10;2024-10-17
191080;Baring Global Emerging Markets A;    469,90;  469,83;2024-10-17
262741;Baring Global Resources A;    257,50;  257,46;2024-10-17
334409;Baring Hong Kong China A;  11500,88;11499,25;2024-10-17
235291;Baring Latin America A;    331,78;  331,73;2024-10-17
285990;BL - American Small & Mid Caps B;   2691,46; 2691,08;2024-10-16
551804;BL - Bond Dollar B;    959,45;  959,31;2024-10-16
178509;BL - Bond Emerging Markets Euro B;   1163,74; 1163,58;2024-10-16
153833;BL - Emerging Markets B;   2037,56; 2037,29;2024-10-16
300996;BL - Equities America B;   1185,55; 1185,38;2024-10-16
321828;BL - Equities Asia B;   1166,04; 1165,88;2024-10-16
118000;BL - Equities Dividend B;   3094,53; 3094,12;2024-10-16
142679;BL - Equities Japan B;   2065,50; 2065,21;2024-10-16
250167;BL - European Small & Mid Caps B;   2423,36; 2423,04;2024-10-16
480145;BL - Global 30 B;   1228,98; 1228,82;2024-10-16
444315;BL - Global 50 B;   1294,34; 1294,17;2024-10-16
408484;BL - Global 75 B;   1310,23; 1310,05;2024-10-16
515973;BL - Global Bond Opportunities B;   1076,14; 1076,00;2024-10-16
320358;BL - Global Equities B;   1476,69; 1476,49;2024-10-16
647669;BL - Global Flexible B;   2433,68; 2433,36;2024-10-16
214338;BL - Global Flexible USD B;   1927,35; 1927,07;2024-10-16
608463;BlackRock - Asian Dragon Fund A2;    504,88;  504,81;2024-10-17
391896;BlackRock - China A2;    177,74;  177,72;2024-10-17
231100;BlackRock - Emerging Markets A2;    405,21;  405,15;2024-10-17
302760;BlackRock - Global Allocation A2;    848,25;  848,12;2024-10-17
572637;BlackRock - Global High Yield Bond Fund A2;    325,88;  325,83;2024-10-17
