Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
407775;Aberdeen Standard - American Focused Equity Fund A;    386,06;  386,00;2023-01-23
900894;Aberdeen Standard - Select Euro High Yield Bond A;    255,37;  255,34;2023-03-20
367698;Aberdeen Standard SICAV I - European Sustainable Equity Fund A;    774,37;  774,27;2023-03-20
865063;Aberdeen Standard SICAV I - Europé ex UK Sustainable Equity Fund A;    204,61;  204,58;2023-03-20
848069;Aberdeen Standard SICAV I - Global Innovation Equity Fund A ;     79,20;   79,18;2023-03-20
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    134,97;  134,94;2023-03-20
757575;Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund A;     43,25;   43,24;2023-03-20
938845;AGCM Fund- Asia Growth Sub- Fund RC;    191,62;  191,62;2023-03-17
897520;AIFM Proethos fond;    205,20;  205,20;2023-03-20
182584;Aktia Capital Placeringsfond B;     49,47;   49,46;2023-03-20
339473;Aktia Nordic Small Cap Placeringsfond B;     45,05;   45,05;2023-03-20
308908;Aktie-Ansvar Avkastningsfond A;    116,81;  116,81;2023-03-20
344739;Aktie-Ansvar Sverige A;    765,34;  765,34;2023-03-20
528894;Aktiespararna Direktavkastning;    181,40;  181,40;2023-03-20
290072;Aktiespararna Topp Sverige Hållbar;     24,47;   24,47;2023-03-20
147348;Alfred Berg Aktiv C;   2176,01; 2175,12;2023-03-20
183178;Alfred Berg Norge C;   1275,69; 1275,17;2023-03-20
111518;Alfred Berg Obligasjon C;    112,03;  111,98;2023-03-20
933359;Allianz China A-shares AT;    124,65;  124,63;2023-03-20
753731;Allianz China Equity A;    571,54;  571,46;2023-03-20
250878;Allianz Emerging Asia Equity A;    682,53;  682,43;2023-03-20
717900;Allianz Euro High Yield Bond A;   1139,07; 1138,92;2023-03-20
538751;Allianz Europe Small Cap Equity AT;   3062,26; 3061,85;2023-03-20
273839;Allianz Global Equity Growth AT;    100,48;  100,46;2023-03-20
502922;Allianz Global Metals and Mining A;    677,89;  677,80;2023-03-20
878694;Allianz Global Water AT;   1660,92; 1660,70;2023-03-20
309666;Allianz Pet and Animal Wellbeing AT;     78,20;   78,18;2023-03-20
395434;Allianz Thailand Equity A;   6601,37; 6600,49;2023-03-20
