Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;Aberdeen Standard SICAV I - Europe ex UK Sustainable Equity Fund A;    219,59;  219,56;2023-05-02
367698;Aberdeen Standard SICAV I - European Sustainable Equity Fund A;    837,13;  837,02;2023-05-02
848069;Aberdeen Standard SICAV I - Global Innovation Equity Fund A ;     79,42;   79,41;2023-05-02
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    131,47;  131,43;2023-05-02
757575;Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund A;     43,50;   43,49;2023-05-02
900894;Aberdeen Standard SICAV I - Select Euro High Yield Bond A;    264,95;  264,91;2023-05-02
938845;AGCM Fund- Asia Growth Sub- Fund RC;    190,92;  190,92;2023-04-28
897520;AIFM Proethos fond;    200,86;  200,86;2023-05-02
182584;Aktia Capital Placeringsfond B;     51,99;   51,99;2023-05-02
339473;Aktia Nordic Small Cap Placeringsfond B;     46,26;   46,26;2023-05-02
308908;Aktie-Ansvar Avkastningsfond A;    117,83;  117,83;2023-05-02
344739;Aktie-Ansvar Sverige A;    823,82;  823,82;2023-05-02
528894;Aktiespararna Direktavkastning;    184,60;  184,60;2023-05-02
290072;Aktiespararna Topp Sverige Hållbar;     26,47;   26,47;2023-05-02
147348;Alfred Berg Aktiv C;   2241,38; 2240,45;2023-05-02
183178;Alfred Berg Norge C;   1307,74; 1307,20;2023-05-02
111518;Alfred Berg Obligasjon C;    109,48;  109,44;2023-05-02
933359;Allianz China A-shares AT;    121,61;  121,60;2023-04-28
753731;Allianz China Equity A;    553,49;  553,41;2023-05-02
250878;Allianz Emerging Asia Equity A;    679,20;  679,10;2023-04-27
717900;Allianz Euro High Yield Bond A;   1163,61; 1163,46;2023-05-02
538751;Allianz Europe Small Cap Equity AT;   3310,95; 3310,51;2023-05-02
273839;Allianz Global Equity Growth AT;    103,83;  103,81;2023-05-02
502922;Allianz Global Metals and Mining A;    709,04;  708,94;2023-05-02
878694;Allianz Global Water AT;   1704,40; 1704,18;2023-05-02
309666;Allianz Pet and Animal Wellbeing AT;     81,68;   81,67;2023-05-02
823096;AMF Aktiefond Asien Stilla Havet;    274,34;  274,34;2023-05-02
538462;AMF Aktiefond Europa;    310,15;  310,15;2023-05-02
908277;AMF Aktiefond Global;    295,63;  295,63;2023-05-02
520692;AMF Aktiefond Nordamerika;    486,25;  486,25;2023-05-02
269357;AMF Aktiefond Småbolag;   1165,05; 1165,05;2023-05-02
681783;AMF Aktiefond Sverige;    802,67;  802,67;2023-05-02
645952;AMF Aktiefond Världen;    580,53;  580,53;2023-05-02
610121;AMF Balansfond;    357,08;  357,08;2023-05-02
305185;AMF Räntefond Kort;    111,79;  111,79;2023-05-02
574293;AMF Räntefond Lång;    141,34;  141,34;2023-05-02
265512;AMF Räntefond Mix;    109,57;  109,57;2023-05-02
791863;Amundi Funds Global Equity Conservative A2;   1284,95; 1284,76;2023-04-28
174490;Amundi Funds Japan Equity Value A2;   1215,72; 1215,40;2023-04-28
756031;Amundi Funds Latin America Equity A2;   4661,61; 4660,93;2023-04-28
720201;Amundi Funds SBI FM India Equity A2;   3369,34; 3368,85;2023-04-28
863522;Amundi Funds Volatility World A2;   1022,04; 1021,89;2023-04-28
581371;AP7 Aktiefond;    522,41;  522,41;2023-05-02
545541;AP7 Räntefond;    106,98;  106,98;2023-05-02
715955;Avanza Emerging Markets;    110,56;  110,56;2023-04-28
680124;Avanza Global;    158,51;  158,51;2023-04-28
734491;Avanza Zero ;    354,40;  354,40;2023-05-02
294322;AXA IM Globlal Equity QI B;    262,39;  262,35;2023-04-28
401810;AXA IM Pacific Ex-Japan Equity QI B;    457,05;  456,98;2023-04-28
616797;AXA IM US Equity QI B;    339,61;  339,57;2023-04-28
477729;Baring Asia Growth A;   1060,82; 1060,66;2023-05-02
983593;Baring Eastern Europe A;     58,27;   58,26;2023-04-06
