Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;Aberdeen Standard SICAV I - Europe ex UK Sustainable Equity Fund A;    221,25;  221,22;2023-05-11
367698;Aberdeen Standard SICAV I - European Sustainable Equity Fund A;    839,89;  839,78;2023-05-11
848069;Aberdeen Standard SICAV I - Global Innovation Equity Fund A ;     78,40;   78,39;2023-05-11
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    135,45;  135,43;2023-05-11
757575;Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund A;     44,62;   44,61;2023-05-11
900894;Aberdeen Standard SICAV I - Select Euro High Yield Bond A;    263,30;  263,27;2023-05-11
938845;AGCM Fund- Asia Growth Sub- Fund RC;    189,80;  189,80;2023-05-10
897520;AIFM Proethos fond;    205,34;  205,34;2023-05-11
182584;Aktia Capital Placeringsfond B;     52,30;   52,29;2023-05-11
339473;Aktia Nordic Small Cap Placeringsfond B;     47,30;   47,29;2023-05-11
308908;Aktie-Ansvar Avkastningsfond A;    118,05;  118,05;2023-05-11
344739;Aktie-Ansvar Sverige A;    805,47;  805,47;2023-05-11
528894;Aktiespararna Direktavkastning;    178,49;  178,49;2023-05-11
290072;Aktiespararna Topp Sverige Hållbar;     26,40;   26,40;2023-05-11
147348;Alfred Berg Aktiv C;   2225,38; 2224,47;2023-05-11
183178;Alfred Berg Norge C;   1306,04; 1305,51;2023-05-11
111518;Alfred Berg Obligasjon C;    110,92;  110,88;2023-05-11
933359;Allianz China A-shares AT;    117,72;  117,70;2023-05-11
753731;Allianz China Equity A;    545,37;  545,29;2023-05-11
717900;Allianz Euro High Yield Bond A;   1155,80; 1155,64;2023-05-11
538751;Allianz Europe Small Cap Equity AT;   3292,34; 3291,90;2023-05-11
273839;Allianz Global Equity Growth AT;    103,88;  103,87;2023-05-11
502922;Allianz Global Metals and Mining A;    708,37;  708,27;2023-05-11
878694;Allianz Global Water AT;   1725,79; 1725,56;2023-05-11
309666;Allianz Pet and Animal Wellbeing AT;     82,02;   82,01;2023-05-11
823096;AMF Aktiefond Asien Stilla Havet;    274,98;  274,98;2023-05-11
538462;AMF Aktiefond Europa;    307,47;  307,47;2023-05-11
908277;AMF Aktiefond Global;    294,27;  294,27;2023-05-11
520692;AMF Aktiefond Nordamerika;    485,08;  485,08;2023-05-11
269357;AMF Aktiefond Småbolag;   1151,38; 1151,38;2023-05-11
681783;AMF Aktiefond Sverige;    795,13;  795,13;2023-05-11
645952;AMF Aktiefond Världen;    577,04;  577,04;2023-05-11
610121;AMF Balansfond;    356,25;  356,25;2023-05-11
305185;AMF Räntefond Kort;    111,88;  111,88;2023-05-11
574293;AMF Räntefond Lång;    142,12;  142,12;2023-05-11
265512;AMF Räntefond Mix;    110,30;  110,30;2023-05-11
791863;Amundi Funds Global Equity Conservative A2;   1262,85; 1262,66;2023-05-10
174490;Amundi Funds Japan Equity Value A2;   1205,28; 1205,12;2023-05-10
756031;Amundi Funds Latin America Equity A2;   4794,83; 4794,12;2023-05-10
720201;Amundi Funds SBI FM India Equity A2;   3380,91; 3380,42;2023-05-10
863522;Amundi Funds Volatility World A2;   1009,95; 1009,80;2023-05-10
581371;AP7 Aktiefond;    525,80;  525,80;2023-05-11
545541;AP7 Räntefond;    107,29;  107,29;2023-05-11
715955;Avanza Emerging Markets;    110,58;  110,58;2023-05-10
680124;Avanza Global;    157,45;  157,45;2023-05-10
734491;Avanza Zero ;    354,54;  354,54;2023-05-11
294322;AXA IM Globlal Equity QI B;    258,09;  258,06;2023-05-10
401810;AXA IM Pacific Ex-Japan Equity QI B;    453,70;  453,64;2023-05-10
616797;AXA IM US Equity QI B;    332,00;  331,95;2023-05-10
477729;Baring Asia Growth A;   1051,03; 1050,88;2023-05-11
983593;Baring Eastern Europe A;     58,27;   58,26;2023-04-06
191080;Baring Global Emerging Markets A;    399,51;  399,45;2023-05-11
262741;Baring Global Resources A;    231,09;  231,06;2023-05-11
334409;Baring Hong Kong China A;  11079,92;11078,30;2023-05-11
235291;Baring Latin America A;    330,79;  330,74;2023-05-11
285990;BL - American Small & Mid Caps B;   2336,81; 2336,47;2023-05-10
551804;BL - Bond Dollar B;    918,42;  918,28;2023-05-10
178509;BL - Bond Emerging Markets Euro B;   1061,54; 1061,40;2023-05-10
153833;BL - Emerging Markets B;   1827,56; 1827,32;2023-05-10
300996;BL - Equities America B;    958,37;  958,23;2023-05-10
321828;BL - Equities Asia B;   1022,90; 1022,75;2023-05-10
118000;BL - Equities Dividend B;   2747,89; 2747,52;2023-05-10
336826;BL - Equities Europe B;   1213,60; 1213,44;2023-05-10
142679;BL - Equities Japan B;   1861,18; 1860,93;2023-05-10
250167;BL - European Small & Mid Caps B;   2424,52; 2424,19;2023-05-10
480145;BL - Global 30 B;   1122,74; 1122,59;2023-05-10
444315;BL - Global 50 B;   1160,01; 1159,85;2023-05-10
408484;BL - Global 75 B;   1158,77; 1158,62;2023-05-10
515973;BL - Global Bond Opportunities B;    997,42;  997,29;2023-05-10
320358;BL - Global Equities B;   1206,78; 1206,62;2023-05-10
647669;BL - Global Flexible B;   2265,97; 2265,66;2023-05-10
214338;BL - Global Flexible USD B;   1738,47; 1738,21;2023-05-10
749953;BL - Global Impact;   1173,32; 1173,16;2023-05-10
608463;BlackRock - Asian Dragon Fund A2;    453,15;  453,09;2023-05-11
391896;BlackRock - China A2;    162,16;  162,14;2023-05-11
987784;BlackRock - Emerging Europe A2;     85,10;   85,09;2023-04-06
231100;BlackRock - Emerging Markets A2;    366,69;  366,63;2023-05-11
916122;BlackRock - Euro Markets A2;    429,15;  429,09;2023-05-11
696898;BlackRock - European Value A2;    963,59;  963,46;2023-05-11
302760;BlackRock - Global Allocation A2;    696,14;  696,04;2023-05-11
572637;BlackRock - Global High Yield Bond Fund A2;    273,35;  273,31;2023-05-11
768499;BlackRock - India A2;    463,41;  463,34;2023-05-11
159442;BlackRock - Japan Small & MidCap A2;    646,40;  646,30;2023-05-11
661066;BlackRock - Latin American A2;    651,32;  651,22;2023-05-11
536806;BlackRock - Natural Resources Growth & Income Fund A2;    128,42;  128,40;2023-05-11
553578;BlackRock - Sustainable Energy A2;    170,27;  170,24;2023-05-11
768556;BlackRock - US Basic Value A2;   1122,94; 1122,77;2023-05-11
804385;BlackRock - US Flexible Equity A2;    544,44;  544,36;2023-05-11
625236;BlackRock - US Mid-Cap Value Fund A2;   3199,16; 3198,69;2023-05-11
517748;BlackRock - World Energy A2;    222,17;  222,13;2023-05-11
410258;BlackRock - World Financials A2;    337,15;  337,10;2023-05-11
338590;BlackRock - World Gold A2;    385,97;  385,91;2023-05-11
374421;BlackRock - World Healthscience A2;    661,58;  661,48;2023-05-11
481911;BlackRock - World Mining A2;    641,68;  641,58;2023-05-11
644294;BlackRock - World Real Estate Securities Fund A2;    143,29;  143,27;2023-05-11
446088;BlackRock - World Technology A2;    574,80;  574,72;2023-05-11
408062;C WorldWide Asia 1A;   1760,92; 1760,66;2023-05-11
515554;C WorldWide Global Equities 1A;   1851,39; 1851,12;2023-05-11
