Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    202,12;  202,10;2023-10-27
367698;abrdn SICAV I - European Sustainable Equity Fund A;    778,81;  778,71;2023-10-27
848069;abrdn SICAV I - Global Innovation Equity Fund A;     75,58;   75,57;2023-10-27
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    133,56;  133,52;2023-10-27
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     45,26;   45,25;2023-10-27
900894;abrdn SICAV I - Select Euro High Yield Bond A;    277,73;  277,70;2023-10-27
938845;AGCM Fund- Asia Growth Sub- Fund RC;    181,18;  181,18;2023-10-26
897520;AIFM Proethos fond;    173,09;  173,09;2023-10-27
182584;Aktia Capital Placeringsfond B;     47,15;   47,15;2023-10-27
339473;Aktia Nordic Small Cap Placeringsfond B;     37,78;   37,77;2023-10-27
308908;Aktie-Ansvar Avkastningsfond A;    120,22;  120,22;2023-10-27
344739;Aktie-Ansvar Sverige A;    746,08;  746,08;2023-10-27
528894;Aktiespararna Direktavkastning;    171,39;  171,39;2023-10-27
290072;Aktiespararna Topp Sverige Hållbar;     24,48;   24,48;2023-10-27
147348;Alfred Berg Aktiv C;   2415,04; 2414,07;2023-10-27
183178;Alfred Berg Norge C;   1403,41; 1402,85;2023-10-27
111518;Alfred Berg Obligasjon C;    113,43;  113,39;2023-10-27
933359;Allianz China A-shares AT;    106,66;  106,64;2023-10-27
753731;Allianz China Equity A;    544,89;  544,82;2023-10-27
717900;Allianz Euro High Yield Bond A;   1237,81; 1237,66;2023-10-27
538751;Allianz Europe Small Cap Equity AT;   2989,73; 2989,35;2023-10-27
273839;Allianz Global Equity Growth AT;    103,78;  103,77;2023-10-27
502922;Allianz Global Metals and Mining A;    664,18;  664,09;2023-10-27
878694;Allianz Global Water AT;   1656,19; 1655,98;2023-10-27
309666;Allianz Pet and Animal Wellbeing AT;     75,91;   75,90;2023-10-27
823096;AMF Aktiefond Asien Stilla Havet;    280,24;  280,24;2023-10-27
538462;AMF Aktiefond Europa;    303,08;  303,08;2023-10-27
908277;AMF Aktiefond Global;    315,24;  315,24;2023-10-27
520692;AMF Aktiefond Nordamerika;    541,93;  541,93;2023-10-27
269357;AMF Aktiefond Småbolag;    895,31;  895,31;2023-10-27
681783;AMF Aktiefond Sverige;    717,71;  717,71;2023-10-27
645952;AMF Aktiefond Världen;    567,67;  567,67;2023-10-27
610121;AMF Balansfond;    346,32;  346,32;2023-10-27
305185;AMF Räntefond Kort;    113,71;  113,71;2023-10-27
574293;AMF Räntefond Lång;    141,62;  141,62;2023-10-27
265512;AMF Räntefond Mix;    107,87;  107,87;2023-10-27
791863;Amundi Funds Global Equity Conservative A2;   1296,01; 1295,83;2023-10-26
174490;Amundi Funds Japan Equity Value A2;   1195,81; 1195,49;2023-10-26
756031;Amundi Funds Latin America Equity A2;   5534,57; 5533,83;2023-10-26
720201;Amundi Funds SBI FM India Equity A2;   3858,68; 3858,16;2023-10-26
863522;Amundi Funds Volatility World A2;   1121,18; 1121,03;2023-10-26
581371;AP7 Aktiefond;    547,30;  547,30;2023-10-27
545541;AP7 Räntefond;    107,35;  107,35;2023-10-27
715955;Avanza Emerging Markets;    113,99;  113,99;2023-10-26
680124;Avanza Global;    168,20;  168,20;2023-10-26
734491;Avanza Zero ;    327,30;  327,30;2023-10-27
294322;AXA IM Globlal Equity QI B;    282,00;  281,97;2023-10-26
401810;AXA IM Pacific Ex-Japan Equity QI B;    430,17;  430,12;2023-10-26
616797;AXA IM US Equity QI B;    366,78;  366,73;2023-10-26
477729;Baring Asia Growth A;   1067,27; 1067,13;2023-10-27
191080;Baring Global Emerging Markets A;    405,58;  405,52;2023-10-27
262741;Baring Global Resources A;    248,64;  248,61;2023-10-27
334409;Baring Hong Kong China A;  10765,01;10763,56;2023-10-27
235291;Baring Latin America A;    368,83;  368,78;2023-10-27
285990;BL - American Small & Mid Caps B;   2263,31; 2263,00;2023-10-26
551804;BL - Bond Dollar B;    944,45;  944,33;2023-10-26
178509;BL - Bond Emerging Markets Euro B;   1117,17; 1117,03;2023-10-26
153833;BL - Emerging Markets B;   1864,59; 1864,36;2023-10-26
300996;BL - Equities America B;   1023,63; 1023,50;2023-10-26
321828;BL - Equities Asia B;   1044,91; 1044,77;2023-10-26
118000;BL - Equities Dividend B;   2713,89; 2713,55;2023-10-26
336826;BL - Equities Europe B;   1150,23; 1150,08;2023-10-26
142679;BL - Equities Japan B;   1826,03; 1825,54;2023-10-26
250167;BL - European Small & Mid Caps B;   2156,55; 2156,27;2023-10-26
480145;BL - Global 30 B;   1160,50; 1160,35;2023-10-26
444315;BL - Global 50 B;   1194,62; 1194,47;2023-10-26
408484;BL - Global 75 B;   1180,45; 1180,30;2023-10-26
515973;BL - Global Bond Opportunities B;   1042,44; 1042,31;2023-10-26
320358;BL - Global Equities B;   1231,69; 1231,53;2023-10-26
647669;BL - Global Flexible B;   2160,09; 2159,81;2023-10-26
214338;BL - Global Flexible USD B;   1827,53; 1827,29;2023-10-26
749953;BL - Global Impact;   1136,42; 1136,27;2023-10-26
608463;BlackRock - Asian Dragon Fund A2;    459,19;  459,13;2023-10-27
391896;BlackRock - China A2;    159,73;  159,71;2023-10-27
231100;BlackRock - Emerging Markets A2;    380,33;  380,28;2023-10-27
916122;BlackRock - Euro Markets A2;    413,08;  413,02;2023-10-27
696898;BlackRock - European Value A2;    978,23;  978,10;2023-10-27
302760;BlackRock - Global Allocation A2;    726,37;  726,27;2023-10-27
572637;BlackRock - Global High Yield Bond Fund A2;    297,45;  297,41;2023-10-27
768499;BlackRock - India A2;    525,09;  525,02;2023-10-27
159442;BlackRock - Japan Small & MidCap A2;    680,80;  680,71;2023-10-27
661066;BlackRock - Latin American A2;    729,05;  728,95;2023-10-27
536806;BlackRock - Natural Resources Growth & Income Fund A2;    137,50;  137,48;2023-10-27
553578;BlackRock - Sustainable Energy A2;    157,49;  157,47;2023-10-27
768556;BlackRock - US Basic Value A2;   1186,57; 1186,41;2023-10-27
804385;BlackRock - US Flexible Equity A2;    583,73;  583,66;2023-10-27
625236;BlackRock - US Mid-Cap Value Fund A2;   3343,01; 3342,56;2023-10-27
517748;BlackRock - World Energy A2;    269,19;  269,16;2023-10-27
410258;BlackRock - World Financials A2;    383,46;  383,41;2023-10-27
338590;BlackRock - World Gold A2;    355,20;  355,15;2023-10-27
374421;BlackRock - World Healthscience A2;    666,61;  666,52;2023-10-27
481911;BlackRock - World Mining A2;    629,53;  629,45;2023-10-27
644294;BlackRock - World Real Estate Securities Fund A2;    139,06;  139,05;2023-10-27
446088;BlackRock - World Technology A2;    655,56;  655,47;2023-10-27
408062;C WorldWide Asia 1A;   1776,89; 1776,65;2023-10-27
515554;C WorldWide Global Equities 1A;   1917,30; 1917,04;2023-10-27
479725;C WorldWide Global Equities Ethical 1A;    350,95;  350,90;2023-10-27
443895;C WorldWide Healthcare Select 1A;   1446,12; 1445,94;2023-10-27
792697;C WorldWide Sweden 1A;    306,77;  306,77;2023-10-27
721035;C WorldWide Sweden Small Cap 1A;    513,12;  513,12;2023-10-27
345497;Captor Dahlia Green Bond A;    265,57;  265,57;2023-10-27
180927;Captor Iris Bond A;    231,56;  231,56;2023-10-27
838383;Carnegie Asia A;    227,77;  227,77;2023-10-27
537639;Carnegie Corporate Bond A;    427,45;  427,45;2023-10-26
320176;Carnegie Fastighetsfond Norden A;    360,77;  360,77;2023-10-27
505586;Carnegie Indienfond A;    810,68;  810,68;2023-10-27
214163;Carnegie Likviditetsfond A;   1255,10; 1255,10;2023-10-27
341362;Carnegie Listed Private Equity A;    528,98;  528,98;2023-10-27
554691;Carnegie Obligationsfond A;    907,20;  907,20;2023-10-27
584912;Carnegie Småbolagsfond A;    402,59;  402,59;2023-10-27
357483;Carnegie Strategifond A;   1850,17; 1850,17;2023-10-27
393314;Carnegie Sverigefond A;   3834,32; 3834,32;2023-10-27
309492;CB European Quality Fund A Cap;   1646,30; 1646,10;2023-10-26
976506;CB Save Earth Fund RC;    281,68;  281,65;2023-10-26
384750;Cicero Avkastning A;    126,25;  126,25;2023-10-27
959502;Cicero Hållbar Mix A;    151,65;  151,65;2023-10-27
422709;Coeli  - Global Select Fund R;    297,14;  297,14;2023-10-27
386870;Coeli - Nordic Corporate Bond Fund R;    110,59;  110,59;2023-10-27
330324;CPR Invest Global Gold Mines A2;    760,67;  760,57;2023-10-26
366154;CPR Invest Global Lifestyles A2;    949,16;  949,03;2023-10-26
613729;Danske Invest  SICAV - Global Index Restricted;    275,12;  275,12;2023-10-27
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   3390,82; 3390,82;2023-10-27
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    148,06;  148,06;2023-10-26
901181;Danske Invest SICAV - Europe SI;    165,30;  165,30;2023-10-27
252411;Danske Invest SICAV - Global Index SI;   2847,68; 2847,68;2023-10-27
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1217,25; 1217,25;2023-10-27
901603;Danske Invest SICAV - Sverige Ränta SI;   1055,41; 1055,41;2023-10-27
973263;Danske Invest SICAV - Sverige SI;   5268,26; 5268,26;2023-10-27
184580;Delphi Global A2;   1543,77; 1543,77;2023-10-26
388298;Delphi Nordic Acc;  42283,49;42266,53;2023-10-26
291906;Didner & Gerge Aktiefond;   3278,84; 3278,84;2023-10-27
541235;Didner & Gerge Global;    388,12;  388,12;2023-10-27
140491;Didner & Gerge Småbolag;    903,47;  903,47;2023-10-27
219170;DNB Europa Indeks S;    109,60;  109,60;2023-10-26
179093;DNB Fund - Asian Mid Cap Retail A;     84,51;   84,50;2023-10-26
326660;DNB Global Emerging Markets S;    100,55;  100,55;2023-10-26
362491;DNB Global Indeks S;    112,92;  112,92;2023-10-26
147512;DNB Grönt Skifte Norden S;    121,39;  121,39;2023-10-26
255001;DNB Health Care S;    152,91;  152,91;2023-10-26
290833;DNB SMB S;    101,15;  101,15;2023-10-26
183343;DNB Teknologi S;    122,14;  122,14;2023-10-26
511890;East Capital China A-shares A;    123,73;  123,73;2023-10-27
623637;East Capital Global Emerging Markets Sustainable A;    214,05;  214,05;2023-10-27
870907;East Capital Global Frontier Markets A;    181,78;  181,78;2023-10-27
134593;Enter Cross Credit A;   1135,13; 1135,13;2023-10-27
643700;Enter Select A;   2602,17; 2602,17;2023-10-27
170423;Enter Sverige A;   3162,77; 3162,77;2023-10-27
664482;Evli Corporate Bond Placeringsfonden B ;   1270,53; 1270,53;2023-10-26
229625;Evli Emerging Markets Credit Placeringsfonden B;   1222,17; 1222,02;2023-10-26
764951;Evli Europa Placeringsfonden B;   1832,42; 1832,19;2023-10-26
570044;Evli Finland Select Placeringsfonden B;    570,23;  570,15;2023-10-26
367987;Evli GEM Placeringsfonden B;   2068,35; 2068,08;2023-10-26
793109;Evli Global Placeringsfonden B;   3542,30; 3542,30;2023-10-26
700310;Evli High Yield Placeringsfonden B;   1596,74; 1596,74;2023-10-26
574582;Evli Likviditet Placeringsfonden B;   1102,31; 1102,31;2023-10-26
