Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
407775;Aberdeen Standard - American Focused Equity Fund A;    386,06;  386,00;2023-01-23
900894;Aberdeen Standard - Select Euro High Yield Bond A;    257,87;  257,83;2023-03-16
367698;Aberdeen Standard SICAV I - European Sustainable Equity Fund A;    768,26;  768,15;2023-03-16
865063;Aberdeen Standard SICAV I - Europé ex UK Sustainable Equity Fund A;    202,69;  202,66;2023-03-16
848069;Aberdeen Standard SICAV I - Global Innovation Equity Fund A ;     78,79;   78,78;2023-03-16
192146;Aberdeen Standard SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    134,14;  134,13;2023-03-16
757575;Aberdeen Standard SICAV I - Japanese Sustainable Equity Fund A;     42,67;   42,66;2023-03-16
938845;AGCM Fund- Asia Growth Sub- Fund RC;    192,18;  192,18;2023-03-15
897520;AIFM Proethos fond;    207,54;  207,54;2023-03-16
182584;Aktia Capital Placeringsfond B;     49,63;   49,62;2023-03-16
339473;Aktia Nordic Small Cap Placeringsfond B;     45,55;   45,54;2023-03-16
308908;Aktie-Ansvar Avkastningsfond A;    116,94;  116,94;2023-03-16
344739;Aktie-Ansvar Sverige A;    763,46;  763,46;2023-03-16
528894;Aktiespararna Direktavkastning;    182,30;  182,30;2023-03-16
290072;Aktiespararna Topp Sverige Hållbar;     24,56;   24,56;2023-03-16
147348;Alfred Berg Aktiv C;   2180,19; 2179,31;2023-03-16
183178;Alfred Berg Norge C;   1277,42; 1276,90;2023-03-16
111518;Alfred Berg Obligasjon C;    112,91;  112,87;2023-03-16
933359;Allianz China A-shares AT;    125,44;  125,42;2023-03-16
753731;Allianz China Equity A;    569,74;  569,66;2023-03-16
250878;Allianz Emerging Asia Equity A;    682,53;  682,43;2023-03-16
717900;Allianz Euro High Yield Bond A;   1140,69; 1140,54;2023-03-16
538751;Allianz Europe Small Cap Equity AT;   3082,99; 3082,57;2023-03-16
273839;Allianz Global Equity Growth AT;     99,09;   99,07;2023-03-16
502922;Allianz Global Metals and Mining A;    670,99;  670,90;2023-03-16
878694;Allianz Global Water AT;   1674,91; 1674,68;2023-03-16
309666;Allianz Pet and Animal Wellbeing AT;     78,11;   78,10;2023-03-16
395434;Allianz Thailand Equity A;   6582,80; 6581,92;2023-03-16
823096;AMF Aktiefond Asien Stilla Havet;    269,75;  269,75;2023-03-16
538462;AMF Aktiefond Europa;    285,80;  285,80;2023-03-16
908277;AMF Aktiefond Global;    282,06;  282,06;2023-03-16
520692;AMF Aktiefond Nordamerika;    466,08;  466,08;2023-03-16
269357;AMF Aktiefond Småbolag;   1103,60; 1103,60;2023-03-16
681783;AMF Aktiefond Sverige;    751,81;  751,81;2023-03-16
645952;AMF Aktiefond Världen;    548,53;  548,53;2023-03-16
610121;AMF Balansfond;    343,91;  343,91;2023-03-16
305185;AMF Räntefond Kort;    111,14;  111,14;2023-03-16
574293;AMF Räntefond Lång;    140,44;  140,44;2023-03-16
265512;AMF Räntefond Mix;    109,87;  109,87;2023-03-16
791863;Amundi Funds Global Equity Conservative A2;   1223,36; 1223,18;2023-03-15
174490;Amundi Funds Japan Equity Value A2;   1146,16; 1146,01;2023-03-15
756031;Amundi Funds Latin America Equity A2;   4283,67; 4283,05;2023-03-15
720201;Amundi Funds SBI FM India Equity A2;   3221,44; 3220,97;2023-03-15
863522;Amundi Funds Volatility World A2;   1055,05; 1054,90;2023-03-15
581371;AP7 Aktiefond;    505,49;  505,49;2023-03-16
545541;AP7 Räntefond;    106,31;  106,31;2023-03-16
715955;Avanza Emerging Markets;    109,77;  109,77;2023-03-15
680124;Avanza Global;    152,39;  152,39;2023-03-15
734491;Avanza Zero ;    330,11;  330,11;2023-03-16
294322;AXA IM Globlal Equity QI B;    249,54;  249,50;2023-03-15
401810;AXA IM Pacific Ex-Japan Equity QI B;    447,69;  447,63;2023-03-15
616797;AXA IM US Equity QI B;    326,41;  326,36;2023-03-15
652628;Axa Rosenberg Japan Small Cap Alpha Fund B;    189,43;  189,41;2022-06-28
477729;Baring Asia Growth A;   1066,85; 1066,70;2023-03-16
983593;Baring Eastern Europe A;    246,18;  246,15;2022-10-31
191080;Baring Global Emerging Markets A;    393,92;  393,86;2023-03-16
262741;Baring Global Resources A;    225,79;  225,76;2023-03-16
334409;Baring Hong Kong China A;  11509,40;11507,76;2023-03-16
235291;Baring Latin America A;    327,40;  327,36;2023-03-16
285990;BL - American Small & Mid Caps B;   2277,27; 2276,94;2023-03-15
551804;BL - Bond Dollar B;    931,79;  931,66;2023-03-15
178509;BL - Bond Emerging Markets Euro B;   1048,29; 1048,15;2023-03-15
153833;BL - Emerging Markets B;   1850,10; 1849,85;2023-03-15
300996;BL - Equities America B;    922,33;  922,19;2023-03-15
321828;BL - Equities Asia B;   1045,17; 1045,02;2023-03-15
118000;BL - Equities Dividend B;   2575,84; 2575,49;2023-03-15
336826;BL - Equities Europe B;   1120,89; 1120,74;2023-03-15
142679;BL - Equities Japan B;   1770,75; 1770,52;2023-03-15
