Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  26550,06;26546,61;2024-11-29
848069;abrdn SICAV I - Global Innovation Equity Fund A;    105,21;  105,19;2024-11-29
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    146,85;  146,81;2024-11-29
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     53,56;   53,54;2024-11-29
900894;abrdn SICAV I - Select Euro High Yield Bond A;    305,11;  305,07;2024-11-29
182584;Aktia Capital Placeringsfond B;     51,20;   51,19;2024-11-29
339473;Aktia Nordic Small Cap Placeringsfond B;     48,25;   48,24;2024-11-29
308908;Aktie-Ansvar Avkastningsfond A;    126,37;  126,37;2024-11-29
344739;Aktie-Ansvar Sverige A;    915,60;  915,60;2024-11-29
528894;Aktiespararna Direktavkastning;    213,73;  213,73;2024-11-29
290072;Aktiespararna Topp Sverige;     31,12;   31,12;2024-11-29
147348;Alfred Berg Aktiv R;   2953,83; 2952,64;2024-11-29
183178;Alfred Berg Norge C;   1702,80; 1702,11;2024-11-29
933359;Allianz China A-shares AT;    111,01;  111,00;2024-11-29
753731;Allianz China Equity A;    557,02;  556,94;2024-11-29
717900;Allianz Euro High Yield Bond A;   1335,91; 1335,74;2024-11-29
538751;Allianz Europe Small Cap Equity AT;   3239,67; 3239,25;2024-11-29
273839;Allianz Global Equity Growth AT;    129,58;  129,56;2024-11-29
502922;Allianz Global Metals and Mining A;    688,41;  688,32;2024-11-29
878694;Allianz Global Water AT;   2180,38; 2180,09;2024-11-29
309666;Allianz Pet and Animal Wellbeing AT;     87,27;   87,26;2024-11-29
823096;AMF Aktiefond Asien Stilla Havet;    339,51;  339,51;2024-11-29
538462;AMF Aktiefond Europa;    344,76;  344,76;2024-11-29
908277;AMF Aktiefond Global;    408,61;  408,61;2024-11-29
520692;AMF Aktiefond Nordamerika;    753,26;  753,26;2024-11-29
269357;AMF Aktiefond Småbolag;   1252,41; 1252,41;2024-11-29
681783;AMF Aktiefond Sverige;    955,19;  955,19;2024-11-29
645952;AMF Aktiefond Världen;    742,79;  742,79;2024-11-29
610121;AMF Balansfond;    425,73;  425,73;2024-11-29
305185;AMF Räntefond Kort;    119,92;  119,92;2024-11-29
574293;AMF Räntefond Lång;    155,51;  155,51;2024-11-29
265512;AMF Räntefond Mix;    115,38;  115,38;2024-11-29
791863;Amundi Funds Global Equity Conservative A2;   1572,33; 1572,11;2024-11-27
174490;Amundi Funds Japan Equity Value A2;   1368,45; 1368,26;2024-11-28
756031;Amundi Funds Latin America Equity A2;   5054,00; 5053,31;2024-11-28
720201;Amundi Funds SBI FM India Equity A2;   4638,52; 4637,88;2024-11-28
863522;Amundi Funds Volatility World A2;   1100,68; 1100,53;2024-11-28
581371;AP7 Aktiefond;    770,11;  770,11;2024-11-29
