Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    224,00;  223,97;2023-07-20
367698;abrdn SICAV I - European Sustainable Equity Fund A;    852,10;  851,99;2023-07-20
848069;abrdn SICAV I - Global Innovation Equity Fund A;     83,88;   83,87;2023-07-20
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    135,41;  135,37;2023-07-20
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     46,32;   46,31;2023-07-20
900894;abrdn SICAV I - Select Euro High Yield Bond A;    270,93;  270,90;2023-07-20
938845;AGCM Fund- Asia Growth Sub- Fund RC;    187,38;  187,38;2023-07-19
897520;AIFM Proethos fond;    209,90;  209,90;2023-07-20
182584;Aktia Capital Placeringsfond B;     50,51;   50,50;2023-07-20
339473;Aktia Nordic Small Cap Placeringsfond B;     43,69;   43,69;2023-07-20
308908;Aktie-Ansvar Avkastningsfond A;    118,37;  118,37;2023-07-20
344739;Aktie-Ansvar Sverige A;    796,73;  796,73;2023-07-20
528894;Aktiespararna Direktavkastning;    184,13;  184,13;2023-07-20
290072;Aktiespararna Topp Sverige Hållbar;     26,26;   26,26;2023-07-20
147348;Alfred Berg Aktiv C;   2381,75; 2380,82;2023-07-20
183178;Alfred Berg Norge C;   1393,07; 1392,53;2023-07-20
111518;Alfred Berg Obligasjon C;    114,83;  114,79;2023-07-20
933359;Allianz China A-shares AT;    110,26;  110,24;2023-07-20
753731;Allianz China Equity A;    541,17;  541,09;2023-07-20
717900;Allianz Euro High Yield Bond A;   1209,27; 1209,11;2023-07-20
538751;Allianz Europe Small Cap Equity AT;   3407,85; 3407,41;2023-07-20
273839;Allianz Global Equity Growth AT;    112,75;  112,73;2023-07-20
502922;Allianz Global Metals and Mining A;    715,60;  715,50;2023-07-20
878694;Allianz Global Water AT;   1795,84; 1795,60;2023-07-20
309666;Allianz Pet and Animal Wellbeing AT;     81,81;   81,80;2023-07-20
823096;AMF Aktiefond Asien Stilla Havet;    284,90;  284,90;2023-07-20
538462;AMF Aktiefond Europa;    312,60;  312,60;2023-07-20
908277;AMF Aktiefond Global;    317,82;  317,82;2023-07-20
520692;AMF Aktiefond Nordamerika;    546,59;  546,59;2023-07-20
269357;AMF Aktiefond Småbolag;   1098,51; 1098,51;2023-07-20
681783;AMF Aktiefond Sverige;    792,13;  792,13;2023-07-20
645952;AMF Aktiefond Världen;    598,70;  598,70;2023-07-20
610121;AMF Balansfond;    359,88;  359,88;2023-07-20
305185;AMF Räntefond Kort;    112,60;  112,60;2023-07-20
574293;AMF Räntefond Lång;    140,97;  140,97;2023-07-20
265512;AMF Räntefond Mix;    108,27;  108,27;2023-07-20
791863;Amundi Funds Global Equity Conservative A2;   1270,20; 1270,01;2023-07-19
174490;Amundi Funds Japan Equity Value A2;   1223,83; 1223,50;2023-07-19
756031;Amundi Funds Latin America Equity A2;   5501,23; 5500,43;2023-07-19
720201;Amundi Funds SBI FM India Equity A2;   3652,88; 3652,34;2023-07-19
863522;Amundi Funds Volatility World A2;    988,24;  988,10;2023-07-19
581371;AP7 Aktiefond;    570,88;  570,88;2023-07-20
545541;AP7 Räntefond;    106,64;  106,64;2023-07-20
715955;Avanza Emerging Markets;    115,78;  115,78;2023-07-19
680124;Avanza Global;    171,33;  171,33;2023-07-19
734491;Avanza Zero ;    353,93;  353,93;2023-07-20
294322;AXA IM Globlal Equity QI B;    283,91;  283,86;2023-07-19
401810;AXA IM Pacific Ex-Japan Equity QI B;    447,06;  446,99;2023-07-19
616797;AXA IM US Equity QI B;    373,93;  373,88;2023-07-19
477729;Baring Asia Growth A;   1095,61; 1095,45;2023-07-20
191080;Baring Global Emerging Markets A;    417,26;  417,20;2023-07-20
262741;Baring Global Resources A;    236,43;  236,39;2023-07-20
334409;Baring Hong Kong China A;  10950,17;10948,57;2023-07-20
235291;Baring Latin America A;    368,15;  368,10;2023-07-20
285990;BL - American Small & Mid Caps B;   2468,61; 2468,24;2023-07-19
551804;BL - Bond Dollar B;    907,84;  907,71;2023-07-19
178509;BL - Bond Emerging Markets Euro B;   1107,05; 1106,90;2023-07-19
153833;BL - Emerging Markets B;   1898,69; 1898,44;2023-07-19
300996;BL - Equities America B;   1035,66; 1035,51;2023-07-19
321828;BL - Equities Asia B;   1060,14; 1059,98;2023-07-19
118000;BL - Equities Dividend B;   2769,69; 2769,33;2023-07-19
336826;BL - Equities Europe B;   1223,46; 1223,30;2023-07-19
142679;BL - Equities Japan B;   1945,35; 1944,82;2023-07-19
250167;BL - European Small & Mid Caps B;   2420,69; 2420,38;2023-07-19
480145;BL - Global 30 B;   1119,82; 1119,67;2023-07-19
444315;BL - Global 50 B;   1156,74; 1156,59;2023-07-19
408484;BL - Global 75 B;   1153,18; 1153,03;2023-07-19
515973;BL - Global Bond Opportunities B;   1034,00; 1033,87;2023-07-19
320358;BL - Global Equities B;   1265,68; 1265,51;2023-07-19
647669;BL - Global Flexible B;   2270,58; 2270,28;2023-07-19
214338;BL - Global Flexible USD B;   1766,63; 1766,37;2023-07-19
749953;BL - Global Impact;   1216,44; 1216,28;2023-07-19
608463;BlackRock - Asian Dragon Fund A2;    470,90;  470,83;2023-07-20
391896;BlackRock - China A2;    160,39;  160,37;2023-07-20
231100;BlackRock - Emerging Markets A2;    390,75;  390,70;2023-07-20
916122;BlackRock - Euro Markets A2;    453,51;  453,45;2023-07-20
696898;BlackRock - European Value A2;   1018,20; 1018,07;2023-07-20
302760;BlackRock - Global Allocation A2;    727,67;  727,56;2023-07-20
572637;BlackRock - Global High Yield Bond Fund A2;    278,76;  278,72;2023-07-20
768499;BlackRock - India A2;    510,25;  510,18;2023-07-20
159442;BlackRock - Japan Small & MidCap A2;    653,59;  653,49;2023-07-20
661066;BlackRock - Latin American A2;    755,62;  755,51;2023-07-20
536806;BlackRock - Natural Resources Growth & Income Fund A2;    134,81;  134,79;2023-07-20
553578;BlackRock - Sustainable Energy A2;    181,15;  181,12;2023-07-20
768556;BlackRock - US Basic Value A2;   1206,38; 1206,20;2023-07-20
804385;BlackRock - US Flexible Equity A2;    590,60;  590,52;2023-07-20
625236;BlackRock - US Mid-Cap Value Fund A2;   3483,40; 3482,89;2023-07-20
517748;BlackRock - World Energy A2;    238,27;  238,24;2023-07-20
410258;BlackRock - World Financials A2;    391,17;  391,11;2023-07-20
338590;BlackRock - World Gold A2;    368,05;  367,99;2023-07-20
374421;BlackRock - World Healthscience A2;    665,61;  665,51;2023-07-20
481911;BlackRock - World Mining A2;    667,15;  667,05;2023-07-20
644294;BlackRock - World Real Estate Securities Fund A2;    150,01;  149,99;2023-07-20
446088;BlackRock - World Technology A2;    688,21;  688,11;2023-07-20
408062;C WorldWide Asia 1A;   1834,38; 1834,11;2023-07-20
515554;C WorldWide Global Equities 1A;   1948,74; 1948,45;2023-07-20
479725;C WorldWide Global Equities Ethical 1A;    352,56;  352,51;2023-07-20
443895;C WorldWide Healthcare Select 1A;   1610,29; 1610,08;2023-07-20
792697;C WorldWide Sweden 1A;    339,40;  339,40;2023-07-20
721035;C WorldWide Sweden Small Cap 1A;    603,43;  603,43;2023-07-20
345497;Captor Dahlia Green Bond A;    264,28;  264,28;2023-07-20
180927;Captor Iris Bond A;    236,48;  236,48;2023-07-20
838383;Carnegie Asia A;    228,65;  228,65;2023-07-20
537639;Carnegie Corporate Bond A;    423,98;  423,98;2023-07-19
320176;Carnegie Fastighetsfond Norden A;    423,49;  423,49;2023-07-20
505586;Carnegie Indienfond A;    783,40;  783,40;2023-07-20
214163;Carnegie Likviditetsfond A;   1240,53; 1240,53;2023-07-20
341362;Carnegie Listed Private Equity A;    550,32;  550,32;2023-07-20
554691;Carnegie Obligationsfond A;    919,04;  919,04;2023-07-20
584912;Carnegie Småbolagsfond A;    468,02;  468,02;2023-07-20
357483;Carnegie Strategifond A;   1911,08; 1911,08;2023-07-20
393314;Carnegie Sverigefond A;   4033,64; 4033,64;2023-07-20
309492;CB European Quality Fund A Cap;   1747,65; 1747,42;2023-07-19
976506;CB Save Earth Fund RC;    308,86;  308,82;2023-07-19
384750;Cicero Avkastning A;    124,08;  124,08;2023-07-20
959502;Cicero Hållbar Mix A;    160,59;  160,59;2023-07-20
422709;Coeli  - Global Select Fund R;    313,69;  313,69;2023-07-20
386870;Coeli - Nordic Corporate Bond Fund R;    110,10;  110,10;2023-07-20
330324;CPR Invest Global Gold Mines A2;    799,48;  799,37;2023-07-19
366154;CPR Invest Global Lifestyles A2;    997,46;  997,31;2023-07-19
613729;Danske Invest  SICAV - Global Index Restricted;    286,56;  286,56;2023-07-20
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   3580,20; 3580,20;2023-07-20
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    148,95;  148,95;2023-07-19
901181;Danske Invest SICAV - Europe SI;    176,13;  176,13;2023-07-20
252411;Danske Invest SICAV - Global Index SI;   2923,97; 2923,97;2023-07-20
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1201,81; 1201,81;2023-07-20
901603;Danske Invest SICAV - Sverige Ränta SI;   1055,65; 1055,65;2023-07-20
973263;Danske Invest SICAV - Sverige SI;   5784,88; 5784,88;2023-07-20
184580;Delphi Global A2;   1516,28; 1516,28;2023-07-19
388298;Delphi Nordic Acc;  44633,66;44616,08;2023-07-19
291906;Didner & Gerge Aktiefond;   3571,60; 3571,60;2023-07-20
541235;Didner & Gerge Global;    416,10;  416,10;2023-07-20
140491;Didner & Gerge Småbolag;   1032,53; 1032,53;2023-07-20
219170;DNB Europa Indeks S;    113,63;  113,63;2023-07-19
179093;DNB Fund - Asian Mid Cap Retail A;     85,88;   85,87;2023-07-19
362327;DNB Fund - Asian Mid Cap Retail A;     81,46;   81,46;2022-11-11
729293;DNB Fund - Nordic Equties Retail A SEK;     67,44;   67,44;2023-07-19
216755;DNB Fund - Renewable Energy Retail A;   2924,31; 2923,92;2023-07-19
326660;DNB Global Emerging Markets S;    101,76;  101,76;2023-07-19
362491;DNB Global Indeks S;    115,23;  115,23;2023-07-19
147512;DNB Grönt Skifte Norden S;    128,29;  128,29;2023-07-19
255001;DNB Health Care S;    155,48;  155,48;2023-07-19
290833;DNB SMB S;    106,17;  106,17;2023-07-19
183343;DNB Teknologi S;    127,53;  127,53;2023-07-19
511890;East Capital China A-shares A;    123,85;  123,85;2023-07-20
623637;East Capital Global Emerging Markets Sustainable A;    223,40;  223,40;2023-07-20
870907;East Capital Global Frontier Markets A;    175,34;  175,34;2023-07-20
134593;Enter Cross Credit A;   1112,84; 1112,84;2023-07-20
643700;Enter Select A;   2897,44; 2897,44;2023-07-20
170423;Enter Sverige A;   3538,19; 3538,19;2023-07-20
664482;Evli Corporate Bond Placeringsfonden B ;   1273,12; 1273,12;2023-07-19
229625;Evli Emerging Markets Credit Placeringsfonden B;   1221,65; 1221,49;2023-07-19
764951;Evli Europa Placeringsfonden B;   1910,73; 1910,48;2023-07-19
570044;Evli Finland Select Placeringsfonden B;    607,27;  607,19;2023-07-19
367987;Evli GEM Placeringsfonden B;   2017,04; 2016,78;2023-07-19
793109;Evli Global Placeringsfonden B;   3772,42; 3772,42;2023-07-19
700310;Evli High Yield Placeringsfonden B;   1591,01; 1591,01;2023-07-19
574582;Evli Likviditet Placeringsfonden B;   1088,83; 1088,83;2023-07-19
668269;Evli Nordic Placeringsfonden B;   3793,84; 3793,34;2023-07-19
621631;Evli Short Corporate Bond Placeringsfonden B;    335,89;  335,84;2023-07-19
