Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    201,98;  201,96;2023-10-20
367698;abrdn SICAV I - European Sustainable Equity Fund A;    777,33;  777,23;2023-10-20
848069;abrdn SICAV I - Global Innovation Equity Fund A;     76,91;   76,90;2023-10-20
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    132,21;  132,18;2023-10-20
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     44,82;   44,81;2023-10-20
900894;abrdn SICAV I - Select Euro High Yield Bond A;    271,23;  271,20;2023-10-20
938845;AGCM Fund- Asia Growth Sub- Fund RC;    179,73;  179,73;2023-10-19
897520;AIFM Proethos fond;    171,66;  171,66;2023-10-20
182584;Aktia Capital Placeringsfond B;     46,29;   46,28;2023-10-20
339473;Aktia Nordic Small Cap Placeringsfond B;     36,97;   36,97;2023-10-20
308908;Aktie-Ansvar Avkastningsfond A;    120,03;  120,03;2023-10-20
344739;Aktie-Ansvar Sverige A;    766,41;  766,41;2023-10-20
528894;Aktiespararna Direktavkastning;    173,67;  173,67;2023-10-20
290072;Aktiespararna Topp Sverige Hållbar;     24,72;   24,72;2023-10-20
147348;Alfred Berg Aktiv C;   2402,42; 2401,45;2023-10-20
183178;Alfred Berg Norge C;   1399,70; 1399,14;2023-10-20
111518;Alfred Berg Obligasjon C;    113,32;  113,27;2023-10-20
933359;Allianz China A-shares AT;    103,48;  103,47;2023-10-20
753731;Allianz China Equity A;    522,66;  522,59;2023-10-20
717900;Allianz Euro High Yield Bond A;   1216,31; 1216,15;2023-10-20
538751;Allianz Europe Small Cap Equity AT;   2979,75; 2979,36;2023-10-20
273839;Allianz Global Equity Growth AT;    105,73;  105,72;2023-10-20
502922;Allianz Global Metals and Mining A;    656,27;  656,19;2023-10-20
878694;Allianz Global Water AT;   1647,08; 1646,86;2023-10-20
309666;Allianz Pet and Animal Wellbeing AT;     75,59;   75,58;2023-10-20
823096;AMF Aktiefond Asien Stilla Havet;    276,47;  276,47;2023-10-20
538462;AMF Aktiefond Europa;    300,85;  300,85;2023-10-20
908277;AMF Aktiefond Global;    315,74;  315,74;2023-10-20
520692;AMF Aktiefond Nordamerika;    547,22;  547,22;2023-10-20
269357;AMF Aktiefond Småbolag;    905,96;  905,96;2023-10-20
681783;AMF Aktiefond Sverige;    732,96;  732,96;2023-10-20
645952;AMF Aktiefond Världen;    573,75;  573,75;2023-10-20
610121;AMF Balansfond;    348,70;  348,70;2023-10-20
305185;AMF Räntefond Kort;    113,62;  113,62;2023-10-20
574293;AMF Räntefond Lång;    141,20;  141,20;2023-10-20
265512;AMF Räntefond Mix;    107,44;  107,44;2023-10-20
791863;Amundi Funds Global Equity Conservative A2;   1287,95; 1287,78;2023-10-19
174490;Amundi Funds Japan Equity Value A2;   1209,78; 1209,44;2023-10-18
756031;Amundi Funds Latin America Equity A2;   5393,78; 5393,04;2023-10-19
720201;Amundi Funds SBI FM India Equity A2;   3945,66; 3945,12;2023-10-19
863522;Amundi Funds Volatility World A2;   1104,69; 1104,54;2023-10-19
581371;AP7 Aktiefond;    552,12;  552,12;2023-10-20
545541;AP7 Räntefond;    107,06;  107,06;2023-10-20
715955;Avanza Emerging Markets;    114,41;  114,41;2023-10-19
680124;Avanza Global;    170,26;  170,26;2023-10-19
734491;Avanza Zero ;    331,64;  331,64;2023-10-20
294322;AXA IM Globlal Equity QI B;    286,73;  286,69;2023-10-19
401810;AXA IM Pacific Ex-Japan Equity QI B;    431,97;  431,91;2023-10-19
616797;AXA IM US Equity QI B;    373,50;  373,45;2023-10-19
477729;Baring Asia Growth A;   1062,23; 1062,09;2023-10-20
191080;Baring Global Emerging Markets A;    402,11;  402,05;2023-10-20
262741;Baring Global Resources A;    250,86;  250,83;2023-10-20
334409;Baring Hong Kong China A;  10382,37;10380,95;2023-10-20
235291;Baring Latin America A;    350,15;  350,10;2023-10-20
285990;BL - American Small & Mid Caps B;   2292,05; 2291,74;2023-10-19
551804;BL - Bond Dollar B;    923,52;  923,39;2023-10-19
178509;BL - Bond Emerging Markets Euro B;   1099,52; 1099,38;2023-10-19
153833;BL - Emerging Markets B;   1839,80; 1839,56;2023-10-19
300996;BL - Equities America B;   1043,56; 1043,42;2023-10-19
321828;BL - Equities Asia B;   1046,77; 1046,62;2023-10-19
118000;BL - Equities Dividend B;   2695,39; 2695,05;2023-10-19
336826;BL - Equities Europe B;   1147,51; 1147,37;2023-10-19
142679;BL - Equities Japan B;   1850,73; 1850,23;2023-10-19
250167;BL - European Small & Mid Caps B;   2186,11; 2185,83;2023-10-19
480145;BL - Global 30 B;   1142,39; 1142,24;2023-10-19
444315;BL - Global 50 B;   1180,36; 1180,21;2023-10-19
408484;BL - Global 75 B;   1172,44; 1172,29;2023-10-19
515973;BL - Global Bond Opportunities B;   1023,34; 1023,21;2023-10-19
320358;BL - Global Equities B;   1243,73; 1243,57;2023-10-19
647669;BL - Global Flexible B;   2148,37; 2148,09;2023-10-19
214338;BL - Global Flexible USD B;   1830,24; 1829,99;2023-10-19
749953;BL - Global Impact;   1151,59; 1151,44;2023-10-19
608463;BlackRock - Asian Dragon Fund A2;    454,28;  454,22;2023-10-20
391896;BlackRock - China A2;    153,45;  153,43;2023-10-20
231100;BlackRock - Emerging Markets A2;    375,36;  375,31;2023-10-20
916122;BlackRock - Euro Markets A2;    409,12;  409,07;2023-10-20
696898;BlackRock - European Value A2;    987,08;  986,95;2023-10-20
302760;BlackRock - Global Allocation A2;    723,97;  723,87;2023-10-20
572637;BlackRock - Global High Yield Bond Fund A2;    292,14;  292,10;2023-10-20
