Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    219,84;  219,81;2023-08-18
367698;abrdn SICAV I - European Sustainable Equity Fund A;    837,74;  837,64;2023-08-18
848069;abrdn SICAV I - Global Innovation Equity Fund A;     80,77;   80,76;2023-08-18
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    138,00;  137,96;2023-08-18
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     46,49;   46,48;2023-08-18
900894;abrdn SICAV I - Select Euro High Yield Bond A;    279,22;  279,18;2023-08-18
938845;AGCM Fund- Asia Growth Sub- Fund RC;    194,31;  194,31;2023-08-17
897520;AIFM Proethos fond;    196,20;  196,20;2023-08-18
182584;Aktia Capital Placeringsfond B;     49,81;   49,81;2023-08-18
339473;Aktia Nordic Small Cap Placeringsfond B;     42,24;   42,24;2023-08-18
308908;Aktie-Ansvar Avkastningsfond A;    118,34;  118,34;2023-08-18
344739;Aktie-Ansvar Sverige A;    776,39;  776,39;2023-08-18
528894;Aktiespararna Direktavkastning;    175,50;  175,50;2023-08-18
290072;Aktiespararna Topp Sverige Hållbar;     25,39;   25,39;2023-08-18
147348;Alfred Berg Aktiv C;   2446,10; 2445,15;2023-08-18
183178;Alfred Berg Norge C;   1422,16; 1421,61;2023-08-18
111518;Alfred Berg Obligasjon C;    115,66;  115,62;2023-08-18
933359;Allianz China A-shares AT;    115,09;  115,07;2023-08-18
753731;Allianz China Equity A;    553,76;  553,68;2023-08-18
717900;Allianz Euro High Yield Bond A;   1251,47; 1251,32;2023-08-18
538751;Allianz Europe Small Cap Equity AT;   3323,33; 3322,91;2023-08-18
273839;Allianz Global Equity Growth AT;    111,74;  111,72;2023-08-18
502922;Allianz Global Metals and Mining A;    670,10;  670,01;2023-08-18
878694;Allianz Global Water AT;   1789,03; 1788,80;2023-08-18
309666;Allianz Pet and Animal Wellbeing AT;     85,45;   85,43;2023-08-18
823096;AMF Aktiefond Asien Stilla Havet;    285,97;  285,97;2023-08-18
538462;AMF Aktiefond Europa;    317,34;  317,34;2023-08-18
