Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  24033,66;24030,40;2025-04-15
848069;abrdn SICAV I - Global Innovation Equity Fund A;     81,39;   81,38;2025-04-15
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    130,46;  130,42;2025-04-15
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     47,24;   47,23;2025-04-15
900894;abrdn SICAV I - Select Euro High Yield Bond A;    289,43;  289,39;2025-04-15
182584;Aktia Capital Placeringsfond B;     49,99;   49,98;2025-04-15
339473;Aktia Nordic Small Cap Placeringsfond B;     42,25;   42,25;2025-04-15
308908;Aktie-Ansvar Avkastningsfond A;    127,05;  127,05;2025-04-15
344739;Aktie-Ansvar Sverige A;    885,65;  885,65;2025-04-15
528894;Aktiespararna Direktavkastning;    215,49;  215,49;2025-04-15
290072;Aktiespararna Topp Sverige;     29,59;   29,59;2025-04-15
147348;Alfred Berg Aktiv R;   2690,80; 2689,64;2025-04-15
183178;Alfred Berg Norge C;   1560,22; 1559,54;2025-04-15
933359;Allianz China A-shares AT;     94,05;   94,03;2025-04-15
753731;Allianz China Equity A;    527,32;  527,24;2025-04-15
717900;Allianz Euro High Yield Bond A;   1227,51; 1227,35;2025-04-15
538751;Allianz Europe Small Cap Equity AT;   2936,06; 2935,66;2025-04-15
273839;Allianz Global Equity Growth AT;    104,82;  104,81;2025-04-15
502922;Allianz Global Metals and Mining A;    601,65;  601,57;2025-04-15
878694;Allianz Global Water AT;   1730,77; 1730,54;2025-04-15
309666;Allianz Pet and Animal Wellbeing AT;     71,15;   71,14;2025-04-15
823096;AMF Aktiefond Asien Stilla Havet;    300,84;  300,84;2025-04-15
538462;AMF Aktiefond Europa;    342,22;  342,22;2025-04-15
908277;AMF Aktiefond Global;    345,80;  345,80;2025-04-15
520692;AMF Aktiefond Nordamerika;    604,37;  604,37;2025-04-15
269357;AMF Aktiefond Småbolag;   1174,80; 1174,80;2025-04-15
681783;AMF Aktiefond Sverige;    904,58;  904,58;2025-04-15
645952;AMF Aktiefond Världen;    664,77;  664,77;2025-04-15
610121;AMF Balansfond;    400,48;  400,48;2025-04-15
305185;AMF Räntefond Kort;    120,98;  120,98;2025-04-15
574293;AMF Räntefond Lång;    155,34;  155,34;2025-04-15
265512;AMF Räntefond Mix;    115,42;  115,42;2025-04-15
791863;Amundi Funds Global Equity Conservative A2;   1402,90; 1402,68;2025-04-14
174490;Amundi Funds Japan Equity Value A2;   1225,10; 1224,74;2025-04-14
756031;Amundi Funds Latin America Equity A2;   4782,78; 4782,04;2025-04-14
720201;Amundi Funds SBI FM India Equity A2;   3821,16; 3820,57;2025-04-11
863522;Amundi Funds Volatility World A2;   1088,92; 1088,75;2025-04-14
581371;AP7 Aktiefond;    638,75;  638,75;2025-04-15
545541;AP7 Räntefond;    116,23;  116,23;2025-04-15
715955;Avanza Emerging Markets;    119,44;  119,44;2025-04-11
734491;Avanza Zero ;    401,12;  401,12;2025-04-15
294322;AXA IM Globlal Equity QI B;    304,19;  304,15;2025-04-14
401810;AXA IM Pacific Ex-Japan Equity QI B;    437,49;  437,42;2025-04-14
616797;AXA IM US Equity QI B;    396,29;  396,23;2025-04-14
477729;Baring Asia Growth A;   1065,84; 1065,68;2025-04-15
191080;Baring Global Emerging Markets A;    404,49;  404,43;2025-04-15
262741;Baring Global Resources A;    215,74;  215,71;2025-04-15
334409;Baring Hong Kong China A;  10595,57;10593,94;2025-04-15
235291;Baring Latin America A;    294,38;  294,33;2025-04-15
285990;BL - American Small & Mid Caps B;   2262,46; 2262,11;2025-04-14
551804;BL - Bond Dollar B;    886,22;  886,08;2025-04-14
178509;BL - Bond Emerging Markets Euro B;   1127,42; 1127,27;2025-04-14
153833;BL - Emerging Markets B;   1788,11; 1787,87;2025-04-14
300996;BL - Equities America B;    987,61;  987,46;2025-04-14
321828;BL - Equities Asia B;    985,38;  985,23;2025-04-14
118000;BL - Equities Dividend B;   2779,20; 2778,83;2025-04-14
142679;BL - Equities Japan B;   1757,72; 1757,20;2025-04-14
250167;BL - European Small & Mid Caps B;   2099,08; 2098,80;2025-04-14
480145;BL - Global 30 B;   1194,32; 1194,16;2025-04-14
444315;BL - Global 50 B;   1242,89; 1242,72;2025-04-14
408484;BL - Global 75 B;   1233,07; 1232,90;2025-04-14
515973;BL - Global Bond Opportunities B;   1042,09; 1041,95;2025-04-14
320358;BL - Global Equities B;   1272,81; 1272,64;2025-04-14
647669;BL - Global Flexible B;   2275,27; 2274,96;2025-04-14
214338;BL - Global Flexible USD B;   1777,28; 1777,00;2025-04-14
608463;BlackRock - Asian Dragon Fund A2;    443,95;  443,89;2025-04-15
391896;BlackRock - China A2;    169,16;  169,14;2025-04-15
231100;BlackRock - Emerging Markets A2;    340,66;  340,61;2025-04-15
302760;BlackRock - Global Allocation A2;    761,14;  761,02;2025-04-15
572637;BlackRock - Global High Yield Bond Fund A2;    299,25;  299,20;2025-04-15
768499;BlackRock - India A2;    506,03;  505,95;2025-04-15
159442;BlackRock - Japan Small & MidCap A2;    735,21;  735,10;2025-04-15
661066;BlackRock - Latin American A2;    579,99;  579,90;2025-04-15
536806;BlackRock - Natural Resources Growth & Income Fund A2;    120,64;  120,62;2025-04-15
553578;BlackRock - Sustainable Energy A2;    138,66;  138,64;2025-04-15
768556;BlackRock - US Basic Value A2;   1239,10; 1238,91;2025-04-15
804385;BlackRock - US Flexible Equity A2;    598,99;  598,90;2025-04-15
625236;BlackRock - US Mid-Cap Value Fund A2;   3381,01; 3380,49;2025-04-15
517748;BlackRock - World Energy A2;    224,02;  223,99;2025-04-15
410258;BlackRock - World Financials A2;    508,46;  508,38;2025-04-15
338590;BlackRock - World Gold A2;    548,32;  548,23;2025-04-15
374421;BlackRock - World Healthscience A2;    643,23;  643,13;2025-04-15
481911;BlackRock - World Mining A2;    583,59;  583,50;2025-04-15
644294;BlackRock - World Real Estate Securities Fund A2;    145,19;  145,17;2025-04-15
446088;BlackRock - World Technology A2;    788,22;  788,10;2025-04-15
422709;BMC Global Select fund;    345,13;  345,13;2025-04-15
408062;C WorldWide Asia 1A;   1849,39; 1849,10;2025-04-15
515554;C WorldWide Global Equities 1A;   1986,98; 1986,67;2025-04-15
479725;C WorldWide Global Equities Ethical 1A;    361,74;  361,69;2025-04-15
443895;C WorldWide Healthcare Select 1A;   1384,17; 1383,99;2025-04-15
792697;C WorldWide Sweden 1A;    396,65;  396,65;2025-04-15
721035;C WorldWide Sweden Small Cap 1A;    713,78;  713,78;2025-04-15
345497;Captor Dahlia Green Bond A;    290,45;  290,45;2025-04-15
180927;Captor Iris Bond A;    261,79;  261,79;2025-04-15
320176;Carnegie Fastighetsfond Norden A;    474,11;  474,11;2025-04-15
505586;Carnegie Indienfond A;    755,78;  755,78;2025-04-15
214163;Carnegie Likviditetsfond A;   1324,76; 1324,76;2025-04-15
341362;Carnegie Listed Private Equity A;    662,12;  662,12;2025-04-15
554691;Carnegie Obligationsfond A;    987,54;  987,54;2025-04-15
584912;Carnegie Småbolagsfond A;    633,34;  633,34;2025-04-15
357483;Carnegie Strategifond A;   2238,77; 2238,77;2025-04-15
393314;Carnegie Sverigefond A;   4689,98; 4689,98;2025-04-15
976506;CB Save Earth Fund RC;    285,36;  285,32;2025-04-14
384750;Cicero Avkastning A;    136,59;  136,59;2025-04-15
959502;Cicero Hållbar Mix A;    166,29;  166,29;2025-04-15
386870;Coeli High Yield Opportunities;    119,99;  119,99;2025-04-15
330324;CPR Invest Global Gold Mines A2;   1212,32; 1212,13;2025-04-14
366154;CPR Invest Global Lifestyles A2;   1011,07; 1010,92;2025-04-14
291906;D&G Aktiefond;   4097,77; 4097,77;2025-04-15
541235;D&G Global All Cap;    412,03;  412,03;2025-04-15
140491;D&G Småbolag;   1134,41; 1134,41;2025-04-15
829945;Danske Invest SICAV - Aktiv Förmögenhetsförvaltning SI;   4019,78; 4019,78;2025-04-15
408898;Danske Invest SICAV - Euro Investment Grade Corporate Bond A;    163,10;  163,10;2025-04-14
865774;Danske Invest SICAV - Sverige Kort Ränta SI;   1303,13; 1303,13;2025-04-15
901603;Danske Invest SICAV - Sverige Ränta SI;   1160,11; 1160,11;2025-04-15
973263;Danske Invest SICAV - Sverige SI;   6507,46; 6507,46;2025-04-15
184580;Delphi Global A2;   1983,31; 1983,31;2025-04-14
388298;Delphi Nordic Acc;  42394,51;42376,01;2025-04-14
326660;DNB Global Emerging Markets S;    102,75;  102,75;2025-04-14
147512;DNB Grönt Skifte Norden S;    128,07;  128,07;2025-04-14
255001;DNB Health Care S;    142,79;  142,79;2025-04-14
290833;DNB SMB S;    110,73;  110,73;2025-04-14
183343;DNB Teknologi S;    153,72;  153,72;2025-04-14
623637;East Capital Global Emerging Markets Sustainable A;    228,29;  228,29;2025-04-15
870907;East Capital Global Frontier Markets A;    210,19;  210,19;2025-04-15
134593;Enter Cross Credit A;   1220,01; 1220,01;2025-04-15
643700;Enter Select A;   3273,32; 3273,32;2025-04-15
664482;Evli Corporate Bond Placeringsfonden B ;   1412,01; 1412,01;2025-04-14
229625;Evli Emerging Markets Credit Placeringsfonden B;   1270,77; 1270,59;2025-04-14
570044;Evli Finland Select Placeringsfonden B;    581,21;  581,13;2025-04-14
367987;Evli GEM Placeringsfonden B;   2046,48; 2046,21;2025-04-14
793109;Evli Global Placeringsfonden B;   3633,63; 3633,63;2025-04-14
700310;Evli High Yield Placeringsfonden B;   1816,93; 1816,93;2025-04-14
574582;Evli Likviditet Placeringsfonden B;   1171,64; 1171,64;2025-04-14
621631;Evli Short Corporate Bond Placeringsfonden B;    352,88;  352,83;2025-04-14
610410;Evli Sverige Aktieindex B;   2623,29; 2623,29;2025-04-14
420463;Evli Sverige Småbolag;   7332,73; 7332,73;2025-04-14
850776;Fidelity - America Fund A;    418,24;  418,18;2025-04-15
994095;Fidelity - Asian Pacific Opportunities Fund A;    307,90;  307,86;2025-04-15
922435;Fidelity - Asian Special Situations Fund A;    434,71;  434,65;2025-04-15
886606;Fidelity - China Consumer  Fund A;    187,17;  187,15;2025-04-15
958264;Fidelity - China Focus Fund A;    108,55;  108,54;2025-04-15
313320;Fidelity - Emerging Asia Fund A;    331,67;  331,63;2025-04-15
349150;Fidelity - Emerging Markets Funds A;    164,62;  164,60;2025-04-15
277491;Fidelity - Global High  Yield Fund A;    156,98;  156,96;2025-04-15
976928;Folksam LO Sverige;    558,97;  558,97;2025-04-15
941096;Folksam LO Världen;    351,50;  351,50;2025-04-15
202002;Fondita Global Megatrends Placeringsfond B;   1082,04; 1081,89;2025-04-15
785493;Fondita Nordic Micro Cap Placeringsfond B;   4209,75; 4209,18;2025-04-15
237834;Fondita Nordic Small Cap Placeringsfond B;   2177,99; 2177,70;2025-04-15
389239;Franklin Biotechnology Discovery Fund;    339,87;  339,82;2025-04-14
170894;Franklin India Fund A ;    626,13;  626,03;2025-04-14
717496;Franklin Mutual Global Discovery Fund A;    259,12;  259,08;2025-04-14
532558;Franklin Natural Resources Fund A;     75,03;   75,02;2025-04-14
496729;Franklin Technology Fund A;    415,48;  415,42;2025-04-14
384107;Franklin U.S. Opportunities Fund A;    299,83;  299,79;2025-04-14
201111;GodFond Sverige & Världen;    449,32;  449,32;2025-04-15
992099;Goldman Sachs Asia Equity Income P;  11947,61;11945,77;2025-04-15
523050;Goldman Sachs Global Equity Impact Opportunities P;   5984,34; 5983,53;2025-04-15
401695;Goldman Sachs Global Social Impact Equity P;  21977,52;21974,14;2025-04-15
666370;Goldman Sachs Greater China Equity P;  11255,27;11253,54;2025-04-15
971010;Goldman Sachs Green Bond P;     89,20;   89,20;2025-04-15
920439;Goldman Sachs Japan Equity P (Former NN);    573,79;  573,62;2025-04-15
857037;Goldman Sachs Protection P;    370,03;  369,98;2025-04-15
929224;Handelsbanken  USA Index Criteria A1;    834,94;  834,94;2025-04-15
840033;Handelsbanken Amerika Tema A1;   2106,07; 2106,07;2025-04-15
504100;Handelsbanken Asien Tema A1;    839,29;  839,29;2025-04-15
491233;Handelsbanken Developed Markets Index Criteria A1;    111,38;  111,38;2025-04-15
750075;Handelsbanken Emerging Markets Index A1;    191,13;  191,13;2025-04-15
629543;Handelsbanken Europa Index Criteria A1;    199,63;  199,63;2025-04-15
785907;Handelsbanken Global Index Criteria A1;    502,99;  502,99;2025-04-15
549552;Handelsbanken Global Småbolag Index Criteria A1;    162,56;  162,56;2025-04-15
