Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
952770;abrdn SICAV I - European Sustainable Equity Fund I Acc EUR;  26901,17;26897,64;2024-10-25
848069;abrdn SICAV I - Global Innovation Equity Fund A;     97,61;   97,59;2024-10-25
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    136,50;  136,46;2024-10-25
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     50,12;   50,11;2024-10-25
900894;abrdn SICAV I - Select Euro High Yield Bond A;    301,40;  301,36;2024-10-25
182584;Aktia Capital Placeringsfond B;     53,73;   53,72;2024-10-25
339473;Aktia Nordic Small Cap Placeringsfond B;     49,96;   49,95;2024-10-25
308908;Aktie-Ansvar Avkastningsfond A;    125,95;  125,95;2024-10-25
344739;Aktie-Ansvar Sverige A;    957,88;  957,88;2024-10-25
528894;Aktiespararna Direktavkastning;    215,99;  215,99;2024-10-25
290072;Aktiespararna Topp Sverige;     31,99;   31,99;2024-10-25
147348;Alfred Berg Aktiv R;   2893,50; 2892,31;2024-10-25
183178;Alfred Berg Norge C;   1669,19; 1668,50;2024-10-25
111518;Alfred Berg Obligasjon C;    116,30;  116,25;2024-10-25
933359;Allianz China A-shares AT;    112,75;  112,73;2024-10-25
753731;Allianz China Equity A;    583,97;  583,89;2024-10-25
717900;Allianz Euro High Yield Bond A;   1318,16; 1317,98;2024-10-25
538751;Allianz Europe Small Cap Equity AT;   3316,80; 3316,37;2024-10-25
273839;Allianz Global Equity Growth AT;    124,66;  124,64;2024-10-25
502922;Allianz Global Metals and Mining A;    715,06;  714,97;2024-10-25
878694;Allianz Global Water AT;   2092,29; 2092,02;2024-10-25
309666;Allianz Pet and Animal Wellbeing AT;     86,43;   86,42;2024-10-25
823096;AMF Aktiefond Asien Stilla Havet;    334,34;  334,34;2024-10-25
538462;AMF Aktiefond Europa;    359,44;  359,44;2024-10-25
908277;AMF Aktiefond Global;    397,67;  397,67;2024-10-25
520692;AMF Aktiefond Nordamerika;    716,42;  716,42;2024-10-25
269357;AMF Aktiefond Småbolag;   1288,62; 1288,62;2024-10-25
681783;AMF Aktiefond Sverige;    986,99;  986,99;2024-10-25
645952;AMF Aktiefond Världen;    745,94;  745,94;2024-10-25
610121;AMF Balansfond;    428,05;  428,05;2024-10-25
305185;AMF Räntefond Kort;    119,63;  119,63;2024-10-25
574293;AMF Räntefond Lång;    154,47;  154,47;2024-10-25
265512;AMF Räntefond Mix;    114,93;  114,93;2024-10-25
791863;Amundi Funds Global Equity Conservative A2;   1499,43; 1499,22;2024-10-24
174490;Amundi Funds Japan Equity Value A2;   1285,19; 1285,01;2024-10-24
756031;Amundi Funds Latin America Equity A2;   5256,53; 5255,79;2024-10-24
720201;Amundi Funds SBI FM India Equity A2;   4525,39; 4524,75;2024-10-24
863522;Amundi Funds Volatility World A2;   1068,89; 1068,74;2024-10-24
581371;AP7 Aktiefond;    725,80;  725,80;2024-10-25
545541;AP7 Räntefond;    115,17;  115,17;2024-10-25
715955;Avanza Emerging Markets;    137,45;  137,45;2024-10-24
680124;Avanza Global;    217,92;  217,92;2024-10-25
734491;Avanza Zero ;    426,50;  426,50;2024-10-25
294322;AXA IM Globlal Equity QI B;    354,04;  353,99;2024-10-24
401810;AXA IM Pacific Ex-Japan Equity QI B;    507,04;  506,97;2024-10-24
616797;AXA IM US Equity QI B;    467,68;  467,61;2024-10-24
477729;Baring Asia Growth A;   1241,38; 1241,20;2024-10-25
191080;Baring Global Emerging Markets A;    471,72;  471,65;2024-10-25
262741;Baring Global Resources A;    254,47;  254,44;2024-10-25
334409;Baring Hong Kong China A;  11712,63;11710,97;2024-10-25
235291;Baring Latin America A;    334,11;  334,07;2024-10-25
285990;BL - American Small & Mid Caps B;   2674,45; 2674,07;2024-10-24
551804;BL - Bond Dollar B;    961,92;  961,78;2024-10-24
178509;BL - Bond Emerging Markets Euro B;   1169,78; 1169,62;2024-10-24
153833;BL - Emerging Markets B;   2045,20; 2044,93;2024-10-24
300996;BL - Equities America B;   1183,38; 1183,21;2024-10-24
321828;BL - Equities Asia B;   1173,86; 1173,69;2024-10-24
118000;BL - Equities Dividend B;   3089,67; 3089,27;2024-10-24
142679;BL - Equities Japan B;   2000,82; 2000,54;2024-10-24
250167;BL - European Small & Mid Caps B;   2451,38; 2451,06;2024-10-24
480145;BL - Global 30 B;   1245,28; 1245,12;2024-10-24
444315;BL - Global 50 B;   1312,10; 1311,93;2024-10-24
408484;BL - Global 75 B;   1328,78; 1328,60;2024-10-24
515973;BL - Global Bond Opportunities B;   1080,68; 1080,54;2024-10-24
320358;BL - Global Equities B;   1474,30; 1474,11;2024-10-24
647669;BL - Global Flexible B;   2453,90; 2453,57;2024-10-24
214338;BL - Global Flexible USD B;   1937,28; 1937,00;2024-10-24
