Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
865063;abrdn SICAV I - Europe ex UK Sustainable Equity Fund A;    225,11;  225,09;2023-08-04
367698;abrdn SICAV I - European Sustainable Equity Fund A;    854,06;  853,95;2023-08-04
848069;abrdn SICAV I - Global Innovation Equity Fund A;     84,26;   84,25;2023-08-04
192146;abrdn SICAV I - Japanese Smaller Companies Sustainable Equity Fund A;    138,39;  138,35;2023-08-04
757575;abrdn SICAV I - Japanese Sustainable Equity Fund A;     47,38;   47,37;2023-08-04
900894;abrdn SICAV I - Select Euro High Yield Bond A;    274,62;  274,58;2023-08-04
938845;AGCM Fund- Asia Growth Sub- Fund RC;    202,25;  202,25;2023-08-03
897520;AIFM Proethos fond;    203,90;  203,90;2023-08-04
182584;Aktia Capital Placeringsfond B;     50,02;   50,02;2023-08-04
339473;Aktia Nordic Small Cap Placeringsfond B;     44,44;   44,43;2023-08-04
308908;Aktie-Ansvar Avkastningsfond A;    118,33;  118,33;2023-08-04
344739;Aktie-Ansvar Sverige A;    792,50;  792,50;2023-08-04
528894;Aktiespararna Direktavkastning;    181,35;  181,35;2023-08-04
290072;Aktiespararna Topp Sverige Hållbar;     26,06;   26,06;2023-08-04
147348;Alfred Berg Aktiv C;   2469,95; 2469,01;2023-08-04
183178;Alfred Berg Norge C;   1441,81; 1441,26;2023-08-04
111518;Alfred Berg Obligasjon C;    116,69;  116,65;2023-08-04
933359;Allianz China A-shares AT;    121,97;  121,95;2023-08-04
753731;Allianz China Equity A;    596,20;  596,12;2023-08-04
717900;Allianz Euro High Yield Bond A;   1234,51; 1234,35;2023-08-04
538751;Allianz Europe Small Cap Equity AT;   3413,36; 3412,92;2023-08-04
273839;Allianz Global Equity Growth AT;    114,16;  114,15;2023-08-04
502922;Allianz Global Metals and Mining A;    707,76;  707,67;2023-08-04
878694;Allianz Global Water AT;   1825,38; 1825,15;2023-08-04
309666;Allianz Pet and Animal Wellbeing AT;     84,82;   84,81;2023-08-04
823096;AMF Aktiefond Asien Stilla Havet;    290,07;  290,07;2023-08-04
538462;AMF Aktiefond Europa;    314,45;  314,45;2023-08-04
908277;AMF Aktiefond Global;    324,18;  324,18;2023-08-04
520692;AMF Aktiefond Nordamerika;    556,60;  556,60;2023-08-04
269357;AMF Aktiefond Småbolag;   1085,67; 1085,67;2023-08-04
681783;AMF Aktiefond Sverige;    788,76;  788,76;2023-08-04
645952;AMF Aktiefond Världen;    603,30;  603,30;2023-08-04
610121;AMF Balansfond;    360,45;  360,45;2023-08-04
305185;AMF Räntefond Kort;    112,76;  112,76;2023-08-04
574293;AMF Räntefond Lång;    140,72;  140,72;2023-08-04
265512;AMF Räntefond Mix;    108,05;  108,05;2023-08-04
791863;Amundi Funds Global Equity Conservative A2;   1312,57; 1312,39;2023-08-03
174490;Amundi Funds Japan Equity Value A2;   1240,98; 1240,65;2023-08-03
756031;Amundi Funds Latin America Equity A2;   5731,59; 5730,79;2023-08-03
720201;Amundi Funds SBI FM India Equity A2;   3741,17; 3740,64;2023-08-03
863522;Amundi Funds Volatility World A2;   1052,51; 1052,36;2023-08-03
581371;AP7 Aktiefond;    576,12;  576,12;2023-08-04
545541;AP7 Räntefond;    106,67;  106,67;2023-08-04
715955;Avanza Emerging Markets;    120,57;  120,57;2023-08-03
680124;Avanza Global;    175,70;  175,70;2023-08-03
734491;Avanza Zero ;    351,70;  351,70;2023-08-04
294322;AXA IM Globlal Equity QI B;    291,83;  291,79;2023-08-03
401810;AXA IM Pacific Ex-Japan Equity QI B;    456,62;  456,56;2023-08-03
616797;AXA IM US Equity QI B;    385,27;  385,22;2023-08-03
477729;Baring Asia Growth A;   1139,82; 1139,66;2023-08-04
191080;Baring Global Emerging Markets A;    429,48;  429,42;2023-08-04
262741;Baring Global Resources A;    245,74;  245,70;2023-08-04
334409;Baring Hong Kong China A;  11995,83;11994,15;2023-08-04
235291;Baring Latin America A;    385,26;  385,21;2023-08-04
285990;BL - American Small & Mid Caps B;   2504,88; 2504,53;2023-08-03
551804;BL - Bond Dollar B;    930,52;  930,39;2023-08-03
178509;BL - Bond Emerging Markets Euro B;   1123,96; 1123,82;2023-08-03
153833;BL - Emerging Markets B;   1950,14; 1949,89;2023-08-03
300996;BL - Equities America B;   1068,60; 1068,45;2023-08-03
321828;BL - Equities Asia B;   1097,14; 1096,98;2023-08-03
118000;BL - Equities Dividend B;   2825,54; 2825,18;2023-08-03
336826;BL - Equities Europe B;   1235,99; 1235,83;2023-08-03
142679;BL - Equities Japan B;   1966,27; 1965,75;2023-08-03
250167;BL - European Small & Mid Caps B;   2430,27; 2429,95;2023-08-03
480145;BL - Global 30 B;   1141,89; 1141,74;2023-08-03
444315;BL - Global 50 B;   1179,62; 1179,47;2023-08-03
408484;BL - Global 75 B;   1176,93; 1176,78;2023-08-03
515973;BL - Global Bond Opportunities B;   1045,33; 1045,19;2023-08-03
320358;BL - Global Equities B;   1295,52; 1295,36;2023-08-03
647669;BL - Global Flexible B;   2266,44; 2266,15;2023-08-03
214338;BL - Global Flexible USD B;   1840,22; 1839,96;2023-08-03
