
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;handelsbanken hälsovård tema a1;
2022-11-01;-0,126;;;;;;;;-0,130;-0,101;;-0,097;-0,153;-0,130;-0,066;-0,084;0,013;
2022-11-02;-0,129;;;;;;;;-0,132;-0,098;;-0,095;-0,153;-0,130;-0,067;-0,083;0,017;
2022-11-03;;;;;;;;;;;;;;;;;;
2022-11-04;-0,129;;;;;;;;-0,148;-0,095;;-0,092;-0,151;-0,138;-0,076;-0,091;0,009;
2022-11-07;-0,126;;;;;;;;-0,150;-0,089;;-0,088;-0,151;-0,139;-0,079;-0,091;0,007;
2022-11-08;-0,123;;;;;;;;-0,145;-0,091;;-0,091;-0,149;-0,136;-0,077;-0,087;0,008;
2022-11-09;-0,124;;;;;;;;-0,147;-0,087;;-0,088;-0,147;-0,136;-0,078;-0,086;0,011;
2022-11-10;-0,110;;;;;;;;-0,136;-0,094;;-0,095;-0,136;-0,130;-0,068;-0,079;0,014;
2022-11-11;-0,110;;;;;;;;-0,140;-0,079;;-0,089;-0,138;-0,133;-0,068;-0,080;-0,002;
2022-11-14;-0,109;;;;;;;;-0,137;-0,072;;-0,084;-0,133;-0,128;-0,068;-0,078;0,002;
2022-11-15;-0,110;;;;;;;;-0,134;-0,061;;-0,077;-0,133;-0,126;-0,066;-0,077;0,000;
2022-11-16;-0,114;;;;;;;;-0,136;-0,060;;-0,077;-0,136;-0,128;-0,070;-0,077;0,003;
2022-11-17;-0,112;;;;;;;;-0,138;-0,057;;-0,077;-0,135;-0,128;-0,072;-0,078;0,004;
2022-11-18;;;;;;;;;;;;;;;;;;
2022-11-21;-0,109;;;;;;;;-0,131;-0,061;;-0,077;-0,126;-0,120;-0,064;-0,074;0,014;
2022-11-22;-0,106;;;;;;;;-0,132;-0,063;;-0,079;-0,125;-0,120;-0,063;-0,073;0,015;
2022-11-23;-0,107;;;;;;;;-0,133;-0,069;;-0,084;-0,127;-0,122;-0,065;-0,075;0,011;
2022-11-24;-0,107;;;;;;;;;-0,068;;-0,083;-0,127;;;;;
2022-11-25;-0,106;;;;;;;;-0,134;-0,069;;-0,084;-0,127;-0,123;-0,065;-0,075;0,012;
2022-11-28;-0,111;;;;;;;;-0,136;-0,072;;-0,086;-0,126;-0,124;-0,067;-0,076;0,014;
2022-11-29;;;;;;;;;;;;;;;;;;
2022-11-30;-0,102;;;;;;;;-0,139;-0,047;;-0,066;-0,124;-0,123;-0,069;-0,075;0,015;
2022-12-01;-0,104;;;;;;;;-0,130;-0,052;;-0,070;-0,121;-0,118;-0,062;-0,071;0,018;
2022-12-02;-0,103;;;;;;;;-0,134;-0,050;;-0,067;-0,121;-0,119;-0,063;-0,073;0,018;
2022-12-05;-0,105;;;;;;;;-0,139;-0,049;;-0,070;-0,123;-0,123;-0,069;-0,077;0,014;
2022-12-06;-0,110;;;;;;;;-0,143;-0,051;;-0,072;-0,126;-0,125;-0,072;-0,079;0,013;
2022-12-07;-0,114;;;;;;;;-0,149;-0,060;;-0,078;-0,129;-0,131;-0,078;-0,084;0,012;
2022-12-08;-0,113;;;;;;;;-0,145;-0,052;;-0,073;-0,130;-0,128;-0,075;-0,083;0,014;
2022-12-09;-0,110;;;;;;;;-0,144;-0,046;;-0,069;-0,125;-0,126;-0,074;-0,081;0,016;
2022-12-12;-0,109;;;;;;;;-0,146;-0,054;;-0,076;-0,128;-0,129;-0,078;-0,083;0,012;
2022-12-13;;;;;;;;;;;;;;;;;;
2022-12-14;-0,106;;;;;;;;-0,138;-0,052;;-0,076;-0,122;-0,124;-0,073;-0,077;0,016;
2022-12-15;-0,116;;;;;;;;-0,152;-0,057;;-0,080;-0,131;-0,135;-0,083;-0,088;0,010;
2022-12-16;-0,121;;;;;;;;-0,151;-0,053;;-0,077;-0,134;-0,135;-0,084;-0,088;0,009;
2022-12-19;-0,123;;;;;;;;-0,156;-0,054;;-0,077;-0,134;-0,137;-0,086;-0,090;0,006;
2022-12-20;-0,124;;;;;;;;-0,158;-0,056;;-0,077;-0,134;-0,138;-0,087;-0,091;0,007;
2022-12-21;-0,118;;;;;;;;-0,152;-0,057;;-0,077;-0,131;-0,134;-0,082;-0,089;0,009;
2022-12-22;-0,122;;;;;;;;-0,153;-0,050;;-0,071;-0,131;-0,134;-0,083;-0,089;0,012;
2022-12-23;-0,118;;;;;;;;-0,154;-0,051;;-0,073;-0,130;-0,135;-0,082;-0,089;0,013;
2022-12-27;-0,119;;;;;;;;-0,154;;;-0,071;-0,130;-0,134;-0,082;-0,089;0,012;
2022-12-28;-0,122;;;;;;;;-0,155;-0,053;;-0,075;-0,130;-0,136;-0,083;-0,091;0,010;
2022-12-29;-0,117;;;;;;;;-0,152;-0,052;;-0,073;-0,127;-0,134;-0,082;-0,088;0,013;
2022-12-30;-0,123;;;;;;;;-0,156;-0,054;;-0,075;-0,131;-0,137;-0,083;-0,091;0,009;
2023-01-02;-0,119;;;;;;;;;;;;-0,128;;;;;
