
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;skandia realräntefond;skandia småbolag sverige;skandia sverige exponering a;skandia time global;skandia usa;skandia världen;spiltan aktiefond småland;spiltan globalfond investmentbolag;spiltan högräntefond;spiltan räntefond sverige;spiltan småbolagsfond;spp generation 40-tal;spp generation 50-tal;spp generation 60-tal;spp generation 70-tal;spp generation 80-tal;storebrand emerging markets a;
2023-10-24;-0,025;-0,164;-0,108;-0,105;-0,016;-0,026;-0,084;-0,090;-0,063;-0,037;-0,170;-0,046;-0,048;-0,064;-0,069;-0,069;-0,051;
2023-10-25;-0,025;-0,170;-0,111;-0,107;-0,019;-0,029;;;;;;-0,046;-0,049;-0,066;-0,072;-0,072;-0,051;
2023-10-26;;;;;;;;;;;;;;;;;;
2023-10-27;-0,025;-0,163;-0,109;-0,116;-0,021;-0,032;-0,082;-0,101;-0,062;-0,036;-0,172;-0,047;-0,050;-0,068;-0,076;-0,076;-0,051;
2023-10-30;;;;;;;;;;;;;;;;;;
2023-10-31;-0,024;-0,152;-0,102;-0,111;-0,018;-0,028;-0,073;-0,092;-0,061;-0,036;-0,162;-0,045;-0,047;-0,064;-0,070;-0,070;-0,052;
2023-11-01;-0,025;-0,152;-0,103;-0,105;-0,015;-0,025;-0,073;-0,088;-0,062;-0,036;-0,164;-0,044;-0,046;-0,061;-0,066;-0,066;-0,050;
2023-11-02;-0,024;-0,134;-0,090;-0,100;-0,011;-0,019;-0,063;-0,087;-0,061;-0,036;-0,150;-0,042;-0,044;-0,057;-0,061;-0,061;-0,046;
2023-11-03;;;;;;;;;;;;;;;;;;
2023-11-06;-0,024;-0,131;-0,090;-0,101;-0,014;-0,022;-0,060;-0,085;-0,061;-0,036;-0,145;-0,042;-0,044;-0,057;-0,062;-0,062;-0,039;
2023-11-07;-0,023;-0,131;-0,090;-0,098;-0,010;-0,018;-0,060;-0,087;-0,060;-0,035;-0,143;-0,042;-0,043;-0,057;-0,062;-0,061;-0,040;
2023-11-08;-0,024;-0,131;-0,088;-0,096;-0,008;-0,017;-0,060;-0,087;-0,060;-0,035;-0,141;-0,042;-0,044;-0,058;-0,063;-0,062;-0,043;
2023-11-09;-0,023;-0,126;-0,083;-0,094;-0,013;-0,018;-0,052;-0,086;-0,060;-0,035;-0,132;-0,042;-0,044;-0,058;-0,063;-0,063;-0,045;
2023-11-10;-0,024;-0,133;-0,089;-0,095;-0,013;-0,020;-0,058;-0,085;-0,059;-0,035;-0,138;-0,042;-0,044;-0,056;-0,060;-0,060;-0,046;
2023-11-13;-0,024;-0,135;-0,089;-0,094;-0,011;-0,019;-0,057;-0,087;-0,059;-0,035;-0,138;-0,042;-0,044;-0,058;-0,062;-0,062;-0,047;
2023-11-14;-0,022;-0,116;-0,077;-0,091;-0,010;-0,019;-0,039;-0,087;-0,059;-0,035;-0,112;-0,040;-0,042;-0,055;-0,059;-0,059;-0,052;
2023-11-15;-0,022;-0,111;-0,071;-0,092;-0,008;-0,018;-0,037;-0,086;-0,058;-0,035;-0,110;-0,040;-0,042;-0,055;-0,059;-0,059;-0,047;
2023-11-16;;;;;;;;;;;;;;;;;;
2023-11-17;-0,020;-0,110;-0,070;-0,090;-0,009;-0,018;-0,037;-0,085;-0,059;-0,034;-0,110;-0,039;-0,040;-0,053;-0,057;-0,057;-0,049;
2023-11-20;-0,020;-0,106;-0,068;-0,091;-0,013;-0,021;-0,035;-0,085;-0,059;-0,034;-0,107;-0,039;-0,040;-0,053;-0,057;-0,057;-0,048;
2023-11-21;-0,020;-0,112;-0,070;-0,094;-0,013;-0,022;-0,036;-0,085;-0,059;-0,034;-0,108;-0,039;-0,041;-0,055;-0,059;-0,059;-0,048;
2023-11-22;-0,020;-0,108;-0,067;-0,089;-0,006;-0,016;-0,033;-0,082;-0,060;-0,034;-0,104;-0,038;-0,040;-0,052;-0,055;-0,055;-0,046;
2023-11-23;-0,021;-0,106;-0,065;;;;-0,031;;-0,060;-0,034;-0,104;-0,039;-0,040;-0,052;-0,055;-0,055;-0,045;
2023-11-24;-0,020;-0,106;-0,065;-0,091;-0,007;-0,017;-0,030;-0,080;-0,060;-0,034;-0,102;-0,039;-0,040;-0,052;-0,056;-0,056;-0,051;
2023-11-27;;;;;;;-0,030;-0,083;-0,059;-0,034;-0,102;-0,038;-0,039;-0,052;-0,056;-0,056;-0,051;
2023-11-28;;;;;;;-0,034;-0,086;-0,059;-0,033;-0,107;-0,038;-0,040;-0,054;-0,058;-0,058;-0,051;
2023-11-29;-0,017;-0,106;-0,063;-0,091;-0,008;-0,020;-0,030;-0,084;-0,059;-0,033;-0,104;-0,037;-0,038;-0,053;-0,057;-0,057;-0,052;
2023-11-30;;;;;;;;;;;;;;;;;;
2023-12-01;-0,017;-0,108;-0,061;-0,094;-0,001;-0,015;-0,027;-0,080;-0,058;-0,033;-0,104;-0,035;-0,036;-0,048;-0,052;-0,052;-0,050;
2023-12-04;-0,015;-0,107;-0,060;-0,097;-0,000;-0,016;-0,028;-0,080;-0,057;-0,033;-0,108;-0,034;-0,035;-0,048;-0,052;-0,052;-0,050;
2023-12-05;-0,013;-0,103;-0,058;-0,094;-0,001;-0,015;-0,022;-0,081;-0,057;-0,032;-0,099;-0,033;-0,034;-0,047;-0,052;-0,051;-0,052;
2023-12-06;-0,013;-0,097;-0,052;-0,090;0,002;-0,014;-0,015;-0,081;-0,057;-0,032;-0,090;-0,033;-0,034;-0,047;-0,051;-0,051;-0,052;
2023-12-07;;;;;;;-0,015;-0,083;-0,057;-0,032;-0,092;-0,033;-0,034;-0,047;-0,051;-0,050;-0,056;
2023-12-08;-0,014;-0,094;-0,049;-0,084;0,002;-0,012;-0,010;-0,079;-0,057;-0,032;-0,087;-0,032;-0,033;-0,044;-0,047;-0,047;-0,051;
2023-12-11;-0,014;-0,092;-0,046;-0,082;0,004;-0,010;-0,006;-0,076;-0,056;-0,032;-0,084;-0,031;-0,032;-0,042;-0,044;-0,043;-0,051;
2023-12-12;;;;;;;;;;;;;;;;;;
2023-12-13;-0,012;-0,096;-0,049;-0,080;0,006;-0,008;-0,010;-0,079;-0,056;-0,032;-0,090;-0,030;-0,031;-0,040;-0,043;-0,042;-0,052;
2023-12-14;-0,011;-0,077;-0,038;-0,081;0,008;-0,010;0,003;-0,079;-0,055;-0,031;-0,071;-0,029;-0,030;-0,041;-0,044;-0,043;-0,053;
2023-12-15;-0,011;-0,072;-0,034;-0,080;0,009;-0,008;0,006;-0,079;-0,055;-0,031;-0,066;-0,028;-0,029;-0,039;-0,041;-0,041;-0,047;
2023-12-18;-0,010;-0,076;-0,035;-0,083;0,006;-0,011;0,002;-0,081;-0,054;-0,031;-0,069;-0,028;-0,029;-0,040;-0,043;-0,043;-0,051;
2023-12-19;-0,009;-0,071;-0,032;-0,080;0,010;-0,009;0,005;-0,082;-0,054;-0,030;-0,066;-0,027;-0,028;-0,039;-0,042;-0,042;-0,053;
2023-12-20;-0,007;-0,071;-0,032;-0,079;0,010;-0,010;0,005;-0,082;-0,053;-0,030;-0,067;-0,027;-0,028;-0,041;-0,045;-0,044;-0,054;
2023-12-21;-0,008;-0,075;-0,037;-0,084;0,005;-0,015;0,002;-0,083;-0,053;-0,030;-0,071;-0,028;-0,029;-0,041;-0,044;-0,044;-0,055;
2023-12-22;-0,008;-0,071;-0,033;-0,084;0,003;-0,017;0,003;-0,088;-0,053;-0,030;-0,068;-0,028;-0,029;-0,042;-0,046;-0,046;-0,059;
2023-12-27;-0,007;-0,070;-0,032;-0,082;0,004;-0,015;0,004;-0,087;-0,052;-0,030;-0,065;-0,027;-0,029;-0,042;-0,046;-0,045;-0,056;
2023-12-28;;;;;;;0,005;-0,084;-0,052;-0,029;-0,063;-0,027;-0,028;-0,041;-0,044;-0,044;-0,049;
2023-12-29;-0,008;-0,066;-0,029;-0,079;0,009;-0,010;0,005;-0,080;-0,052;-0,029;-0,063;-0,027;-0,028;-0,038;-0,041;-0,041;-0,043;
2024-01-02;-0,009;-0,070;-0,031;-0,081;0,008;-0,010;0,002;-0,075;-0,051;-0,029;-0,068;-0,027;-0,027;-0,038;-0,040;-0,040;-0,042;
2024-01-03;-0,009;-0,080;-0,041;-0,082;0,007;-0,010;-0,007;-0,075;-0,051;-0,029;-0,078;-0,027;-0,028;-0,039;-0,042;-0,042;-0,044;
2024-01-04;;;;;;;;;;;;;;;;;;
2024-01-05;-0,011;-0,080;-0,043;-0,083;0,004;-0,014;-0,011;-0,075;-0,051;-0,029;-0,083;-0,029;-0,030;-0,042;-0,045;-0,045;-0,049;
2024-01-08;-0,012;-0,077;-0,040;-0,080;0,005;-0,013;-0,005;-0,072;-0,051;-0,028;-0,077;-0,028;-0,029;-0,039;-0,041;-0,041;-0,050;
2024-01-09;-0,012;-0,076;-0,042;-0,078;0,008;-0,010;-0,005;-0,073;-0,050;-0,028;-0,076;-0,028;-0,029;-0,039;-0,041;-0,041;-0,050;
2024-01-10;-0,013;-0,077;-0,042;-0,075;0,007;-0,010;-0,006;-0,074;-0,050;-0,028;-0,077;-0,028;-0,029;-0,039;-0,042;-0,041;-0,054;
2024-01-11;-0,013;-0,077;-0,041;-0,070;0,010;-0,007;-0,009;-0,073;-0,049;-0,028;-0,080;-0,028;-0,028;-0,038;-0,040;-0,039;-0,049;
2024-01-12;-0,011;-0,074;-0,039;-0,069;0,010;-0,006;-0,004;-0,069;-0,048;-0,028;-0,073;-0,027;-0,027;-0,037;-0,039;-0,038;-0,049;
2024-01-15;;;;;;;-0,014;;-0,048;-0,027;-0,082;-0,027;-0,028;-0,037;-0,039;-0,038;-0,047;
2024-01-16;-0,010;-0,083;-0,046;-0,066;0,014;-0,003;-0,015;-0,065;-0,048;-0,027;-0,081;-0,027;-0,027;-0,037;-0,038;-0,038;-0,050;
2024-01-17;-0,011;-0,092;-0,054;-0,069;0,014;-0,005;-0,022;-0,069;-0,048;-0,027;-0,089;-0,028;-0,029;-0,038;-0,040;-0,040;-0,057;
2024-01-18;-0,011;-0,086;-0,050;-0,062;0,014;-0,003;;;;;;-0,028;-0,028;-0,037;-0,038;-0,037;-0,056;
2024-01-19;-0,012;-0,090;-0,052;-0,060;0,018;0,001;-0,023;-0,059;-0,047;-0,027;-0,090;-0,028;-0,028;-0,035;-0,036;-0,035;-0,051;
2024-01-22;-0,011;-0,088;-0,048;-0,055;0,022;0,003;-0,020;-0,056;-0,047;-0,027;-0,085;-0,026;-0,026;-0,034;-0,034;-0,033;-0,056;
2024-01-23;-0,012;-0,084;-0,044;-0,053;0,024;0,004;-0,019;-0,053;-0,047;-0,027;-0,084;-0,026;-0,026;-0,032;-0,032;-0,031;-0,051;
2024-01-24;-0,012;-0,082;-0,043;-0,053;0,021;0,004;-0,015;-0,053;-0,047;-0,026;-0,079;-0,026;-0,026;-0,033;-0,032;-0,032;-0,050;
2024-01-25;-0,012;-0,080;-0,041;-0,048;0,021;0,004;-0,014;-0,050;-0,046;-0,026;-0,076;-0,025;-0,025;-0,031;-0,030;-0,029;-0,047;
2024-01-26;;;;;;;;;;;;;;;;;;
2024-01-29;-0,012;-0,074;-0,037;-0,046;0,025;0,011;-0,010;-0,046;-0,045;-0,026;-0,072;-0,024;-0,024;-0,029;-0,027;-0,026;-0,045;
2024-01-30;-0,012;-0,074;-0,038;-0,048;0,026;0,010;-0,012;-0,045;-0,045;-0,026;-0,072;-0,025;-0,025;-0,029;-0,028;-0,027;-0,049;
2024-01-31;-0,011;-0,071;-0,037;-0,059;0,019;0,003;-0,011;-0,051;-0,046;-0,026;-0,065;-0,026;-0,026;-0,034;-0,034;-0,033;-0,056;
2024-02-01;;;;;;;-0,005;-0,051;-0,045;-0,026;-0,062;-0,024;-0,024;-0,030;-0,029;-0,029;-0,048;
2024-02-02;-0,011;-0,075;-0,036;-0,048;0,024;0,007;-0,006;-0,047;-0,046;-0,026;-0,063;-0,024;-0,023;-0,028;-0,026;-0,025;-0,044;
2024-02-05;;;;;;;;;;;;;;;;;;
2024-02-06;-0,013;-0,079;-0,039;-0,046;0,030;0,013;-0,005;-0,046;-0,047;-0,026;-0,060;-0,024;-0,024;-0,028;-0,025;-0,024;-0,036;
2024-02-07;-0,013;-0,074;-0,037;-0,046;0,028;0,011;-0,002;-0,046;-0,047;-0,026;-0,053;-0,025;-0,024;-0,028;-0,026;-0,025;-0,039;
2024-02-08;-0,014;-0,070;-0,036;-0,041;0,032;0,013;0,003;-0,049;-0,047;-0,027;-0,047;-0,025;-0,024;-0,028;-0,025;-0,024;-0,040;
2024-02-09;-0,015;-0,075;-0,039;-0,039;0,034;0,015;0,001;-0,046;-0,047;-0,027;-0,051;-0,025;-0,025;-0,028;-0,026;-0,025;-0,042;
2024-02-12;;;;;;;0,003;-0,045;-0,047;-0,027;-0,052;-0,025;-0,025;-0,028;-0,026;-0,025;;
2024-02-13;-0,016;-0,078;-0,040;-0,040;0,032;0,013;-0,002;-0,044;-0,047;-0,027;-0,056;-0,026;-0,025;-0,028;-0,025;-0,024;;
2024-02-14;-0,015;-0,073;-0,037;-0,038;0,033;0,015;0,001;-0,042;-0,048;-0,027;-0,050;-0,025;-0,024;-0,027;-0,024;-0,023;-0,038;
2024-02-15;-0,015;-0,069;-0,033;-0,043;0,033;0,014;0,008;-0,040;-0,047;-0,027;-0,041;-0,025;-0,024;-0,026;-0,023;-0,022;-0,037;
2024-02-16;-0,015;-0,065;-0,029;-0,044;0,034;0,016;0,009;-0,042;-0,047;-0,027;-0,039;-0,025;-0,024;-0,026;-0,022;-0,021;-0,033;
2024-02-19;-0,014;-0,067;-0,029;;;;0,010;;-0,046;-0,027;-0,040;-0,025;-0,024;-0,026;-0,023;-0,022;-0,035;
2024-02-20;-0,013;-0,068;-0,031;-0,054;0,026;0,011;0,009;-0,047;-0,046;-0,027;-0,044;-0,025;-0,025;-0,028;-0,025;-0,024;-0,036;
2024-02-21;-0,013;-0,071;-0,031;-0,056;0,025;0,011;0,011;-0,046;-0,045;-0,026;-0,044;-0,025;-0,025;-0,028;-0,025;-0,024;-0,034;
2024-02-22;-0,013;-0,067;-0,027;-0,047;0,030;0,016;0,012;-0,041;-0,045;-0,026;-0,041;-0,024;-0,024;-0,025;-0,021;-0,020;-0,032;
2024-02-23;-0,013;-0,067;-0,026;-0,044;0,034;0,018;0,015;-0,040;-0,045;-0,026;-0,041;-0,024;-0,023;-0,025;-0,021;-0,019;-0,033;
2024-02-26;;;;;;;;;;;;;;;;;;
2024-02-27;-0,014;-0,066;-0,025;-0,048;0,032;0,016;0,015;-0,044;-0,049;-0,026;-0,043;-0,025;-0,024;-0,025;-0,021;-0,020;-0,034;
2024-02-28;-0,014;-0,068;-0,025;-0,049;0,033;0,016;0,013;-0,043;-0,047;-0,026;-0,046;-0,024;-0,023;-0,024;-0,020;-0,019;-0,035;
2024-02-29;-0,014;-0,064;-0,022;-0,046;0,034;0,017;0,012;-0,042;-0,047;-0,025;-0,043;-0,024;-0,023;-0,023;-0,019;-0,017;-0,034;
2024-03-01;-0,014;-0,062;-0,021;-0,042;0,035;0,018;0,017;-0,042;-0,047;-0,025;-0,037;-0,023;-0,022;-0,022;-0,017;-0,015;-0,034;
2024-03-04;;;;;;;0,012;-0,042;-0,047;-0,025;-0,041;-0,022;-0,021;-0,021;-0,016;-0,015;-0,030;
2024-03-05;;;;;;;;;;;;;;;;;;
2024-03-06;-0,011;-0,065;-0,020;-0,045;0,033;0,018;0,009;-0,046;-0,048;-0,026;-0,048;-0,022;-0,021;-0,022;-0,017;-0,016;-0,033;
2024-03-07;-0,010;-0,063;-0,019;-0,043;0,032;0,017;0,011;-0,045;-0,048;-0,026;-0,046;-0,021;-0,020;-0,020;-0,015;-0,014;-0,034;
2024-03-08;-0,008;-0,060;-0,015;-0,042;0,031;0,017;0,015;-0,045;-0,047;-0,025;-0,045;-0,020;-0,019;-0,021;-0,017;-0,015;-0,033;
2024-03-11;-0,009;-0,060;-0,016;-0,046;0,029;0,014;0,013;-0,044;-0,046;-0,025;-0,049;-0,021;-0,020;-0,021;-0,016;-0,015;-0,029;
2024-03-12;-0,009;-0,058;-0,011;-0,040;0,033;0,020;0,020;-0,043;-0,046;-0,024;-0,042;-0,019;-0,018;-0,018;-0,012;-0,011;-0,025;
2024-03-13;-0,009;-0,055;-0,009;-0,041;0,033;0,020;0,020;-0,043;-0,046;-0,024;-0,041;-0,020;-0,018;-0,018;-0,012;-0,011;-0,026;
2024-03-14;-0,012;-0,055;-0,009;-0,038;0,033;0,021;0,019;-0,040;-0,048;-0,029;-0,042;-0,020;-0,018;-0,017;-0,011;-0,009;-0,021;
2024-03-15;-0,013;-0,053;-0,007;-0,039;0,033;0,022;0,022;-0,040;-0,050;-0,029;-0,042;-0,020;-0,019;-0,017;-0,011;-0,010;-0,025;
2024-03-18;-0,013;-0,055;-0,012;-0,036;0,035;0,024;0,019;-0,036;-0,048;-0,029;-0,046;-0,020;-0,019;-0,016;-0,009;-0,008;-0,022;
2024-03-19;-0,013;-0,054;-0,012;-0,039;0,035;0,023;0,022;-0,034;-0,048;-0,029;-0,040;-0,019;-0,018;-0,015;-0,008;-0,007;-0,025;
2024-03-20;-0,013;-0,051;-0,009;-0,033;0,039;0,027;0,025;-0,033;-0,049;-0,029;-0,037;-0,019;-0,017;-0,013;-0,005;-0,004;-0,022;
2024-03-21;-0,012;-0,041;-0,000;-0,027;0,044;0,031;0,035;-0,028;-0,047;-0,029;-0,025;-0,017;-0,015;-0,010;-0,001;0,000;-0,015;
2024-03-22;-0,011;-0,039;0,002;-0,025;0,043;0,031;0,035;-0,026;-0,047;-0,028;-0,023;-0,016;-0,014;-0,008;0,001;0,002;-0,015;
2024-03-25;;;;;;;;;;;;;;;;;;
2024-03-26;-0,011;-0,037;0,001;-0,022;0,042;0,031;0,037;-0,028;-0,044;-0,026;-0,022;-0,016;-0,014;-0,008;0,001;0,002;-0,014;
2024-03-27;-0,010;-0,032;0,004;-0,022;0,044;0,033;0,037;-0,023;-0,044;-0,026;-0,023;-0,015;-0,013;-0,006;0,003;0,005;-0,014;
2024-03-28;-0,011;-0,032;0,001;-0,018;0,049;0,038;0,037;-0,020;-0,044;-0,025;-0,023;-0,015;-0,013;-0,005;0,005;0,007;-0,009;
2024-04-02;-0,012;-0,035;-0,000;-0,016;0,044;0,036;0,034;-0,024;-0,043;-0,025;-0,025;-0,016;-0,014;-0,007;0,002;0,004;-0,005;
2024-04-03;-0,013;-0,035;-0,001;-0,016;0,043;0,035;0,034;-0,026;-0,043;-0,024;-0,026;-0,017;-0,015;-0,008;0,001;0,003;-0,010;
2024-04-04;-0,011;-0,034;0,001;-0,015;0,041;0,033;0,032;-0,028;-0,042;-0,024;-0,025;-0,018;-0,016;-0,010;-0,002;-0,001;-0,012;
2024-04-05;-0,012;-0,039;-0,003;-0,018;0,039;0,032;0,029;-0,027;-0,042;-0,024;-0,029;-0,017;-0,015;-0,009;0,000;0,002;-0,010;
2024-04-08;-0,012;-0,033;0,001;-0,019;0,037;0,030;0,030;-0,029;-0,042;-0,024;-0,027;-0,018;-0,016;-0,010;-0,001;0,000;-0,012;
2024-04-09;-0,012;-0,038;0,001;-0,019;0,037;0,029;0,027;-0,029;-0,042;-0,023;-0,029;-0,017;-0,015;-0,010;-0,001;0,001;-0,008;
2024-04-10;-0,012;-0,045;-0,004;-0,016;0,040;0,033;0,029;-0,027;-0,042;-0,023;-0,029;-0,017;-0,015;-0,009;0,001;0,002;-0,002;
2024-04-11;-0,012;-0,045;-0,005;-0,013;0,040;0,034;0,026;-0,027;-0,042;-0,023;-0,029;-0,017;-0,015;-0,008;0,002;0,004;0,000;
2024-04-12;-0,011;-0,044;-0,003;-0,008;0,044;0,038;0,024;-0,027;-0,041;-0,023;-0,034;-0,016;-0,013;-0,007;0,003;0,004;-0,000;
2024-04-15;-0,012;-0,041;0,001;-0,011;0,044;0,038;0,024;-0,030;-0,041;-0,023;-0,035;-0,017;-0,015;-0,009;0,000;0,002;-0,006;
2024-04-16;-0,013;-0,050;-0,010;-0,016;0,040;0,032;0,018;-0,030;-0,041;-0,023;-0,042;-0,018;-0,016;-0,011;-0,002;-0,001;-0,014;
2024-04-17;-0,012;-0,049;-0,006;-0,014;0,042;0,036;0,018;-0,030;-0,040;-0,023;-0,042;-0,018;-0,016;-0,010;-0,001;0,000;-0,010;
2024-04-18;-0,011;-0,052;-0,009;-0,019;0,038;0,032;0,017;-0,027;-0,040;-0,022;-0,044;-0,018;-0,016;-0,010;-0,002;-0,000;-0,010;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;;;;;;;;;;;;;;
2024-04-24;-0,010;-0,034;-0,002;-0,013;0,043;0,038;0,020;-0,021;-0,041;-0,022;-0,038;-0,017;-0,015;-0,008;0,002;0,003;-0,005;
2024-04-25;;;;;;;;;;;;;;;;;;
2024-04-26;-0,010;-0,033;-0,001;-0,013;0,045;0,042;0,018;-0,019;-0,040;-0,022;-0,039;-0,016;-0,013;-0,005;0,006;0,007;0,001;
2024-04-29;-0,010;-0,030;0,002;-0,014;0,046;0,042;0,022;-0,019;-0,040;-0,021;-0,034;-0,015;-0,013;-0,004;0,007;0,008;0,003;
2024-04-30;-0,010;-0,028;0,003;-0,012;0,046;0,043;0,023;-0,020;-0,040;-0,021;-0,031;-0,016;-0,013;-0,006;0,005;0,006;0,003;
2024-05-02;-0,010;-0,032;-0,002;-0,018;0,039;0,037;0,016;-0,018;-0,040;-0,021;-0,039;-0,016;-0,014;-0,007;0,003;0,004;0,004;
2024-05-03;-0,008;-0,030;0,001;-0,013;0,042;0,039;0,022;-0,015;-0,040;-0,021;-0,028;-0,015;-0,013;-0,005;0,004;0,006;0,004;
2024-05-06;;;;;;;;;;;;;;;;;;
2024-05-07;-0,007;-0,025;0,009;-0,007;0,047;0,044;0,029;-0,008;-0,040;-0,020;-0,022;-0,012;-0,010;-0,001;0,010;0,012;0,007;
2024-05-08;-0,008;-0,023;0,011;-0,004;0,049;0,047;0,033;-0,006;-0,039;-0,020;-0,019;-0,012;-0,009;0,000;0,012;0,014;0,009;
2024-05-10;-0,009;-0,018;0,017;-0,004;0,052;0,051;0,040;-0,005;-0,039;-0,020;-0,010;-0,011;-0,008;0,003;0,015;0,017;0,010;
2024-05-13;-0,008;-0,017;0,018;-0,005;0,053;0,051;0,038;-0,005;-0,038;-0,020;-0,013;-0,011;-0,008;0,003;0,015;0,016;0,012;
2024-05-14;-0,007;-0,013;0,020;-0,002;0,051;0,051;0,043;-0,005;-0,039;-0,020;-0,007;-0,010;-0,008;0,004;0,016;0,018;0,013;
2024-05-15;-0,007;-0,009;0,023;0,001;0,053;0,052;0,043;-0,007;-0,038;-0,020;-0,005;-0,010;-0,007;0,004;0,016;0,018;0,011;
2024-05-16;-0,007;-0,008;0,020;0,003;0,054;0,053;0,042;-0,005;-0,038;-0,020;-0,004;-0,010;-0,007;0,003;0,015;0,017;0,016;
2024-05-17;;;;;;;0,041;-0,003;-0,038;-0,020;-0,000;-0,010;-0,008;0,003;0,015;0,017;0,017;
2024-05-20;-0,008;-0,005;0,024;0,002;0,053;0,052;0,047;-0,005;-0,038;-0,019;0,006;-0,010;-0,007;0,004;0,017;0,019;0,017;
2024-05-21;-0,007;-0,007;0,023;-0,000;0,051;0,049;0,046;-0,006;-0,037;-0,019;0,006;-0,010;-0,007;0,004;0,017;0,019;0,014;
2024-05-22;-0,008;-0,003;0,025;0,005;0,056;0,052;0,047;-0,005;-0,037;-0,019;0,008;-0,010;-0,007;0,004;0,017;0,019;0,016;
2024-05-23;-0,010;-0,003;0,024;0,005;0,051;0,050;0,048;-0,010;-0,036;-0,019;0,008;-0,011;-0,008;0,003;0,016;0,018;0,014;
2024-05-24;-0,010;-0,003;0,022;0,001;0,046;0,047;0,044;-0,010;-0,036;-0,019;0,004;-0,011;-0,009;0,002;0,014;0,016;0,008;
2024-05-27;-0,009;-0,004;0,022;;;;0,044;;-0,036;-0,018;0,003;-0,011;-0,008;0,002;0,014;0,016;0,010;
2024-05-28;;;;;;;;;;;;;;;;;;
2024-05-29;-0,010;-0,010;0,017;0,001;0,037;0,039;0,036;-0,017;-0,035;-0,018;-0,006;-0,012;-0,010;-0,001;0,010;0,011;0,004;
2024-05-30;-0,011;-0,007;0,017;0,000;0,032;0,037;0,038;-0,019;-0,033;-0,018;-0,003;-0,013;-0,011;-0,003;0,008;0,009;-0,004;
2024-05-31;-0,010;-0,005;0,019;-0,007;0,028;0,032;0,042;-0,017;-0,033;-0,018;0,001;-0,013;-0,010;-0,003;0,008;0,009;-0,011;
2024-06-03;;;;;;;;;;;;;;;;;;
2024-06-04;-0,007;-0,009;0,018;-0,005;0,027;0,032;0,035;-0,020;-0,033;-0,017;-0,005;-0,012;-0,009;-0,003;0,006;0,008;-0,012;
2024-06-05;-0,008;-0,009;0,019;-0,002;0,026;0,033;;;;;;-0,011;-0,009;-0,001;0,009;0,010;-0,008;
2024-06-07;-0,009;-0,006;0,019;0,006;0,035;0,041;0,040;-0,017;-0,033;-0,017;0,004;-0,011;-0,008;0,001;0,012;0,014;0,001;
2024-06-10;;;;;;;0,039;-0,020;-0,031;-0,017;0,003;-0,011;-0,009;-0,000;0,011;0,012;-0,001;
2024-06-11;-0,009;-0,008;0,015;0,002;0,032;0,036;0,043;-0,023;-0,031;-0,017;0,006;-0,011;-0,009;-0,001;0,010;0,011;-0,003;
2024-06-12;-0,007;0,002;0,024;0,005;0,032;0,035;0,051;-0,024;-0,030;-0,017;0,017;-0,010;-0,008;-0,001;0,009;0,010;-0,010;
2024-06-13;-0,007;-0,003;0,018;0,009;0,035;0,036;0,043;-0,027;-0,030;-0,016;0,008;-0,010;-0,007;0,001;0,011;0,012;-0,001;
2024-06-14;-0,004;-0,011;0,012;0,011;0,040;0,039;0,037;-0,026;-0,030;-0,016;0,001;-0,008;-0,006;0,001;0,011;0,013;0,003;
2024-06-17;-0,004;-0,012;0,011;0,009;0,039;0,038;0,035;-0,026;-0,030;-0,016;0,001;-0,009;-0,007;0,002;0,012;0,013;0,001;
2024-06-18;-0,004;-0,012;0,010;0,009;0,039;0,037;0,033;-0,027;-0,030;-0,016;0,001;-0,009;-0,006;0,001;0,011;0,013;0,002;
2024-06-19;-0,004;-0,015;0,009;;;;0,032;;-0,030;-0,016;0,000;-0,009;-0,007;0,001;0,010;0,012;0,006;
2024-06-20;-0,005;-0,010;0,013;0,010;0,038;0,038;0,037;-0,024;-0,028;-0,016;0,006;-0,009;-0,007;0,001;0,012;0,013;0,007;
2024-06-24;-0,005;-0,009;0,016;0,009;0,042;0,040;0,038;-0,021;-0,029;-0,016;0,005;-0,008;-0,006;0,002;0,012;0,013;0,003;
2024-06-25;;;;;;;;;;;;;;;;;;
2024-06-26;-0,004;-0,016;0,011;0,013;0,043;0,042;0,032;-0,018;-0,027;-0,015;-0,001;-0,008;-0,006;0,003;0,014;0,015;0,008;
2024-06-27;-0,004;-0,016;0,011;0,017;0,044;0,044;0,032;-0,014;-0,027;-0,015;0,000;-0,007;-0,005;0,003;0,014;0,016;0,008;
2024-06-28;-0,004;-0,014;0,012;0,020;0,046;0,046;0,030;-0,015;-0,026;-0,015;-0,002;-0,007;-0,005;0,003;0,014;0,015;0,009;
2024-07-01;-0,005;-0,012;0,014;0,015;0,043;0,042;0,032;-0,015;-0,026;-0,015;0,001;-0,007;-0,005;0,005;0,016;0,018;0,011;
2024-07-02;-0,005;-0,013;0,011;0,019;0,043;0,043;0,030;-0,015;-0,025;-0,015;0,000;-0,008;-0,006;0,003;0,015;0,016;0,007;
2024-07-03;-0,006;-0,011;0,014;0,020;0,042;0,044;0,033;-0,016;-0,023;-0,015;0,003;-0,008;-0,006;0,003;0,013;0,015;0,007;
