
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;nordea generationsfond 60-tal;nordea generationsfond 70-tal;nordea generationsfond 80-tal;nordea generationsfond 90-tal;nordea generationsfond senior;nordea global;nordea indienfond;nordea kinafond;nordea obligationsfond;nordea realräntefond;nordea småbolagsfond norden;nordea stratega ränta;nordea swedish bond stars;nordea swedish stars;odin emerging markets c;odin fastighet c;odin global c;
2024-01-31;-0,052;-0,056;-0,056;-0,056;-0,031;-0,044;-0,026;-0,160;-0,013;-0,011;-0,062;-0,016;-0,022;-0,030;-0,058;0,023;-0,012;
2024-02-01;-0,052;-0,055;-0,055;-0,055;-0,031;-0,041;-0,024;-0,151;-0,012;-0,010;-0,061;-0,015;-0,021;-0,027;-0,055;0,017;-0,013;
2024-02-02;-0,051;-0,053;-0,053;-0,053;-0,031;-0,037;-0,025;-0,158;-0,013;-0,011;-0,063;-0,016;-0,022;-0,028;-0,049;0,015;-0,007;
2024-02-05;;;;;;;;;;;;;;;;;;
2024-02-06;-0,049;-0,049;-0,049;-0,048;-0,032;-0,031;-0,017;-0,128;-0,016;-0,013;-0,068;-0,017;-0,022;-0,032;-0,041;0,008;-0,008;
2024-02-07;-0,049;-0,050;-0,050;-0,050;-0,032;-0,034;-0,020;-0,132;-0,016;-0,012;-0,066;-0,017;-0,022;-0,034;-0,043;0,006;-0,009;
2024-02-08;-0,049;-0,049;-0,050;-0,049;-0,033;-0,033;-0,021;-0,135;-0,017;-0,013;-0,065;-0,018;-0,023;-0,034;-0,041;0,002;-0,006;
2024-02-09;-0,050;-0,050;-0,051;-0,050;-0,034;-0,032;-0,023;-0,138;-0,018;-0,014;-0,069;-0,019;-0,023;-0,035;;-0,008;-0,009;
2024-02-12;-0,050;-0,050;-0,050;-0,049;-0,033;-0,032;-0,028;;-0,019;-0,015;-0,068;-0,019;-0,023;-0,033;;0,003;-0,008;
2024-02-13;-0,050;-0,050;-0,050;-0,049;-0,034;-0,031;-0,024;;-0,019;-0,015;-0,073;-0,019;-0,023;-0,036;;-0,007;-0,009;
2024-02-14;-0,049;-0,048;-0,048;-0,048;-0,034;-0,028;-0,019;-0,128;-0,019;-0,015;-0,068;-0,019;-0,023;-0,034;-0,043;-0,007;-0,009;
2024-02-15;-0,048;-0,048;-0,048;-0,048;-0,033;-0,030;-0,021;-0,130;-0,018;-0,014;-0,065;-0,018;-0,023;-0,029;-0,043;0,002;-0,007;
2024-02-16;-0,047;-0,046;-0,046;-0,045;-0,033;-0,028;-0,019;-0,120;-0,019;-0,014;-0,063;-0,019;-0,023;-0,024;-0,042;-0,004;-0,004;
2024-02-19;;;;;-0,033;;-0,018;-0,127;-0,020;-0,013;-0,064;-0,020;-0,024;-0,025;-0,044;-0,003;;
2024-02-20;-0,049;-0,050;-0,051;-0,050;-0,032;-0,034;-0,020;-0,128;-0,019;-0,012;-0,067;-0,019;-0,023;-0,026;-0,046;-0,007;-0,006;
2024-02-21;-0,049;-0,051;-0,051;-0,051;-0,032;-0,035;-0,022;-0,122;-0,019;-0,012;-0,068;-0,019;-0,023;-0,025;-0,045;-0,015;-0,011;
2024-02-22;-0,046;-0,046;-0,047;-0,046;-0,032;-0,030;-0,022;-0,119;-0,020;-0,013;-0,065;-0,019;-0,023;-0,022;-0,040;-0,004;-0,003;
2024-02-23;-0,044;-0,044;-0,044;-0,044;-0,031;-0,027;-0,021;-0,116;-0,019;-0,012;-0,067;-0,019;-0,023;-0,021;-0,044;-0,010;-0,001;
2024-02-26;;;;;;;;;;;;;;;;;;
2024-02-27;-0,045;-0,046;-0,046;-0,045;-0,032;-0,028;-0,023;-0,113;-0,020;-0,014;-0,066;-0,019;-0,023;-0,018;-0,047;-0,011;-0,004;
2024-02-28;-0,045;-0,046;-0,046;-0,045;-0,032;-0,028;-0,026;-0,119;-0,021;-0,014;-0,069;-0,020;-0,023;-0,019;-0,050;-0,020;-0,005;
2024-02-29;-0,044;-0,044;-0,044;-0,044;-0,031;-0,027;-0,024;-0,117;-0,020;-0,013;-0,066;-0,019;-0,023;-0,016;-0,049;-0,012;-0,006;
2024-03-01;-0,043;-0,042;-0,042;-0,042;-0,031;-0,024;-0,019;-0,113;-0,020;-0,013;-0,065;-0,019;-0,023;-0,015;-0,049;-0,006;-0,004;
2024-03-04;-0,042;-0,041;-0,041;-0,041;-0,030;-0,022;-0,018;-0,115;-0,018;-0,011;-0,065;-0,018;-0,022;-0,017;-0,043;-0,009;-0,000;
2024-03-05;;;;;;;;;;;;;;;;;;
2024-03-06;-0,041;-0,041;-0,041;-0,041;-0,029;-0,025;-0,019;-0,119;-0,016;-0,010;-0,070;-0,017;-0,022;-0,014;-0,044;-0,009;-0,001;
2024-03-07;-0,040;-0,040;-0,041;-0,040;-0,028;-0,025;-0,022;-0,127;-0,015;-0,009;-0,069;-0,016;-0,021;-0,012;-0,046;-0,005;0,000;
2024-03-08;-0,039;-0,039;-0,039;-0,039;-0,027;-0,025;;-0,126;-0,013;-0,008;-0,066;-0,015;-0,021;-0,009;-0,044;0,010;0,001;
2024-03-11;-0,041;-0,041;-0,042;-0,041;-0,028;-0,029;-0,026;-0,116;-0,013;-0,008;-0,067;-0,015;-0,021;-0,011;-0,046;0,017;-0,000;
2024-03-12;-0,038;-0,037;-0,038;-0,037;-0,027;-0,024;-0,029;-0,101;-0,013;-0,008;-0,065;-0,015;-0,021;-0,005;-0,040;0,016;0,007;
2024-03-13;-0,038;-0,037;-0,037;-0,037;-0,027;-0,023;-0,042;-0,101;-0,014;-0,009;-0,064;-0,015;-0,021;-0,003;-0,045;0,015;0,002;
2024-03-14;-0,038;-0,036;-0,036;-0,035;-0,028;-0,021;-0,034;-0,100;-0,016;-0,010;-0,064;-0,016;-0,021;-0,003;-0,044;0,016;0,004;
2024-03-15;-0,038;-0,035;-0,035;-0,035;-0,028;-0,021;-0,033;-0,101;-0,017;-0,011;-0,063;-0,017;-0,021;-0,001;-0,044;0,011;0,006;
2024-03-18;-0,037;-0,033;-0,033;-0,032;-0,028;-0,016;-0,030;-0,096;-0,017;-0,012;-0,064;-0,017;-0,022;-0,005;-0,043;0,006;0,006;
2024-03-19;-0,037;-0,034;-0,034;-0,033;-0,028;-0,016;-0,034;-0,100;-0,017;-0,012;-0,064;-0,017;-0,022;-0,005;-0,045;0,013;0,006;
2024-03-20;-0,034;-0,030;-0,030;-0,030;-0,028;-0,012;-0,030;-0,095;-0,017;-0,012;-0,061;-0,017;-0,021;-0,003;-0,042;0,017;0,009;
2024-03-21;-0,030;-0,025;-0,025;-0,025;-0,026;-0,008;-0,027;-0,092;-0,016;-0,011;-0,055;-0,016;-0,021;0,004;-0,035;0,031;0,014;
2024-03-22;-0,029;-0,023;-0,023;-0,023;-0,025;-0,006;-0,021;-0,097;-0,015;-0,009;-0,053;-0,015;-0,020;0,006;-0,035;0,033;0,014;
2024-03-25;;;;;;;;;;;;;;;;;;
2024-03-26;-0,029;-0,022;-0,022;-0,022;-0,026;-0,004;-0,019;-0,092;-0,016;-0,010;-0,051;-0,016;-0,021;0,007;-0,033;0,041;0,012;
2024-03-27;-0,027;-0,021;-0,021;-0,021;-0,025;-0,003;-0,014;-0,096;-0,015;-0,009;-0,046;-0,015;-0,020;0,010;;;;
2024-03-28;-0,026;-0,018;-0,018;-0,018;-0,025;0,001;-0,009;-0,088;-0,015;-0,010;-0,045;-0,015;-0,020;0,008;;;;
2024-04-02;-0,028;-0,020;-0,020;-0,019;-0,026;-0,000;-0,001;-0,079;-0,018;-0,012;-0,044;-0,016;-0,021;0,007;-0,020;0,040;0,016;
2024-04-03;-0,028;-0,020;-0,020;-0,020;-0,027;-0,000;-0,001;-0,086;-0,018;-0,011;-0,045;-0,016;-0,021;0,008;-0,024;0,040;0,013;
2024-04-04;-0,028;-0,021;-0,021;-0,021;-0,026;-0,003;-0,006;;-0,017;-0,011;-0,043;-0,016;-0,021;0,009;;0,039;0,013;
2024-04-05;-0,031;-0,023;-0,024;-0,023;-0,027;-0,005;-0,002;-0,091;-0,018;-0,011;-0,044;-0,016;-0,021;0,007;-0,023;0,031;0,010;
2024-04-08;-0,031;-0,024;-0,025;-0,024;-0,027;-0,008;-0,002;-0,093;-0,019;-0,012;-0,042;-0,017;-0,021;0,009;-0,026;0,034;0,010;
2024-04-09;-0,031;-0,025;-0,025;-0,024;-0,027;-0,009;-0,005;-0,091;-0,018;-0,011;-0,044;-0,016;-0,021;0,008;-0,026;0,031;0,009;
2024-04-10;-0,031;-0,023;-0,023;-0,022;-0,028;-0,005;0,001;-0,082;-0,018;-0,011;-0,047;-0,017;-0,021;0,006;;0,021;0,012;
2024-04-11;-0,031;-0,022;-0,023;-0,022;-0,028;-0,004;;-0,077;-0,018;-0,011;-0,047;-0,017;-0,021;0,005;-0,022;0,014;0,013;
2024-04-12;-0,028;-0,019;-0,019;-0,018;-0,027;0,002;0,008;-0,079;-0,015;-0,010;-0,047;-0,016;-0,020;0,008;-0,021;0,017;0,014;
2024-04-15;-0,028;-0,019;-0,019;-0,019;-0,027;0,001;0,002;-0,081;-0,018;-0,012;-0,048;-0,017;-0,021;0,010;-0,024;0,023;0,016;
2024-04-16;-0,034;-0,026;-0,026;-0,026;-0,029;-0,004;0,004;-0,088;-0,019;-0,012;-0,054;-0,018;-0,021;0,001;-0,029;0,018;0,010;
2024-04-17;-0,032;-0,024;-0,024;-0,024;-0,029;-0,002;;-0,084;-0,018;-0,012;-0,052;-0,018;-0,021;0,006;-0,027;0,016;0,013;
2024-04-18;-0,034;-0,027;-0,027;-0,027;-0,030;-0,007;0,004;-0,082;-0,018;-0,011;-0,055;-0,018;-0,021;0,003;-0,030;0,018;0,011;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;;;;;;;;;;;;;;
2024-04-24;-0,031;-0,024;-0,024;-0,024;-0,028;-0,005;0,011;-0,066;-0,019;-0,010;-0,047;-0,018;-0,021;0,010;-0,026;0,019;0,015;
2024-04-25;;;;;;;;;;;;;;;;;;
2024-04-26;-0,029;-0,020;-0,020;-0,020;-0,028;-0,002;0,013;-0,055;-0,018;-0,010;-0,044;-0,018;-0,021;0,013;-0,021;0,019;0,015;
2024-04-29;-0,028;-0,018;-0,018;-0,018;-0,027;0,000;0,015;-0,053;-0,018;-0,010;-0,040;-0,018;-0,021;0,017;-0,019;0,023;0,014;
2024-04-30;-0,027;-0,017;-0,017;-0,017;-0,027;0,001;0,017;-0,052;-0,017;-0,009;-0,037;-0,018;-0,020;0,016;;;;
2024-05-02;-0,031;-0,023;-0,023;-0,022;-0,028;-0,007;0,017;-0,046;-0,017;-0,009;-0,039;-0,018;-0,020;0,011;-0,018;0,028;0,007;
2024-05-03;-0,028;-0,019;-0,019;-0,019;-0,026;-0,004;0,013;-0,043;-0,014;-0,008;-0,036;-0,016;-0,020;0,014;-0,021;0,024;0,004;
2024-05-06;;;;;;;;;;;;;;;;;;
2024-05-07;-0,024;-0,014;-0,015;-0,014;-0,024;0,001;0,007;-0,040;-0,012;-0,007;-0,030;-0,014;-0,019;0,019;-0,014;0,039;0,015;
2024-05-08;-0,023;-0,013;-0,013;-0,012;-0,024;0,003;0,010;-0,041;-0,012;-0,007;-0,025;-0,014;-0,019;0,022;-0,013;0,038;0,019;
2024-05-10;-0,020;-0,009;-0,010;-0,009;-0,023;0,006;0,005;-0,030;-0,013;-0,008;-0,020;-0,015;-0,019;0,028;-0,009;0,041;0,022;
2024-05-13;-0,020;-0,009;-0,009;-0,008;-0,023;0,005;0,006;-0,028;-0,012;-0,007;-0,018;-0,014;-0,019;0,029;-0,010;0,040;0,019;
2024-05-14;-0,020;-0,008;-0,009;-0,008;-0,023;0,005;0,009;-0,027;-0,013;-0,007;-0,015;-0,015;-0,018;0,030;-0,006;0,045;0,020;
2024-05-15;-0,018;-0,007;-0,007;-0,007;-0,021;0,006;0,009;;-0,011;-0,007;-0,012;-0,013;-0,018;0,032;-0,004;0,055;0,020;
2024-05-16;-0,018;-0,006;-0,007;-0,006;-0,021;0,008;0,012;-0,029;-0,011;-0,006;-0,014;-0,013;-0,018;0,030;;;;
2024-05-17;-0,018;-0,007;-0,007;-0,007;-0,021;0,007;0,017;-0,024;-0,012;-0,007;-0,014;-0,014;-0,018;0,029;;;;
2024-05-20;-0,017;-0,006;-0,006;-0,006;-0,021;0,007;;;-0,012;-0,007;-0,011;;-0,018;0,033;;;;
2024-05-21;-0,018;-0,007;-0,008;-0,007;-0,021;0,006;0,013;-0,033;-0,011;-0,007;-0,014;-0,013;-0,018;0,031;-0,008;0,044;0,017;
2024-05-22;-0,018;-0,006;-0,006;-0,006;-0,021;0,008;0,016;-0,031;-0,012;-0,008;-0,011;-0,014;-0,018;0,033;-0,006;0,054;0,020;
2024-05-23;-0,018;-0,007;-0,007;-0,007;-0,022;0,007;0,020;-0,040;-0,014;-0,009;-0,011;-0,014;-0,018;0,031;-0,008;0,046;0,018;
2024-05-24;-0,020;-0,010;-0,010;-0,010;-0,022;0,004;0,020;-0,046;-0,014;-0,010;-0,011;-0,015;-0,018;0,030;-0,009;0,044;0,017;
2024-05-27;;;;;-0,022;;0,017;-0,046;-0,012;-0,008;-0,013;;-0,018;0,030;-0,010;0,042;;
2024-05-28;;;;;;;;;;;;;;;;;;
2024-05-29;-0,024;-0,014;-0,015;-0,014;-0,023;-0,001;0,008;-0,055;-0,014;-0,009;-0,014;-0,015;-0,018;0,024;-0,010;0,038;0,011;
2024-05-30;-0,024;-0,015;-0,016;-0,015;-0,024;-0,001;0,007;-0,056;-0,015;-0,010;-0,011;-0,015;-0,018;0,024;-0,017;0,044;0,008;
2024-05-31;-0,025;-0,019;-0,019;-0,018;-0,023;-0,007;0,002;-0,065;-0,014;-0,010;-0,009;-0,015;-0,018;0,025;-0,023;0,046;0,004;
2024-06-03;;;;;;;;;;;;;;;;;;
2024-06-04;-0,025;-0,018;-0,019;-0,018;-0,021;-0,007;-0,012;-0,058;-0,010;-0,007;-0,015;-0,013;-0,017;0,024;-0,023;0,055;0,007;
2024-06-05;-0,025;-0,019;-0,019;-0,019;-0,021;-0,008;0,001;-0,063;-0,010;-0,007;-0,016;-0,013;-0,017;0,024;-0,020;0,053;0,007;
2024-06-07;-0,022;-0,013;-0,013;-0,013;-0,022;0,000;0,017;-0,061;-0,012;-0,009;-0,012;-0,014;-0,017;0,024;-0,014;0,042;0,010;
2024-06-10;-0,023;-0,015;-0,015;-0,014;-0,022;-0,000;0,022;;-0,013;-0,009;-0,012;-0,014;-0,017;0,021;;0,040;0,007;
2024-06-11;-0,024;-0,017;-0,017;-0,017;-0,022;-0,003;0,021;-0,063;-0,011;-0,008;-0,012;-0,014;-0,017;0,017;-0,010;0,037;0,007;
2024-06-12;-0,022;-0,016;-0,016;-0,016;-0,020;-0,003;0,017;-0,072;-0,008;-0,006;-0,005;-0,012;-0,016;0,024;-0,014;0,044;0,005;
2024-06-13;-0,022;-0,014;-0,014;-0,014;-0,020;-0,001;0,023;-0,063;-0,008;-0,006;-0,009;-0,012;-0,016;0,019;-0,010;0,038;0,004;
2024-06-14;-0,021;-0,012;-0,012;-0,012;-0,020;0,004;0,031;-0,061;-0,006;-0,003;-0,014;-0,011;-0,015;0,014;-0,006;0,033;0,006;
2024-06-17;-0,022;-0,013;-0,014;-0,013;-0,020;0,003;;-0,062;-0,007;-0,004;-0,013;-0,012;-0,016;0,012;;0,030;0,006;
2024-06-18;-0,021;-0,013;-0,013;-0,013;-0,019;0,003;0,031;-0,065;-0,006;-0,004;-0,014;-0,012;-0,015;0,012;-0,003;0,026;0,004;
2024-06-19;;;;;-0,019;;0,028;-0,060;-0,007;-0,004;-0,016;-0,012;-0,015;0,012;-0,004;0,023;;
2024-06-20;-0,019;-0,011;-0,011;-0,010;-0,019;0,005;0,029;-0,062;-0,008;-0,004;-0,012;-0,012;-0,015;0,015;-0,006;0,026;0,004;
2024-06-24;-0,019;-0,011;-0,012;-0,011;-0,018;0,005;0,029;-0,070;-0,007;-0,004;-0,011;-0,012;-0,015;0,017;-0,008;0,031;0,013;
2024-06-25;;;;;;;;;;;;;;;;;;
2024-06-26;-0,019;-0,009;-0,010;-0,009;-0,018;0,011;0,040;-0,065;-0,007;-0,004;-0,016;-0,011;-0,015;0,014;-0,002;0,026;0,014;
2024-06-27;-0,018;-0,009;-0,009;-0,009;-0,018;0,011;0,043;-0,070;-0,006;-0,003;-0,016;-0,011;-0,014;0,011;-0,006;0,029;0,016;
2024-06-28;-0,017;-0,007;-0,007;-0,007;-0,018;0,014;0,038;-0,072;-0,006;-0,003;-0,015;-0,011;-0,014;0,012;-0,002;0,039;0,018;
2024-07-01;-0,017;-0,008;-0,008;-0,008;-0,018;0,012;0,040;;-0,008;-0,004;-0,014;-0,012;-0,015;0,016;-0,002;0,037;0,015;
2024-07-02;-0,018;-0,009;-0,009;-0,008;-0,019;0,013;0,040;-0,071;-0,009;-0,005;-0,015;-0,012;-0,015;0,011;0,000;0,040;0,016;
2024-07-03;-0,017;-0,008;-0,008;-0,008;-0,018;0,013;0,040;-0,068;-0,009;-0,005;-0,013;-0,012;-0,015;0,012;-0,005;0,042;0,012;
2024-07-04;;;;;-0,018;;0,038;-0,067;-0,009;-0,005;-0,014;-0,012;-0,015;0,013;-0,002;0,050;;
2024-07-05;-0,017;-0,007;-0,007;-0,007;-0,018;0,013;0,038;-0,072;-0,008;-0,004;-0,013;-0,011;-0,014;0,013;-0,002;0,055;0,015;
2024-07-08;-0,015;-0,005;-0,005;-0,005;-0,017;0,015;0,037;-0,078;-0,007;-0,004;-0,015;-0,010;-0,014;0,013;0,000;0,056;0,017;
2024-07-09;-0,015;-0,004;-0,004;-0,004;-0,018;0,017;0,041;-0,073;-0,008;-0,004;-0,014;-0,011;-0,014;0,009;0,002;0,065;0,016;
2024-07-10;-0,014;-0,003;-0,003;-0,003;-0,017;0,019;0,038;-0,072;-0,006;-0,003;-0,015;-0,010;-0,014;0,009;0,005;0,078;0,020;
2024-07-11;-0,012;-0,001;-0,001;-0,001;-0,015;0,019;0,035;-0,066;-0,004;-0,001;-0,012;-0,009;-0,013;0,014;0,010;0,082;0,024;
2024-07-12;-0,009;0,003;0,003;0,003;-0,014;0,021;0,040;-0,054;-0,004;-0,001;-0,007;-0,008;-0,013;0,022;0,007;0,081;0,025;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;;;;;;;;;;;;;;;
2024-07-22;-0,009;0,003;0,003;0,003;-0,013;0,023;0,044;-0,061;-0,001;0,000;-0,008;-0,007;-0,012;0,019;0,002;0,076;0,031;
2024-07-23;-0,008;0,005;0,005;0,005;-0,013;0,026;0,044;-0,066;-0,001;0,001;-0,009;-0,007;-0,011;0,018;0,001;0,069;0,033;
2024-07-24;-0,010;0,001;0,001;0,002;-0,013;0,021;0,046;-0,072;-0,001;0,001;-0,011;-0,007;-0,011;0,015;-0,003;0,068;0,029;
2024-07-25;-0,013;-0,002;-0,003;-0,002;-0,013;0,017;0,044;-0,079;-0,001;0,001;-0,014;-0,007;-0,011;0,011;-0,006;0,064;0,021;
2024-07-26;;;;;;;;;;;;;;;;;;
2024-07-29;-0,008;0,004;0,004;0,004;-0,012;0,023;0,054;-0,076;0,000;0,002;-0,008;-0,006;-0,011;0,017;-0,002;0,070;0,029;
2024-07-30;-0,009;0,002;0,002;0,002;-0,012;0,022;0,050;-0,083;0,000;0,002;-0,009;-0,006;-0,011;0,018;-0,003;0,070;0,030;
2024-07-31;-0,009;0,002;0,002;0,003;-0,011;0,020;0,048;-0,077;0,001;0,002;-0,009;-0,005;-0,010;0,018;0,002;0,068;0,031;
2024-08-01;-0,010;0,001;0,001;0,001;-0,011;0,020;0,048;-0,080;0,002;0,003;-0,011;-0,004;-0,010;0,016;-0,002;0,065;0,024;
2024-08-02;-0,019;-0,014;-0,015;-0,014;-0,013;0,001;0,044;-0,090;0,005;0,004;-0,024;-0,003;-0,009;0,001;-0,012;0,071;0,017;
2024-08-05;;;;;;;;;;;;;;;;;;
2024-08-06;-0,027;-0,025;-0,025;-0,024;-0,015;-0,010;0,027;-0,094;0,005;0,003;-0,038;-0,003;-0,009;-0,013;-0,033;0,045;-0,003;
2024-08-07;-0,024;-0,021;-0,021;-0,021;-0,015;-0,008;0,029;-0,095;0,002;0,002;-0,026;-0,004;-0,010;-0,004;-0,027;0,059;-0,001;
2024-08-08;-0,026;-0,022;-0,022;-0,022;-0,015;-0,008;0,028;-0,093;0,002;0,002;-0,029;-0,004;-0,009;-0,005;-0,021;0,057;0,004;
2024-08-09;-0,024;-0,020;-0,020;-0,020;-0,014;-0,007;0,032;-0,089;0,003;0,002;-0,027;-0,003;-0,009;-0,004;-0,016;0,068;0,006;
2024-08-12;-0,023;-0,019;-0,019;-0,019;-0,014;-0,004;0,031;-0,087;0,003;0,002;-0,027;-0,003;-0,009;-0,004;-0,014;0,064;0,008;
2024-08-13;-0,020;-0,015;-0,015;-0,015;-0,012;0,000;0,029;-0,085;0,005;0,003;-0,027;-0,002;-0,008;-0,001;-0,012;0,067;0,008;
2024-08-14;;;;;;;0,026;-0,092;;;;-0,002;;;;;;
2024-08-15;-0,015;-0,008;-0,008;-0,008;-0,011;0,009;;;0,002;0,002;-0,022;;-0,009;0,008;-0,008;0,068;0,018;
2024-08-16;-0,013;-0,006;-0,006;-0,006;-0,010;0,010;0,036;-0,082;0,004;0,003;-0,023;-0,002;-0,008;0,008;0,001;0,071;0,022;
2024-08-19;-0,013;-0,006;-0,006;-0,006;-0,010;0,008;0,033;-0,083;0,004;0,003;-0,022;-0,002;-0,008;0,010;-0,003;0,074;0,017;
2024-08-20;-0,013;-0,007;-0,007;-0,007;-0,010;0,006;0,030;-0,091;0,004;0,002;-0,022;-0,002;-0,008;0,008;-0,007;0,073;0,014;
2024-08-21;-0,013;-0,008;-0,008;-0,007;-0,009;0,005;0,030;-0,094;0,005;0,003;-0,024;-0,001;-0,008;0,007;-0,010;0,065;0,015;
2024-08-22;-0,012;-0,006;-0,006;-0,006;-0,009;0,006;0,030;-0,089;0,004;0,002;-0,021;-0,002;-0,008;0,010;-0,008;0,071;0,017;
2024-08-27;;;;;;;;;;;;;;;;;;
2024-08-28;-0,010;-0,004;-0,005;-0,004;-0,008;0,006;0,029;-0,106;0,002;0,001;-0,018;-0,002;-0,008;0,014;-0,012;0,077;0,016;
2024-08-29;-0,010;-0,004;-0,004;-0,004;-0,008;0,007;0,031;-0,103;0,002;0,001;-0,016;-0,002;-0,007;0,015;-0,009;0,069;0,019;
2024-08-30;-0,008;-0,001;-0,002;-0,001;-0,008;0,010;0,035;-0,095;0,002;0,001;-0,013;-0,002;-0,007;0,018;-0,002;0,077;0,025;
2024-09-02;;;;;-0,008;;0,033;-0,100;0,000;-0,000;-0,017;-0,002;-0,008;0,016;-0,008;0,073;;
2024-09-03;-0,009;-0,004;-0,004;-0,004;-0,008;0,008;0,035;-0,097;0,002;0,000;-0,020;-0,002;-0,007;0,015;-0,006;0,066;0,023;
2024-09-04;-0,013;-0,009;-0,009;-0,008;-0,008;0,003;0,035;-0,099;0,003;0,001;-0,021;-0,001;-0,007;0,007;-0,015;0,065;0,017;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;;;;;0,008;;;;;;;;;;
2024-10-11;-0,002;0,010;0,010;0,010;-0,007;0,019;0,039;;0,000;0,002;-0,013;-0,003;-0,006;0,014;0,019;0,095;0,021;
2024-10-14;0,001;0,014;0,014;0,014;-0,007;0,025;0,044;0,006;0,001;0,002;-0,015;-0,002;-0,006;0,015;0,021;0,093;0,026;
2024-10-15;0,002;0,014;0,014;0,014;-0,005;0,024;0,043;-0,014;0,002;0,003;-0,014;-0,001;-0,006;0,016;0,015;0,091;0,024;
2024-10-16;0,001;0,013;0,013;0,013;-0,005;0,023;0,045;-0,014;0,003;0,004;-0,016;0,000;-0,005;0,013;0,023;0,090;0,029;
2024-10-17;0,003;0,017;0,017;0,017;-0,005;0,027;0,040;-0,020;0,004;0,004;-0,013;0,000;-0,005;0,014;0,024;0,084;0,027;
2024-10-18;0,004;0,018;0,018;0,018;-0,005;0,026;0,042;0,002;0,003;0,004;-0,013;0,000;-0,005;0,016;0,028;0,085;0,030;
2024-10-21;0,003;0,018;0,018;0,018;-0,005;0,026;0,038;-0,005;0,001;0,002;-0,012;-0,001;-0,005;0,016;0,028;0,075;0,027;
2024-10-22;0,000;0,015;0,015;0,015;-0,007;0,024;0,030;-0,001;0,000;0,002;-0,018;-0,002;-0,005;0,011;0,023;0,068;0,024;
2024-10-23;0,001;0,016;0,016;0,016;-0,006;0,026;0,034;0,005;0,000;0,002;-0,019;-0,002;-0,005;0,014;0,026;0,069;0,026;
2024-10-24;0,000;0,014;0,014;0,014;-0,006;0,024;0,032;-0,005;0,002;0,003;-0,019;-0,002;-0,005;0,016;0,023;0,067;0,023;
2024-10-25;0,001;0,015;0,015;0,015;-0,006;0,026;0,031;-0,002;0,002;0,003;-0,019;-0,001;-0,005;0,016;0,021;0,066;0,021;
2024-10-28;;;;;;;;;;;;;;;;;;
2024-10-29;0,002;0,018;0,018;0,018;-0,006;0,028;0,039;0,002;0,002;0,003;-0,016;-0,002;-0,005;0,021;0,022;0,065;0,026;
2024-10-30;0,002;0,017;0,017;0,017;-0,006;0,029;0,039;-0,005;0,003;0,003;-0,018;-0,001;-0,005;0,015;0,022;0,060;0,026;
2024-10-31;-0,003;0,011;0,011;0,011;-0,008;0,022;0,036;-0,011;0,001;0,002;-0,023;-0,003;-0,005;0,008;0,024;0,057;0,022;
2024-11-01;-0,001;0,014;0,014;0,014;-0,007;0,025;;;0,001;0,002;-0,021;;-0,005;0,010;0,028;0,059;0,026;
2024-11-04;-0,001;0,013;0,013;0,013;-0,007;0,022;0,035;-0,003;0,001;0,002;-0,020;-0,003;-0,005;0,012;0,027;0,057;0,024;
2024-11-05;;;;;;;;;;;;;;;;;;
2024-11-06;0,005;0,023;0,023;0,024;-0,007;0,040;0,052;0,005;-0,001;0,001;-0,024;-0,003;-0,005;0,010;0,032;0,043;0,035;
2024-11-07;0,006;0,023;0,023;0,023;-0,006;0,038;0,042;0,008;-0,002;0,001;-0,018;-0,003;-0,005;0,015;0,031;0,054;0,032;
2024-11-08;;;;;;;;;;;;;;;;;;
2024-11-11;0,009;0,028;0,027;0,028;-0,005;0,047;0,043;0,002;0,001;0,002;-0,016;-0,001;-0,005;0,014;0,033;0,065;0,041;
2024-11-12;;;;;;;;;;;;;;;;;;
2024-11-13;0,005;0,024;0,024;0,024;-0,007;0,046;0,032;-0,009;0,000;0,002;-0,026;-0,002;-0,005;0,000;0,024;0,049;0,039;
2024-11-14;0,007;0,026;0,025;0,026;-0,006;0,048;0,039;-0,016;0,002;0,003;-0,023;-0,002;-0,005;0,005;0,022;0,052;0,037;
2024-11-15;;;;;;;;;;;;;;;;;;
2024-11-18;0,002;0,019;0,019;0,020;-0,007;0,040;0,036;-0,017;0,001;0,002;-0,031;-0,002;-0,005;-0,003;0,023;0,037;0,028;
2024-11-19;0,001;0,018;0,018;0,019;-0,008;0,038;0,037;-0,016;0,001;0,003;-0,036;-0,002;-0,005;-0,007;0,023;0,037;0,027;
2024-11-20;0,003;0,022;0,021;0,022;-0,008;0,042;;-0,013;0,001;0,003;-0,034;-0,002;-0,005;-0,005;0,027;0,032;0,031;
2024-11-21;0,003;0,022;0,022;0,022;-0,007;0,043;0,039;-0,016;0,002;0,003;-0,035;-0,001;-0,004;-0,005;0,031;0,029;0,034;
2024-11-22;0,008;0,028;0,028;0,028;-0,005;0,050;0,048;-0,025;0,003;0,004;-0,029;-0,001;-0,004;0,002;0,031;0,042;0,038;
