
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[swedbank robur small cap europe a][swedbank robur småbolagsfond europa a];[];[];[];
# ;swedbank robur access asien a;swedbank robur access europa a;swedbank robur access global a;swedbank robur access sverige a;swedbank robur access usa a;swedbank robur aktiefond pension;swedbank robur europafond a;swedbank robur fastighet a;swedbank robur healthcare a;swedbank robur mixfond pension;swedbank robur nordenfond;swedbank robur obligation a;swedbank robur räntefond kort a;swedbank robur small cap europe a;swedbank robur småbolagsfond sverige a;swedbank robur technology a;swedbank robur transfer 50;
2024-11-21;0,040;-0,005;0,056;-0,002;0,073;0,027;0,001;0,055;0,080;0,012;0,010;-0,004;-0,005;0,014;-0,011;0,079;0,006;
2024-11-22;0,041;-0,001;0,062;0,005;0,079;0,032;0,007;0,061;0,089;0,014;0,015;-0,003;-0,005;0,018;-0,001;0,087;0,008;
2024-11-25;0,039;-0,001;0,062;0,005;0,079;0,031;0,008;0,065;0,088;0,014;0,015;-0,003;-0,005;0,018;0,001;0,084;0,009;
2024-11-26;0,038;-0,002;0,062;0,003;0,079;0,031;0,008;0,063;0,088;0,014;0,014;-0,003;-0,005;0,016;-0,001;0,086;0,009;
2024-11-27;0,039;-0,003;0,062;0,004;0,079;0,031;0,006;0,071;0,092;0,014;0,014;-0,002;-0,005;0,016;-0,001;0,081;0,009;
2024-11-28;;;;;;;;;;;;;;;;;;
2024-11-29;0,033;-0,003;0,061;0,006;0,077;0,030;0,006;0,069;0,090;0,014;0,015;-0,002;-0,005;0,017;0,002;0,081;0,009;
2024-12-02;0,042;0,002;0,067;0,012;0,084;0,037;0,011;0,068;0,094;0,019;0,023;-0,001;-0,005;0,018;0,008;0,090;0,012;
2024-12-03;0,046;0,006;0,068;0,016;0,084;0,040;0,014;0,067;0,096;0,021;0,027;-0,001;-0,005;0,022;0,010;0,092;0,012;
2024-12-04;0,045;0,007;0,068;0,020;0,084;0,041;0,016;0,062;0,093;0,021;0,030;-0,002;-0,005;0,025;0,014;0,100;0,011;
2024-12-05;0,042;0,007;0,066;0,020;0,082;0,040;0,016;0,058;0,088;0,020;0,028;-0,003;-0,005;0,024;0,013;0,096;0,010;
2024-12-06;0,045;0,009;0,068;0,023;0,084;0,042;0,019;0,060;0,087;0,021;0,030;-0,003;-0,005;0,027;0,016;0,100;0,011;
2024-12-09;;;;;;;;;;;;;;;;;;
2024-12-10;0,049;0,008;0,067;0,021;0,083;0,042;0,018;0,056;0,088;0,022;0,031;-0,003;-0,005;0,028;0,015;0,098;0,011;
2024-12-11;0,046;0,007;0,067;0,019;0,083;0,041;0,017;0,055;0,084;0,021;0,029;-0,003;-0,005;0,028;0,018;0,099;0,011;
2024-12-12;;;;;;;;;;;;;;;;;;
2024-12-13;0,048;0,005;0,067;0,014;0,085;0,039;0,014;0,052;0,079;0,019;0,026;-0,004;-0,005;0,023;0,014;0,107;0,009;
2024-12-16;0,044;0,002;0,064;0,012;0,083;0,037;0,011;0,049;0,079;0,016;0,024;-0,004;-0,005;0,018;0,010;0,109;0,008;
2024-12-17;0,041;0,003;0,064;0,010;0,082;0,036;0,013;0,047;0,076;0,016;0,022;-0,005;-0,005;0,017;0,009;0,106;0,008;
2024-12-18;0,044;0,002;0,064;0,012;0,082;0,037;0,014;0,047;0,076;0,016;0,021;-0,005;-0,005;0,017;0,012;0,107;0,008;
2024-12-19;0,040;-0,006;0,055;0,001;0,074;0,028;0,005;0,034;0,066;0,011;0,012;-0,007;-0,005;0,008;0,004;0,096;0,005;
2024-12-20;0,036;-0,012;0,052;-0,003;0,070;0,024;-0,001;0,033;0,065;0,009;0,004;-0,006;-0,004;0,006;0,001;0,091;0,004;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;;;;;;;;;;;;;;
2025-02-19;0,047;0,021;0,065;0,039;0,079;0,050;0,030;0,040;0,074;0,023;0,036;-0,005;-0,002;0,007;0,031;0,092;0,011;
2025-02-20;0,042;0,020;0,061;0,041;0,074;0,048;0,029;0,037;0,076;0,022;0,037;-0,005;-0,002;0,005;0,032;0,087;0,010;
2025-02-21;0,048;0,020;0,060;0,040;0,073;0,047;0,029;0,036;0,073;0,023;0,038;-0,004;-0,002;0,005;0,029;0,086;0,010;
2025-02-24;0,045;0,021;0,055;0,038;0,066;0,043;0,028;0,036;0,076;0,022;0,036;-0,004;-0,002;0,003;0,027;0,072;0,009;
2025-02-25;;;;;;;;;;;;;;;;;;
2025-02-26;0,044;0,025;0,055;0,043;0,065;0,045;0,031;0,041;0,079;0,024;0,042;-0,004;-0,002;0,008;0,028;0,067;0,010;
2025-02-27;0,044;0,022;0,054;0,038;0,064;0,043;0,028;0,043;0,084;0,024;0,038;-0,003;-0,002;0,003;0,024;0,063;0,010;
2025-02-28;0,032;0,022;0,049;0,037;0,059;0,040;0,028;0,044;0,080;0,022;0,037;-0,003;-0,002;0,002;0,023;0,054;0,009;
2025-03-03;0,028;0,025;0,050;0,040;0,059;0,040;0,029;0,042;0,079;0,022;0,038;-0,004;-0,002;0,008;0,025;0,049;0,009;
2025-03-04;0,025;0,017;0,038;0,026;0,045;0,028;0,021;0,040;0,077;0,017;0,027;-0,003;-0,002;-0,003;0,013;0,034;0,006;
2025-03-05;0,022;0,017;0,030;0,033;0,036;0,027;0,022;0,027;0,067;0,015;0,031;-0,006;-0,002;0,003;0,016;0,029;0,004;
2025-03-06;0,023;0,012;0,023;0,030;0,027;0,024;0,019;0,015;0,059;0,012;0,029;-0,007;-0,002;0,005;0,009;0,018;0,001;
2025-03-10;;;;;;;;;;;;;;;;;;
2025-03-11;0,010;-0,002;0,004;0,019;0,006;0,008;0,002;0,002;0,044;0,005;0,016;-0,008;-0,002;-0,010;-0,003;-0,007;-0,003;
2025-03-12;;;;;;;;;;;;;;;;;;
2025-03-13;0,013;0,005;0,012;0,019;0,014;0,012;0,008;0,002;0,049;0,008;0,018;-0,007;-0,002;-0,003;-0,003;0,007;-0,002;
2025-03-14;;;;;;;;;;;;;;;;;;
2025-03-17;0,018;0,011;0,014;0,025;0,017;0,016;0,014;0,008;0,052;0,010;0,024;-0,007;-0,002;0,005;0,005;0,010;-0,001;
2025-03-18;;;;;;;;;;;;;;;;;;
2025-03-19;0,025;0,013;0,015;0,025;0,016;0,016;0,016;0,004;0,053;0,010;0,026;-0,008;-0,002;0,010;0,005;0,009;-0,001;
2025-03-20;0,026;0,013;0,020;0,023;0,023;0,019;0,017;0,009;0,057;0,011;0,025;-0,008;-0,002;0,010;0,004;0,015;0,000;
2025-03-21;0,020;0,008;0,015;0,018;0,016;0,013;0,011;0,004;0,052;0,008;0,018;-0,008;-0,002;0,003;0,000;0,007;-0,001;
2025-03-24;0,022;0,008;0,021;0,019;0,026;0,018;0,011;0,004;0,054;0,009;0,018;-0,008;-0,002;0,002;0,001;0,018;-0,000;
2025-03-25;0,014;0,004;0,018;0,017;0,022;0,015;0,007;0,002;0,048;0,006;0,014;-0,008;-0,002;-0,002;-0,000;0,014;-0,001;
2025-03-26;0,016;0,002;0,017;0,015;0,021;0,014;0,004;0,001;0,045;0,006;0,012;-0,008;-0,002;-0,002;-0,004;0,008;-0,001;
2025-03-27;0,016;-0,000;0,015;0,010;0,019;0,010;0,001;0,002;0,043;0,004;0,007;-0,007;-0,002;-0,007;-0,009;0,003;-0,002;
2025-03-28;0,011;-0,004;0,006;0,005;0,008;0,002;-0,003;0,000;0,040;0,001;0,002;-0,007;-0,002;-0,014;-0,013;-0,011;-0,003;
2025-03-31;0,005;-0,008;0,001;0,000;0,004;-0,003;-0,007;0,002;0,040;-0,001;-0,003;-0,006;-0,001;-0,019;-0,014;-0,021;-0,004;
2025-04-01;0,006;-0,008;0,003;0,001;0,007;-0,001;-0,007;0,001;0,040;-0,001;-0,003;-0,006;-0,001;-0,020;-0,008;-0,016;-0,003;
2025-04-02;0,005;-0,012;0,002;-0,006;0,006;-0,003;-0,011;-0,001;0,032;-0,003;-0,011;-0,006;-0,001;-0,024;-0,013;-0,015;-0,004;
2025-04-03;-0,009;-0,019;-0,016;-0,014;-0,015;-0,020;-0,018;-0,007;0,028;-0,010;-0,020;-0,005;-0,001;-0,031;-0,012;-0,042;-0,008;
2025-04-04;;-0,031;-0,024;-0,031;-0,021;-0,029;-0,030;-0,009;0,023;-0,013;-0,035;-0,003;-0,001;-0,049;-0,028;-0,053;-0,008;
2025-04-07;-0,039;-0,050;-0,043;-0,049;-0,040;-0,045;-0,047;-0,033;0,001;-0,023;-0,050;-0,003;-0,001;-0,060;-0,044;-0,066;-0,013;
2025-04-08;-0,039;-0,041;-0,024;-0,044;-0,019;-0,032;-0,039;-0,029;0,020;-0,018;-0,042;-0,003;-0,001;-0,050;-0,041;-0,043;-0,009;
2025-04-09;-0,046;-0,051;-0,040;-0,058;-0,036;-0,046;-0,048;-0,050;0,001;-0,024;-0,056;-0,003;-0,001;-0,061;-0,058;-0,060;-0,012;
2025-04-10;-0,034;-0,038;-0,023;-0,039;-0,019;-0,029;-0,035;-0,028;0,009;-0,015;-0,040;-0,002;-0,001;-0,048;-0,040;-0,038;-0,008;
2025-04-11;-0,029;-0,034;-0,027;-0,042;-0,025;-0,033;-0,033;-0,032;0,005;-0,016;-0,039;-0,002;-0,001;-0,044;-0,042;-0,043;-0,008;
2025-04-14;-0,028;-0,030;-0,020;-0,031;-0,016;-0,025;-0,028;-0,025;0,011;-0,013;-0,032;-0,001;-0,001;-0,037;-0,033;-0,036;-0,006;
2025-04-15;-0,018;-0,017;-0,012;-0,020;-0,010;-0,017;-0,017;-0,012;0,019;-0,007;-0,020;-0,002;-0,001;-0,024;-0,021;-0,029;-0,004;
2025-04-16;-0,025;-0,021;-0,021;-0,026;-0,022;-0,024;-0,021;-0,013;0,012;-0,010;-0,025;-0,001;-0,001;-0,029;-0,025;-0,044;-0,006;
2025-04-17;-0,028;-0,025;-0,029;-0,027;-0,030;-0,030;-0,026;-0,014;0,002;-0,013;;-0,002;-0,001;-0,034;-0,026;-0,054;-0,008;
2025-04-22;-0,032;-0,027;-0,036;-0,028;-0,040;-0,035;-0,030;-0,019;-0,009;-0,015;-0,032;-0,001;-0,000;-0,040;-0,029;-0,068;-0,009;
2025-04-23;-0,018;-0,015;-0,018;-0,014;-0,019;-0,018;-0,016;-0,008;0,005;-0,008;-0,017;-0,001;-0,000;-0,026;-0,014;-0,039;-0,005;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;;;;;;;;;;;;;;;;;
2025-04-29;-0,014;-0,008;-0,011;-0,014;-0,013;-0,013;-0,010;-0,007;0,010;-0,005;-0,015;-0,001;-0,000;-0,017;-0,015;-0,023;-0,003;
2025-04-30;-0,008;-0,008;-0,013;-0,005;-0,016;-0,012;-0,009;-0,004;0,013;-0,003;-0,007;-0,000;-0,000;-0,015;-0,004;-0,028;-0,003;
2025-05-02;-0,000;-0,001;-0,002;-0,001;-0,003;-0,002;0,000;0,004;0,013;-0,000;0,000;-0,001;-0,000;-0,007;0,000;-0,006;-0,001;
2025-05-05;;0,003;-0,000;-0,000;-0,001;0,001;0,003;0,004;0,013;0,001;0,002;-0,001;-0,000;;0,001;-0,002;-0,000;
2025-05-06;;;;;;;;;;;;;;;;;;
2025-05-07;0,002;-0,000;-0,002;-0,005;-0,003;-0,002;-0,001;0,002;0,006;-0,001;-0,003;-0,000;-0,000;-0,006;-0,002;-0,007;-0,001;
2025-05-08;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
