
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;c worldwide asia 1a;c worldwide global equities 1a;c worldwide global equities ethical 1a;c worldwide healthcare select 1a;c worldwide sweden 1a;c worldwide sweden small cap 1a;captor dahlia green bond a;captor iris bond a;carnegie fastighetsfond norden a;carnegie indienfond a;carnegie likviditetsfond a;carnegie listed private equity a;carnegie obligationsfond a;carnegie småbolagsfond a;carnegie strategifond a;carnegie sverigefond a;cb save earth fund rc;
2022-10-24;-0,085;-0,077;-0,081;0,013;-0,143;-0,163;-0,060;-0,056;-0,130;-0,012;-0,041;-0,172;-0,034;-0,232;-0,138;-0,155;-0,034;
2022-10-25;-0,087;-0,077;-0,083;0,017;-0,139;-0,153;-0,058;-0,053;-0,114;-0,021;-0,041;-0,167;-0,032;-0,226;-0,136;-0,154;-0,032;
2022-10-26;-0,091;-0,087;-0,087;0,019;-0,136;-0,152;-0,058;-0,052;-0,111;;-0,041;-0,161;-0,033;-0,227;-0,136;-0,152;-0,035;
2022-10-27;-0,089;-0,089;-0,087;0,013;-0,138;-0,151;-0,055;-0,048;-0,100;-0,021;-0,041;-0,159;-0,030;-0,219;-0,132;-0,147;-0,035;
2022-10-28;-0,090;-0,085;-0,087;0,019;-0,135;-0,149;-0,057;-0,051;-0,102;-0,019;-0,041;-0,160;-0,032;-0,216;-0,131;-0,144;-0,030;
2022-10-31;-0,092;-0,081;-0,081;0,024;-0,138;-0,156;;;-0,093;-0,012;-0,041;-0,157;-0,032;-0,219;-0,132;-0,146;-0,032;
2022-11-01;;;;;;;-0,056;-0,051;-0,071;-0,009;-0,041;-0,154;-0,031;-0,213;-0,129;-0,143;;
2022-11-02;-0,077;-0,082;-0,081;0,026;-0,133;-0,149;-0,056;-0,051;-0,064;-0,012;-0,041;-0,151;-0,031;-0,209;-0,130;-0,142;;
2022-11-03;;;;;;;;;;;;;;;;;-0,037;
2022-11-04;-0,060;-0,083;-0,091;0,016;-0,133;-0,153;-0,057;-0,052;-0,085;-0,013;-0,041;-0,155;-0,032;-0,211;-0,129;-0,140;-0,035;
2022-11-07;-0,063;-0,090;-0,092;0,010;-0,129;-0,145;-0,057;-0,052;-0,072;-0,013;-0,041;-0,154;-0,031;-0,210;-0,126;-0,137;-0,035;
2022-11-08;-0,063;-0,085;-0,086;0,011;-0,124;-0,137;-0,057;-0,051;-0,074;;-0,041;-0,155;-0,032;-0,207;-0,124;-0,133;-0,031;
2022-11-09;-0,067;-0,090;-0,088;0,011;-0,122;-0,138;-0,056;-0,049;-0,073;-0,013;-0,041;-0,155;-0,031;-0,208;-0,123;-0,132;-0,035;
2022-11-10;-0,058;-0,068;-0,075;0,024;-0,105;-0,120;-0,051;-0,042;-0,042;-0,019;-0,041;-0,140;-0,027;-0,198;-0,114;-0,119;-0,014;
2022-11-11;-0,054;-0,068;-0,070;0,016;-0,096;-0,105;-0,053;-0,044;-0,035;-0,023;-0,041;-0,139;-0,028;-0,197;-0,111;-0,115;-0,017;
2022-11-14;-0,058;-0,073;-0,073;0,010;-0,095;-0,107;-0,051;-0,040;-0,040;-0,025;-0,041;-0,142;-0,027;-0,202;-0,110;-0,114;-0,022;
2022-11-15;-0,039;-0,068;-0,068;0,015;-0,103;-0,117;-0,050;-0,039;-0,046;-0,025;-0,040;-0,142;-0,027;-0,209;-0,112;-0,116;-0,018;
2022-11-16;-0,042;-0,069;-0,070;0,012;-0,110;-0,129;-0,049;-0,037;-0,053;-0,025;-0,040;-0,152;-0,026;-0,215;-0,113;-0,119;-0,021;
