
# ;[dnb health care s][dnb health care a];[dnb smb s][dnb smb a];[dnb teknologi s][dnb teknologi a];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;dnb health care s;dnb smb s;dnb teknologi s;east capital global emerging markets sustainable a;east capital global frontier markets a;enter cross credit a;enter select a;evli emerging markets credit placeringsfonden b;evli finland select placeringsfonden b;evli gem placeringsfonden b;evli global placeringsfonden b;evli high yield placeringsfonden b;evli likviditet placeringsfonden b;evli short corporate bond placeringsfonden b;evli sverige aktieindex b;evli sverige småbolag;fidelity - america fund a;
2023-09-06;0,058;-0,046;-0,084;-0,016;-0,035;-0,039;-0,073;-0,004;0,003;-0,004;0,018;-0,061;-0,030;-0,005;-0,063;-0,063;0,014;
2023-09-07;0,059;-0,048;-0,087;-0,022;-0,036;-0,039;-0,078;-0,005;-0,001;-0,003;0,016;-0,061;-0,030;-0,004;-0,067;-0,070;0,016;
2023-09-08;0,057;-0,046;-0,089;-0,026;-0,037;-0,038;-0,080;-0,005;-0,004;-0,004;0,016;-0,061;-0,030;-0,005;-0,069;-0,070;0,017;
2023-09-11;0,057;-0,046;-0,087;-0,025;-0,038;;;-0,006;-0,000;-0,007;0,015;-0,060;-0,030;-0,006;-0,067;-0,069;0,016;
2023-09-12;0,059;-0,046;-0,090;-0,025;-0,034;-0,038;-0,082;-0,005;-0,004;-0,008;0,015;-0,061;-0,030;-0,005;-0,069;-0,078;0,019;
2023-09-13;0,059;-0,049;-0,089;-0,024;-0,035;-0,038;-0,085;-0,003;-0,003;-0,007;0,014;-0,060;-0,030;-0,004;-0,071;-0,083;0,019;
2023-09-14;0,061;-0,043;-0,084;-0,020;-0,032;-0,038;-0,081;-0,003;0,005;0,001;0,020;-0,060;-0,030;-0,003;-0,066;-0,077;0,026;
2023-09-15;0,060;-0,042;-0,087;-0,019;-0,032;-0,038;-0,080;-0,005;0,004;0,002;0,017;-0,059;-0,030;-0,005;-0,065;-0,079;0,022;
2023-09-18;0,056;-0,041;-0,088;-0,021;-0,034;-0,037;-0,083;-0,003;0,002;-0,001;0,015;-0,059;-0,030;-0,003;-0,067;-0,082;0,024;
2023-09-19;0,053;-0,039;-0,091;-0,026;-0,035;-0,037;-0,085;-0,005;-0,000;-0,002;0,015;-0,059;-0,030;-0,005;-0,069;-0,088;0,020;
2023-09-20;0,052;-0,039;-0,095;-0,030;-0,034;-0,037;-0,079;-0,004;0,002;-0,003;0,011;-0,059;-0,030;-0,004;-0,064;-0,081;;
2023-09-21;0,051;-0,041;-0,098;-0,033;-0,031;-0,037;-0,083;-0,008;-0,003;-0,008;0,010;-0,059;-0,029;-0,006;-0,068;-0,084;0,018;
2023-09-22;0,047;-0,041;-0,100;-0,031;-0,036;-0,037;-0,086;-0,006;-0,002;-0,005;0,007;-0,060;-0,029;-0,005;-0,071;-0,087;0,017;
2023-09-25;;;;-0,038;-0,041;-0,037;-0,088;;;;;;;;;;0,017;
2023-09-26;0,042;-0,057;-0,111;;;-0,037;-0,095;-0,013;-0,017;-0,012;-0,001;-0,061;-0,029;-0,011;-0,078;-0,098;;
2023-09-27;0,040;-0,046;-0,111;-0,039;-0,044;-0,037;-0,096;-0,017;-0,022;-0,013;-0,001;-0,061;-0,029;-0,015;-0,078;-0,099;0,010;
2023-09-28;0,039;-0,051;-0,110;-0,042;-0,044;;;-0,020;-0,021;-0,018;-0,001;-0,062;-0,029;-0,017;-0,076;-0,095;0,009;
2023-09-29;0,034;-0,047;-0,111;;-0,046;-0,036;-0,089;-0,023;-0,021;;-0,002;-0,061;-0,029;-0,020;-0,073;-0,091;0,002;
2023-10-02;0,038;-0,049;-0,105;;;-0,036;-0,091;-0,022;-0,023;-0,013;-0,002;-0,061;-0,029;-0,017;-0,075;-0,093;0,000;
2023-10-03;;;;-0,039;-0,042;-0,036;-0,096;;;;;;;;;;-0,001;
2023-10-06;;;;;;;;-0,024;;-0,022;;;;;;;;
2023-10-09;0,041;-0,060;-0,103;;;;;;-0,024;;-0,004;-0,064;-0,028;-0,015;-0,077;-0,101;;
2023-10-10;0,041;-0,060;-0,102;-0,043;-0,053;-0,036;-0,083;-0,024;-0,016;-0,021;-0,003;-0,062;-0,028;-0,016;-0,065;-0,089;0,007;
2023-10-11;;;;-0,038;-0,053;-0,036;-0,083;;;;;;;;;;0,003;
2023-10-12;0,039;-0,058;-0,098;;;;;-0,024;-0,015;-0,016;-0,003;-0,061;-0,028;-0,016;-0,061;-0,091;;
2023-10-13;0,043;-0,054;-0,102;-0,037;-0,050;-0,035;-0,086;-0,025;-0,020;-0,018;-0,008;-0,061;-0,028;-0,017;-0,066;-0,100;0,006;
2023-10-16;0,041;-0,059;-0,102;-0,042;-0,054;-0,035;-0,086;-0,025;-0,020;-0,021;-0,008;-0,062;-0,028;-0,016;-0,066;-0,102;0,010;
2023-10-17;0,039;-0,057;-0,108;-0,042;-0,056;-0,035;-0,090;-0,028;-0,027;-0,024;-0,007;-0,063;-0,028;-0,019;-0,069;-0,106;0,008;
2023-10-18;0,036;-0,056;-0,109;-0,043;-0,057;-0,035;-0,097;-0,027;-0,032;-0,025;-0,009;-0,063;-0,028;-0,017;-0,075;-0,113;0,008;
2023-10-19;0,029;-0,061;-0,115;-0,048;-0,062;-0,035;-0,100;-0,025;-0,035;-0,028;-0,018;-0,065;-0,028;-0,014;-0,079;-0,116;0,009;
2023-10-20;0,027;-0,066;-0,119;-0,052;-0,064;-0,035;-0,109;-0,025;-0,042;-0,032;-0,021;-0,065;-0,028;-0,015;-0,088;-0,119;0,003;
2023-10-23;0,026;-0,072;-0,117;-0,053;-0,063;-0,035;-0,112;-0,024;-0,046;-0,036;-0,023;-0,065;-0,028;-0,013;-0,091;-0,119;-0,001;
2023-10-24;0,032;-0,066;-0,111;-0,049;-0,063;-0,035;-0,108;-0,022;-0,040;-0,029;-0,016;-0,063;-0,028;-0,011;-0,089;-0,117;0,002;
2023-10-25;;;;-0,049;-0,058;-0,035;-0,110;;;;;;;;;;0,002;
2023-10-26;0,027;-0,078;-0,125;;;;;-0,018;-0,033;-0,028;-0,021;-0,063;-0,028;-0,007;-0,091;-0,115;;
2023-10-27;;;;-0,047;-0,065;-0,034;-0,113;;;;;;;;;;-0,003;
2023-10-30;0,020;-0,071;-0,120;;;;;-0,019;-0,032;-0,027;-0,021;-0,062;-0,027;-0,007;-0,092;-0,109;;
2023-10-31;0,024;-0,068;-0,116;-0,050;-0,065;-0,034;-0,106;-0,018;-0,024;-0,029;-0,018;-0,061;-0,027;-0,006;-0,088;-0,102;0,003;
2023-11-01;0,029;-0,069;-0,109;;;-0,034;-0,106;-0,018;-0,026;-0,027;-0,012;-0,060;-0,027;-0,006;-0,089;-0,102;0,005;
2023-11-02;;;;-0,040;-0,057;-0,034;-0,095;;;;;;;;-0,081;-0,090;0,010;
2023-11-03;0,025;-0,068;-0,108;;;;;-0,015;-0,012;-0,023;-0,009;-0,057;-0,027;-0,005;;;;
2023-11-06;0,026;-0,068;-0,108;-0,035;-0,061;-0,033;-0,092;-0,019;-0,015;-0,021;-0,011;-0,057;-0,027;-0,009;-0,078;-0,088;0,004;
2023-11-07;0,029;-0,077;-0,105;-0,037;-0,060;-0,033;-0,094;-0,018;-0,017;-0,022;-0,012;-0,057;-0,027;-0,009;-0,080;-0,087;0,005;
2023-11-08;0,026;-0,080;-0,105;-0,038;-0,058;-0,033;-0,094;-0,017;-0,013;-0,023;-0,014;-0,057;-0,027;-0,008;-0,080;-0,087;0,002;
2023-11-09;0,020;-0,074;-0,104;-0,042;-0,063;-0,033;-0,085;-0,019;-0,012;-0,024;-0,016;-0,056;-0,027;-0,010;-0,075;-0,078;0,001;
2023-11-10;0,022;-0,074;-0,098;-0,043;-0,060;-0,033;-0,090;;-0,016;-0,025;-0,013;-0,057;-0,027;-0,010;-0,080;-0,081;0,002;
2023-11-13;0,023;-0,075;-0,100;-0,043;-0,058;-0,033;-0,091;-0,019;-0,015;-0,025;-0,015;-0,057;-0,026;-0,010;-0,078;-0,080;0,004;
2023-11-14;0,021;-0,074;-0,099;-0,046;-0,060;-0,033;-0,077;-0,018;-0,007;-0,028;-0,011;-0,055;-0,026;-0,010;-0,069;-0,061;0,005;
2023-11-15;;;;-0,042;-0,064;-0,033;-0,074;;;;;;;;;;0,002;
2023-11-16;0,019;-0,076;-0,100;;;;;-0,023;-0,018;-0,028;-0,012;-0,055;-0,026;-0,016;-0,068;-0,068;;
2023-11-17;0,019;-0,071;-0,098;;-0,068;-0,032;-0,072;-0,021;-0,011;-0,026;-0,009;-0,055;-0,026;-0,014;-0,063;-0,060;-0,000;
2023-11-20;0,019;-0,065;-0,097;;-0,069;-0,032;-0,069;-0,022;-0,012;-0,026;-0,011;-0,054;-0,026;-0,016;-0,061;-0,058;-0,003;
2023-11-21;0,019;-0,072;-0,101;;-0,070;-0,032;-0,073;-0,024;-0,017;-0,027;-0,012;-0,054;-0,026;-0,018;-0,063;-0,061;-0,005;
2023-11-22;0,023;-0,075;-0,096;;-0,063;-0,032;-0,069;-0,021;-0,016;-0,027;-0,009;-0,053;-0,026;-0,017;-0,060;-0,057;0,001;
2023-11-23;;-0,070;;-0,049;-0,065;-0,032;-0,067;;-0,014;-0,026;;-0,053;-0,026;-0,017;-0,058;-0,056;-0,000;
2023-11-24;;;;-0,050;-0,063;-0,032;-0,067;-0,021;-0,014;-0,029;-0,008;-0,053;-0,026;-0,017;-0,057;-0,056;-0,000;
2023-11-27;;;;-0,053;-0,062;-0,032;-0,068;-0,021;-0,016;-0,028;-0,010;-0,052;-0,026;-0,017;-0,057;-0,056;-0,002;
2023-11-28;0,015;-0,077;-0,102;-0,057;-0,066;-0,032;-0,071;-0,020;-0,014;-0,026;-0,013;-0,052;-0,025;-0,016;-0,060;-0,059;-0,003;
2023-11-29;;;;;-0,064;-0,032;-0,066;;;;;;;;;;-0,005;
2023-11-30;0,024;-0,075;-0,099;;;;;-0,019;-0,011;-0,022;-0,008;-0,049;-0,025;-0,016;-0,056;-0,058;;
2023-12-01;0,024;-0,071;-0,101;-0,054;-0,060;-0,032;-0,062;;;;;;;;;;0,007;
2023-12-04;0,026;-0,080;-0,102;-0,054;-0,063;-0,032;-0,062;-0,020;-0,013;-0,021;-0,004;-0,048;-0,025;-0,017;-0,052;-0,058;0,005;
2023-12-05;0,026;-0,082;-0,099;-0,057;-0,062;-0,032;-0,058;-0,020;-0,013;-0,025;-0,007;-0,047;-0,025;-0,018;-0,050;-0,052;0,003;
2023-12-06;;;;-0,055;-0,062;-0,032;-0,053;;;;;;;;;;0,002;
2023-12-07;0,019;-0,088;-0,096;-0,055;-0,064;-0,032;-0,053;-0,020;-0,011;-0,024;-0,008;-0,046;-0,024;-0,018;-0,046;-0,045;0,001;
2023-12-08;0,022;-0,079;-0,090;-0,055;-0,062;-0,032;-0,048;;;;;;;;;;0,002;
2023-12-11;;;;-0,055;-0,060;-0,032;-0,044;;;;;;;;;;0,007;
2023-12-12;0,026;-0,088;-0,087;;;;;-0,020;-0,013;-0,023;-0,000;-0,045;-0,024;-0,019;-0,037;-0,043;;
2023-12-13;0,032;-0,085;-0,087;-0,059;-0,064;-0,032;-0,047;-0,018;-0,015;-0,022;0,003;-0,044;-0,024;-0,018;-0,039;-0,044;0,007;
2023-12-14;0,024;-0,066;-0,090;-0,058;-0,067;-0,031;-0,034;-0,018;-0,010;-0,021;0,006;-0,041;-0,024;-0,019;-0,031;-0,030;0,005;
2023-12-15;0,022;-0,061;-0,087;-0,054;-0,064;-0,031;-0,030;-0,015;-0,010;-0,015;0,007;-0,040;-0,024;-0,017;-0,028;-0,028;0,008;
2023-12-18;0,021;-0,055;-0,089;-0,058;-0,066;-0,031;-0,033;-0,017;-0,010;-0,020;0,005;-0,040;-0,024;-0,019;-0,030;-0,030;0,008;
2023-12-19;0,024;-0,051;-0,087;-0,056;-0,066;-0,031;-0,030;-0,016;-0,007;-0,022;0,009;-0,039;-0,024;-0,019;-0,028;-0,027;0,006;
2023-12-20;0,015;-0,051;-0,090;-0,059;-0,067;-0,031;-0,030;-0,017;-0,008;-0,024;0,006;-0,038;-0,024;-0,020;-0,027;-0,027;0,004;
2023-12-21;0,018;-0,051;-0,088;-0,060;-0,074;-0,031;-0,032;-0,017;-0,009;-0,024;0,007;-0,038;-0,024;-0,020;-0,030;-0,029;-0,002;
2023-12-22;0,018;-0,047;-0,089;-0,062;-0,073;-0,031;-0,031;-0,019;-0,007;-0,025;0,006;;-0,024;-0,022;-0,029;-0,026;-0,000;
2023-12-27;;;;-0,055;-0,070;-0,030;-0,029;-0,021;-0,007;-0,025;0,006;-0,038;-0,023;-0,024;-0,027;-0,025;-0,004;
2023-12-28;0,020;-0,046;-0,088;-0,050;-0,069;-0,030;-0,028;-0,021;-0,008;-0,020;0,008;-0,037;-0,023;-0,024;-0,027;-0,023;-0,002;
2023-12-29;0,025;-0,040;-0,085;-0,045;-0,065;-0,030;-0,028;-0,019;-0,009;;0,010;;-0,023;-0,022;-0,026;-0,023;-0,002;
2024-01-02;0,034;-0,044;-0,086;-0,045;-0,061;-0,030;-0,030;-0,017;-0,005;-0,013;0,013;;-0,023;-0,021;-0,026;-0,025;0,005;
2024-01-03;;;;-0,047;-0,058;-0,030;-0,038;;;;;;;;;;0,005;
2024-01-04;0,036;-0,038;-0,089;;;;;-0,015;-0,000;-0,014;0,007;-0,039;-0,023;-0,018;-0,032;-0,032;;
2024-01-05;0,035;-0,037;-0,089;-0,048;-0,055;-0,030;-0,042;-0,016;0,001;-0,015;0,007;-0,040;-0,023;-0,019;;;0,002;
2024-01-08;0,039;-0,046;-0,082;-0,049;-0,053;-0,030;-0,037;-0,013;0,004;-0,015;0,011;-0,039;-0,023;-0,016;-0,033;-0,031;0,004;
2024-01-09;0,042;-0,049;-0,082;-0,048;-0,053;-0,029;-0,040;-0,015;0,001;-0,015;0,011;-0,039;-0,023;-0,018;-0,035;-0,032;0,005;
2024-01-10;0,041;-0,048;-0,079;-0,049;-0,052;-0,029;-0,039;-0,015;-0,002;-0,017;0,011;-0,037;-0,023;-0,019;-0,036;-0,033;0,002;
2024-01-11;0,042;-0,050;-0,077;-0,046;-0,051;-0,029;-0,041;-0,015;-0,005;-0,016;0,014;-0,036;-0,023;-0,018;-0,037;-0,038;0,001;
2024-01-12;0,040;;-0,074;-0,046;-0,051;-0,029;-0,035;-0,012;-0,000;-0,014;0,017;-0,035;-0,022;-0,016;-0,033;-0,031;0,003;
2024-01-15;;-0,048;;-0,046;-0,048;-0,029;-0,041;;-0,001;-0,010;;-0,035;-0,022;-0,016;-0,036;-0,038;0,005;
2024-01-16;0,044;-0,042;-0,071;-0,045;-0,043;-0,028;-0,044;-0,008;0,000;-0,009;0,018;-0,036;-0,022;-0,013;-0,039;-0,038;0,008;
2024-01-17;0,045;-0,046;-0,072;-0,050;-0,041;-0,028;-0,049;-0,008;-0,004;-0,015;0,018;-0,037;-0,022;-0,012;-0,044;-0,043;0,008;
2024-01-18;0,044;-0,041;-0,066;-0,049;-0,042;-0,028;-0,048;-0,008;-0,004;-0,012;0,024;-0,036;-0,022;-0,011;-0,042;-0,042;0,008;
2024-01-19;0,043;-0,041;-0,064;-0,047;-0,044;-0,028;-0,050;-0,006;-0,007;-0,009;0,026;-0,036;-0,022;-0,010;-0,044;-0,046;0,011;
2024-01-22;0,045;-0,039;-0,063;-0,048;-0,047;-0,028;-0,045;-0,006;-0,005;-0,009;0,032;-0,035;-0,022;-0,010;-0,038;-0,043;0,014;
2024-01-23;0,045;-0,037;-0,058;-0,043;-0,048;-0,028;-0,044;-0,007;-0,004;-0,006;0,031;-0,035;-0,022;-0,010;-0,037;-0,043;0,016;
2024-01-24;0,039;-0,034;-0,060;-0,043;-0,050;-0,028;-0,039;-0,008;-0,002;-0,004;0,029;-0,035;-0,022;-0,011;-0,034;-0,040;0,014;
2024-01-25;;;;-0,040;-0,053;-0,028;-0,036;;;;;;;;;;0,014;
2024-01-26;0,043;-0,027;-0,056;;;;;-0,009;0,003;-0,001;0,029;-0,033;-0,022;-0,012;-0,031;-0,036;;
2024-01-29;0,048;-0,030;-0,051;-0,040;-0,051;-0,028;-0,035;-0,007;0,002;0,005;0,033;-0,033;-0,022;-0,011;-0,031;-0,036;0,017;
2024-01-30;0,046;-0,038;-0,056;-0,046;-0,050;-0,027;-0,034;-0,009;-0,001;-0,000;0,030;-0,033;-0,021;-0,014;-0,031;-0,035;0,014;
2024-01-31;;;;-0,050;-0,052;;;-0,009;-0,000;0,001;0,023;-0,033;-0,021;-0,013;-0,033;-0,029;0,012;
2024-02-01;0,046;-0,042;-0,063;-0,045;-0,044;-0,027;-0,032;-0,007;-0,005;0,004;0,027;-0,034;-0,021;-0,013;-0,032;-0,027;0,011;
2024-02-02;;;;-0,045;-0,042;-0,027;-0,030;;;;;;;;;;0,015;
2024-02-05;0,053;-0,048;-0,048;;;;;-0,007;-0,009;0,011;0,029;-0,035;-0,021;-0,012;-0,036;-0,033;;
2024-02-06;0,056;-0,046;-0,053;-0,033;-0,033;-0,026;-0,030;-0,004;-0,006;0,018;0,028;-0,035;-0,021;-0,009;-0,033;-0,030;0,022;
2024-02-07;0,052;-0,049;-0,051;-0,035;-0,038;-0,026;-0,029;-0,008;-0,011;0,012;0,027;-0,035;-0,021;-0,013;-0,033;-0,028;0,020;
2024-02-08;0,051;-0,043;-0,045;-0,037;-0,037;-0,026;-0,029;-0,008;-0,013;;0,029;-0,035;-0,021;-0,013;-0,033;-0,024;0,018;
2024-02-09;;;;;-0,039;-0,026;-0,033;-0,009;-0,016;;0,031;-0,035;-0,021;-0,014;-0,034;-0,024;0,018;
2024-02-12;0,048;-0,037;-0,045;;-0,040;-0,026;-0,031;-0,010;-0,016;;0,031;-0,034;-0,021;-0,015;-0,031;-0,023;0,022;
2024-02-13;0,050;-0,040;-0,045;-0,033;-0,036;-0,026;-0,035;-0,012;-0,021;;0,028;-0,035;-0,021;-0,016;-0,034;-0,026;0,017;
2024-02-14;0,052;-0,038;-0,043;;-0,034;-0,026;-0,032;-0,008;-0,019;;0,030;-0,034;-0,021;-0,012;-0,032;-0,022;0,021;
2024-02-15;0,052;-0,045;-0,047;;-0,037;-0,025;-0,031;-0,009;-0,018;0,011;0,030;-0,034;-0,021;-0,014;-0,028;-0,019;0,023;
2024-02-16;0,054;-0,037;-0,051;-0,025;-0,033;-0,025;-0,028;-0,010;-0,009;0,013;0,023;-0,034;-0,021;-0,015;-0,024;-0,014;0,023;
2024-02-19;;-0,037;;-0,029;-0,033;-0,025;-0,028;;-0,012;0,014;;-0,033;-0,020;-0,015;-0,024;-0,017;0,021;
2024-02-20;0,049;-0,048;-0,058;-0,030;-0,036;-0,025;-0,029;-0,011;-0,012;0,013;0,017;-0,033;-0,020;-0,016;-0,023;-0,022;0,018;
2024-02-21;0,050;-0,050;-0,059;-0,027;-0,032;-0,025;-0,029;-0,011;-0,012;0,012;0,016;-0,033;-0,020;-0,016;-0,023;-0,023;0,019;
2024-02-22;0,052;-0,052;-0,051;-0,027;-0,029;-0,025;-0,027;-0,013;-0,016;0,016;0,020;-0,032;-0,020;-0,018;-0,020;-0,018;0,020;
2024-02-23;;;;-0,025;-0,028;-0,025;-0,024;;;;;;;;;;0,023;
2024-02-26;0,050;-0,053;-0,054;;;;;-0,012;-0,018;0,013;0,022;-0,032;-0,020;-0,018;-0,018;-0,019;;
2024-02-27;0,050;-0,054;-0,053;-0,024;-0,025;-0,024;-0,023;-0,012;-0,017;0,011;0,023;-0,032;-0,020;-0,018;-0,018;-0,016;0,019;
2024-02-28;0,049;-0,051;-0,053;-0,023;-0,023;-0,024;-0,023;-0,010;-0,015;0,011;0,022;-0,032;-0,020;-0,016;-0,017;-0,017;0,022;
2024-02-29;0,045;-0,050;-0,051;-0,019;-0,025;-0,024;-0,023;-0,010;-0,017;0,016;0,026;-0,032;-0,020;-0,016;-0,016;-0,015;0,024;
2024-03-01;;;;-0,018;-0,023;-0,024;-0,019;-0,009;-0,016;0,016;0,027;-0,032;-0,020;-0,016;-0,014;-0,010;0,026;
2024-03-04;;;;-0,017;-0,016;-0,024;-0,022;;;;;;;;;;0,026;
2024-03-05;0,047;-0,048;-0,051;;;;;-0,006;-0,020;0,019;0,024;-0,032;-0,020;-0,013;-0,016;-0,018;;
2024-03-06;0,047;-0,048;-0,049;-0,017;-0,019;-0,023;-0,019;-0,005;-0,021;0,020;0,020;-0,032;-0,020;-0,012;-0,014;-0,019;0,029;
2024-03-07;0,051;-0,046;-0,046;-0,021;-0,020;-0,023;-0,018;-0,007;-0,019;0,021;0,021;-0,032;-0,019;-0,014;-0,012;-0,018;0,027;
2024-03-08;0,048;-0,046;-0,051;-0,020;-0,021;-0,023;-0,014;-0,008;-0,019;0,021;0,019;-0,031;-0,019;-0,015;-0,010;-0,017;0,025;
2024-03-11;0,051;-0,050;-0,051;-0,017;-0,016;-0,023;-0,015;-0,007;-0,020;0,019;0,018;-0,030;-0,019;-0,015;-0,011;-0,017;0,026;
2024-03-12;0,052;-0,049;-0,043;-0,016;-0,015;-0,023;-0,008;-0,008;-0,017;0,020;0,020;-0,030;-0,019;-0,015;-0,004;-0,011;0,027;
2024-03-13;0,051;-0,047;-0,044;-0,016;-0,010;-0,023;-0,008;-0,008;-0,017;0,017;0,019;-0,029;-0,019;-0,015;-0,003;-0,011;0,027;
2024-03-14;0,054;-0,044;-0,042;-0,014;-0,007;-0,023;-0,009;-0,008;-0,019;0,020;0,020;-0,030;-0,020;-0,015;-0,003;-0,011;0,026;
2024-03-15;0,052;-0,042;-0,045;-0,015;-0,005;-0,023;-0,007;-0,006;-0,017;0,021;0,022;-0,030;-0,020;-0,013;-0,002;-0,010;0,029;
2024-03-18;0,055;-0,038;-0,042;-0,012;-0,003;-0,023;-0,011;-0,005;-0,018;0,025;0,025;-0,030;-0,020;-0,012;-0,007;-0,011;0,033;
2024-03-19;0,057;-0,037;-0,041;-0,014;-0,005;-0,023;-0,008;-0,002;-0,012;0,026;0,025;-0,030;-0,020;-0,009;-0,005;-0,007;0,038;
2024-03-20;0,059;-0,039;-0,035;-0,008;0,001;-0,023;-0,008;-0,002;-0,013;0,027;0,029;-0,031;-0,020;-0,009;-0,004;-0,005;0,038;
2024-03-21;0,061;-0,037;-0,030;-0,004;0,007;-0,023;0,002;-0,002;-0,011;0,028;0,034;-0,031;-0,019;-0,010;0,003;0,003;0,042;
2024-03-22;;;;-0,004;0,008;-0,023;0,003;;;;;;;;;;0,047;
2024-03-25;0,065;-0,029;-0,028;;;;;0,003;-0,007;0,026;0,035;-0,031;-0,019;-0,005;0,001;0,005;;
2024-03-26;0,067;-0,028;-0,027;-0,001;0,010;-0,023;0,003;0,005;-0,004;0,024;0,036;-0,031;-0,019;-0,004;0,005;0,008;0,050;
2024-03-27;0,072;-0,026;-0,024;-0,002;0,012;-0,022;0,004;;;;;;;;0,004;0,010;0,052;
2024-03-28;;;;0,001;0,017;-0,022;0,003;0,008;0,000;0,030;0,046;-0,031;-0,019;-0,001;;;0,060;
2024-04-02;0,068;-0,022;-0,019;0,009;0,020;-0,022;0,002;0,009;-0,001;0,038;0,041;-0,031;-0,018;0,001;0,000;0,008;0,058;
2024-04-03;0,066;-0,019;-0,018;0,004;0,018;-0,022;0,002;0,008;-0,001;0,037;0,039;-0,031;-0,018;0,001;0,001;0,008;0,057;
2024-04-04;0,060;-0,021;-0,024;0,005;0,012;-0,022;0,004;0,007;0,003;;0,035;-0,030;-0,018;-0,001;0,003;0,008;0,054;
2024-04-05;0,064;-0,021;-0,020;0,006;0,015;-0,021;-0,000;0,007;0,003;0,037;0,038;-0,030;-0,018;-0,000;-0,000;0,002;0,052;
2024-04-08;0,061;-0,026;-0,022;0,004;0,010;-0,021;0,003;0,005;0,003;0,038;0,037;-0,030;-0,018;-0,002;0,003;0,006;0,050;
2024-04-09;0,062;-0,019;-0,021;0,007;0,007;-0,021;-0,000;0,004;0,001;0,038;0,037;-0,030;-0,018;-0,003;0,001;0,003;0,048;
2024-04-10;0,064;-0,021;-0,019;0,014;0,012;-0,021;-0,000;0,003;0,001;;0,035;-0,030;-0,018;-0,004;0,002;0,001;0,049;
2024-04-11;0,066;-0,017;-0,013;0,015;0,012;-0,021;-0,003;0,003;0,003;0,043;0,037;-0,031;-0,018;-0,002;-0,001;0,001;0,051;
2024-04-12;0,067;-0,009;-0,014;0,021;0,020;-0,021;-0,002;0,004;0,002;0,046;0,036;-0,031;-0,018;-0,000;0,000;-0,002;0,052;
2024-04-15;0,064;-0,017;-0,022;0,015;0,010;-0,021;-0,001;0,005;0,003;0,044;0,033;-0,031;-0,018;0,001;0,003;-0,002;0,054;
2024-04-16;0,064;-0,020;-0,021;0,007;0,006;-0,021;-0,008;0,005;-0,000;0,037;0,031;-0,033;-0,018;0,001;-0,002;-0,009;0,049;
2024-04-17;0,065;-0,017;-0,021;0,012;0,009;-0,021;-0,006;0,006;0,000;0,041;0,029;-0,032;-0,018;0,003;0,000;-0,010;0,049;
2024-04-18;;;;0,013;0,008;-0,021;-0,006;;;;;;;;;;0,051;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;0,069;-0,016;-0,021;;;;;0,005;0,007;0,031;0,028;-0,031;-0,017;0,002;0,007;-0,006;;
2024-04-24;;;;0,012;0,014;-0,020;-0,002;;;;;;;;;;0,051;
2024-04-25;0,065;-0,014;-0,023;;;;;0,005;-0,001;0,038;0,029;-0,032;-0,017;0,002;0,004;-0,012;;
2024-04-26;0,067;-0,009;-0,014;0,013;0,020;-0,020;0,003;0,007;0,009;0,045;0,034;-0,031;-0,017;0,004;0,010;-0,003;0,056;
2024-04-29;0,068;-0,006;-0,018;0,016;0,020;-0,020;0,007;;;;;;;;0,012;0,002;0,057;
2024-04-30;0,069;-0,006;-0,020;0,016;0,021;-0,020;0,007;0,010;0,012;0,049;0,034;-0,031;-0,017;0,006;;;0,056;
2024-05-02;0,069;-0,006;-0,020;0,016;0,019;-0,019;0,002;0,009;0,013;0,049;0,033;-0,031;-0,017;0,005;0,006;-0,000;0,052;
2024-05-03;;;;0,015;0,016;-0,019;0,005;;;;;-0,030;;;;;0,051;
2024-05-06;0,067;0,003;-0,013;;;;;0,010;0,020;0,051;0,041;;-0,016;0,005;0,013;0,009;;
2024-05-07;0,071;0,006;-0,010;0,019;0,021;-0,019;0,014;0,010;0,021;0,052;0,042;-0,028;-0,016;0,005;0,018;0,013;0,054;
2024-05-08;0,073;0,012;-0,008;0,022;0,025;-0,018;0,015;0,013;0,024;0,056;0,046;-0,028;-0,016;0,008;;;0,058;
2024-05-10;0,072;0,016;-0,008;0,021;0,026;-0,018;0,023;0,012;0,030;0,054;0,048;-0,028;-0,016;0,006;0,024;0,020;0,059;
2024-05-13;0,073;0,015;-0,008;0,023;0,025;-0,018;0,023;0,012;0,031;0,053;0,049;-0,028;-0,016;0,006;0,023;0,017;0,058;
2024-05-14;0,073;0,016;-0,002;0,023;0,024;-0,018;0,025;0,013;0,035;0,055;0,052;-0,028;-0,016;0,007;0,025;0,021;0,056;
2024-05-15;0,076;0,012;-0,002;0,023;0,020;-0,018;0,027;0,012;0,033;0,054;0,052;-0,027;-0,016;0,006;0,024;0,017;0,056;
2024-05-16;0,076;0,016;-0,003;0,023;0,021;-0,018;0,024;0,011;0,033;0,056;0,051;-0,027;-0,016;0,004;0,021;0,019;0,056;
2024-05-17;;;;0,022;0,023;-0,018;0,022;0,012;0,032;0,058;0,052;-0,027;-0,016;0,005;0,020;0,020;0,056;
2024-05-20;;;;;;-0,017;0,028;0,011;0,033;0,058;0,053;-0,027;-0,016;0,004;0,025;0,025;0,056;
