
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;handelsbanken hållbar energi a1;handelsbanken kortränta a1;handelsbanken latinamerika impact tema a1;handelsbanken långränta a1;handelsbanken norden a1;handelsbanken nordiska småbolag a1;handelsbanken pension 40 a12;handelsbanken pension 50 a12;handelsbanken pension 60 a12;handelsbanken pension 70 a12;handelsbanken pension 80 a12;handelsbanken svenska småbolag a1;handelsbanken sverige 100 index criteria a1;handelsbanken sverige a1;handelsbanken tillväxtmarknad tema a1;handelsbanken usa index criteria a1;healthinvest alpha fund;
2023-11-15;0,111;-0,025;;-0,028;;-0,061;;;;;;-0,068;-0,064;;-0,024;-0,049;;
2023-11-16;;;;;;;-0,031;-0,034;-0,035;-0,036;-0,032;;;;;;0,034;
2023-11-17;0,104;-0,025;0,022;-0,027;;-0,060;-0,030;-0,032;-0,033;-0,033;-0,029;-0,066;-0,062;;-0,029;-0,050;0,036;
2023-11-20;0,108;-0,025;0,022;-0,027;;-0,057;-0,030;-0,032;-0,033;-0,033;-0,029;-0,062;-0,060;;-0,028;-0,052;0,035;
2023-11-21;0,103;-0,025;0,018;-0,027;;-0,062;-0,030;-0,033;-0,034;-0,035;-0,031;-0,069;-0,062;;-0,029;-0,054;;
2023-11-22;0,105;-0,025;0,025;-0,027;;-0,059;-0,029;-0,032;-0,032;-0,032;-0,028;-0,065;-0,059;;-0,027;-0,047;0,036;
2023-11-23;;-0,025;0,025;-0,027;;-0,057;-0,029;-0,031;;;;-0,063;-0,057;;-0,025;;;
2023-11-24;0,100;-0,025;0,022;-0,027;;-0,056;-0,029;-0,031;-0,031;-0,031;-0,026;-0,062;-0,057;;-0,030;-0,049;0,039;
2023-11-27;0,098;-0,024;0,022;-0,026;;-0,054;-0,028;-0,031;-0,031;-0,031;-0,027;-0,060;-0,056;;-0,030;-0,049;0,038;
2023-11-28;0,093;-0,024;0,020;-0,026;;-0,058;-0,030;-0,033;-0,034;-0,036;-0,031;-0,063;-0,059;;-0,033;-0,054;0,035;
2023-11-29;0,106;-0,024;0,021;-0,024;;-0,054;;;;;;-0,058;-0,055;;-0,034;-0,050;;
2023-11-30;;;;;;;-0,028;-0,030;-0,030;-0,030;-0,026;;;;;;0,046;
2023-12-01;0,108;-0,024;0,025;-0,023;;-0,052;-0,027;-0,030;-0,030;-0,030;-0,026;-0,060;-0,053;;-0,031;-0,047;0,046;
2023-12-04;0,116;-0,023;0,026;-0,021;;-0,053;-0,026;-0,029;-0,030;-0,030;-0,026;-0,057;-0,052;;-0,032;-0,049;0,045;
2023-12-05;0,112;-0,023;0,022;-0,019;;-0,050;-0,026;-0,029;-0,029;-0,030;-0,026;-0,053;-0,050;;-0,036;-0,048;0,048;
2023-12-06;0,113;-0,023;0,028;-0,019;;-0,046;-0,025;-0,028;-0,028;-0,027;-0,023;-0,045;-0,044;;-0,035;-0,046;0,046;
2023-12-07;0,110;-0,023;0,026;-0,018;;-0,045;-0,025;-0,028;-0,029;-0,029;-0,025;-0,044;-0,044;;-0,036;-0,047;0,040;
2023-12-08;0,112;-0,023;0,028;-0,019;;-0,043;-0,025;-0,027;-0,027;-0,026;-0,022;-0,041;-0,041;;-0,034;-0,044;0,043;
2023-12-11;0,110;-0,023;0,028;-0,019;;-0,041;;;;;;-0,041;-0,037;;-0,036;-0,041;;
2023-12-12;;;;;;;-0,024;-0,027;-0,026;-0,024;-0,020;;;;;;0,047;
2023-12-13;0,105;-0,023;0,026;-0,017;;-0,046;-0,024;-0,026;-0,025;-0,024;-0,020;-0,046;-0,040;;-0,038;-0,039;0,048;
2023-12-14;0,132;-0,022;0,038;-0,015;;-0,030;-0,022;-0,024;-0,022;-0,020;-0,016;-0,026;-0,030;;-0,035;-0,040;0,048;
2023-12-15;0,132;-0,022;0,040;-0,014;;-0,027;-0,021;-0,023;-0,021;-0,019;-0,015;-0,022;-0,026;;-0,029;-0,040;0,045;
2023-12-18;0,128;-0,022;0,034;-0,013;;-0,031;-0,021;-0,024;-0,022;-0,021;-0,017;-0,027;-0,028;;-0,035;-0,042;0,042;
2023-12-19;0,132;-0,022;0,045;-0,012;;-0,026;-0,020;-0,022;-0,021;-0,018;-0,014;-0,021;-0,025;;-0,034;-0,041;0,044;
2023-12-20;0,126;-0,022;0,040;-0,011;;-0,028;-0,020;-0,022;-0,020;-0,018;-0,014;-0,023;-0,026;;-0,035;-0,041;0,041;
2023-12-21;0,125;-0,022;0,037;-0,011;;-0,032;-0,021;-0,023;-0,022;-0,021;-0,017;-0,028;-0,030;;-0,038;-0,046;0,041;
2023-12-22;0,124;-0,022;0,034;-0,012;;-0,030;-0,021;-0,024;-0,023;-0,022;-0,018;-0,023;-0,026;;-0,047;-0,048;0,038;
2023-12-27;0,131;-0,021;0,039;-0,011;;-0,027;-0,020;-0,023;-0,022;-0,020;-0,016;-0,021;-0,025;;-0,040;-0,047;0,038;
2023-12-28;0,134;-0,021;0,039;-0,011;;-0,025;-0,019;-0,022;-0,021;-0,019;-0,015;-0,018;-0,024;;-0,037;-0,047;0,040;
2023-12-29;0,137;-0,021;;-0,012;;-0,023;-0,019;-0,021;-0,018;-0,016;-0,012;-0,017;-0,023;;-0,031;-0,042;0,043;
2024-01-02;0,132;-0,021;0,042;-0,012;;-0,027;-0,019;-0,021;-0,019;-0,016;-0,012;-0,023;-0,025;;-0,031;-0,042;0,049;
2024-01-03;0,124;-0,021;0,040;-0,012;;-0,035;;;;;;-0,035;-0,035;;-0,032;-0,040;;
2024-01-04;;;;;;;-0,019;-0,022;-0,019;-0,016;-0,012;;;;;;0,052;
2024-01-05;0,117;-0,021;0,037;-0,015;;-0,032;-0,020;-0,022;-0,020;-0,017;-0,013;-0,036;-0,036;;-0,034;-0,042;0,051;
2024-01-08;0,113;-0,021;0,041;-0,015;;-0,029;-0,020;-0,022;-0,019;-0,016;-0,012;-0,033;-0,033;;-0,037;-0,040;0,057;
2024-01-09;0,112;-0,021;0,039;-0,015;;-0,028;-0,020;-0,022;-0,018;-0,015;-0,011;-0,032;-0,036;;-0,037;-0,037;0,059;
2024-01-10;0,110;-0,021;0,036;-0,016;;-0,028;-0,020;-0,022;-0,018;-0,015;-0,010;-0,034;-0,036;;-0,039;-0,035;0,057;
2024-01-11;0,110;-0,021;0,039;-0,015;;-0,027;-0,019;-0,021;-0,016;-0,013;-0,009;-0,034;-0,034;;-0,036;-0,032;0,054;
2024-01-12;0,111;-0,021;0,043;-0,013;;-0,024;-0,018;-0,020;-0,015;-0,012;-0,008;-0,031;-0,032;;-0,034;-0,032;0,053;
2024-01-15;;-0,021;0,042;-0,014;;-0,030;-0,019;-0,020;;;;-0,041;-0,037;;-0,032;;;
2024-01-16;0,103;-0,021;0,042;-0,014;;-0,032;-0,018;-0,020;-0,016;-0,012;-0,008;-0,044;-0,039;;-0,033;-0,026;0,055;
2024-01-17;0,092;-0,021;0,038;-0,015;;-0,038;-0,020;-0,022;-0,018;-0,016;-0,011;-0,055;-0,047;;-0,040;-0,026;0,057;
2024-01-18;0,091;-0,021;0,036;-0,016;;-0,034;-0,019;-0,021;-0,017;-0,014;-0,009;-0,050;-0,043;;-0,041;-0,024;0,059;
2024-01-19;0,091;-0,021;0,033;-0,017;;-0,035;-0,019;-0,021;-0,016;-0,012;-0,008;-0,054;-0,045;;-0,037;-0,020;0,056;
2024-01-22;0,097;-0,021;0,036;-0,016;;-0,034;-0,018;-0,020;-0,014;-0,010;-0,006;-0,053;-0,041;;-0,040;-0,015;0,055;
2024-01-23;0,102;-0,021;0,032;-0,016;;-0,031;;;;;;-0,047;-0,038;;-0,037;-0,014;0,055;
2024-01-24;0,099;-0,020;0,035;-0,017;;-0,028;-0,018;-0,020;-0,014;-0,009;-0,004;-0,044;-0,036;;-0,034;-0,014;0,055;
2024-01-25;0,098;-0,020;0,036;-0,016;;-0,027;;;;;;-0,042;-0,035;;-0,032;-0,013;;
2024-01-26;;;;;;;-0,017;-0,019;-0,011;-0,005;-0,001;;;;;;0,056;
2024-01-29;0,092;-0,020;0,038;-0,016;;-0,023;-0,016;-0,017;-0,009;-0,002;0,002;-0,035;-0,031;;-0,030;-0,010;0,058;
2024-01-30;0,091;-0,020;0,032;-0,016;;-0,022;-0,016;-0,018;-0,010;-0,003;0,001;-0,035;-0,032;;-0,036;-0,010;0,057;
2024-01-31;0,088;-0,020;0,032;-0,014;;-0,022;-0,016;-0,017;-0,011;-0,005;-0,001;-0,031;-0,031;;-0,040;-0,018;0,059;
2024-02-01;0,094;-0,020;0,035;-0,013;;-0,024;-0,015;-0,017;-0,010;-0,004;0,001;-0,033;-0,030;;-0,036;-0,016;0,057;
2024-02-02;0,088;-0,020;0,037;-0,014;;-0,024;;;;;;-0,035;-0,029;;-0,034;-0,011;;
2024-02-05;;;;;;;-0,015;-0,016;-0,007;0,001;0,006;;;;;;0,059;
2024-02-06;0,089;-0,020;0,046;-0,017;;-0,023;-0,015;-0,016;-0,006;0,002;0,007;-0,038;-0,032;;-0,022;-0,003;0,059;
2024-02-07;0,089;-0,020;0,044;-0,017;;-0,023;-0,015;-0,016;-0,007;0,001;0,006;-0,033;-0,030;;-0,027;-0,004;0,056;
2024-02-08;0,095;-0,020;0,041;-0,018;;-0,020;-0,015;-0,017;-0,007;0,001;0,006;-0,031;-0,030;;-0,029;-0,002;0,055;
2024-02-09;0,096;-0,020;0,039;-0,019;;-0,020;-0,015;-0,017;-0,007;0,002;0,006;-0,033;-0,032;;-0,030;-0,002;0,056;
2024-02-12;0,104;-0,020;;-0,019;;-0,018;-0,015;-0,017;-0,006;0,003;0,007;-0,029;-0,029;;;-0,001;0,056;
2024-02-13;0,096;-0,020;;-0,020;;-0,022;-0,016;-0,017;-0,007;0,001;0,006;-0,036;-0,033;;;-0,002;0,060;
2024-02-14;0,099;-0,020;;-0,020;;-0,019;-0,015;-0,016;-0,005;0,004;0,008;-0,033;-0,030;;-0,026;0,000;0,059;
2024-02-15;0,106;-0,020;0,038;-0,019;;-0,015;-0,015;-0,016;-0,005;0,005;0,009;-0,028;-0,026;;-0,025;-0,003;0,062;
2024-02-16;0,102;-0,020;0,041;-0,020;;-0,012;-0,014;-0,015;-0,003;0,007;0,012;-0,026;-0,022;;-0,021;-0,001;0,062;
2024-02-19;;-0,019;0,041;-0,020;;-0,014;-0,014;-0,015;;;;-0,028;-0,022;;-0,025;;;
2024-02-20;0,093;-0,019;0,045;-0,019;;-0,017;-0,015;-0,016;-0,006;0,003;0,008;-0,031;-0,023;;-0,025;-0,010;0,062;
2024-02-21;0,092;-0,019;0,044;-0,020;;-0,016;-0,016;-0,017;-0,006;0,002;0,007;-0,033;-0,023;;-0,023;-0,011;0,059;
2024-02-22;0,087;-0,019;0,042;-0,020;;-0,014;-0,015;-0,016;-0,003;0,007;0,011;-0,027;-0,019;;-0,023;-0,004;0,059;
2024-02-23;0,075;-0,019;0,039;-0,020;;-0,015;;;;;;-0,028;-0,017;;-0,023;0,000;;
2024-02-26;;;;;;;-0,014;-0,016;-0,003;0,008;0,012;;;;;;0,059;
2024-02-27;0,078;-0,019;0,043;-0,021;;-0,015;-0,015;-0,016;-0,003;0,007;0,012;-0,028;-0,016;;-0,022;-0,003;0,061;
2024-02-28;0,078;-0,019;0,044;-0,021;;-0,015;-0,015;-0,016;-0,003;0,007;0,012;-0,032;-0,017;;-0,024;-0,003;0,059;
2024-02-29;0,085;-0,019;0,040;-0,020;;-0,012;-0,014;-0,015;-0,003;0,008;0,013;-0,028;-0,014;;-0,025;-0,001;0,056;
2024-03-01;0,081;-0,019;0,041;-0,020;;-0,009;-0,013;-0,014;-0,000;0,012;0,016;-0,024;-0,013;;-0,023;0,002;0,056;
2024-03-04;0,083;-0,019;0,042;-0,019;;-0,010;;;;;;-0,026;-0,013;;-0,021;0,004;;
2024-03-05;;;;;;;-0,012;-0,013;0,001;0,013;0,017;;;;;;0,057;
2024-03-06;0,085;-0,018;0,044;-0,017;;-0,013;-0,012;-0,013;0,001;0,012;0,016;-0,031;-0,012;;-0,020;0,002;0,054;
2024-03-07;0,088;-0,018;0,039;-0,017;;-0,010;-0,010;-0,011;0,004;0,016;0,021;-0,030;-0,011;;-0,021;0,001;0,055;
2024-03-08;0,091;-0,018;0,038;-0,015;;-0,007;-0,010;-0,010;0,004;0,017;0,021;-0,025;-0,007;;-0,020;0,002;;
2024-03-11;0,092;-0,018;0,041;-0,015;;-0,010;-0,010;-0,011;0,003;0,014;0,019;-0,027;-0,009;;-0,017;-0,002;0,055;
2024-03-12;0,089;-0,018;0,041;-0,015;;-0,006;-0,009;-0,010;0,006;0,019;0,024;-0,021;-0,003;;-0,013;0,003;0,055;
2024-03-13;0,086;-0,018;0,045;-0,016;;-0,004;-0,010;-0,010;0,005;0,019;0,023;-0,019;-0,001;;-0,013;0,002;0,054;
2024-03-14;0,081;-0,018;0,049;-0,017;;-0,003;-0,010;-0,010;0,006;0,020;0,025;-0,020;-0,002;;-0,012;0,004;0,056;
2024-03-15;0,081;-0,018;0,050;-0,018;;-0,001;-0,010;-0,011;0,006;0,020;0,025;-0,020;0,001;;-0,016;0,004;0,056;
2024-03-18;0,084;-0,018;0,047;-0,019;;-0,003;-0,010;-0,010;0,007;0,021;0,026;-0,023;-0,004;;-0,014;0,010;0,059;
2024-03-19;0,085;-0,018;0,047;-0,018;0,025;-0,003;-0,010;-0,011;0,006;0,020;0,025;-0,024;-0,004;-0,008;-0,017;0,008;0,064;
2024-03-20;0,090;-0,018;0,051;-0,018;0,026;0,000;-0,009;-0,010;0,008;0,024;0,028;-0,021;-0,002;-0,005;-0,014;0,013;0,064;
2024-03-21;0,100;-0,017;0,057;-0,018;0,031;0,007;-0,008;-0,008;0,011;0,028;0,032;-0,009;0,007;0,004;-0,011;0,018;0,067;
2024-03-22;0,099;-0,017;0,057;-0,016;0,032;0,009;;;;;;-0,008;0,008;0,005;-0,010;0,020;;
2024-03-25;;;;;;;-0,006;-0,007;0,014;0,031;0,035;;;;;;0,071;
2024-03-26;0,102;-0,017;0,058;-0,017;0,035;0,012;-0,006;-0,007;0,014;0,032;0,036;-0,006;0,008;0,006;-0,009;0,021;0,072;
2024-03-27;0,106;-0,017;0,061;-0,016;0,036;0,017;-0,006;-0,006;0,015;0,033;0,037;0,000;0,009;0,010;-0,007;0,021;0,076;
2024-03-28;0,111;-0,017;0,067;-0,017;;;-0,005;-0,006;0,016;0,035;0,039;0,001;0,007;0,009;-0,005;0,026;0,078;
2024-04-02;0,106;-0,017;0,062;-0,019;0,035;0,015;-0,006;-0,007;0,014;0,033;0,037;-0,002;0,006;0,006;-0,000;0,023;0,071;
2024-04-03;0,097;-0,017;0,060;-0,019;0,035;0,014;-0,007;-0,007;0,014;0,032;0,036;-0,004;0,005;0,006;-0,005;0,023;0,069;
2024-04-04;0,103;-0,017;0,063;-0,019;0,036;0,017;-0,007;-0,007;0,014;0,032;0,035;-0,001;0,007;0,008;;0,021;0,069;
2024-04-05;0,097;-0,017;0,064;-0,019;0,033;0,013;-0,007;-0,008;0,012;0,030;0,034;-0,006;0,003;0,003;-0,002;0,019;0,067;
2024-04-08;0,097;-0,017;0,062;-0,020;0,035;0,016;-0,008;-0,008;0,012;0,029;0,033;-0,003;0,007;0,007;-0,007;0,016;0,064;
2024-04-09;0,103;-0,017;0,064;-0,019;0,035;0,015;-0,007;-0,008;0,011;0,028;0,032;-0,004;0,007;0,007;-0,004;0,015;0,065;
2024-04-10;0,100;-0,017;0,064;-0,020;0,033;0,011;-0,007;-0,008;0,012;0,030;0,034;-0,011;0,003;0,002;0,003;0,019;0,064;
2024-04-11;0,104;-0,017;0,059;-0,020;0,033;0,010;-0,007;-0,008;0,013;0,030;0,034;-0,012;0,001;0,001;0,003;0,020;0,066;
2024-04-12;0,105;-0,016;0,058;-0,018;0,036;0,010;-0,005;-0,006;0,016;0,034;0,038;-0,010;0,004;0,004;0,003;0,026;0,066;
2024-04-15;0,096;-0,016;0,053;-0,019;0,036;0,009;-0,006;-0,006;0,015;0,033;0,037;-0,009;0,007;0,007;-0,004;0,025;0,064;
2024-04-16;0,086;-0,016;0,040;-0,021;0,028;0,002;-0,008;-0,009;0,010;0,027;0,031;-0,019;-0,003;-0,002;-0,011;0,020;0,065;
2024-04-17;0,090;-0,016;0,044;-0,020;0,031;0,003;-0,007;-0,008;0,012;0,029;0,034;-0,018;0,001;0,001;-0,009;0,021;0,061;
2024-04-18;0,086;-0,016;0,043;-0,020;0,028;-0,000;;;;;;-0,022;-0,002;-0,003;-0,008;0,016;;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;;;-0,007;-0,008;0,012;0,029;0,033;;;;;;0,062;
2024-04-24;0,089;-0,016;0,045;-0,020;0,036;0,009;;;;;;-0,007;0,006;0,006;-0,003;0,017;;
2024-04-25;;;;;;;-0,008;-0,009;0,010;0,027;0,031;;;;;;0,060;
2024-04-26;0,097;-0,016;0,052;-0,020;0,038;0,011;-0,006;-0,006;0,015;0,034;0,038;-0,009;0,007;0,008;0,003;0,021;0,064;
2024-04-29;0,105;-0,016;0,056;-0,019;0,042;0,014;-0,005;-0,005;0,017;0,036;0,040;-0,004;0,010;0,011;0,006;0,022;0,064;
2024-04-30;0,106;-0,016;0,054;-0,019;0,043;0,019;-0,005;-0,005;0,018;0,037;0,041;0,001;0,011;0,012;0,007;0,024;0,068;
2024-05-02;0,104;-0,016;0,055;-0,019;0,037;0,015;-0,006;-0,006;0,014;0,031;0,035;-0,004;0,006;0,008;0,008;0,015;0,065;
2024-05-03;0,118;-0,015;0,060;-0,017;0,040;0,019;;;;;;0,001;0,009;0,012;0,009;0,019;;
2024-05-06;;;;;;;-0,004;-0,004;0,017;0,035;0,039;;;;;;0,063;
2024-05-07;0,120;-0,015;0,061;-0,015;0,046;0,025;-0,003;-0,003;0,020;0,040;0,044;0,003;0,016;0,018;0,012;0,025;0,067;
2024-05-08;0,120;-0,015;0,061;-0,015;0,049;0,027;-0,002;-0,002;0,022;0,042;0,046;0,007;0,018;0,020;0,013;0,027;0,067;
2024-05-10;0,129;-0,015;0,059;-0,016;0,054;0,031;-0,002;-0,002;0,023;0,045;0,048;0,013;0,024;0,025;0,014;0,029;0,066;
2024-05-13;0,128;-0,015;0,061;-0,015;0,056;0,032;-0,001;-0,000;0,025;0,047;0,051;0,015;0,025;0,025;0,018;0,029;0,065;
2024-05-14;0,133;-0,015;0,060;-0,016;0,059;0,035;-0,000;0,000;0,026;0,048;0,052;0,020;0,026;0,027;0,018;0,029;0,065;
2024-05-15;0,129;-0,014;0,058;-0,014;0,060;0,037;0,001;0,001;0,027;0,050;0,053;0,022;0,028;0,028;0,018;0,031;0,066;
2024-05-16;0,126;-0,014;0,058;-0,014;0,058;0,038;0,001;0,001;0,027;0,050;0,054;0,022;0,026;0,026;0,022;0,033;0,064;
2024-05-17;0,122;-0,014;0,060;-0,015;0,058;0,037;0,000;0,001;0,026;0,049;0,053;0,020;0,024;0,025;0,025;0,032;0,064;
2024-05-20;0,121;-0,014;0,057;-0,015;;;0,000;0,001;0,027;0,050;0,053;0,026;0,029;0,031;0,022;0,032;0,065;
2024-05-21;0,119;-0,014;0,057;-0,014;0,059;0,038;0,001;0,001;0,027;0,049;0,053;0,024;0,029;0,029;0,018;0,031;0,064;
2024-05-22;0,131;-0,014;0,053;-0,015;0,060;0,038;0,001;0,001;0,028;0,051;0,055;0,025;0,031;0,031;0,020;0,033;0,066;
2024-05-23;0,131;-0,014;0,047;-0,017;0,061;0,038;0,000;0,001;0,027;0,051;0,054;0,025;0,030;0,031;0,019;0,032;0,065;
2024-05-24;0,129;-0,014;0,043;-0,017;0,059;0,037;-0,001;-0,000;;;;0,023;0,028;0,028;0,015;0,029;;
2024-05-27;;-0,014;0,039;-0,016;0,059;0,038;;;;;;0,022;0,028;0,029;0,014;;;
2024-05-28;;;;;;;-0,001;-0,001;0,023;0,044;0,048;;;;;;0,056;
2024-05-29;0,133;-0,014;0,029;-0,017;0,054;0,033;-0,002;-0,002;0,022;0,042;0,046;0,017;0,022;0,024;0,007;0,025;0,055;
2024-05-30;0,139;-0,014;;-0,017;0,055;0,036;-0,002;-0,002;0,022;0,042;0,046;0,020;0,022;0,024;0,003;0,024;0,056;
2024-05-31;0,137;-0,014;0,022;-0,017;0,056;0,036;;;;;;0,021;0,024;0,025;-0,006;0,018;;
2024-06-03;;;;;;;-0,001;-0,001;0,021;0,041;0,045;;;;;;0,055;
2024-06-04;0,132;-0,013;0,003;-0,013;0,053;0,030;-0,001;-0,001;0,021;0,040;0,044;0,018;0,022;0,024;-0,006;0,019;0,054;
2024-06-05;0,130;-0,013;0,004;-0,014;0,053;0,028;-0,001;-0,001;0,021;0,040;0,044;0,017;0,024;0,026;-0,003;0,019;0,055;
2024-06-07;0,127;-0,013;0,009;-0,015;0,057;0,029;0,000;0,000;0,025;0,047;0,051;0,018;0,024;0,027;0,006;0,028;0,060;
2024-06-10;0,122;-0,013;-0,004;-0,015;0,054;0,027;-0,000;-0,000;0,024;0,044;0,048;0,016;0,021;0,024;;0,028;0,057;
2024-06-11;0,118;-0,013;-0,005;-0,014;0,051;0,025;-0,001;-0,001;0,022;0,042;0,046;0,017;0,020;0,023;0,002;0,027;0,059;
2024-06-12;0,129;-0,013;-0,023;-0,012;0,056;0,032;0,001;0,001;0,024;0,044;0,047;0,026;0,029;0,031;-0,005;0,027;0,057;
2024-06-13;0,127;-0,013;-0,016;-0,012;0,054;0,030;0,001;0,001;0,024;0,044;0,048;0,020;0,023;0,026;0,004;0,033;0,061;
2024-06-14;0,124;-0,013;-0,012;-0,010;0,051;0,024;0,002;0,002;0,025;0,045;0,049;0,011;0,017;0,021;0,009;0,039;0,057;
2024-06-17;0,117;-0,013;-0,014;-0,011;0,050;0,023;0,001;0,001;0,023;0,043;0,046;0,011;0,015;0,019;0,007;0,038;0,058;
2024-06-18;0,114;-0,012;-0,012;-0,011;0,049;0,024;0,001;0,001;0,023;0,043;0,046;0,009;0,015;0,018;0,008;0,038;0,055;
2024-06-19;;-0,012;-0,018;-0,011;0,048;0,023;0,001;0,001;;;;0,008;0,014;0,018;0,012;;;
2024-06-20;0,115;-0,012;-0,009;-0,011;0,052;0,027;0,001;0,001;0,024;0,045;0,048;0,013;0,018;0,022;0,013;0,039;0,056;
2024-06-24;0,115;-0,012;-0,000;-0,011;0,055;0,030;;;;;;0,015;0,021;0,024;0,009;0,037;;
2024-06-25;;;;;;;0,002;0,002;0,025;0,045;0,049;;;;;;0,063;
2024-06-26;0,115;-0,012;-0,005;-0,011;0,054;0,025;0,002;0,003;0,027;0,047;0,051;0,007;0,016;0,019;0,014;0,042;0,063;
2024-06-27;0,112;-0,012;-0,003;-0,010;0,054;0,027;0,003;0,003;0,026;0,047;0,051;0,008;0,016;0,018;0,013;0,043;;
2024-06-28;0,114;-0,012;-0,005;-0,010;0,055;0,027;0,003;0,003;0,028;0,049;0,052;0,010;0,017;0,018;0,015;0,045;0,064;
2024-07-01;0,105;-0,012;-0,004;-0,012;0,058;0,029;0,002;0,003;0,027;0,048;0,052;0,012;0,020;0,020;0,015;0,040;0,067;
2024-07-02;0,102;-0,012;-0,004;-0,012;0,054;0,029;0,002;0,002;0,026;0,047;0,051;0,010;0,016;0,016;0,014;0,042;0,064;
2024-07-03;0,101;-0,012;-0,003;-0,012;0,055;0,030;0,002;0,002;0,026;0,047;0,051;0,012;0,019;0,019;0,016;0,042;0,060;
2024-07-04;;-0,012;0,003;-0,012;0,056;0,031;0,002;0,002;;;;0,014;0,019;0,020;0,019;;;
2024-07-05;0,106;-0,012;-0,001;-0,011;0,056;0,034;0,003;0,003;0,027;0,048;0,052;0,018;0,020;0,021;0,015;0,043;0,065;
2024-07-08;0,109;-0,012;0,004;-0,011;0,056;0,033;0,003;0,004;0,029;0,050;0,054;0,019;0,019;0,021;0,017;0,046;0,073;
2024-07-09;0,109;-0,012;0,010;-0,011;0,053;0,033;0,003;0,004;0,028;0,050;0,053;0,020;0,016;0,019;0,021;0,049;0,056;
2024-07-10;0,112;-0,011;0,017;-0,010;0,053;0,033;0,004;0,004;0,029;0,051;0,055;0,021;0,017;0,019;0,023;0,049;0,076;
2024-07-11;0,123;-0,011;0,019;-0,009;0,056;0,034;0,005;0,005;0,031;0,053;0,057;0,024;0,021;0,024;0,026;0,050;0,079;
2024-07-12;0,135;-0,011;0,023;-0,008;0,063;0,042;;;;;;0,034;0,031;0,033;0,029;0,051;;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;;;;0,007;0,007;0,032;0,054;0,058;;;;;;0,080;
2024-07-22;0,126;-0,010;0,021;-0,006;0,059;0,039;0,007;0,008;0,034;0,057;0,061;0,034;0,030;0,031;0,023;0,052;0,085;
2024-07-23;0,128;-0,010;0,022;-0,005;0,059;0,039;0,008;0,009;0,036;0,059;0,063;0,033;0,029;0,029;0,025;0,056;0,090;
2024-07-24;0,132;-0,010;0,015;-0,005;0,056;0,036;0,007;0,008;0,034;0,056;0,060;0,032;0,026;0,026;0,023;0,050;0,090;
2024-07-25;0,132;-0,010;0,014;-0,005;0,051;0,032;;;;;;0,026;0,020;0,021;0,021;0,045;;
2024-07-26;;;;;;;0,007;0,007;0,032;0,054;0,058;;;;;;0,096;
2024-07-29;0,138;-0,010;0,013;-0,004;0,059;0,040;0,008;0,009;0,035;0,058;0,061;0,033;0,028;0,029;0,023;0,051;0,095;
2024-07-30;0,129;-0,010;0,006;-0,004;0,060;0,040;0,008;0,009;0,035;0,057;0,061;0,032;0,029;0,029;0,019;0,048;0,091;
2024-07-31;0,129;-0,010;0,006;-0,004;0,061;0,041;0,008;0,009;0,035;0,058;0,061;0,032;0,030;0,030;0,020;0,046;0,090;
2024-08-01;0,130;-0,009;0,009;-0,003;0,058;0,038;0,009;0,009;0,034;0,056;0,059;0,030;0,027;0,027;0,020;0,050;0,092;
2024-08-02;0,106;-0,009;-0,008;-0,001;0,041;0,022;;;;;;0,014;0,009;0,011;0,005;0,031;;
2024-08-05;;;;;;;0,001;0,000;0,013;0,022;0,026;;;;;;0,068;
2024-08-06;0,094;-0,009;-0,014;0,000;0,030;0,009;0,003;0,003;0,018;0,029;0,033;-0,002;-0,005;-0,003;-0,005;0,022;0,069;
2024-08-07;0,101;-0,009;-0,008;-0,002;0,036;0,020;0,003;0,003;0,019;0,032;0,036;0,012;0,005;0,007;0,001;0,025;0,068;
2024-08-08;0,097;-0,009;-0,003;-0,002;0,036;0,018;0,003;0,003;0,019;0,033;0,037;0,008;0,003;0,005;0,004;0,023;0,073;
2024-08-09;0,098;-0,009;0,006;-0,001;0,040;0,021;0,005;0,004;0,022;0,037;0,041;0,014;0,005;0,008;0,008;0,026;0,077;
2024-08-12;0,094;-0,009;0,012;-0,001;0,040;0,022;0,005;0,005;0,022;0,037;0,041;0,012;0,006;0,008;0,012;0,028;0,078;
2024-08-13;0,102;-0,009;0,014;0,000;0,044;0,023;;;;;;0,012;0,008;0,010;0,011;0,033;;
2024-08-14;;;;;;;0,006;0,006;0,026;0,042;0,045;;;;;;0,081;
2024-08-15;0,107;-0,009;0,023;-0,001;0,053;0,032;0,008;0,008;0,030;0,049;0,053;0,021;0,017;0,021;0,012;0,042;0,087;
2024-08-16;0,111;-0,008;0,025;-0,001;0,053;0,032;0,008;0,009;0,031;0,050;0,054;0,022;0,017;0,021;0,020;0,043;0,084;
2024-08-19;0,109;-0,008;0,021;-0,001;0,055;0,034;0,009;0,009;0,031;0,050;0,053;0,024;0,019;0,024;0,019;0,041;0,084;
2024-08-20;0,108;-0,008;0,017;-0,001;0,053;0,033;0,008;0,008;0,029;0,047;0,051;0,026;0,019;0,024;0,014;0,041;0,081;
