
# ;[];[];[];[];[];[d&g aktiefond][didner & gerge aktiefond];[d&g global all cap][didner & gerge global];[d&g småbolag][didner & gerge småbolag];[];[];[];[];[];[];[];[dnb global emerging markets s][dnb global emerging markets a];[dnb grönt skifte norden s][dnb grönt norden a];
# ;cicero avkastning a;cicero hållbar mix a;coeli high yield opportunities;cpr invest global gold mines a2;cpr invest global lifestyles a2;d&g aktiefond;d&g global all cap;d&g småbolag;danske invest sicav - aktiv förmögenhetsförvaltning si;danske invest sicav - euro investment grade corporate bond a;danske invest sicav - sverige kort ränta si;danske invest sicav - sverige ränta si;danske invest sicav - sverige si;delphi global a2;delphi nordic acc;dnb global emerging markets s;dnb grönt skifte norden s;
2023-12-20;-0,030;-0,017;;-0,202;-0,024;-0,021;0,004;-0,022;-0,025;-0,022;-0,024;-0,020;-0,022;-0,116;0,016;-0,028;0,010;
2023-12-21;-0,030;-0,016;;-0,196;-0,022;-0,024;0,002;-0,024;-0,028;-0,022;-0,024;-0,020;-0,027;-0,112;0,014;-0,028;0,009;
2023-12-22;-0,029;-0,017;;-0,197;-0,029;-0,024;-0,003;-0,022;-0,026;-0,022;-0,024;-0,021;-0,023;-0,116;0,013;-0,033;0,008;
2023-12-27;-0,029;-0,016;;-0,195;-0,030;-0,021;-0,003;-0,018;-0,025;-0,021;-0,024;-0,020;-0,022;-0,118;0,015;;;
2023-12-28;-0,029;-0,015;;-0,207;-0,033;-0,020;0,001;-0,017;-0,024;-0,021;-0,023;-0,020;-0,021;-0,117;0,016;-0,025;0,014;
2023-12-29;-0,029;-0,013;;-0,207;-0,030;-0,019;0,003;-0,015;-0,023;-0,022;-0,023;-0,020;-0,019;;;-0,020;0,016;
2024-01-02;-0,029;-0,013;;-0,210;-0,032;-0,022;0,005;-0,018;-0,024;-0,023;-0,023;-0,020;-0,022;-0,114;0,020;-0,021;0,014;
2024-01-03;-0,028;-0,015;;;;-0,029;0,002;-0,026;-0,030;;-0,023;-0,020;-0,031;;;;;
2024-01-04;;;;-0,217;-0,033;;;;;-0,025;;;;-0,116;0,017;-0,025;0,014;
2024-01-05;-0,028;-0,015;;-0,216;-0,032;-0,032;0,001;-0,027;-0,031;-0,025;-0,024;-0,022;-0,032;-0,115;0,013;-0,025;0,014;
2024-01-08;-0,028;-0,013;;-0,215;-0,025;-0,027;0,002;-0,021;-0,030;-0,025;-0,023;-0,023;-0,029;-0,109;0,018;-0,025;0,017;
2024-01-09;-0,028;-0,012;;-0,222;-0,027;-0,028;0,006;-0,018;-0,031;-0,026;-0,023;-0,023;-0,031;-0,106;0,011;-0,023;0,017;
2024-01-10;-0,027;-0,011;;-0,224;-0,024;-0,027;0,006;-0,018;-0,031;-0,026;-0,023;-0,023;-0,031;-0,104;0,013;-0,027;0,018;
2024-01-11;-0,026;-0,011;;-0,229;-0,026;-0,032;0,007;-0,020;-0,030;-0,025;-0,023;-0,022;-0,029;-0,099;0,006;-0,019;0,018;
2024-01-12;-0,026;-0,009;;-0,216;-0,023;-0,028;0,011;-0,013;-0,028;-0,024;-0,023;-0,021;-0,027;-0,098;0,012;;;
2024-01-15;-0,026;-0,009;;;;-0,033;0,010;-0,021;-0,031;-0,025;-0,023;-0,022;-0,032;;0,008;-0,019;0,019;
2024-01-16;-0,026;-0,009;;-0,227;-0,019;-0,035;0,010;-0,020;-0,032;-0,025;-0,023;-0,021;-0,034;-0,093;0,009;-0,020;0,017;
2024-01-17;-0,026;-0,011;;-0,238;-0,021;-0,039;0,008;-0,026;-0,037;-0,027;-0,023;-0,023;-0,042;-0,092;0,005;-0,026;0,013;
2024-01-18;-0,026;-0,009;;-0,239;;-0,039;0,010;-0,023;-0,035;-0,026;-0,023;-0,023;-0,038;-0,090;0,005;-0,021;0,015;
2024-01-19;-0,026;-0,008;;-0,236;-0,011;-0,042;0,011;-0,026;-0,036;-0,026;-0,023;-0,024;-0,039;-0,083;0,004;-0,017;0,013;
2024-01-22;-0,026;-0,006;;-0,238;-0,011;-0,038;0,016;-0,024;-0,033;-0,025;-0,023;-0,023;-0,034;-0,082;0,007;-0,021;0,016;
2024-01-23;-0,026;-0,005;;-0,230;-0,013;-0,037;0,017;-0,022;-0,032;-0,026;-0,023;-0,023;-0,032;-0,079;0,007;-0,018;0,015;
2024-01-24;-0,026;-0,004;;-0,236;-0,011;-0,035;0,017;-0,020;-0,031;-0,025;-0,023;-0,023;-0,031;-0,080;0,011;-0,016;0,018;
2024-01-25;-0,026;-0,003;;;;-0,032;0,014;-0,017;-0,029;;-0,023;-0,023;-0,028;;;;;
2024-01-26;;;;-0,232;-0,004;;;;;-0,024;;;;-0,079;0,014;-0,015;0,021;
2024-01-29;-0,025;-0,001;;-0,228;-0,001;-0,032;0,019;-0,015;-0,027;-0,022;-0,022;-0,022;-0,024;-0,072;0,017;-0,012;0,023;
2024-01-30;-0,025;-0,002;;-0,231;-0,003;-0,031;0,020;-0,015;-0,027;-0,023;-0,023;-0,022;-0,024;-0,073;0,015;-0,016;0,022;
2024-01-31;-0,025;-0,004;;-0,233;-0,007;-0,027;0,017;-0,015;-0,025;-0,021;-0,022;-0,021;-0,023;-0,080;0,015;;;
2024-02-01;-0,025;-0,002;;-0,218;-0,001;-0,027;0,015;-0,017;-0,024;-0,021;-0,022;-0,021;-0,020;-0,070;0,011;-0,017;0,022;
2024-02-02;-0,025;-0,001;;;;-0,027;0,022;-0,017;-0,024;;-0,022;-0,021;-0,020;;;;;
2024-02-05;;;;-0,237;0,003;;;;;-0,024;;;;-0,056;0,012;-0,005;0,021;
2024-02-06;-0,025;-0,000;;-0,230;0,007;-0,026;0,024;-0,015;-0,025;-0,024;-0,022;-0,022;-0,022;-0,059;0,016;-0,001;0,022;
2024-02-07;-0,025;0,001;;-0,236;0,005;-0,023;0,024;-0,011;-0,023;-0,024;-0,022;-0,022;-0,019;-0,057;0,014;-0,003;0,023;
2024-02-08;-0,025;0,002;;-0,240;0,008;-0,021;0,025;-0,009;-0,023;-0,025;-0,022;-0,023;-0,019;-0,055;0,016;-0,001;0,023;
2024-02-09;-0,025;0,003;;-0,245;0,009;-0,023;0,027;-0,012;-0,025;-0,025;-0,022;-0,024;-0,022;-0,052;0,015;-0,001;;
2024-02-12;-0,025;0,003;;-0,243;0,009;-0,018;0,027;-0,009;-0,023;-0,025;-0,022;-0,024;-0,018;-0,054;0,019;;0,024;
2024-02-13;-0,025;0,002;;-0,265;0,003;-0,020;0,028;-0,013;-0,027;-0,025;-0,022;-0,024;-0,023;-0,054;0,018;;0,024;
2024-02-14;-0,025;0,003;;-0,259;0,013;-0,018;0,025;-0,009;-0,024;-0,025;-0,022;-0,024;-0,020;-0,049;0,019;0,004;0,026;
2024-02-15;-0,024;0,004;;-0,251;0,012;-0,011;0,029;-0,001;-0,021;-0,024;-0,022;-0,024;-0,014;-0,050;0,024;0,004;0,028;
2024-02-16;-0,024;0,003;;-0,250;0,009;-0,008;0,032;0,002;-0,018;-0,026;-0,022;-0,024;-0,009;-0,052;0,026;0,007;0,029;
2024-02-19;-0,024;0,002;;;;-0,009;;0,002;-0,018;-0,025;-0,022;-0,024;-0,009;;0,025;0,004;0,029;
2024-02-20;-0,024;0,001;;-0,251;0,006;-0,011;0,026;-0,001;-0,019;-0,024;-0,021;-0,024;-0,011;-0,060;0,024;0,001;0,027;
2024-02-21;-0,024;-0,001;;-0,256;0,002;-0,011;0,024;-0,001;-0,019;-0,025;-0,021;-0,024;-0,012;-0,064;0,020;0,003;0,027;
2024-02-22;-0,024;0,003;;-0,272;0,007;-0,009;0,029;0,002;-0,016;-0,025;-0,021;-0,024;-0,006;-0,055;0,025;0,007;0,027;
2024-02-23;-0,024;0,003;;;;-0,008;0,029;0,000;-0,015;;-0,021;-0,024;-0,005;;;;;
2024-02-26;;;;-0,270;0,009;;;;;-0,024;;;;-0,054;0,026;0,005;0,030;
2024-02-27;-0,023;0,003;;-0,275;0,007;-0,009;0,029;-0,001;-0,015;-0,025;-0,021;-0,024;-0,005;-0,052;0,025;0,006;0,030;
2024-02-28;-0,023;0,003;;-0,274;0,011;-0,009;0,031;-0,003;-0,016;-0,025;-0,021;-0,025;-0,007;-0,049;0,026;0,004;0,032;
2024-02-29;-0,023;0,005;;-0,265;0,011;-0,007;0,036;-0,000;-0,014;-0,025;-0,021;-0,024;-0,004;-0,046;0,025;0,007;0,034;
2024-03-01;-0,023;0,007;;-0,250;0,018;-0,002;0,040;0,005;-0,014;-0,024;-0,021;-0,024;-0,003;-0,042;0,029;;;
2024-03-04;-0,023;0,007;;;;-0,004;0,043;0,001;-0,014;;-0,020;-0,023;-0,003;;;;;
2024-03-05;;;;-0,226;0,015;;;;;-0,023;;;;-0,041;0,031;0,010;0,038;
2024-03-06;-0,022;0,005;;-0,221;0,016;-0,009;0,039;-0,001;-0,012;-0,023;-0,020;-0,021;-0,002;-0,040;0,033;0,010;0,038;
2024-03-07;-0,022;0,007;;-0,218;0,017;-0,007;0,041;0,003;-0,011;-0,022;-0,020;-0,021;-0,000;-0,036;0,039;0,008;0,044;
2024-03-08;-0,022;0,007;;-0,221;0,012;-0,004;0,042;0,006;-0,007;-0,021;-0,020;-0,019;0,005;-0,042;0,041;0,005;0,046;
2024-03-11;-0,021;0,005;;-0,216;0,012;-0,006;0,040;0,006;-0,009;-0,021;-0,019;-0,019;0,002;-0,045;0,038;0,005;0,041;
2024-03-12;-0,021;0,008;;-0,222;0,018;0,000;0,043;0,009;-0,005;-0,021;-0,019;-0,019;0,007;-0,039;0,045;0,009;0,046;
2024-03-13;-0,021;0,008;;-0,214;0,019;0,002;0,043;0,007;-0,005;-0,021;-0,019;-0,019;0,009;-0,039;0,042;0,006;0,047;
2024-03-14;-0,022;0,008;;-0,218;0,019;0,002;0,044;0,008;-0,006;-0,022;-0,020;-0,021;0,008;-0,037;0,045;0,009;0,048;
2024-03-15;-0,022;0,007;;-0,214;0,019;0,001;0,042;0,008;-0,005;-0,022;-0,019;-0,021;0,010;-0,037;0,044;0,005;0,046;
2024-03-18;-0,022;0,010;;-0,216;0,019;-0,000;0,048;0,006;-0,007;-0,022;-0,019;-0,021;0,005;-0,032;0,043;0,007;0,048;
2024-03-19;-0,022;0,011;;-0,219;0,026;0,003;0,047;0,010;-0,007;-0,022;-0,019;-0,021;0,006;-0,031;0,045;0,003;0,048;
2024-03-20;-0,022;0,012;;-0,208;0,028;0,003;0,049;0,012;-0,006;-0,022;-0,019;-0,021;0,008;-0,024;0,045;0,009;0,050;
2024-03-21;-0,022;0,016;;-0,210;0,028;0,010;0,055;0,020;-0,000;-0,021;-0,019;-0,020;0,017;-0,020;0,052;0,016;0,054;
2024-03-22;-0,022;0,017;;;;0,011;0,056;0,020;0,001;;-0,019;-0,019;0,018;;;;;
2024-03-25;;;;-0,205;0,031;;;;;-0,021;;;;-0,017;0,051;0,015;0,058;
2024-03-26;-0,022;0,017;;-0,206;0,031;0,014;0,057;0,024;0,001;-0,020;-0,019;-0,020;0,017;-0,018;0,054;0,018;0,060;
2024-03-27;-0,022;0,018;;;;0,012;0,057;0,025;0,001;-0,019;-0,019;-0,019;0,017;-0,016;0,051;0,017;0,058;
2024-03-28;-0,022;0,020;;-0,177;0,036;0,012;0,061;0,025;-0,000;-0,019;-0,018;-0,019;0,015;;;;;
2024-04-02;-0,021;0,018;;-0,164;0,036;0,011;0,053;0,025;-0,001;-0,020;-0,018;-0,021;0,015;-0,014;0,048;0,030;0,053;
2024-04-03;-0,021;0,017;;-0,157;0,032;0,013;0,052;0,024;-0,002;-0,020;-0,018;-0,021;0,014;-0,012;0,050;0,024;0,054;
2024-04-04;-0,021;0,015;;-0,165;0,024;0,014;0,053;0,024;-0,001;-0,019;-0,018;-0,020;0,015;-0,021;0,051;;0,054;
2024-04-05;-0,021;0,016;;-0,152;0,026;0,010;0,051;0,020;-0,003;-0,019;-0,018;-0,021;0,011;-0,013;0,049;0,027;0,054;
2024-04-08;-0,021;0,016;;-0,155;0,025;0,012;0,051;0,023;-0,001;-0,020;-0,018;-0,022;0,015;-0,017;0,050;0,025;0,056;
2024-04-09;-0,021;0,017;;-0,151;0,021;0,009;0,048;0,019;-0,001;-0,019;-0,018;-0,021;0,014;-0,019;0,049;0,026;0,054;
2024-04-10;-0,021;0,017;;-0,157;0,018;0,009;0,052;0,018;-0,004;-0,020;-0,018;-0,021;0,010;-0,014;0,049;0,033;0,054;
2024-04-11;-0,021;0,018;;-0,145;0,026;0,006;0,052;0,018;-0,005;-0,021;-0,018;-0,022;0,009;-0,007;0,048;0,036;0,053;
2024-04-12;-0,021;0,017;;-0,147;0,023;0,005;0,055;0,015;-0,002;-0,019;-0,018;-0,019;0,012;-0,009;0,048;0,034;0,055;
2024-04-15;-0,021;0,014;;-0,149;0,022;0,006;0,052;0,015;0,000;-0,020;-0,018;-0,021;0,016;-0,016;0,050;0,026;0,054;
2024-04-16;-0,021;0,014;;-0,151;;-0,001;0,048;0,010;-0,007;-0,022;-0,018;-0,022;0,005;-0,016;0,044;0,019;0,049;
2024-04-17;-0,021;0,013;;-0,144;0,022;-0,001;0,047;0,009;-0,005;-0,022;-0,018;-0,021;0,008;-0,016;0,048;0,021;0,050;
2024-04-18;-0,021;0,013;;;;-0,001;0,046;0,008;-0,007;;-0,018;-0,021;0,005;;;;;
2024-04-22;;;;;;;;;;;;;;-0,022;0,045;;;
2024-04-23;;;;-0,151;0,024;;;;;-0,021;;;;;;0,017;0,057;
2024-04-24;-0,020;0,015;;;;0,005;0,048;0,014;-0,003;;-0,018;-0,021;0,012;;;;;
2024-04-25;;;;-0,138;0,020;;;;;-0,023;;;;-0,017;0,048;0,025;0,055;
2024-04-26;-0,020;0,017;;-0,133;0,025;0,007;0,052;0,018;-0,002;-0,022;-0,017;-0,021;0,013;-0,010;0,056;0,033;0,064;
2024-04-29;-0,020;0,018;;-0,128;0,027;0,011;0,053;0,021;0,000;-0,021;-0,017;-0,020;0,016;-0,012;0,059;0,034;0,067;
2024-04-30;-0,020;0,018;;-0,145;0,023;0,012;0,052;0,023;0,001;-0,022;-0,017;-0,020;0,017;-0,016;0,063;0,033;0,068;
2024-05-02;-0,020;0,016;;-0,145;0,024;0,009;0,048;0,019;-0,003;-0,022;-0,017;-0,020;0,012;-0,015;0,059;0,034;0,061;
2024-05-03;-0,020;0,018;;;;0,012;0,049;0,028;-0,001;;-0,017;-0,019;0,016;;;;;
2024-05-06;;;;-0,140;0,031;;;;;-0,020;;;;-0,008;0,063;0,038;0,065;
2024-05-07;-0,019;0,023;;-0,140;0,031;0,019;0,055;0,040;0,003;-0,019;-0,016;-0,017;0,023;-0,007;0,067;0,038;0,072;
2024-05-08;-0,019;0,023;;;;0,020;0,057;0,042;0,006;-0,020;-0,016;-0,017;0,027;-0,003;0,068;0,042;0,073;
2024-05-10;-0,019;0,023;;-0,124;0,034;0,025;0,057;0,047;0,010;-0,021;-0,016;-0,017;0,034;0,000;0,075;0,044;;
2024-05-13;-0,019;0,024;;-0,129;0,036;0,024;0,057;0,046;0,011;-0,020;-0,016;-0,017;0,035;-0,001;0,075;0,045;0,078;
2024-05-14;-0,019;0,025;;-0,124;0,038;0,027;0,058;0,049;0,012;-0,021;-0,016;-0,017;0,036;0,002;0,077;0,049;0,079;
2024-05-15;-0,018;0,026;;-0,122;0,039;0,027;0,060;0,051;0,014;-0,019;-0,016;-0,016;0,038;0,005;0,078;;0,081;
2024-05-16;-0,018;0,027;;-0,127;0,036;0,026;0,059;0,053;0,012;-0,019;-0,015;-0,016;0,035;0,001;0,077;0,052;0,081;
2024-05-17;-0,018;0,027;;-0,113;0,039;0,025;0,057;0,053;0,010;-0,020;-0,015;-0,016;0,033;;;;;
2024-05-20;-0,018;0,028;;;;0,027;0,056;0,056;0,013;;-0,015;-0,016;0,039;;;;;
2024-05-21;-0,018;0,028;;-0,113;0,037;0,026;0,056;0,054;0,013;-0,020;-0,015;-0,016;0,038;0,009;0,078;0,047;0,081;
2024-05-22;-0,018;0,028;;-0,126;0,035;0,027;0,057;0,057;0,014;-0,020;-0,015;-0,016;0,040;0,008;0,075;0,049;0,080;
2024-05-23;-0,018;0,027;;-0,135;0,035;0,026;0,055;0,056;0,014;-0,021;-0,015;-0,017;0,040;0,007;0,078;0,048;0,082;
2024-05-24;-0,017;0,027;;-0,129;0,039;0,024;0,051;0,057;0,012;-0,021;-0,015;-0,017;0,037;;0,078;0,042;0,079;
2024-05-27;-0,017;0,026;;;;0,024;;0,056;0,013;;-0,015;-0,016;0,037;;;;;
2024-05-28;;;;-0,125;0,031;;;;;-0,021;;;;0,007;0,078;0,040;0,080;
2024-05-29;-0,017;0,024;;-0,134;0,029;0,017;0,042;0,048;0,008;-0,022;-0,015;-0,017;0,030;0,008;0,073;0,037;0,077;
2024-05-30;-0,017;0,022;;-0,127;0,033;0,019;0,036;0,050;0,008;-0,022;-0,015;-0,017;0,029;0,001;0,073;0,029;0,078;
2024-05-31;-0,017;0,022;;;;0,021;0,030;0,056;0,009;;-0,015;-0,017;0,031;;;;;
2024-06-03;;;;-0,134;0,028;;;;;-0,020;;;;-0,004;0,076;0,026;0,076;
2024-06-04;-0,017;0,021;;-0,154;0,026;0,018;0,028;0,048;0,009;-0,020;-0,014;-0,014;0,030;-0,004;0,071;0,018;0,072;
2024-06-05;-0,016;0,023;;-0,149;0,030;0,021;0,031;0,052;0,010;-0,019;-0,014;-0,014;0,032;0,003;0,072;0,032;;
2024-06-07;-0,016;0,025;;-0,164;0,027;0,022;0,037;0,051;0,011;-0,021;-0,014;-0,015;0,034;0,004;0,074;0,031;;
2024-06-10;-0,016;0,024;;-0,149;0,033;0,018;0,032;0,049;0,009;-0,022;-0,014;-0,016;0,031;0,009;0,073;;0,073;
2024-06-11;-0,016;0,024;;-0,158;0,030;0,019;0,030;0,049;0,010;-0,021;-0,014;-0,015;0,032;0,007;0,069;0,028;0,071;
2024-06-12;-0,016;0,026;;-0,155;0,035;0,026;0,029;0,058;0,017;-0,020;-0,014;-0,013;0,043;0,004;0,073;0,021;0,075;
2024-06-13;-0,016;0,026;;-0,171;0,029;0,021;0,030;0,053;0,013;-0,019;-0,014;-0,013;0,037;0,012;0,067;0,033;0,072;
2024-06-14;-0,016;0,026;;-0,163;0,032;0,015;0,028;0,047;0,010;-0,018;-0,013;-0,012;0,031;0,014;0,062;0,036;0,068;
2024-06-17;-0,016;0,026;;-0,164;0,035;0,016;0,027;0,041;0,009;-0,019;-0,013;-0,012;0,029;0,017;0,062;0,036;0,066;
2024-06-18;-0,016;0,026;;-0,162;0,034;0,017;0,028;0,043;0,008;-0,019;-0,014;-0,013;0,028;0,015;0,060;0,036;0,067;
2024-06-19;-0,016;0,026;;;;0,015;;0,041;0,007;-0,019;-0,013;-0,012;0,027;;0,060;0,040;0,066;
2024-06-20;-0,016;0,027;;-0,152;0,033;0,020;0,027;0,047;0,010;-0,019;-0,013;-0,013;0,031;0,014;0,063;0,041;0,069;
2024-06-24;-0,015;0,025;;;;0,023;0,027;0,048;0,011;;-0,013;-0,012;0,032;;;;;
2024-06-25;;;;-0,160;0,035;;;;;-0,018;;;;0,014;0,065;0,040;0,071;
2024-06-26;-0,015;0,027;;-0,156;0,036;0,017;0,028;0,040;0,009;-0,019;-0,013;-0,012;0,028;0,015;0,066;0,042;0,070;
2024-06-27;-0,015;0,028;;-0,148;0,036;0,018;0,032;0,044;0,009;-0,019;-0,013;-0,011;0,029;0,017;0,065;0,042;0,070;
2024-06-28;-0,015;0,027;;;;0,019;0,033;0,043;0,010;-0,019;-0,013;-0,011;0,030;0,013;0,069;0,042;0,068;
2024-07-01;-0,015;0,028;;;;0,021;0,032;0,045;0,011;-0,020;-0,013;-0,012;0,032;0,016;0,069;0,043;0,071;
2024-07-02;-0,015;0,028;;;;0,019;0,030;0,044;0,009;-0,020;-0,013;-0,012;0,029;0,016;0,067;0,041;0,066;
2024-07-03;-0,015;0,029;;-0,137;0,036;0,022;0,029;0,047;0,011;-0,018;-0,013;-0,012;0,033;0,013;0,064;0,040;0,067;
2024-07-04;-0,015;0,029;;;;0,024;;0,048;0,011;-0,019;-0,013;-0,012;0,033;;0,067;0,045;0,069;
2024-07-05;-0,015;0,030;;;;0,024;0,032;0,050;0,012;-0,018;-0,012;-0,012;0,034;0,017;0,067;;;
2024-07-08;-0,014;0,032;;-0,129;0,035;0,025;0,035;0,052;0,012;-0,017;-0,012;-0,011;0,033;0,019;0,066;0,049;0,071;
2024-07-09;-0,014;0,032;;;;0,021;0,033;0,050;0,011;-0,018;-0,012;-0,011;0,031;0,020;0,064;0,051;0,068;
2024-07-10;-0,014;0,034;;-0,113;;0,022;0,034;0,050;0,011;-0,017;-0,012;-0,011;0,031;0,023;0,068;0,052;0,069;
2024-07-11;-0,014;0,033;;;;0,026;0,039;0,053;0,014;-0,016;-0,012;-0,009;0,035;0,014;0,072;0,052;0,070;
2024-07-12;-0,014;0,036;;;;0,036;0,049;0,065;0,022;;-0,012;-0,009;0,048;;;;;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;-0,105;0,034;;;;;-0,015;;;;0,008;0,061;0,044;0,070;
2024-07-22;-0,013;0,036;;-0,104;0,038;0,036;0,051;0,063;0,021;-0,016;-0,011;-0,007;0,045;0,015;0,068;0,047;0,076;
2024-07-23;-0,013;0,037;;-0,099;0,041;0,035;0,057;0,061;0,021;-0,015;-0,011;-0,007;0,044;0,015;0,069;0,048;0,077;
2024-07-24;-0,013;0,033;;-0,099;0,034;0,031;0,053;0,059;0,018;-0,014;-0,011;-0,007;0,040;0,002;0,068;0,041;0,074;
2024-07-25;-0,013;0,031;;;;0,029;0,052;0,056;0,014;;-0,011;-0,007;0,033;;;;;
2024-07-26;;;;-0,110;0,034;;;;;-0,014;;;;0,002;0,068;0,038;0,073;
2024-07-29;-0,012;0,033;;-0,105;0,032;0,032;0,057;0,060;0,020;-0,013;-0,010;-0,006;0,042;0,003;0,070;0,038;0,074;
2024-07-30;-0,012;0,031;;-0,104;0,032;0,033;0,056;0,062;0,020;-0,013;-0,010;-0,005;0,042;-0,005;0,074;0,034;0,076;
2024-07-31;-0,012;0,034;;-0,096;0,034;0,035;0,060;0,064;0,022;-0,012;-0,010;-0,006;0,044;0,004;0,078;0,040;0,078;
2024-08-01;-0,012;0,028;;-0,104;0,027;0,025;0,051;0,057;0,020;-0,011;-0,010;-0,005;0,041;-0,006;0,069;0,036;0,071;
2024-08-02;-0,012;0,018;;-0,111;0,021;0,013;0,033;0,042;0,010;;-0,010;-0,004;0,022;;;;;
2024-08-05;;;;;;;;;;-0,012;;;;-0,038;0,039;0,002;0,042;
2024-08-06;-0,012;0,013;;-0,130;0,004;0,003;0,029;0,033;0,003;-0,012;-0,010;-0,003;0,008;-0,030;0,037;0,006;0,046;
2024-08-07;-0,012;0,012;;-0,144;0,001;0,012;0,028;0,042;0,009;-0,012;-0,010;-0,005;0,020;-0,038;0,042;0,012;0,050;
2024-08-08;-0,012;0,016;;-0,138;0,005;0,011;0,031;0,040;0,007;-0,012;-0,010;-0,005;0,017;-0,023;0,045;0,018;0,053;
2024-08-09;-0,012;0,018;;-0,131;0,011;0,014;0,032;0,045;0,009;-0,012;-0,010;-0,004;0,020;-0,021;0,052;0,023;0,058;
2024-08-12;-0,011;0,018;;-0,116;0,010;0,013;0,031;0,044;0,009;-0,012;-0,009;-0,004;0,020;-0,019;0,050;0,027;0,057;
2024-08-13;-0,011;0,021;;-0,110;0,015;0,013;0,036;0,045;0,011;-0,011;-0,009;-0,003;0,022;;;;;
2024-08-14;;;;-0,112;0,015;;;;;-0,011;;;;-0,013;0,056;0,026;0,063;
2024-08-15;-0,011;0,027;;;;0,019;0,044;0,051;0,015;;-0,009;-0,005;0,031;-0,003;0,062;;0,068;
2024-08-16;-0,011;0,027;;-0,096;0,027;0,018;0,045;0,051;0,015;-0,011;-0,009;-0,004;0,030;-0,002;0,066;0,038;0,067;
2024-08-19;-0,011;0,027;;-0,092;0,028;0,021;0,041;0,054;0,016;-0,011;-0,009;-0,003;0,033;-0,005;0,065;0,033;0,067;
2024-08-20;-0,011;0,025;;-0,092;0,024;0,019;0,039;0,053;0,017;-0,011;-0,009;-0,003;0,033;-0,011;0,061;0,030;0,064;
2024-08-21;-0,011;0,026;;-0,092;0,023;0,018;0,039;0,050;0,015;-0,010;-0,009;-0,003;0,031;-0,009;0,058;0,028;0,063;
2024-08-22;-0,010;0,026;;;;0,020;0,039;0,053;0,018;;-0,009;-0,003;0,035;;;;;
2024-08-27;;;;-0,099;0,025;;;;;-0,011;;;;-0,011;0,060;0,026;0,068;
2024-08-28;-0,010;0,027;;-0,110;0,022;0,024;0,037;0,061;0,021;-0,011;-0,008;-0,004;0,040;-0,015;0,059;;;
2024-08-29;-0,009;0,028;;-0,105;0,023;0,028;0,039;0,065;0,021;-0,011;-0,008;-0,004;0,042;-0,012;0,064;0,028;0,073;
2024-08-30;-0,009;0,031;;-0,105;0,027;0,031;0,039;0,068;0,022;-0,011;-0,008;-0,004;0,044;-0,007;0,070;0,031;0,075;
2024-09-02;-0,009;0,030;;;;0,029;;0,065;0,021;-0,012;-0,008;-0,005;0,042;;0,067;0,029;0,076;
2024-09-03;-0,009;0,026;;-0,118;0,023;0,025;0,039;0,059;0,021;-0,011;-0,008;-0,004;0,041;-0,016;0,065;0,024;0,072;
2024-09-04;-0,009;0,024;;;;0,023;0,030;0,056;0,017;;-0,008;-0,003;0,034;;;;;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;-0,084;0,041;;;;;-0,008;;;;0,012;0,052;0,061;0,072;
2024-10-11;-0,007;0,036;;-0,081;0,044;0,025;0,048;0,054;0,021;-0,008;-0,007;-0,003;0,041;0,014;0,056;0,063;0,075;
2024-10-14;-0,006;0,038;;;;0,027;0,052;0,055;0,021;-0,007;-0,006;-0,004;0,040;0,018;0,059;0,063;0,076;
2024-10-15;-0,006;0,036;;-0,073;0,046;0,026;0,049;0,055;0,022;-0,006;-0,006;-0,003;0,041;0,012;0,052;0,055;0,072;
2024-10-16;-0,006;0,038;;-0,071;0,045;0,023;0,052;0,052;0,020;-0,005;-0,006;-0,002;0,037;0,017;0,054;0,057;0,073;
2024-10-17;-0,006;0,038;;-0,058;0,050;0,023;0,053;0,055;0,021;-0,005;-0,006;-0,002;0,037;0,019;0,053;0,061;0,076;
2024-10-18;-0,006;0,039;;-0,042;0,052;0,025;0,056;0,056;0,021;-0,005;-0,006;-0,002;0,038;0,021;0,055;0,065;0,076;
2024-10-21;-0,006;0,039;;-0,038;0,051;0,021;0,052;0,051;0,021;-0,006;-0,006;-0,003;0,039;0,021;0,053;0,064;0,074;
2024-10-22;-0,006;0,038;;-0,031;0,050;0,019;0,046;0,052;0,018;-0,006;-0,006;-0,003;0,033;0,020;0,048;0,062;0,071;
2024-10-23;-0,006;0,037;;-0,035;0,049;0,021;0,047;0,048;0,018;-0,006;-0,006;-0,003;0,034;0,017;0,052;0,068;0,072;
2024-10-24;-0,006;0,036;;-0,043;0,051;0,017;0,047;0,043;0,018;-0,005;-0,006;-0,003;0,033;0,017;0,047;0,061;0,069;
2024-10-25;-0,006;0,037;;;;0,020;0,048;0,046;0,018;;-0,006;-0,003;0,033;;;;;
2024-10-28;;;;-0,052;0,054;;;;;-0,005;;;;0,019;0,049;0,065;0,076;
2024-10-29;-0,005;0,039;;-0,043;0,056;0,025;0,052;0,052;0,021;-0,006;-0,006;-0,002;0,039;0,022;0,050;0,065;0,072;
2024-10-30;-0,005;0,038;;-0,049;0,054;0,020;0,052;0,049;0,018;-0,007;-0,005;-0,002;0,033;0,020;0,047;0,061;0,070;
