
# ;[];[];[];[];[];[];[länsförsäkringar global index][länsförsäkringar global indexnära];[];[länsförsäkringar japan index][länsförsäkringar japan indexnära];[];[];[];[];[];[];[];[];
# ;lannebo sverige;lannebo sverige hållbar a;lannebo sverige plus;lannebo teknik;länsförsäkringar asienfond a;länsförsäkringar fastighetsfond a;länsförsäkringar global index;länsförsäkringar global vision a;länsförsäkringar japan index;länsförsäkringar kort räntefond;länsförsäkringar lång räntefond a;länsförsäkringar mix vision a;länsförsäkringar småbolag sverige vision a;länsförsäkringar sparmål 2015;länsförsäkringar sparmål 2020;länsförsäkringar sparmål 2025;länsförsäkringar sparmål 2030;
2023-07-18;-0,089;-0,026;-0,078;-0,067;-0,014;-0,083;-0,090;-0,100;-0,041;-0,033;-0,023;-0,070;-0,090;-0,046;-0,047;-0,055;-0,060;
2023-07-19;-0,088;-0,022;-0,076;-0,062;-0,013;-0,065;-0,087;-0,097;-0,037;-0,033;-0,022;-0,068;-0,084;-0,045;-0,046;-0,053;-0,058;
2023-07-20;-0,097;-0,023;-0,086;-0,064;-0,011;-0,065;-0,088;-0,098;-0,042;-0,032;-0,023;-0,069;-0,084;-0,046;-0,046;-0,054;-0,059;
2023-07-21;-0,090;-0,025;-0,079;-0,065;-0,009;-0,063;-0,084;-0,095;-0,042;-0,032;-0,023;-0,067;-0,083;-0,046;-0,046;-0,053;-0,058;
2023-07-24;-0,088;-0,024;-0,077;-0,067;-0,014;-0,061;-0,084;-0,094;-0,037;-0,032;-0,022;-0,066;-0,081;-0,045;-0,046;-0,052;-0,057;
2023-07-25;-0,084;-0,021;-0,072;-0,063;-0,005;-0,061;-0,084;-0,093;-0,038;-0,032;-0,023;-0,065;-0,077;-0,044;-0,045;-0,051;-0,055;
2023-07-26;-0,086;-0,025;-0,075;-0,063;-0,002;-0,056;-0,081;-0,090;-0,033;-0,032;-0,023;-0,064;-0,078;-0,044;-0,045;-0,051;-0,055;
2023-07-27;-0,083;-0,020;-0,072;-0,058;0,002;-0,056;-0,081;-0,090;-0,031;-0,032;-0,023;-0,064;-0,076;-0,044;-0,044;-0,050;-0,053;
2023-07-28;-0,083;-0,023;-0,072;-0,058;0,007;-0,057;-0,076;-0,088;-0,028;-0,032;-0,023;-0,062;-0,077;-0,044;-0,044;-0,049;-0,052;
2023-07-31;-0,084;-0,023;-0,073;-0,057;0,009;-0,059;-0,076;-0,086;-0,029;-0,032;-0,023;-0,062;-0,079;-0,043;-0,043;-0,049;-0,052;
2023-08-01;-0,083;-0,025;-0,072;-0,054;0,010;-0,065;-0,074;-0,084;-0,027;-0,032;-0,023;-0,061;-0,081;-0,043;-0,043;-0,048;-0,051;
2023-08-02;-0,087;-0,028;-0,075;-0,057;0,008;-0,068;-0,076;-0,085;-0,029;-0,032;-0,023;-0,062;-0,086;;;;;
2023-08-03;;;;;;;;;;;;;;-0,046;-0,047;-0,052;-0,056;
2023-08-04;-0,089;-0,034;-0,077;-0,071;-0,001;-0,062;-0,086;-0,093;-0,037;-0,032;-0,024;-0,066;-0,085;-0,048;-0,048;-0,055;-0,059;
2023-08-07;-0,087;-0,036;-0,075;-0,070;0,001;-0,068;-0,081;-0,089;-0,034;-0,031;-0,025;-0,065;-0,088;-0,046;-0,047;-0,053;-0,057;
2023-08-08;-0,089;-0,035;-0,077;-0,069;0,001;-0,070;-0,078;-0,084;-0,031;-0,031;-0,023;-0,063;-0,090;-0,046;-0,046;-0,052;-0,057;
2023-08-09;-0,085;-0,034;-0,074;-0,070;0,000;-0,065;-0,083;-0,089;-0,036;-0,031;-0,024;-0,064;-0,089;-0,046;-0,046;-0,053;-0,058;
2023-08-10;-0,081;-0,030;-0,070;-0,069;-0,003;-0,051;-0,085;-0,091;-0,039;-0,031;-0,024;-0,064;-0,084;-0,046;-0,046;-0,053;-0,058;
2023-08-11;-0,085;-0,033;-0,074;-0,067;0,000;-0,057;-0,079;-0,085;;-0,031;-0,025;-0,063;-0,089;-0,046;-0,047;-0,052;-0,056;
2023-08-14;-0,085;-0,034;-0,074;-0,064;-0,003;-0,058;-0,077;-0,084;-0,038;-0,031;-0,026;-0,063;-0,089;-0,047;-0,047;-0,053;-0,056;
2023-08-15;-0,087;-0,038;-0,076;-0,065;;-0,063;-0,081;-0,088;-0,036;-0,031;-0,026;-0,066;-0,094;-0,048;-0,049;-0,055;-0,060;
2023-08-16;-0,090;-0,039;-0,078;-0,066;-0,006;-0,063;-0,081;-0,088;-0,041;-0,031;-0,026;-0,066;-0,096;-0,049;-0,050;-0,056;-0,060;
2023-08-17;-0,092;-0,045;-0,080;-0,070;-0,006;-0,073;-0,085;-0,091;-0,042;-0,031;-0,026;-0,068;-0,104;-0,051;-0,051;-0,058;-0,063;
2023-08-18;-0,097;-0,050;-0,085;-0,073;-0,007;-0,082;-0,082;-0,088;-0,039;-0,031;-0,026;-0,068;-0,108;-0,051;-0,051;-0,058;-0,063;
2023-08-21;-0,095;-0,050;-0,084;-0,065;-0,012;-0,096;-0,080;-0,087;-0,042;-0,031;-0,027;-0,069;-0,114;-0,051;-0,051;-0,058;-0,064;
2023-08-22;-0,095;-0,051;-0,083;-0,063;-0,011;-0,087;-0,081;-0,088;-0,038;-0,031;-0,027;-0,069;-0,110;-0,051;-0,052;-0,058;-0,063;
2023-08-23;-0,094;-0,048;-0,083;-0,062;-0,008;-0,080;-0,076;-0,083;-0,032;-0,030;-0,024;-0,065;-0,108;-0,049;-0,050;-0,056;-0,061;
2023-08-24;-0,094;-0,046;-0,083;-0,058;0,001;-0,079;-0,080;-0,086;-0,031;-0,030;-0,024;-0,067;-0,113;-0,048;-0,049;-0,056;-0,061;
2023-08-25;-0,094;-0,045;-0,082;-0,062;-0,002;-0,079;-0,074;-0,082;-0,035;-0,030;-0,025;-0,066;-0,112;;;;;
2023-08-28;;;;;;;;;;;;;;-0,047;-0,048;-0,054;-0,058;
2023-08-29;-0,087;-0,038;-0,075;-0,057;0,001;-0,072;-0,070;-0,078;-0,032;-0,030;-0,025;-0,062;-0,103;-0,046;-0,046;-0,051;-0,055;
2023-08-30;-0,087;-0,040;-0,076;-0,057;-0,005;-0,073;-0,073;-0,081;-0,035;-0,030;-0,025;-0,064;-0,104;-0,046;-0,046;-0,052;-0,056;
2023-08-31;-0,085;-0,038;-0,073;-0,048;-0,001;-0,064;-0,069;-0,077;-0,026;-0,030;-0,023;-0,061;-0,100;-0,045;-0,045;-0,050;-0,054;
2023-09-01;-0,086;-0,039;-0,074;-0,045;0,004;-0,066;-0,066;-0,073;-0,022;-0,030;-0,024;-0,059;-0,101;-0,044;-0,044;-0,049;-0,052;
2023-09-04;-0,083;-0,036;-0,071;;0,011;-0,065;;;-0,020;-0,030;-0,024;;-0,099;;;;;
2023-09-05;;;;;;;;;;;;;;-0,044;-0,044;-0,048;-0,050;
2023-09-06;-0,085;-0,041;-0,073;-0,041;0,009;-0,067;-0,067;-0,074;-0,016;-0,030;-0,025;-0,060;-0,101;-0,045;-0,045;-0,049;-0,052;
2023-09-07;-0,090;-0,046;-0,078;-0,044;0,006;-0,069;-0,068;-0,076;-0,016;-0,030;-0,025;-0,062;-0,107;-0,046;-0,047;-0,051;-0,054;
2023-09-08;-0,092;-0,046;-0,080;-0,043;0,005;-0,073;-0,070;-0,078;-0,024;-0,029;-0,025;-0,063;-0,108;-0,046;-0,046;-0,052;-0,055;
2023-09-11;-0,089;-0,048;-0,077;-0,043;0,005;-0,066;-0,067;-0,077;-0,022;-0,029;-0,024;-0,062;-0,106;-0,046;-0,046;-0,050;-0,054;
2023-09-12;-0,089;-0,051;-0,076;-0,044;0,004;-0,075;-0,068;-0,077;-0,019;-0,029;-0,024;-0,062;-0,113;-0,046;-0,046;-0,051;-0,055;
2023-09-13;-0,088;-0,053;-0,076;-0,048;0,004;-0,075;-0,068;-0,077;-0,021;-0,029;-0,024;-0,063;-0,116;-0,046;-0,046;-0,052;-0,055;
2023-09-14;-0,084;-0,048;-0,072;-0,045;0,008;-0,060;-0,063;-0,072;-0,013;-0,029;-0,024;-0,059;-0,109;-0,044;-0,045;-0,049;-0,051;
2023-09-15;-0,082;-0,044;-0,070;-0,047;0,010;-0,067;-0,066;-0,074;-0,011;-0,029;-0,024;-0,060;-0,109;-0,045;-0,045;-0,049;-0,051;
2023-09-18;-0,085;-0,049;-0,073;-0,048;0,006;-0,080;-0,066;-0,074;;-0,029;-0,024;-0,061;-0,113;-0,046;-0,046;-0,050;-0,053;
2023-09-19;-0,086;-0,052;-0,074;-0,055;0,002;-0,080;-0,069;-0,077;-0,015;-0,029;-0,024;-0,063;-0,118;-0,047;-0,047;-0,052;-0,055;
2023-09-20;-0,081;-0,047;-0,067;-0,054;-0,003;-0,073;-0,074;-0,082;-0,022;-0,029;-0,024;-0,065;-0,111;-0,047;-0,047;-0,053;-0,056;
2023-09-21;-0,083;-0,048;-0,068;-0,061;-0,004;-0,077;-0,077;-0,084;-0,022;-0,029;-0,024;-0,066;-0,116;-0,048;-0,049;-0,054;-0,058;
2023-09-22;-0,086;-0,053;-0,071;-0,064;-0,004;-0,083;-0,081;-0,088;-0,028;-0,028;-0,024;-0,068;-0,119;-0,050;-0,050;-0,057;-0,062;
2023-09-25;-0,091;-0,059;-0,076;-0,070;-0,009;-0,083;-0,083;-0,090;-0,030;-0,028;-0,025;-0,070;-0,121;;;;;
2023-09-26;;;;;;;;;;;;;;-0,052;-0,053;-0,062;-0,069;
2023-09-27;-0,096;-0,062;-0,082;-0,075;-0,014;-0,105;-0,091;-0,097;-0,034;-0,028;-0,025;-0,075;-0,129;-0,053;-0,054;-0,062;-0,070;
2023-09-28;-0,096;-0,062;-0,082;-0,077;-0,020;-0,103;-0,091;-0,096;-0,040;-0,028;-0,027;-0,075;-0,126;-0,054;-0,055;-0,063;-0,070;
2023-09-29;-0,090;-0,054;-0,075;-0,071;;-0,095;-0,094;-0,100;-0,045;-0,028;-0,023;-0,075;-0,120;-0,054;-0,055;-0,063;-0,070;
2023-10-02;-0,091;-0,056;-0,077;-0,071;;-0,099;-0,089;-0,096;-0,042;-0,028;-0,025;-0,074;-0,123;-0,053;-0,054;-0,062;-0,068;
2023-10-03;-0,095;-0,062;-0,081;-0,068;;-0,110;-0,093;-0,101;-0,042;-0,028;-0,025;-0,078;-0,130;;;;;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;;;;;;;;;;;;;;-0,056;-0,056;-0,064;-0,070;
2023-10-10;-0,087;-0,056;-0,072;-0,062;-0,022;-0,094;-0,087;-0,095;-0,042;-0,028;-0,024;-0,074;-0,116;-0,054;-0,054;-0,061;-0,066;
2023-10-11;-0,085;-0,054;-0,070;-0,061;-0,016;-0,090;-0,085;-0,092;-0,044;-0,028;-0,023;-0,072;-0,117;;;;;
2023-10-12;;;;;;;;;;;;;;-0,051;-0,051;-0,057;-0,062;
2023-10-13;-0,087;-0,059;-0,072;-0,058;-0,012;-0,100;-0,085;-0,091;-0,038;-0,028;-0,023;-0,072;-0,127;-0,052;-0,053;-0,059;-0,064;
2023-10-16;-0,087;-0,061;-0,072;-0,062;-0,020;-0,101;-0,086;-0,092;-0,050;-0,027;-0,024;-0,073;-0,131;-0,053;-0,053;-0,060;-0,066;
2023-10-17;-0,095;-0,069;-0,079;-0,065;-0,018;-0,111;-0,086;-0,092;-0,046;-0,027;-0,023;-0,074;-0,135;-0,054;-0,054;-0,061;-0,067;
2023-10-18;-0,094;-0,070;-0,078;-0,063;-0,016;-0,119;-0,088;-0,094;-0,041;-0,027;-0,024;-0,076;-0,142;-0,056;-0,056;-0,063;-0,070;
2023-10-19;-0,102;-0,076;-0,086;-0,064;-0,025;-0,128;-0,094;-0,101;-0,051;-0,027;-0,024;-0,081;-0,146;-0,058;-0,059;-0,067;-0,074;
2023-10-20;-0,107;-0,082;-0,091;-0,073;-0,026;-0,123;-0,099;-0,107;-0,051;-0,027;-0,024;-0,084;-0,149;-0,059;-0,060;-0,070;-0,078;
2023-10-23;-0,112;-0,091;-0,097;-0,076;-0,029;-0,125;-0,098;-0,106;-0,052;-0,027;-0,024;-0,084;-0,149;;;;;
2023-10-24;-0,111;-0,085;-0,095;-0,071;;;;;;;;;;-0,057;-0,058;-0,067;-0,076;
2023-10-25;-0,116;-0,089;-0,100;-0,072;-0,024;-0,136;-0,097;-0,103;-0,048;-0,027;-0,024;-0,083;-0,151;;;;;
2023-10-26;;;;;;;;;;;;;;-0,059;-0,060;-0,070;-0,080;
2023-10-27;-0,112;-0,089;-0,096;-0,080;-0,026;-0,128;-0,103;-0,107;-0,048;-0,027;-0,024;-0,084;-0,148;;;;;
2023-10-30;;;;;;;;;;;;;;-0,058;-0,059;-0,069;-0,078;
2023-10-31;-0,103;-0,078;-0,087;-0,075;-0,028;-0,112;-0,095;-0,098;-0,050;-0,027;-0,023;-0,079;-0,136;-0,057;-0,057;-0,067;-0,076;
2023-11-01;-0,103;-0,078;-0,087;-0,068;-0,026;-0,112;-0,088;-0,089;-0,036;-0,026;-0,024;-0,075;-0,138;-0,056;-0,056;-0,065;-0,073;
2023-11-02;-0,096;-0,065;-0,080;-0,063;-0,023;-0,084;-0,083;-0,085;-0,034;-0,026;-0,023;-0,070;-0,123;;;;;
2023-11-03;;;;;;;;;;;;;;-0,051;-0,052;-0,060;-0,067;
2023-11-06;-0,094;-0,064;-0,079;-0,069;-0,015;-0,082;-0,086;-0,088;-0,035;-0,026;-0,023;-0,070;-0,119;-0,050;-0,051;-0,059;-0,066;
2023-11-07;-0,098;-0,067;-0,084;-0,063;-0,018;-0,075;-0,084;-0,086;-0,042;-0,026;-0,022;-0,069;-0,119;-0,050;-0,051;-0,059;-0,066;
2023-11-08;-0,095;-0,063;-0,081;-0,061;-0,022;-0,083;-0,085;-0,087;-0,047;-0,026;-0,022;-0,070;-0,119;-0,050;-0,051;-0,059;-0,067;
2023-11-09;-0,094;-0,061;-0,080;-0,063;-0,024;-0,070;-0,089;-0,090;-0,045;-0,026;-0,022;-0,070;-0,110;-0,050;-0,050;-0,059;-0,066;
2023-11-10;-0,097;-0,069;-0,083;-0,063;-0,025;-0,074;-0,082;-0,084;-0,045;-0,026;-0,022;-0,069;-0,115;-0,050;-0,050;-0,058;-0,065;
2023-11-13;-0,096;-0,071;-0,082;-0,061;-0,025;-0,079;-0,084;-0,086;-0,049;-0,026;-0,023;-0,070;-0,117;-0,051;-0,051;-0,060;-0,067;
2023-11-14;-0,088;-0,057;-0,074;-0,058;-0,034;-0,041;-0,084;-0,085;-0,053;-0,026;-0,021;-0,066;-0,094;-0,049;-0,050;-0,057;-0,064;
2023-11-15;-0,084;-0,054;-0,070;-0,060;-0,027;-0,051;-0,087;-0,088;-0,051;-0,026;-0,021;-0,067;-0,094;;;;;
2023-11-16;;;;;;;;;;;;;;-0,047;-0,048;-0,056;-0,062;
2023-11-17;-0,083;-0,053;-0,070;-0,061;-0,032;-0,047;-0,085;-0,085;-0,044;-0,025;-0,021;-0,065;-0,092;-0,046;-0,047;-0,055;-0,061;
2023-11-20;-0,082;-0,051;-0,069;-0,061;-0,031;-0,042;-0,085;-0,086;-0,046;-0,025;-0,021;-0,065;-0,090;-0,046;-0,047;-0,054;-0,061;
2023-11-21;-0,085;-0,054;-0,072;-0,062;-0,031;-0,052;-0,087;-0,090;-0,046;-0,025;-0,020;-0,067;-0,094;-0,046;-0,047;-0,055;-0,062;
2023-11-22;-0,083;-0,051;-0,071;-0,057;-0,028;-0,044;-0,082;-0,084;-0,045;-0,025;-0,020;-0,064;-0,089;-0,045;-0,045;-0,053;-0,059;
2023-11-23;-0,079;-0,049;-0,067;;-0,026;-0,039;;;;-0,025;-0,021;;-0,088;-0,045;-0,045;;;
2023-11-24;-0,078;-0,052;-0,067;-0,060;-0,032;-0,040;-0,084;-0,085;-0,047;-0,025;-0,021;-0,064;-0,087;-0,046;-0,046;-0,054;-0,060;
2023-11-27;-0,078;-0,052;-0,066;-0,059;-0,031;-0,036;-0,085;-0,086;-0,046;-0,025;-0,020;-0,064;-0,087;-0,046;-0,046;-0,054;-0,060;
2023-11-28;-0,081;-0,053;-0,069;-0,063;-0,034;-0,042;-0,088;-0,090;-0,048;-0,025;-0,020;-0,066;-0,090;-0,045;-0,046;-0,055;-0,061;
2023-11-29;-0,078;-0,051;-0,065;-0,057;-0,037;-0,038;-0,088;-0,089;-0,049;-0,025;-0,019;-0,064;-0,086;;;;;
2023-11-30;;;;;;;;;;;;;;-0,042;-0,043;-0,051;-0,057;
2023-12-01;-0,083;-0,050;-0,070;-0,053;-0,034;-0,033;-0,081;-0,082;-0,044;-0,024;-0,019;-0,060;-0,083;-0,042;-0,043;-0,050;-0,056;
2023-12-04;-0,081;-0,050;-0,069;-0,056;-0,033;-0,033;-0,082;-0,084;-0,045;-0,024;-0,018;-0,061;-0,086;-0,041;-0,041;-0,050;-0,056;
2023-12-05;-0,082;-0,050;-0,070;-0,055;-0,037;-0,021;-0,081;-0,084;-0,048;-0,024;-0,017;-0,060;-0,078;-0,040;-0,041;-0,049;-0,054;
2023-12-06;-0,078;-0,045;-0,066;-0,053;-0,039;-0,015;-0,083;-0,085;-0,041;-0,024;-0,017;-0,059;-0,072;-0,039;-0,039;-0,048;-0,054;
2023-12-07;-0,077;-0,044;-0,065;-0,054;-0,044;-0,011;-0,082;-0,084;-0,038;-0,024;-0,017;-0,058;-0,071;-0,038;-0,039;-0,047;-0,053;
2023-12-08;-0,075;-0,040;-0,062;-0,051;-0,039;-0,018;-0,078;-0,080;-0,043;-0,024;-0,017;-0,056;-0,070;-0,038;-0,038;-0,045;-0,050;
2023-12-11;-0,073;-0,039;-0,060;-0,047;-0,038;-0,013;-0,075;-0,077;-0,040;-0,024;-0,016;-0,055;-0,066;;;;;
2023-12-12;;;;;;;;;;;;;;-0,037;-0,038;-0,044;-0,049;
2023-12-13;-0,076;-0,043;-0,064;-0,046;-0,042;-0,016;-0,070;-0,074;-0,039;-0,024;-0,016;-0,054;-0,070;-0,036;-0,037;-0,043;-0,048;
2023-12-14;-0,069;-0,029;-0,057;-0,051;-0,044;0,015;-0,077;-0,080;-0,043;-0,023;-0,016;-0,053;-0,052;-0,034;-0,035;-0,042;-0,047;
2023-12-15;-0,065;-0,026;-0,052;-0,048;-0,036;0,010;-0,075;-0,076;-0,039;-0,023;-0,014;-0,050;-0,050;-0,032;-0,032;-0,039;-0,043;
2023-12-18;-0,066;-0,026;-0,053;-0,050;-0,043;0,011;-0,076;-0,077;-0,049;-0,023;-0,015;-0,052;-0,053;-0,032;-0,033;-0,040;-0,045;
2023-12-19;-0,063;-0,022;-0,050;-0,048;-0,045;0,013;-0,076;-0,077;-0,050;-0,023;-0,014;-0,051;-0,050;-0,032;-0,032;-0,040;-0,044;
2023-12-20;-0,063;-0,023;-0,051;-0,049;-0,045;0,014;-0,081;-0,082;-0,047;-0,023;-0,013;-0,053;-0,051;-0,032;-0,033;-0,041;-0,046;
2023-12-21;-0,067;-0,027;-0,054;-0,053;-0,047;0,013;-0,079;-0,080;-0,049;-0,023;-0,013;-0,053;-0,053;-0,032;-0,032;-0,040;-0,046;
2023-12-22;-0,064;-0,024;-0,050;-0,055;-0,051;0,020;-0,082;-0,082;-0,052;-0,023;-0,014;-0,053;-0,050;-0,032;-0,033;-0,041;-0,047;
2023-12-27;-0,062;-0,022;-0,049;-0,053;-0,049;0,020;-0,083;-0,084;-0,050;-0,023;-0,013;-0,053;-0,048;-0,032;-0,032;-0,041;-0,047;
2023-12-28;-0,062;-0,021;-0,049;-0,054;-0,039;0,022;-0,081;-0,082;-0,045;-0,023;-0,013;-0,052;-0,046;-0,031;-0,031;-0,039;-0,045;
2023-12-29;-0,061;-0,019;-0,048;-0,048;-0,033;0,022;-0,077;-0,077;-0,039;-0,023;-0,014;-0,050;-0,047;-0,030;-0,030;-0,038;-0,042;
2024-01-02;-0,058;-0,021;-0,043;-0,054;-0,033;0,016;-0,076;-0,075;;-0,022;-0,015;-0,049;-0,050;-0,030;-0,030;-0,037;-0,042;
2024-01-03;-0,065;-0,030;-0,051;-0,056;-0,035;0,010;-0,076;-0,075;;-0,022;-0,014;-0,051;-0,059;;;;;
2024-01-04;;;;;;;;;;;;;;-0,033;-0,033;-0,041;-0,046;
2024-01-05;-0,062;-0,028;-0,047;-0,059;-0,038;0,006;-0,079;-0,077;-0,041;-0,022;-0,016;-0,053;-0,062;-0,034;-0,035;-0,043;-0,048;
2024-01-08;-0,059;-0,023;-0,044;-0,056;-0,040;0,008;-0,072;-0,071;;-0,022;-0,016;-0,050;-0,056;-0,033;-0,034;-0,040;-0,045;
2024-01-09;-0,061;-0,026;-0,046;-0,050;-0,039;0,004;-0,071;-0,069;-0,034;-0,022;-0,016;-0,050;-0,057;-0,033;-0,033;-0,040;-0,044;
2024-01-10;-0,061;-0,029;-0,046;-0,047;-0,043;0,006;-0,070;-0,068;-0,033;-0,022;-0,017;-0,050;-0,058;-0,033;-0,033;-0,040;-0,045;
2024-01-11;-0,059;-0,029;-0,045;-0,039;-0,038;-0,003;-0,068;-0,065;-0,024;-0,022;-0,016;-0,049;-0,063;-0,032;-0,033;-0,039;-0,044;
2024-01-12;-0,057;-0,027;-0,043;-0,038;-0,038;0,006;-0,068;-0,066;-0,018;-0,022;-0,016;-0,048;-0,057;-0,031;-0,031;-0,038;-0,042;
2024-01-15;-0,062;-0,033;-0,047;;-0,036;-0,004;;;-0,015;-0,022;-0,016;;-0,064;;;;;
2024-01-16;-0,065;-0,037;-0,050;-0,031;-0,038;-0,010;-0,064;-0,060;-0,017;-0,022;-0,016;-0,048;-0,066;-0,031;-0,031;-0,038;-0,042;
2024-01-17;-0,071;-0,046;-0,055;-0,034;-0,046;-0,018;-0,064;-0,061;-0,020;-0,022;-0,018;-0,050;-0,073;-0,033;-0,033;-0,040;-0,045;
2024-01-18;-0,067;-0,042;-0,052;-0,027;-0,044;-0,015;-0,061;-0,058;-0,021;-0,022;-0,018;-0,049;-0,070;-0,032;-0,033;-0,039;-0,044;
2024-01-19;-0,072;-0,044;-0,057;-0,023;-0,038;-0,018;-0,056;-0,053;-0,017;-0,022;-0,018;-0,047;-0,075;-0,032;-0,032;-0,038;-0,042;
2024-01-22;-0,070;-0,039;-0,055;-0,016;-0,044;-0,014;-0,055;-0,051;-0,011;-0,021;-0,017;-0,046;-0,072;-0,031;-0,031;-0,037;-0,041;
2024-01-23;-0,066;-0,034;-0,051;-0,016;-0,041;-0,017;-0,053;-0,050;-0,011;-0,021;-0,018;-0,045;-0,071;-0,030;-0,031;-0,036;-0,039;
2024-01-24;-0,068;-0,033;-0,053;-0,014;-0,041;-0,009;-0,055;-0,051;-0,013;-0,021;-0,019;-0,045;-0,066;-0,031;-0,031;-0,036;-0,039;
2024-01-25;-0,061;-0,030;-0,046;-0,009;-0,035;-0,004;-0,053;-0,048;-0,014;-0,021;-0,018;-0,043;-0,063;;;;;
2024-01-26;;;;;;;;;;;;;;-0,029;-0,030;-0,034;-0,037;
2024-01-29;-0,059;-0,027;-0,043;-0,007;-0,032;0,005;-0,048;-0,042;-0,014;-0,021;-0,018;-0,040;-0,060;-0,028;-0,028;-0,032;-0,035;
2024-01-30;-0,061;-0,032;-0,046;-0,007;-0,038;0,005;-0,051;-0,044;-0,016;-0,021;-0,018;-0,041;-0,059;-0,028;-0,028;-0,033;-0,036;
2024-01-31;-0,061;-0,031;-0,047;-0,017;-0,046;0,006;-0,060;-0,052;-0,012;-0,021;-0,017;-0,043;-0,054;-0,029;-0,030;-0,036;-0,040;
2024-02-01;-0,065;-0,030;-0,052;-0,015;-0,039;-0,000;-0,052;-0,043;-0,011;-0,021;-0,016;-0,039;-0,054;-0,027;-0,027;-0,033;-0,036;
2024-02-02;-0,065;-0,030;-0,052;-0,011;-0,033;-0,005;-0,047;-0,037;-0,014;-0,021;-0,017;-0,037;-0,055;;;;;
2024-02-05;;;;;;;;;;;;;;-0,027;-0,027;-0,031;-0,033;
2024-02-06;-0,068;-0,034;-0,055;-0,007;-0,028;-0,008;-0,045;-0,036;-0,010;-0,021;-0,018;-0,037;-0,053;-0,028;-0,028;-0,032;-0,034;
2024-02-07;-0,068;-0,030;-0,056;-0,008;-0,028;-0,011;-0,044;-0,035;-0,011;-0,021;-0,018;-0,036;-0,050;-0,027;-0,027;-0,031;-0,033;
2024-02-08;-0,070;-0,029;-0,058;-0,003;-0,031;-0,012;-0,043;-0,033;-0,010;-0,020;-0,018;-0,035;-0,046;-0,027;-0,027;-0,031;-0,032;
2024-02-09;-0,071;-0,031;-0,059;-0,000;;-0,020;-0,042;-0,031;-0,012;-0,020;-0,019;-0,035;-0,051;-0,028;-0,028;-0,031;-0,033;
2024-02-12;-0,068;-0,028;-0,056;-0,001;;-0,011;-0,044;-0,033;;-0,020;-0,019;-0,036;-0,047;-0,028;-0,028;-0,031;-0,033;
2024-02-13;-0,070;-0,032;-0,058;-0,004;;-0,019;-0,043;-0,033;-0,000;-0,020;-0,019;-0,036;-0,051;-0,028;-0,028;-0,031;-0,033;
2024-02-14;-0,069;-0,030;-0,057;-0,000;;-0,022;-0,041;-0,031;-0,006;-0,020;-0,018;-0,035;-0,048;-0,028;-0,028;-0,031;-0,032;
2024-02-15;-0,064;-0,024;-0,052;-0,004;-0,028;-0,011;-0,042;-0,032;-0,007;-0,020;-0,018;-0,034;-0,041;-0,027;-0,027;-0,030;-0,031;
2024-02-16;-0,062;-0,020;-0,050;-0,004;-0,023;-0,013;-0,043;-0,033;-0,002;-0,020;-0,018;-0,034;-0,038;-0,027;-0,027;-0,029;-0,029;
2024-02-19;-0,062;-0,022;-0,050;;-0,026;-0,015;;;-0,002;-0,020;-0,018;;-0,040;;;;;
2024-02-20;-0,063;-0,025;-0,051;-0,016;-0,027;-0,019;-0,049;-0,040;-0,005;-0,020;-0,018;-0,037;-0,043;-0,028;-0,028;-0,031;-0,032;
2024-02-21;-0,063;-0,024;-0,051;-0,025;-0,024;-0,028;-0,048;-0,040;-0,006;-0,020;-0,018;-0,037;-0,045;-0,027;-0,028;-0,031;-0,032;
2024-02-22;-0,061;-0,018;-0,049;-0,017;-0,021;-0,017;-0,041;-0,031;-0,003;-0,020;-0,018;-0,033;-0,040;-0,026;-0,027;-0,028;-0,029;
2024-02-23;-0,060;-0,016;-0,049;-0,013;-0,023;-0,021;-0,041;-0,031;;-0,019;-0,017;-0,033;-0,040;;;;;
2024-02-26;;;;;;;;;;;;;;-0,026;-0,026;-0,028;-0,029;
2024-02-27;-0,057;-0,015;-0,045;-0,012;-0,026;-0,022;-0,042;-0,031;-0,000;-0,019;-0,018;-0,033;-0,040;-0,026;-0,026;-0,028;-0,029;
2024-02-28;-0,054;-0,015;-0,042;-0,013;-0,027;-0,028;-0,042;-0,029;-0,001;-0,019;-0,018;-0,033;-0,042;-0,026;-0,026;-0,028;-0,028;
2024-02-29;-0,051;-0,014;-0,039;-0,011;-0,027;-0,025;-0,040;-0,026;0,003;-0,019;-0,017;-0,031;-0,040;-0,025;-0,026;-0,027;-0,027;
2024-03-01;-0,050;-0,014;-0,037;-0,008;-0,027;-0,014;-0,037;-0,023;0,007;-0,019;-0,017;-0,029;-0,033;-0,025;-0,025;-0,026;-0,025;
2024-03-04;-0,049;-0,014;-0,037;-0,006;-0,022;-0,021;-0,036;-0,019;0,008;-0,019;-0,017;-0,027;-0,037;;;;;
2024-03-05;;;;;;;;;;;;;;-0,024;-0,024;-0,026;-0,026;
2024-03-06;-0,048;-0,015;-0,036;-0,013;-0,025;-0,021;-0,040;-0,023;0,011;-0,019;-0,016;-0,029;-0,040;-0,023;-0,023;-0,025;-0,026;
2024-03-07;-0,045;-0,015;-0,033;-0,012;-0,028;-0,013;-0,037;-0,019;0,011;-0,019;-0,015;-0,026;-0,038;-0,022;-0,022;-0,024;-0,024;
