
# ;[];[];[];[];[];[];[];[];[];[pictet clean energy transition r][pictet clean energy r];[];[];[];[];[];[];[];
# ;odin norden c;odin sverige c;pareto aksje norge b;pareto esg global corporate bond a;pareto global b;pareto nordic corporate bond c;pictet asian equities ex japan r;pictet biotech r;pictet china equities r;pictet clean energy transition r;pictet digital r;pictet emerging markets r;pictet eur bonds r;pictet global bonds r;pictet global emerging debt r;pictet global megatrend selection r;pictet health r;
2023-08-17;-0,033;-0,063;-0,025;-0,038;-0,035;-0,048;0,011;0,034;0,021;0,036;-0,094;0,014;-0,001;0,022;-0,011;0,008;0,040;
2023-08-18;-0,036;-0,066;-0,031;-0,038;-0,037;-0,048;0,006;0,033;0,009;0,031;-0,103;0,009;0,002;0,024;-0,009;0,003;0,035;
2023-08-21;-0,035;-0,067;-0,031;-0,038;-0,036;-0,048;0,006;0,037;0,005;0,037;-0,094;0,010;0,000;0,022;-0,011;0,007;0,037;
2023-08-22;-0,037;-0,067;-0,035;-0,038;-0,038;-0,048;0,003;0,038;0,004;0,038;-0,096;0,008;-0,000;0,020;-0,013;0,004;0,031;
2023-08-23;-0,035;-0,064;-0,037;-0,038;-0,035;-0,048;0,011;0,046;0,011;0,043;-0,088;0,017;0,004;0,028;-0,006;0,010;0,037;
2023-08-24;-0,036;-0,068;-0,038;-0,037;-0,038;-0,047;0,014;0,042;0,015;0,046;-0,084;0,020;0,003;0,025;-0,008;0,012;0,038;
2023-08-25;-0,036;-0,069;;;;;0,012;0,042;0,010;0,041;-0,089;0,017;0,003;0,027;-0,005;0,010;0,036;
2023-08-28;;;-0,032;-0,037;-0,032;-0,047;;;;;;;;;;;;
2023-08-29;-0,029;-0,061;-0,032;-0,036;-0,028;-0,047;0,019;0,047;0,029;0,045;-0,084;0,024;0,004;0,027;-0,004;0,013;0,039;
2023-08-30;-0,029;-0,060;-0,031;-0,036;-0,032;-0,047;0,017;0,047;0,026;0,050;-0,080;0,022;0,001;0,026;-0,007;0,017;0,042;
2023-08-31;-0,031;-0,058;-0,030;-0,036;-0,031;-0,046;0,014;0,046;0,023;0,051;-0,077;0,018;0,004;0,025;-0,008;0,017;0,040;
2023-09-01;-0,032;-0,061;-0,026;-0,036;-0,028;-0,046;;0,051;;0,053;-0,073;;0,003;0,026;-0,007;0,020;0,041;
2023-09-04;-0,027;-0,055;;;;;0,026;;0,036;;;0,029;;;;;;
2023-09-05;;;-0,021;-0,036;;-0,046;;;;;;;0,003;0,026;-0,004;;;
2023-09-06;-0,029;-0,057;-0,022;-0,036;-0,026;-0,046;0,026;0,054;0,036;0,056;-0,064;0,028;0,001;0,026;-0,005;0,021;0,040;
2023-09-07;-0,035;-0,067;-0,024;-0,036;-0,028;-0,046;0,017;0,053;0,019;0,047;-0,072;0,020;0,002;0,028;-0,004;0,017;0,039;
2023-09-08;-0,032;-0,065;-0,021;-0,036;-0,027;-0,046;;0,054;;0,049;-0,068;;0,002;0,027;-0,003;0,018;0,039;
2023-09-11;-0,032;-0,065;-0,018;-0,036;-0,027;-0,046;0,017;0,052;0,021;0,046;-0,068;0,019;-0,000;0,026;-0,005;0,017;0,036;
2023-09-12;-0,035;-0,070;-0,017;-0,036;-0,029;-0,046;0,020;0,056;0,025;0,048;-0,066;0,022;-0,000;0,027;-0,007;0,018;0,037;
2023-09-13;-0,039;-0,076;-0,019;-0,036;-0,028;-0,045;0,019;0,058;0,022;0,045;-0,069;0,022;0,001;0,028;-0,004;0,017;0,037;
2023-09-14;-0,035;-0,072;-0,012;-0,035;-0,026;-0,045;0,022;0,053;0,022;0,046;-0,069;0,024;0,004;0,028;-0,002;0,017;0,039;
2023-09-15;-0,032;-0,066;-0,011;-0,035;-0,025;-0,045;0,024;0,054;0,021;0,047;-0,069;0,026;0,000;0,028;-0,001;0,020;0,041;
2023-09-18;-0,037;-0,073;-0,012;-0,037;-0,029;-0,045;0,020;0,051;0,018;0,043;-0,072;0,022;0,000;0,029;-0,001;0,016;0,035;
2023-09-19;-0,041;-0,079;-0,012;-0,037;-0,032;-0,045;0,017;0,050;0,016;0,038;-0,078;0,019;-0,002;0,026;-0,004;0,012;0,031;
2023-09-20;-0,034;-0,070;-0,009;-0,037;-0,032;-0,045;0,016;0,049;0,015;0,042;-0,074;0,019;-0,001;0,027;-0,002;0,016;0,034;
2023-09-21;-0,042;-0,079;-0,014;-0,038;-0,037;-0,045;0,006;0,037;0,004;0,029;-0,087;0,009;-0,003;0,024;-0,006;0,006;0,027;
2023-09-22;-0,042;-0,077;-0,012;-0,038;-0,034;-0,045;0,013;0,039;0,018;0,032;-0,084;0,015;-0,002;0,026;-0,005;0,006;0,027;
2023-09-25;-0,046;-0,078;;;-0,040;;0,007;0,029;0,007;0,026;-0,089;0,009;;;;-0,000;0,021;
2023-09-26;;;-0,024;-0,040;;-0,045;;;;;;;-0,011;0,018;-0,014;;;
2023-09-27;-0,054;-0,088;-0,023;-0,040;-0,049;-0,045;0,001;0,032;-0,000;0,018;-0,095;0,002;-0,015;0,013;-0,018;-0,006;0,016;
2023-09-28;-0,049;-0,082;-0,020;-0,041;-0,045;-0,045;-0,001;0,030;-0,004;0,018;-0,096;0,001;-0,020;0,012;-0,019;-0,006;0,018;
2023-09-29;-0,047;-0,077;-0,023;-0,040;-0,048;-0,044;-0,003;0,023;-0,012;0,019;-0,093;;-0,021;0,007;-0,026;-0,007;0,014;
2023-10-02;-0,051;-0,080;-0,023;-0,040;-0,044;-0,044;;0,020;;0,015;-0,094;;-0,020;0,007;-0,023;-0,010;0,011;
2023-10-03;-0,052;-0,081;;;-0,049;;-0,001;0,015;-0,003;0,013;-0,089;-0,000;;;;-0,009;0,014;
2023-10-06;;;;;;;;;;;;;;0,008;;;;
2023-10-09;;;-0,032;-0,043;;-0,045;;;;;;;-0,018;;-0,024;;;
2023-10-10;-0,045;-0,069;-0,028;-0,041;-0,042;-0,045;0,003;0,016;0,001;0,017;-0,082;-0,001;-0,018;;-0,023;-0,005;0,018;
2023-10-11;-0,042;-0,070;;;-0,042;;0,004;0,019;0,003;0,020;-0,083;-0,001;;;;-0,005;0,017;
2023-10-12;;;-0,027;-0,041;;-0,044;;;;;;;-0,018;0,006;-0,026;;;
2023-10-13;-0,045;-0,081;-0,028;-0,042;-0,049;-0,044;0,003;0,007;-0,004;0,020;-0,083;-0,003;-0,018;0,009;-0,023;-0,007;0,016;
2023-10-16;-0,046;-0,081;-0,028;-0,042;-0,045;-0,044;0,000;0,009;-0,007;0,016;-0,086;-0,006;-0,019;0,009;-0,023;-0,007;0,019;
2023-10-17;-0,055;-0,091;-0,031;-0,043;-0,046;-0,044;-0,003;0,013;-0,010;0,010;-0,091;-0,009;-0,024;0,004;-0,031;-0,010;0,016;
2023-10-18;-0,060;-0,098;-0,032;-0,044;-0,047;-0,044;-0,004;0,007;-0,014;0,006;-0,090;-0,011;-0,024;0,002;-0,030;-0,011;0,016;
2023-10-19;-0,063;-0,096;-0,036;-0,045;;-0,044;-0,005;0,004;-0,017;0,007;-0,085;-0,011;-0,021;0,006;-0,028;-0,011;0,016;
2023-10-20;-0,068;-0,102;;-0,045;-0,056;-0,044;-0,009;0,000;-0,023;-0,003;-0,094;-0,015;-0,020;0,005;-0,030;-0,018;0,010;
2023-10-23;-0,072;-0,108;-0,049;-0,045;;-0,044;;-0,007;;-0,011;-0,099;;-0,018;0,008;-0,027;-0,022;0,008;
2023-10-24;-0,070;-0,103;-0,045;-0,043;-0,053;-0,044;-0,009;-0,008;-0,018;-0,007;-0,093;-0,014;-0,015;0,006;-0,026;-0,021;0,007;
2023-10-25;-0,073;-0,104;;;-0,055;;-0,005;-0,007;-0,012;-0,005;-0,093;-0,010;;;;-0,020;0,007;
2023-10-26;;;-0,045;-0,044;;-0,045;;;;;;;-0,012;0,014;-0,018;;;
2023-10-27;-0,069;-0,106;;;-0,056;;-0,004;-0,011;-0,002;-0,004;-0,101;-0,008;;;;-0,022;0,005;
2023-10-30;;;-0,037;-0,043;;-0,044;;;;;;;-0,011;0,014;-0,018;;;
2023-10-31;-0,058;-0,096;-0,033;-0,042;-0,058;;-0,011;-0,019;-0,013;-0,009;-0,099;-0,014;-0,010;0,010;-0,021;-0,021;0,006;
2023-11-01;-0,057;-0,096;-0,032;;-0,048;;;;;;;;;;;;;
2023-11-02;-0,043;-0,080;;-0,038;-0,042;-0,043;-0,001;0,002;-0,008;0,010;-0,083;-0,003;;;;-0,008;0,017;
2023-11-03;;;-0,032;;;;;;;;;;-0,005;0,021;-0,009;;;
2023-11-06;-0,047;-0,079;-0,035;-0,037;-0,047;-0,043;0,004;0,002;-0,003;0,006;-0,084;0,001;-0,011;0,009;-0,020;-0,011;0,011;
2023-11-07;-0,045;-0,073;-0,045;-0,037;-0,042;-0,043;0,003;0,002;-0,006;0,009;-0,076;0,000;;0,013;-0,017;-0,009;0,015;
2023-11-08;-0,044;-0,073;-0,043;-0,036;-0,042;-0,043;;0,006;-0,003;0,010;-0,072;;-0,008;0,014;-0,015;;;
2023-11-09;-0,045;-0,071;-0,038;-0,036;-0,043;-0,043;-0,001;-0,007;-0,010;0,011;-0,073;-0,003;-0,010;0,011;-0,022;-0,008;0,014;
2023-11-10;-0,048;-0,075;-0,038;-0,037;-0,038;-0,043;-0,003;-0,020;-0,015;0,007;-0,072;-0,005;-0,011;0,011;-0,019;-0,011;0,008;
2023-11-13;-0,048;-0,075;-0,038;-0,037;-0,039;-0,042;-0,002;-0,025;-0,011;0,008;-0,069;-0,004;-0,011;0,010;-0,021;-0,010;0,010;
2023-11-14;-0,035;-0,055;-0,035;-0,035;-0,036;-0,042;0,001;-0,004;-0,009;0,025;-0,057;0,001;-0,008;0,016;-0,017;0,002;0,021;
2023-11-15;-0,033;-0,054;;;-0,037;;-0,001;-0,013;-0,010;0,019;-0,067;-0,002;;;;-0,005;0,013;
2023-11-16;;;-0,048;-0,035;;-0,042;;;;;;;-0,014;0,006;-0,027;;;
2023-11-17;-0,032;-0,052;;-0,035;-0,038;-0,042;-0,004;-0,018;-0,021;0,019;-0,067;-0,003;-0,012;0,007;-0,025;-0,005;0,014;
2023-11-20;-0,034;-0,052;-0,041;-0,034;-0,039;-0,042;-0,004;-0,012;-0,016;0,017;-0,066;-0,003;-0,014;0,005;-0,028;-0,008;0,011;
2023-11-21;-0,035;-0,052;-0,044;-0,034;;-0,042;-0,007;-0,023;-0,023;0,014;-0,071;-0,007;-0,015;0,002;-0,030;-0,010;0,011;
2023-11-22;-0,031;-0,047;-0,046;-0,033;-0,031;-0,041;-0,005;-0,017;-0,022;0,017;-0,064;-0,004;-0,013;0,004;-0,025;-0,005;0,018;
2023-11-23;-0,029;-0,047;-0,041;-0,033;-0,031;-0,041;-0,005;;-0,018;0,016;;-0,004;-0,015;;;;;
2023-11-24;-0,030;-0,051;-0,040;-0,032;-0,035;-0,041;-0,007;-0,015;-0,021;0,015;-0,066;-0,005;-0,015;0,002;-0,026;-0,005;0,019;
2023-11-27;-0,030;-0,050;-0,040;-0,032;-0,036;-0,041;-0,012;-0,019;-0,027;0,013;-0,067;-0,009;-0,014;0,003;-0,027;-0,007;0,017;
2023-11-28;-0,032;-0,050;-0,041;-0,032;-0,036;-0,041;-0,009;-0,020;-0,025;0,013;-0,068;-0,005;-0,012;0,006;-0,026;-0,008;0,014;
2023-11-29;-0,031;-0,045;;;-0,038;;-0,011;-0,015;-0,032;0,019;-0,064;-0,008;;;;-0,006;0,013;
2023-11-30;;;-0,040;-0,030;-0,031;-0,041;;;;;;;-0,011;0,005;-0,022;;;
2023-12-01;-0,031;-0,047;-0,042;-0,029;;-0,041;-0,012;0,006;-0,034;0,018;-0,064;-0,008;-0,008;0,009;-0,019;-0,001;0,019;
2023-12-04;-0,029;-0,044;-0,045;-0,028;-0,029;-0,040;-0,013;0,015;-0,039;0,018;-0,067;-0,008;-0,011;0,006;-0,020;0,001;0,019;
2023-12-05;-0,029;-0,043;-0,049;-0,027;-0,030;-0,040;-0,020;0,016;-0,048;0,016;-0,068;-0,015;-0,009;0,010;-0,017;-0,001;0,016;
2023-12-06;-0,024;-0,032;-0,051;-0,027;-0,028;-0,040;-0,015;0,025;-0,042;0,022;-0,063;-0,009;-0,007;0,013;-0,014;0,005;0,021;
2023-12-07;-0,028;-0,035;-0,056;-0,026;-0,030;-0,040;-0,020;0,024;-0,047;0,019;-0,067;-0,014;-0,008;0,012;-0,014;0,002;0,018;
2023-12-08;-0,025;-0,032;-0,052;-0,027;-0,028;-0,040;-0,019;0,024;-0,052;0,021;-0,065;-0,013;-0,012;0,007;-0,018;0,002;0,018;
2023-12-11;-0,021;-0,028;;;-0,022;;-0,016;0,021;-0,048;0,028;-0,059;-0,011;;;;0,007;0,022;
2023-12-12;;;-0,053;-0,026;;-0,039;;;;;;;-0,010;0,010;-0,015;;;
2023-12-13;-0,026;-0,035;-0,058;-0,025;-0,023;-0,039;-0,018;0,037;-0,049;0,034;-0,055;-0,011;-0,007;0,015;-0,014;0,011;0,025;
2023-12-14;-0,022;-0,026;-0,049;-0,021;-0,036;-0,038;-0,016;0,043;-0,051;0,047;-0,057;-0,006;-0,007;0,014;-0,014;0,017;0,029;
2023-12-15;-0,013;-0,014;-0,043;-0,021;-0,030;-0,038;-0,013;0,048;-0,051;0,047;-0,057;-0,005;-0,003;0,013;-0,012;0,015;0,024;
2023-12-18;-0,014;-0,019;-0,034;-0,021;-0,030;-0,037;-0,016;0,044;-0,056;0,043;-0,055;-0,006;-0,007;0,011;-0,013;0,013;0,024;
2023-12-19;-0,015;-0,019;-0,035;-0,020;-0,033;-0,037;-0,017;0,047;-0,054;0,046;-0,053;-0,004;-0,005;0,013;-0,013;0,016;0,027;
2023-12-20;-0,010;-0,014;-0,033;-0,020;-0,032;-0,037;-0,020;0,036;-0,061;0,042;-0,055;-0,008;-0,005;0,011;-0,014;0,013;0,025;
2023-12-21;-0,013;-0,018;-0,035;-0,020;-0,030;-0,036;-0,019;0,033;-0,058;0,041;-0,058;-0,008;-0,005;0,012;-0,014;0,012;0,025;
2023-12-22;-0,014;-0,016;-0,036;-0,020;-0,034;-0,036;-0,026;0,048;-0,074;0,041;-0,060;-0,014;-0,007;0,009;-0,019;0,011;0,022;
2023-12-27;-0,013;-0,015;-0,032;-0,019;-0,036;-0,036;-0,023;0,057;-0,072;0,041;-0,061;-0,011;-0,007;0,008;-0,021;0,011;0,020;
2023-12-28;-0,010;-0,013;-0,030;;-0,033;;-0,019;0,062;-0,065;0,039;-0,064;-0,009;-0,008;0,004;-0,024;0,009;0,020;
2023-12-29;-0,012;-0,014;-0,029;-0,019;-0,033;-0,035;-0,016;0,060;-0,059;0,041;-0,060;-0,005;-0,009;0,007;-0,020;0,012;0,023;
2024-01-02;-0,009;-0,014;-0,026;-0,019;-0,025;-0,035;-0,017;0,067;-0,063;0,035;-0,070;-0,007;-0,008;0,006;-0,020;0,010;0,025;
2024-01-03;-0,020;-0,029;;;-0,033;;-0,017;0,065;-0,056;0,028;-0,069;-0,007;;;;0,008;0,025;
2024-01-04;;;-0,021;-0,021;;-0,035;;;;;;;-0,007;0,010;-0,020;;;
2024-01-05;-0,016;-0,028;-0,022;-0,022;-0,035;-0,035;-0,015;0,065;-0,056;0,026;-0,068;-0,005;-0,008;0,011;-0,019;0,008;0,027;
2024-01-08;-0,010;-0,021;-0,022;-0,021;-0,025;-0,034;-0,017;0,067;-0,062;0,032;-0,061;-0,005;-0,005;0,014;-0,016;0,013;0,030;
2024-01-09;-0,012;-0,023;-0,025;-0,021;-0,026;-0,034;-0,020;0,084;-0,067;0,030;-0,058;-0,008;-0,007;0,011;-0,021;0,014;0,031;
2024-01-10;-0,011;-0,023;-0,024;-0,019;-0,025;-0,033;-0,022;0,082;-0,067;0,028;-0,053;-0,010;-0,009;0,010;-0,020;0,014;0,031;
2024-01-11;-0,015;-0,030;-0,028;-0,019;-0,027;-0,033;-0,021;0,072;-0,065;0,028;-0,048;-0,010;-0,008;0,009;-0,019;0,014;0,031;
2024-01-12;-0,010;-0,023;-0,021;-0,018;-0,024;-0,033;-0,015;0,078;-0,059;0,031;-0,045;-0,004;-0,004;0,013;-0,012;0,018;0,034;
2024-01-15;-0,012;-0,030;-0,025;-0,018;;-0,033;-0,015;;-0,063;;;;-0,005;;;;;
2024-01-16;-0,012;-0,030;-0,025;-0,019;-0,019;-0,032;-0,016;0,073;-0,061;0,032;-0,041;-0,005;-0,003;0,014;-0,010;0,018;0,034;
2024-01-17;-0,017;-0,038;-0,027;-0,020;-0,019;-0,032;-0,025;0,073;-0,075;0,027;-0,047;-0,014;-0,004;0,014;-0,011;0,016;0,031;
2024-01-18;-0,014;-0,036;-0,026;-0,020;-0,020;-0,032;-0,022;0,073;-0,070;0,036;-0,036;-0,010;-0,004;0,013;-0,011;0,019;0,032;
2024-01-19;-0,017;-0,040;-0,026;-0,020;-0,018;-0,032;-0,015;0,070;-0,071;0,041;-0,028;-0,005;-0,002;0,016;-0,009;0,023;0,036;
2024-01-22;-0,013;-0,035;-0,026;-0,019;-0,017;-0,032;-0,016;0,077;-0,077;0,049;-0,020;-0,005;;;;0,028;0,038;
2024-01-23;-0,012;-0,032;-0,024;-0,019;-0,016;-0,031;;;;;;;-0,003;0,012;-0,013;;;
2024-01-24;-0,010;-0,029;-0,022;-0,019;-0,015;-0,031;-0,008;0,079;-0,056;0,051;-0,017;0,000;-0,004;0,013;-0,014;0,029;0,037;
2024-01-25;-0,010;-0,029;;;-0,010;;-0,008;0,077;-0,049;0,048;-0,017;-0,000;;;;0,028;0,032;
2024-01-26;;;-0,021;-0,018;;-0,030;;;;;;;-0,004;0,014;-0,011;;;
2024-01-29;-0,006;-0,025;-0,020;-0,018;-0,003;-0,030;-0,009;0,078;-0,060;0,042;-0,013;-0,000;-0,001;0,016;-0,009;0,030;0,039;
2024-01-30;-0,004;-0,025;-0,026;-0,018;-0,006;-0,030;-0,015;0,082;-0,072;0,046;-0,011;-0,004;-0,005;0,013;-0,011;0,031;0,040;
2024-01-31;-0,001;-0,020;-0,027;-0,018;-0,011;-0,030;-0,018;0,084;-0,075;0,041;-0,021;-0,006;-0,002;0,018;-0,009;0,029;0,042;
2024-02-01;0,001;-0,021;-0,026;-0,018;-0,008;-0,030;-0,012;0,079;-0,069;0,042;-0,019;-0,000;-0,000;0,021;-0,005;0,028;0,039;
2024-02-02;0,004;-0,017;;;0,002;;-0,013;0,076;-0,077;0,042;-0,010;-0,001;;;;0,027;0,037;
2024-02-05;;;-0,030;-0,020;;-0,030;;;;;;;-0,005;0,015;-0,008;;;
2024-02-06;0,003;-0,019;-0,023;-0,020;0,002;-0,030;0,005;0,092;-0,046;0,050;0,002;0,016;-0,001;0,020;-0,003;0,038;0,051;
2024-02-07;0,005;-0,018;-0,032;-0,020;-0,001;-0,030;0,002;0,084;-0,052;0,048;0,001;0,012;-0,005;0,016;-0,007;0,035;0,051;
2024-02-08;0,007;-0,014;-0,034;-0,019;0,003;-0,030;0,000;0,082;-0,056;0,057;0,006;0,012;-0,007;0,013;-0,007;0,038;0,048;
2024-02-09;0,003;-0,020;-0,036;-0,019;0,001;-0,030;0,002;0,088;;0,061;0,010;0,013;-0,008;0,013;-0,009;0,040;0,049;
2024-02-12;0,004;-0,017;-0,031;-0,019;0,000;-0,029;;0,091;;0,064;0,011;;-0,008;0,012;-0,009;0,041;0,047;
2024-02-13;0,002;-0,022;-0,033;;-0,000;;;0,079;;0,050;0,001;;-0,011;0,007;-0,013;0,032;0,043;
2024-02-14;0,003;-0,019;-0,033;-0,020;-0,000;-0,030;0,008;0,084;;0,063;0,013;0,019;-0,005;0,015;-0,006;0,042;0,051;
2024-02-15;0,006;-0,011;-0,032;-0,019;0,001;-0,030;0,006;0,090;;0,064;0,011;0,017;-0,006;0,013;-0,007;0,044;0,054;
2024-02-16;0,008;-0,011;-0,028;-0,019;-0,002;-0,030;0,007;0,087;;0,061;0,008;0,016;-0,009;0,010;-0,010;0,041;0,051;
2024-02-19;0,008;-0,011;-0,030;-0,019;;-0,029;0,007;;-0,045;;;;-0,009;;;;;
2024-02-20;0,005;-0,013;-0,033;-0,019;-0,002;-0,029;0,007;0,089;-0,044;0,053;-0,001;0,018;-0,009;0,010;-0,011;0,039;0,051;
2024-02-21;0,003;-0,016;-0,036;-0,019;-0,005;-0,029;0,005;0,083;-0,041;0,050;-0,010;0,015;-0,011;0,007;-0,013;0,034;0,047;
2024-02-22;0,009;-0,008;-0,034;-0,018;-0,000;-0,029;0,006;0,078;-0,042;0,058;0,001;0,015;-0,013;0,003;-0,016;0,037;0,048;
2024-02-23;0,007;-0,008;;;0,000;;0,009;0,087;-0,038;0,058;0,003;0,017;;;;0,041;0,054;
2024-02-26;;;-0,037;-0,018;;-0,029;;;;;;;-0,012;0,006;-0,010;;;
2024-02-27;0,006;-0,010;-0,039;-0,018;-0,003;-0,028;0,005;0,099;-0,037;0,060;-0,002;0,013;-0,013;0,004;-0,013;0,041;0,050;
2024-02-28;0,005;-0,012;-0,033;-0,018;-0,003;-0,028;0,005;0,114;-0,042;0,058;-0,002;0,014;-0,011;0,008;-0,008;0,043;0,051;
2024-02-29;0,005;-0,011;-0,031;-0,018;-0,004;-0,028;0,009;0,104;-0,037;0,061;0,001;0,016;-0,010;0,008;-0,008;0,044;0,052;
2024-03-01;0,007;-0,007;-0,026;-0,018;-0,004;-0,028;0,012;0,106;-0,034;0,067;0,004;0,019;-0,009;0,011;-0,006;0,046;0,053;
2024-03-04;0,007;-0,006;;;-0,000;;0,013;0,107;-0,040;0,073;0,006;0,021;;;;0,048;0,056;
2024-03-05;;;-0,026;-0,018;;-0,027;;;;;;;-0,004;0,014;-0,002;;;
2024-03-06;0,004;-0,009;-0,027;-0,017;-0,004;-0,027;0,014;0,098;-0,039;0,072;0,004;0,024;-0,004;0,015;-0,001;0,048;0,058;
2024-03-07;0,009;-0,007;-0,026;-0,017;-0,002;-0,027;0,012;0,092;-0,047;0,077;0,004;0,022;-0,005;0,013;-0,003;0,048;0,061;
2024-03-08;0,011;-0,004;-0,023;-0,016;-0,004;-0,026;0,014;0,092;-0,047;0,074;0,011;0,021;;;;0,048;0,061;
2024-03-11;0,009;-0,006;-0,027;-0,016;-0,002;-0,026;;;;;;;-0,006;0,010;-0,006;;;
2024-03-12;0,015;0,000;-0,023;-0,016;0,007;-0,026;0,020;0,079;-0,033;0,065;0,005;0,024;-0,006;0,009;-0,004;0,044;0,058;
2024-03-13;0,013;-0,003;-0,023;-0,016;0,005;-0,026;0,021;0,081;-0,029;0,064;0,005;0,027;-0,007;0,009;-0,006;0,045;0,060;
2024-03-14;0,013;-0,002;-0,023;-0,018;0,008;-0,025;0,019;0,073;-0,036;0,057;0,005;0,026;-0,008;0,006;-0,008;0,042;0,056;
2024-03-15;0,014;-0,001;-0,019;-0,018;0,005;-0,025;0,019;0,076;-0,031;0,059;0,006;0,027;-0,006;0,010;-0,004;0,045;0,062;
2024-03-18;0,013;-0,005;-0,017;-0,018;0,010;-0,025;0,022;0,077;-0,029;0,061;0,008;0,028;-0,006;0,010;-0,004;0,046;0,061;
2024-03-19;0,014;-0,002;-0,016;-0,018;0,013;-0,025;0,022;0,081;-0,030;0,061;0,007;0,031;-0,002;0,015;0,002;0,048;0,063;
2024-03-20;0,016;0,000;-0,016;-0,017;0,012;-0,025;0,023;0,076;-0,028;0,064;0,010;0,032;-0,002;0,015;0,002;0,050;0,065;
2024-03-21;0,022;0,009;-0,013;-0,017;0,017;-0,025;0,027;0,089;-0,028;0,076;0,019;0,035;-0,002;0,012;0,003;0,056;0,067;
2024-03-22;0,023;0,009;;;0,017;;0,029;0,088;-0,028;0,077;0,022;0,037;;;;0,057;0,067;
2024-03-25;;;-0,010;-0,017;;-0,024;;;;;;;0,002;0,020;0,012;;;
2024-03-26;0,028;0,011;;-0,017;0,020;-0,024;0,030;0,094;-0,030;0,078;0,027;0,038;0,004;0,020;0,013;0,060;0,069;
2024-03-27;;;-0,007;-0,017;;-0,024;0,028;0,095;-0,033;0,079;0,022;0,036;0,006;0,023;0,014;0,060;0,071;
2024-03-28;;;;;;;0,034;0,104;-0,027;0,084;0,026;0,043;0,008;0,026;0,019;0,067;0,078;
2024-04-02;0,027;0,008;-0,003;-0,017;0,019;-0,023;0,041;0,093;-0,014;0,080;0,027;0,048;0,007;0,025;0,018;0,062;0,072;
2024-04-03;0,026;0,007;-0,000;-0,017;0,018;-0,023;0,037;0,088;-0,019;0,078;0,027;0,044;0,006;0,024;0,016;0,060;0,071;
2024-04-04;0,029;0,012;0,004;-0,017;0,014;-0,023;;0,089;;0,081;0,028;;0,006;0,021;0,013;0,059;0,068;
2024-04-05;0,026;0,007;0,005;-0,017;0,017;-0,023;0,034;0,080;;0,074;0,025;0,043;0,005;0,020;0,014;0,054;0,064;
2024-04-08;0,025;0,009;0,002;-0,018;0,013;-0,023;0,034;0,081;-0,025;0,076;0,025;0,043;0,002;0,018;0,012;0,055;0,066;
2024-04-09;0,023;0,007;0,005;-0,017;0,014;-0,023;0,033;0,082;-0,025;0,077;0,024;0,043;0,003;0,018;0,012;0,054;0,064;
2024-04-10;0,023;0,007;0,006;-0,018;0,015;-0,023;0,031;0,073;-0,024;0,069;0,020;0,040;0,001;0,011;0,008;0,048;0,058;
2024-04-11;0,019;0,005;0,005;-0,019;0,018;-0,023;0,040;0,083;-0,015;0,075;0,030;0,047;0,001;0,016;0,012;0,054;0,065;
2024-04-12;0,018;0,002;0,011;-0,019;0,015;-0,023;0,037;0,086;-0,020;0,076;0,033;0,045;0,005;0,021;0,016;0,055;0,064;
2024-04-15;0,021;0,008;0,009;-0,020;0,016;-0,022;0,038;0,082;-0,016;0,079;0,035;0,045;0,005;0,021;0,015;0,058;0,068;
2024-04-16;0,014;-0,002;0,005;-0,021;0,015;-0,022;0,028;0,079;-0,022;0,069;0,025;0,034;0,003;0,021;0,014;0,050;0,063;
2024-04-17;0,015;-0,001;0,007;-0,021;0,015;-0,022;0,030;0,077;-0,020;0,070;0,027;0,037;0,005;0,023;0,017;0,051;0,065;
2024-04-18;0,012;-0,001;;;0,014;;0,031;0,069;-0,019;0,059;0,020;0,037;;;;0,045;0,058;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;0,004;-0,019;;-0,021;;;;;;;0,004;0,020;0,015;;;
2024-04-24;0,026;0,013;0,010;;0,023;;0,039;0,075;-0,002;0,066;0,020;0,044;;;;0,051;0,067;
2024-04-25;;;;-0,020;0,022;-0,021;;;;;;;0,001;0,017;0,010;;;
2024-04-26;0,022;0,015;0,012;-0,019;;-0,021;0,042;0,069;0,007;0,074;0,019;0,047;0,004;0,018;0,013;0,053;0,065;
2024-04-29;0,024;0,018;0,013;-0,019;0,025;-0,021;0,044;0,076;0,006;0,080;0,019;0,050;0,008;0,023;0,017;0,056;0,068;
2024-04-30;;;0,016;-0,019;0,022;-0,021;0,046;0,079;0,005;0,086;0,021;0,050;0,007;0,022;0,017;0,058;0,070;
2024-05-02;0,019;0,016;0,010;-0,018;0,023;-0,021;0,047;0,088;;0,071;0,015;0,049;0,007;0,023;0,016;0,051;0,064;
2024-05-03;0,017;0,016;;;0,020;;0,051;0,101;;0,082;0,027;0,053;0,007;0,025;0,017;0,060;0,068;
2024-05-06;;;0,018;-0,016;;-0,020;;;;;;;;;;;;
2024-05-07;0,029;0,024;0,019;-0,016;0,029;-0,021;0,053;0,093;0,019;0,085;0,029;0,054;0,010;0,025;0,017;0,061;0,069;
2024-05-08;0,033;0,027;0,024;-0,016;0,031;-0,021;0,054;0,097;0,018;0,086;0,030;0,058;0,011;0,027;0,019;0,064;0,075;
2024-05-10;;0,035;0,031;-0,016;0,035;-0,021;0,056;0,091;0,027;0,092;0,030;0,059;0,008;0,023;0,019;0,066;0,076;
