
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;swedbank robur transfer 60;swedbank robur transfer 70;swedbank robur transfer 80;swedbank robur transfer 90;templeton emerging markets fund a;templeton global bond fund a;tundra sustainable frontier fund a;ub infra placeringsfond a;ålandsbanken euro bond s placeringsfond;ålandsbanken euro high yield b placeringsfond;ålandsbanken global aktie b placeringsfond;ålandsbanken kapitalförvaltning placeringsfond;öhman emerging markets a;öhman frn a;öhman företagsobligationsfond a;öhman global a;öhman global growth a;
2023-06-08;-0,063;-0,077;-0,082;-0,076;-0,024;0,023;-0,054;-0,018;-0,047;-0,032;-0,053;-0,043;-0,011;-0,045;-0,048;-0,034;-0,048;
2023-06-09;-0,060;-0,074;-0,079;-0,073;-0,024;0,025;-0,052;-0,019;-0,047;-0,032;-0,051;-0,043;-0,006;-0,045;-0,047;-0,032;-0,045;
2023-06-12;-0,060;-0,074;-0,079;-0,073;-0,022;0,025;-0,051;-0,019;-0,047;-0,032;-0,049;-0,042;-0,006;-0,045;-0,047;-0,030;-0,039;
2023-06-13;-0,059;-0,072;-0,076;-0,070;-0,021;0,025;-0,051;-0,021;-0,047;-0,033;-0,049;-0,042;-0,005;-0,045;-0,047;-0,031;-0,037;
2023-06-14;-0,060;-0,073;-0,078;-0,072;-0,021;0,026;-0,060;-0,022;-0,047;-0,035;-0,053;-0,042;-0,006;-0,045;-0,048;-0,031;-0,037;
2023-06-15;-0,061;-0,074;-0,079;-0,073;-0,014;0,028;-0,062;-0,018;-0,048;-0,033;-0,048;-0,042;-0,003;-0,045;-0,048;-0,029;-0,034;
2023-06-16;-0,058;-0,071;-0,075;-0,069;-0,022;0,026;-0,067;-0,016;-0,048;-0,033;-0,050;-0,041;-0,000;-0,045;-0,049;-0,029;-0,034;
2023-06-19;-0,058;;;;-0,021;0,025;-0,064;-0,017;-0,048;-0,030;;-0,041;0,001;-0,045;-0,047;;;
2023-06-20;-0,058;-0,069;-0,074;-0,068;-0,026;0,024;-0,060;-0,016;-0,047;-0,028;-0,048;-0,041;-0,001;-0,045;-0,047;-0,025;-0,031;
2023-06-21;-0,061;-0,074;-0,079;-0,073;-0,024;0,025;-0,062;-0,013;-0,047;-0,026;-0,050;-0,044;-0,011;-0,045;-0,048;-0,033;-0,042;
2023-06-22;-0,064;-0,078;-0,083;-0,077;-0,030;0,023;-0,066;-0,017;-0,048;-0,029;-0,048;-0,045;;-0,044;-0,048;-0,033;-0,042;
2023-06-26;-0,064;-0,078;-0,083;-0,078;;;-0,062;-0,024;;;;;-0,018;-0,044;-0,048;-0,038;-0,051;
2023-06-27;;;;;-0,029;0,022;-0,060;;-0,047;-0,032;-0,054;-0,046;;;;;;
2023-06-28;-0,061;-0,073;-0,078;-0,072;-0,031;0,020;;-0,018;-0,047;-0,030;-0,049;-0,043;-0,012;-0,044;-0,048;-0,030;-0,044;
2023-06-29;-0,059;-0,070;-0,074;-0,069;-0,029;0,018;;-0,015;-0,048;-0,027;-0,044;-0,042;-0,013;-0,044;-0,048;-0,028;-0,043;
2023-06-30;-0,058;-0,069;-0,073;-0,068;-0,025;0,020;-0,057;-0,014;-0,047;-0,027;-0,042;-0,040;-0,014;-0,044;-0,048;-0,025;-0,040;
2023-07-03;-0,056;-0,066;-0,071;-0,065;-0,021;0,021;-0,050;-0,013;-0,048;-0,027;-0,041;-0,040;-0,004;-0,044;-0,048;-0,023;-0,034;
2023-07-04;;;;;;;-0,046;-0,012;;;;;-0,005;-0,044;-0,048;;;
2023-07-05;;;;;-0,024;0,019;;;-0,047;-0,026;-0,039;-0,040;;;;;;
2023-07-06;-0,059;-0,070;-0,074;-0,069;-0,027;0,015;-0,039;-0,018;-0,048;-0,024;-0,043;-0,043;-0,010;-0,043;-0,049;-0,025;-0,038;
2023-07-07;-0,060;-0,072;-0,076;-0,071;-0,022;0,018;-0,040;-0,020;-0,048;-0,023;-0,047;-0,043;-0,017;-0,043;-0,049;-0,031;-0,042;
2023-07-10;-0,062;-0,074;-0,078;-0,073;-0,026;0,019;-0,042;-0,022;-0,048;-0,025;-0,050;-0,044;-0,017;-0,043;-0,049;-0,031;-0,041;
2023-07-11;-0,064;-0,076;-0,081;-0,075;-0,025;0,021;-0,045;-0,021;-0,048;-0,027;-0,048;-0,045;-0,017;-0,043;-0,049;-0,034;-0,042;
2023-07-12;-0,065;-0,079;-0,083;-0,077;-0,020;0,028;-0,050;-0,020;-0,047;-0,028;-0,050;-0,045;-0,023;-0,043;-0,049;-0,040;-0,049;
2023-07-13;-0,066;-0,081;-0,086;-0,080;-0,026;0,033;-0,059;-0,026;-0,046;-0,034;-0,054;-0,046;-0,023;-0,043;-0,047;-0,043;-0,050;
2023-07-14;-0,066;-0,080;-0,085;-0,079;-0,033;0,032;-0,057;-0,031;-0,046;-0,037;-0,056;-0,046;-0,018;-0,043;-0,047;-0,040;-0,046;
2023-07-17;-0,066;-0,080;-0,085;-0,079;-0,033;0,033;;-0,032;-0,046;-0,037;-0,057;-0,046;-0,017;-0,043;-0,047;-0,039;-0,042;
2023-07-18;-0,065;-0,080;-0,084;-0,079;-0,038;0,033;-0,060;-0,032;-0,045;-0,036;-0,055;-0,045;-0,022;-0,042;-0,046;-0,039;-0,044;
2023-07-19;-0,063;-0,077;-0,082;-0,076;-0,036;0,033;-0,064;-0,027;-0,045;-0,035;-0,052;-0,044;-0,021;-0,042;-0,045;-0,038;-0,041;
2023-07-20;-0,062;-0,076;-0,081;-0,075;-0,038;0,030;-0,060;-0,024;-0,045;-0,034;-0,053;-0,031;-0,020;-0,042;-0,046;-0,037;-0,044;
2023-07-21;-0,061;-0,075;-0,079;-0,074;-0,035;0,027;-0,049;-0,020;-0,045;-0,033;-0,051;-0,043;-0,017;-0,042;-0,046;-0,033;-0,043;
2023-07-24;-0,060;-0,074;-0,079;-0,073;-0,028;0,028;-0,048;-0,020;-0,044;-0,032;-0,048;-0,042;-0,019;-0,042;-0,045;-0,033;-0,044;
2023-07-25;-0,059;-0,071;-0,076;-0,070;-0,028;0,029;-0,049;-0,024;-0,044;-0,035;-0,049;-0,041;-0,010;-0,042;-0,046;-0,032;-0,044;
2023-07-26;-0,059;-0,071;-0,076;-0,070;-0,027;0,030;-0,045;-0,022;-0,045;-0,036;-0,052;-0,043;-0,007;-0,042;-0,045;-0,029;-0,041;
2023-07-27;-0,056;-0,066;-0,071;-0,065;-0,033;0,029;-0,043;-0,020;-0,044;-0,034;-0,049;-0,041;-0,003;-0,042;-0,045;-0,029;-0,042;
2023-07-28;-0,056;-0,067;-0,071;-0,066;-0,014;0,027;-0,038;-0,019;-0,044;-0,030;-0,043;-0,039;0,002;-0,042;-0,045;-0,026;-0,037;
2023-07-31;-0,056;-0,066;-0,070;-0,065;-0,013;0,027;-0,036;-0,018;-0,044;-0,030;-0,043;-0,039;0,003;-0,042;-0,044;-0,025;-0,036;
2023-08-01;-0,054;-0,064;-0,068;-0,062;-0,015;0,023;-0,036;-0,022;-0,044;-0,030;-0,046;-0,039;0,005;-0,042;-0,044;-0,024;-0,035;
2023-08-02;-0,055;-0,066;-0,070;-0,065;;;-0,034;-0,024;;;;;0,000;-0,042;-0,045;-0,026;-0,041;
2023-08-03;;;;;-0,017;0,017;;;-0,044;-0,026;-0,047;-0,042;;;;;;
2023-08-04;-0,060;-0,073;-0,076;-0,071;-0,019;0,020;-0,040;-0,029;-0,044;-0,026;-0,048;-0,043;-0,008;-0,042;-0,045;-0,035;-0,052;
2023-08-07;-0,060;-0,073;-0,076;-0,071;-0,023;0,020;-0,035;-0,031;-0,043;-0,029;-0,048;-0,042;-0,006;-0,041;-0,045;-0,032;-0,050;
2023-08-08;-0,059;-0,071;-0,074;-0,069;-0,028;0,018;-0,032;-0,028;-0,043;-0,028;-0,049;-0,040;-0,008;-0,041;-0,044;-0,030;-0,049;
2023-08-09;-0,059;-0,070;-0,073;-0,069;-0,024;0,019;-0,035;-0,027;-0,043;-0,026;-0,051;-0,039;-0,008;-0,041;-0,045;-0,033;-0,052;
2023-08-10;-0,059;-0,070;-0,074;-0,069;-0,025;0,018;-0,042;-0,024;-0,043;-0,026;-0,049;-0,039;-0,011;-0,041;-0,045;-0,035;-0,057;
2023-08-11;-0,058;-0,068;-0,072;-0,067;-0,030;0,015;-0,033;-0,023;-0,043;-0,024;-0,049;-0,038;-0,008;-0,041;-0,045;-0,029;-0,051;
2023-08-14;-0,058;-0,069;-0,072;-0,068;-0,027;0,012;-0,033;-0,021;-0,043;-0,021;-0,041;-0,039;;;;;;
2023-08-15;-0,059;-0,070;-0,073;-0,069;-0,031;0,009;-0,037;-0,026;-0,044;-0,022;-0,047;-0,041;-0,017;-0,041;-0,046;-0,033;-0,054;
2023-08-16;-0,059;-0,071;-0,073;-0,069;-0,035;0,007;-0,033;-0,027;-0,043;-0,022;-0,049;-0,041;-0,017;-0,041;-0,045;-0,033;-0,057;
2023-08-17;-0,060;-0,072;-0,074;-0,071;-0,031;0,006;-0,031;-0,029;-0,044;-0,021;-0,053;-0,042;-0,018;-0,041;-0,045;-0,036;-0,064;
2023-08-18;-0,062;-0,074;-0,077;-0,073;-0,033;0,007;-0,030;-0,028;-0,043;-0,020;-0,053;-0,043;-0,019;-0,041;-0,046;-0,035;-0,063;
2023-08-21;-0,061;-0,072;-0,074;-0,071;-0,032;0,005;-0,034;-0,028;-0,044;-0,019;-0,051;-0,042;-0,023;-0,040;-0,046;-0,034;-0,062;
2023-08-22;-0,060;-0,071;-0,073;-0,070;-0,034;0,006;-0,034;-0,028;-0,043;-0,021;-0,052;-0,042;-0,020;-0,040;-0,046;-0,035;-0,063;
2023-08-23;-0,058;-0,069;-0,072;-0,068;-0,023;0,011;-0,034;-0,026;-0,042;-0,021;-0,048;-0,040;-0,017;-0,040;-0,045;-0,030;-0,058;
2023-08-24;-0,056;-0,065;-0,067;-0,064;-0,027;0,009;;-0,027;-0,042;-0,021;-0,052;-0,041;-0,010;-0,040;-0,045;-0,033;-0,061;
2023-08-25;-0,058;-0,069;-0,072;-0,068;;;-0,029;-0,025;;;;;-0,011;-0,040;-0,045;-0,029;-0,058;
2023-08-28;;;;;-0,019;0,009;;;-0,043;-0,019;-0,045;-0,039;;;;;;
2023-08-29;-0,056;-0,065;-0,067;-0,063;-0,016;0,013;-0,030;-0,021;-0,042;-0,020;-0,044;-0,037;-0,008;-0,040;-0,045;-0,026;-0,053;
2023-08-30;-0,056;-0,066;-0,068;-0,064;-0,021;0,012;;-0,023;-0,042;-0,022;-0,045;-0,038;-0,014;-0,040;-0,044;-0,029;-0,055;
2023-08-31;-0,053;-0,061;-0,063;-0,059;-0,027;0,012;-0,033;-0,024;-0,042;-0,021;-0,044;-0,038;-0,013;-0,039;-0,044;-0,025;-0,048;
2023-09-01;-0,052;-0,060;-0,061;-0,057;-0,019;0,011;;;-0,042;-0,020;-0,040;-0,036;-0,008;-0,039;-0,044;-0,021;-0,043;
2023-09-04;;;;;;;-0,026;-0,023;;;;;-0,003;-0,039;-0,044;;;
2023-09-05;;;;;-0,016;0,005;;;-0,042;-0,019;-0,039;-0,036;;;;;;
2023-09-06;-0,051;-0,059;-0,060;-0,056;-0,018;0,004;-0,023;-0,029;-0,042;-0,019;-0,043;-0,037;-0,007;-0,039;-0,045;-0,021;-0,042;
2023-09-07;-0,052;-0,061;-0,062;-0,058;-0,022;0,004;-0,022;-0,025;-0,042;-0,019;-0,041;-0,037;-0,011;-0,038;-0,046;-0,023;-0,045;
2023-09-08;-0,053;-0,062;-0,064;-0,060;-0,022;0,004;-0,021;-0,024;-0,042;-0,019;-0,041;-0,038;-0,013;-0,038;-0,046;-0,025;-0,048;
2023-09-11;-0,053;-0,061;-0,063;-0,059;-0,020;0,007;-0,023;-0,024;-0,042;-0,020;-0,043;-0,037;-0,013;-0,038;-0,045;-0,024;-0,047;
2023-09-12;-0,052;-0,060;-0,062;-0,057;-0,019;0,006;-0,024;-0,022;-0,042;-0,020;-0,044;-0,037;-0,011;-0,038;-0,045;-0,024;-0,049;
2023-09-13;-0,052;-0,060;-0,061;-0,057;-0,018;0,006;-0,022;-0,017;-0,042;-0,018;-0,041;-0,038;-0,011;-0,038;-0,045;-0,024;-0,049;
2023-09-14;-0,049;-0,055;-0,057;-0,053;-0,014;0,007;-0,022;-0,009;-0,042;-0,017;-0,035;-0,034;-0,006;-0,038;-0,045;-0,019;-0,044;
2023-09-15;-0,048;-0,055;-0,057;-0,053;-0,012;0,005;;-0,011;-0,042;-0,018;-0,040;-0,036;-0,004;-0,038;-0,045;-0,021;-0,047;
2023-09-18;-0,049;-0,056;-0,058;-0,054;-0,013;0,005;-0,023;-0,013;-0,042;-0,017;-0,041;-0,037;-0,008;-0,037;-0,045;-0,022;-0,051;
2023-09-19;-0,051;-0,059;-0,062;-0,057;-0,018;0,004;-0,023;-0,015;-0,042;-0,019;-0,046;-0,038;-0,012;-0,037;-0,045;-0,026;-0,055;
2023-09-20;-0,052;-0,060;-0,063;-0,058;-0,020;0,003;-0,023;-0,012;-0,042;-0,018;-0,047;-0,038;-0,016;-0,037;-0,045;-0,031;-0,061;
2023-09-21;-0,054;-0,063;-0,066;-0,062;-0,029;0,000;-0,019;-0,021;-0,042;-0,020;-0,056;-0,040;-0,019;-0,037;-0,045;-0,033;-0,067;
2023-09-22;-0,056;-0,066;-0,070;-0,065;-0,023;0,000;-0,025;-0,022;-0,042;-0,019;-0,055;-0,042;-0,018;-0,037;-0,045;-0,037;-0,071;
2023-09-25;-0,059;-0,071;-0,075;-0,070;;;-0,033;-0,027;;;;;-0,024;-0,037;-0,045;-0,039;-0,073;
2023-09-26;;;;;-0,035;-0,006;;-0,040;-0,042;-0,025;-0,065;-0,047;;;;;;
2023-09-27;-0,061;-0,074;-0,078;-0,074;-0,037;-0,010;-0,035;;-0,042;-0,029;-0,066;-0,048;-0,032;-0,037;-0,044;-0,047;-0,080;
2023-09-28;-0,064;-0,077;-0,081;-0,077;-0,035;-0,007;-0,037;;-0,042;-0,031;-0,067;-0,048;-0,036;-0,037;-0,045;-0,047;-0,080;
2023-09-29;-0,062;-0,075;-0,079;-0,075;-0,042;-0,006;-0,042;-0,050;-0,041;-0,034;-0,071;-0,048;-0,035;-0,037;-0,044;-0,050;-0,082;
2023-10-02;-0,062;-0,075;-0,079;-0,076;-0,040;-0,011;-0,035;;-0,042;-0,031;-0,065;-0,048;-0,029;-0,036;-0,044;-0,046;-0,076;
2023-10-03;-0,063;-0,076;-0,080;-0,077;;;-0,036;-0,060;;;;;-0,034;-0,036;-0,044;-0,049;-0,082;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;;;;;-0,037;-0,013;;;-0,041;-0,031;-0,063;-0,048;;;;;;
2023-10-10;-0,061;-0,073;-0,078;-0,075;-0,035;-0,010;-0,040;-0,048;-0,041;-0,031;-0,062;-0,045;-0,037;-0,036;-0,043;-0,044;-0,080;
2023-10-11;-0,059;-0,071;-0,076;-0,073;;;-0,040;-0,047;;;;;-0,030;-0,036;-0,042;-0,043;-0,079;
2023-10-12;;;;;-0,037;-0,011;;;-0,041;-0,030;-0,061;-0,042;;;;;;
2023-10-13;-0,057;-0,068;-0,072;-0,069;-0,037;-0,011;-0,036;-0,049;-0,040;-0,032;-0,063;-0,044;-0,028;-0,036;-0,044;-0,044;-0,081;
2023-10-16;-0,059;-0,071;-0,076;-0,073;-0,033;-0,011;-0,038;-0,047;-0,041;-0,031;-0,061;-0,044;-0,035;-0,035;-0,045;-0,046;-0,083;
2023-10-17;-0,061;-0,074;-0,079;-0,076;-0,036;-0,013;-0,038;-0,048;-0,041;-0,033;-0,063;-0,045;-0,033;-0,035;-0,045;-0,045;-0,081;
2023-10-18;-0,060;-0,072;-0,076;-0,074;-0,043;-0,016;-0,040;-0,052;-0,041;-0,033;-0,067;-0,047;-0,033;-0,035;-0,045;-0,047;-0,083;
2023-10-19;-0,063;-0,076;-0,081;-0,078;-0,040;-0,018;-0,042;-0,051;-0,041;-0,030;-0,067;-0,050;-0,042;-0,035;-0,046;-0,053;-0,089;
2023-10-20;-0,066;-0,081;-0,086;-0,083;-0,045;-0,017;-0,040;-0,054;-0,041;-0,031;-0,072;-0,053;-0,044;-0,035;-0,046;-0,058;-0,096;
2023-10-23;-0,068;-0,083;-0,088;-0,085;-0,046;-0,017;-0,040;-0,056;-0,041;-0,029;-0,074;-0,053;-0,044;-0,035;-0,046;-0,057;-0,095;
2023-10-24;-0,065;-0,080;-0,084;-0,081;-0,044;-0,016;-0,037;-0,050;-0,040;-0,027;-0,067;-0,050;-0,041;-0,035;-0,045;-0,050;-0,087;
2023-10-25;-0,066;-0,081;-0,085;-0,082;;;-0,037;-0,047;;;;;-0,040;-0,035;-0,045;-0,055;-0,097;
2023-10-26;;;;;-0,044;-0,018;;;-0,040;-0,023;-0,071;-0,052;;;;;;
2023-10-27;-0,068;-0,086;-0,089;-0,086;;;-0,042;-0,049;;;;;-0,040;-0,035;-0,045;-0,059;-0,106;
2023-10-30;;;;;-0,039;-0,016;;;-0,039;-0,022;-0,070;-0,051;;;;;;
2023-10-31;-0,065;-0,082;-0,085;-0,081;-0,046;-0,019;-0,048;-0,042;-0,039;-0,021;-0,065;-0,050;-0,041;-0,034;-0,044;-0,052;-0,099;
2023-11-01;-0,062;-0,077;-0,080;-0,077;-0,039;-0,017;-0,044;-0,040;-0,038;-0,021;-0,063;-0,048;-0,039;-0,034;-0,043;-0,045;-0,091;
2023-11-02;-0,058;-0,072;-0,075;-0,071;;;-0,040;-0,032;;;;;-0,034;-0,034;-0,043;-0,041;-0,086;
2023-11-03;;;;;-0,026;-0,004;;;-0,038;-0,020;-0,056;-0,045;;;;;;
2023-11-06;-0,059;-0,072;-0,076;-0,071;-0,031;-0,004;-0,045;-0,035;-0,038;-0,024;-0,059;-0,045;-0,023;-0,034;-0,042;-0,043;-0,085;
2023-11-07;-0,059;-0,072;-0,075;-0,071;-0,030;-0,005;-0,041;;-0,038;-0,023;-0,056;-0,045;-0,027;-0,034;-0,042;-0,043;-0,083;
2023-11-08;-0,058;-0,072;-0,075;-0,070;-0,032;-0,005;-0,040;-0,039;-0,038;-0,023;-0,056;-0,044;-0,030;-0,033;-0,042;-0,044;-0,085;
2023-11-09;-0,059;-0,072;-0,075;-0,071;-0,039;-0,008;-0,044;;-0,038;-0,024;-0,058;-0,044;-0,033;-0,033;-0,043;-0,046;-0,085;
2023-11-10;-0,060;-0,074;-0,077;-0,073;-0,034;-0,008;-0,043;-0,040;-0,038;-0,024;-0,053;-0,044;-0,034;-0,033;-0,043;-0,041;-0,079;
2023-11-13;-0,059;-0,073;-0,076;-0,072;-0,035;-0,009;-0,044;-0,042;-0,038;-0,024;-0,055;-0,045;-0,035;-0,033;-0,043;-0,044;-0,079;
2023-11-14;-0,058;-0,071;-0,074;-0,070;-0,026;-0,001;-0,051;-0,034;-0,037;-0,024;-0,055;-0,042;-0,040;-0,033;-0,041;-0,044;-0,078;
2023-11-15;-0,057;-0,070;-0,073;-0,069;;;-0,051;-0,037;;;;;-0,032;-0,033;-0,041;-0,047;-0,077;
2023-11-16;;;;;-0,036;0,000;;;-0,036;-0,030;-0,060;-0,042;;;;;;
2023-11-17;-0,057;-0,070;-0,073;-0,069;-0,035;0,003;-0,048;-0,034;-0,036;-0,028;-0,058;-0,041;-0,036;-0,033;-0,041;-0,045;-0,078;
2023-11-20;-0,057;-0,071;-0,074;-0,069;-0,034;0,006;-0,051;-0,035;-0,037;-0,029;-0,059;-0,041;-0,034;-0,032;-0,042;-0,046;-0,077;
2023-11-21;-0,058;-0,072;-0,075;-0,071;-0,040;0,005;-0,049;-0,038;-0,036;-0,031;-0,062;-0,042;-0,035;-0,032;-0,042;-0,047;-0,078;
2023-11-22;-0,055;-0,067;-0,070;-0,066;-0,037;0,003;-0,044;-0,035;-0,036;-0,029;-0,056;-0,040;-0,032;-0,032;-0,043;-0,042;-0,073;
2023-11-23;;;;;-0,037;0,003;-0,043;-0,034;-0,036;-0,029;;-0,040;-0,031;-0,032;-0,043;;;
2023-11-24;-0,056;-0,069;-0,072;-0,068;-0,039;0,003;-0,045;-0,033;-0,036;-0,029;-0,059;-0,040;-0,037;-0,032;-0,043;-0,044;-0,078;
2023-11-27;-0,055;-0,068;-0,071;-0,066;-0,042;0,005;-0,040;-0,035;-0,036;-0,029;-0,061;-0,040;-0,038;-0,032;-0,042;-0,044;-0,078;
2023-11-28;-0,057;-0,071;-0,074;-0,069;-0,039;0,009;-0,044;-0,034;-0,035;-0,029;-0,062;-0,042;-0,039;-0,032;-0,042;-0,047;-0,081;
2023-11-29;-0,055;-0,069;-0,073;-0,068;;;-0,044;-0,036;;;;;-0,042;-0,032;-0,041;-0,048;-0,081;
2023-11-30;;;;;-0,043;0,007;;;-0,034;-0,028;-0,057;-0,039;;;;;;
2023-12-01;-0,053;-0,066;-0,069;-0,065;-0,040;0,011;-0,038;-0,028;-0,033;-0,028;-0,054;-0,039;-0,040;-0,032;-0,041;-0,043;-0,076;
2023-12-04;-0,053;-0,067;-0,070;-0,065;-0,046;0,008;-0,034;-0,035;-0,033;-0,029;-0,058;-0,039;-0,041;-0,032;-0,039;-0,043;-0,077;
2023-12-05;-0,052;-0,067;-0,070;-0,065;-0,048;0,008;-0,033;-0,031;-0,032;-0,030;-0,059;-0,038;-0,045;-0,032;-0,039;-0,042;-0,079;
2023-12-06;-0,050;-0,064;-0,067;-0,062;-0,047;0,010;-0,030;;;;;;-0,045;-0,032;-0,039;-0,045;-0,081;
2023-12-07;-0,051;-0,066;-0,069;-0,064;-0,046;0,013;-0,031;-0,028;-0,032;-0,030;-0,059;-0,038;-0,049;-0,032;-0,039;-0,044;-0,079;
2023-12-08;-0,050;-0,063;-0,067;-0,062;-0,049;0,011;-0,029;-0,031;-0,032;-0,032;-0,057;-0,035;-0,044;-0,032;-0,039;-0,040;-0,075;
2023-12-11;-0,048;-0,061;-0,064;-0,060;;;-0,032;-0,030;;;;;-0,044;-0,032;-0,039;-0,037;-0,072;
2023-12-12;;;;;-0,046;0,009;;;-0,032;-0,030;-0,052;-0,035;;;;;;
2023-12-13;-0,046;-0,059;-0,062;-0,058;-0,044;0,015;-0,035;-0,026;-0,031;-0,028;-0,051;-0,034;-0,046;-0,031;-0,038;-0,035;-0,069;
2023-12-14;-0,047;-0,061;-0,063;-0,060;-0,043;0,021;-0,043;-0,025;-0,030;-0,028;-0,057;-0,033;-0,046;-0,031;-0,036;-0,040;-0,073;
2023-12-15;-0,046;-0,059;-0,061;-0,058;-0,044;0,021;-0,042;-0,026;-0,029;-0,026;-0,051;-0,032;-0,040;-0,031;-0,035;-0,037;-0,068;
2023-12-18;-0,047;-0,061;-0,064;-0,060;-0,046;0,021;-0,046;-0,031;-0,029;-0,028;-0,052;-0,032;-0,044;-0,031;-0,034;-0,039;-0,071;
2023-12-19;-0,046;-0,060;-0,063;-0,060;-0,044;0,022;-0,049;-0,030;-0,029;-0,028;-0,053;-0,031;-0,046;-0,030;-0,033;-0,038;-0,070;
2023-12-20;-0,045;-0,059;-0,062;-0,058;-0,052;0,022;-0,051;-0,033;-0,028;-0,029;-0,058;-0,032;-0,046;-0,030;-0,033;-0,042;-0,074;
2023-12-21;-0,048;-0,063;-0,066;-0,063;-0,045;0,025;-0,053;-0,034;-0,028;-0,029;-0,056;-0,032;-0,047;-0,030;-0,033;-0,041;-0,071;
2023-12-22;-0,050;-0,066;-0,069;-0,066;-0,052;0,025;-0,060;-0,035;-0,028;-0,031;-0,057;-0,033;-0,055;-0,030;-0,032;-0,043;-0,075;
2023-12-27;-0,048;-0,064;-0,067;-0,064;-0,050;0,029;-0,059;-0,037;-0,027;-0,033;-0,060;-0,032;-0,051;-0,030;-0,032;-0,044;-0,075;
2023-12-28;-0,048;-0,064;-0,067;-0,063;-0,048;0,029;-0,060;-0,038;-0,027;-0,033;-0,058;-0,031;-0,044;-0,030;-0,032;-0,042;-0,071;
2023-12-29;-0,046;-0,060;-0,063;-0,060;-0,044;0,029;-0,053;-0,037;-0,027;-0,031;-0,056;-0,030;;;;;;
2024-01-02;-0,045;-0,059;-0,062;-0,058;-0,048;0,024;-0,047;-0,034;;;;;-0,038;-0,029;-0,032;-0,035;-0,068;
2024-01-03;-0,045;-0,059;-0,062;-0,058;;;-0,040;-0,033;;;;;-0,040;-0,029;-0,031;-0,035;-0,073;
2024-01-04;;;;;-0,046;0,020;;;-0,028;-0,027;-0,054;-0,031;;;;;;
2024-01-05;-0,048;-0,063;-0,066;-0,062;-0,044;0,019;-0,037;-0,031;-0,028;-0,028;-0,055;-0,031;-0,046;-0,029;-0,032;-0,039;-0,079;
2024-01-08;-0,047;-0,060;-0,064;-0,060;-0,042;0,020;-0,041;-0,026;-0,028;-0,025;-0,047;-0,029;-0,047;-0,029;-0,031;-0,033;-0,070;
2024-01-09;-0,046;-0,059;-0,062;-0,058;-0,050;0,018;-0,039;-0,028;;;;;-0,048;-0,029;-0,031;-0,031;-0,066;
2024-01-10;-0,045;-0,058;-0,061;-0,057;-0,051;0,018;-0,042;-0,030;-0,028;-0,026;-0,046;-0,029;-0,053;-0,028;-0,031;-0,031;-0,066;
2024-01-11;-0,042;-0,054;-0,057;-0,053;-0,052;0,019;-0,041;-0,035;-0,028;-0,026;-0,045;-0,029;-0,046;-0,028;-0,030;-0,029;-0,060;
2024-01-12;-0,042;-0,054;-0,058;-0,053;-0,048;0,021;-0,041;-0,029;-0,027;-0,024;-0,044;-0,028;-0,047;-0,028;-0,029;-0,029;-0,060;
2024-01-15;;;;;-0,047;0,021;-0,038;-0,029;-0,027;-0,023;;-0,028;-0,047;-0,028;-0,029;;;
2024-01-16;-0,041;-0,052;-0,055;-0,051;-0,051;0,014;-0,032;-0,029;-0,028;-0,021;-0,039;-0,028;-0,051;-0,028;-0,029;-0,024;-0,055;
2024-01-17;-0,043;-0,055;-0,058;-0,054;-0,056;0,011;-0,028;-0,035;-0,028;-0,020;-0,040;-0,030;-0,059;-0,028;-0,030;-0,025;-0,056;
2024-01-18;-0,042;-0,053;-0,056;-0,052;-0,052;0,011;-0,030;-0,036;-0,028;-0,019;-0,036;-0,028;-0,057;-0,028;-0,031;-0,022;-0,052;
2024-01-19;-0,040;-0,049;-0,052;-0,048;-0,045;0,012;-0,029;-0,034;-0,028;-0,017;-0,031;-0,027;-0,052;-0,027;-0,031;-0,019;-0,045;
2024-01-22;-0,038;-0,046;-0,049;-0,046;-0,052;0,011;-0,031;;-0,028;-0,017;-0,032;-0,026;-0,057;-0,027;-0,030;-0,018;-0,045;
2024-01-23;-0,037;-0,045;-0,047;-0,044;-0,047;0,011;-0,031;-0,034;-0,028;-0,018;-0,029;-0,025;-0,050;-0,027;-0,030;-0,016;-0,043;
2024-01-24;-0,036;-0,043;-0,046;-0,042;-0,044;0,012;-0,035;-0,037;-0,028;-0,019;-0,030;-0,024;-0,049;-0,027;-0,030;-0,018;-0,044;
2024-01-25;-0,035;-0,042;-0,044;-0,041;;;-0,034;-0,034;;;;;-0,045;-0,027;-0,030;-0,015;-0,042;
2024-01-26;;;;;-0,041;0,012;;;-0,027;-0,019;-0,027;-0,022;;;;;;
2024-01-29;-0,034;-0,040;-0,042;-0,039;-0,041;0,012;-0,043;-0,031;-0,026;-0,017;-0,021;-0,021;-0,044;-0,026;-0,029;-0,011;-0,039;
2024-01-30;-0,034;-0,040;-0,042;-0,039;-0,046;0,014;-0,046;;-0,026;-0,020;-0,025;-0,022;-0,048;-0,026;-0,029;-0,013;-0,042;
2024-01-31;-0,036;-0,044;-0,047;-0,043;-0,048;0,015;-0,053;-0,033;-0,025;-0,020;-0,031;-0,024;-0,056;-0,026;-0,027;-0,021;-0,052;
