
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;storebrand emerging markets plus a;storebrand europa a;storebrand frn företagsobligation a;storebrand global all countries a;storebrand global företagsobligation a;storebrand global indeks a4;storebrand global low volatility a;storebrand global multifactor a;storebrand global plus a;storebrand global solutions a;storebrand grön obligation a;storebrand japan a;storebrand kortränta a;storebrand obligation a;storebrand sverige a;storebrand sverige plus a;storebrand usa a;
2023-05-22;-0,048;-0,073;-0,049;-0,056;-0,036;;-0,054;-0,052;-0,046;-0,018;-0,046;-0,042;-0,033;-0,037;-0,061;-0,058;-0,087;
2023-05-23;-0,047;-0,074;-0,049;-0,058;-0,036;;-0,054;-0,053;-0,048;-0,022;-0,047;-0,043;-0,033;-0,038;-0,063;-0,060;-0,090;
2023-05-24;-0,045;-0,078;-0,049;-0,058;-0,036;;-0,054;-0,054;-0,049;-0,020;-0,047;-0,042;-0,032;-0,037;-0,072;-0,070;-0,090;
2023-05-25;-0,045;-0,076;-0,049;-0,053;-0,037;;-0,053;-0,050;-0,043;-0,014;-0,048;-0,042;-0,032;-0,039;-0,073;-0,071;-0,081;
2023-05-26;;;;-0,049;-0,038;;-0,053;-0,048;-0,039;-0,011;;;;;;;-0,077;
2023-05-29;-0,040;-0,072;-0,049;;;;;;;;-0,047;-0,040;-0,032;-0,039;-0,068;-0,067;;
2023-05-30;-0,039;-0,073;-0,049;-0,047;-0,035;;-0,052;-0,047;-0,037;-0,009;-0,047;-0,037;-0,032;-0,038;-0,070;-0,067;-0,074;
2023-05-31;-0,041;-0,079;-0,049;-0,050;-0,034;;-0,053;-0,051;-0,040;-0,012;-0,046;-0,041;-0,032;-0,036;-0,073;-0,071;-0,076;
2023-06-01;-0,042;-0,074;-0,049;-0,047;-0,033;;-0,053;-0,047;-0,037;-0,009;-0,046;-0,036;-0,032;-0,036;-0,070;-0,068;-0,073;
2023-06-02;-0,035;-0,072;-0,049;-0,044;-0,034;;-0,051;-0,043;-0,034;-0,007;-0,046;-0,035;-0,032;-0,037;-0,061;-0,059;-0,070;
2023-06-05;-0,031;-0,070;-0,049;-0,040;-0,035;;-0,046;-0,040;-0,030;-0,003;-0,047;-0,022;-0,032;-0,038;-0,061;-0,059;-0,067;
2023-06-07;-0,026;-0,069;-0,049;-0,040;-0,036;;-0,048;-0,036;-0,031;-0,003;-0,047;-0,027;-0,032;-0,038;-0,058;-0,056;-0,068;
2023-06-08;-0,030;-0,069;-0,049;-0,041;-0,035;;-0,048;-0,038;-0,032;-0,005;-0,047;-0,030;-0,032;-0,038;-0,059;-0,058;-0,068;
2023-06-09;-0,025;-0,070;-0,049;-0,039;-0,035;;-0,047;-0,037;-0,031;-0,006;-0,046;-0,024;-0,032;-0,038;-0,060;-0,058;-0,067;
2023-06-12;-0,025;-0,070;-0,049;-0,037;-0,035;;-0,048;-0,036;-0,028;-0,002;-0,046;-0,023;-0,032;-0,037;-0,060;-0,058;-0,064;
2023-06-13;-0,025;-0,070;-0,049;-0,038;-0,036;;-0,050;-0,036;-0,029;-0,001;-0,046;-0,023;-0,032;-0,037;-0,056;-0,055;-0,065;
2023-06-14;-0,027;-0,068;-0,049;-0,037;-0,036;;-0,051;-0,037;-0,029;-0,001;-0,047;-0,017;-0,032;-0,039;-0,057;-0,055;-0,066;
2023-06-15;-0,024;-0,068;-0,049;-0,035;-0,036;;-0,048;-0,036;-0,027;0,002;-0,048;-0,022;-0,032;-0,040;-0,058;-0,056;-0,062;
2023-06-16;-0,021;-0,065;-0,049;-0,035;-0,036;;-0,047;-0,036;-0,027;0,001;-0,048;-0,024;-0,032;-0,040;-0,057;-0,056;-0,063;
2023-06-19;-0,020;-0,065;-0,049;;;;;;;;-0,048;-0,024;-0,031;-0,041;-0,064;-0,063;;
2023-06-20;-0,021;-0,065;-0,049;-0,031;-0,035;;-0,042;-0,032;-0,023;0,001;-0,048;-0,021;-0,031;-0,040;-0,067;-0,066;-0,058;
2023-06-21;-0,029;-0,070;-0,049;-0,038;-0,035;;-0,047;-0,038;-0,030;-0,007;-0,048;-0,026;-0,031;-0,041;-0,071;-0,070;-0,065;
2023-06-22;-0,031;-0,072;-0,049;-0,039;-0,037;;-0,048;-0,038;-0,030;-0,008;-0,049;-0,029;-0,031;-0,042;-0,075;-0,073;-0,064;
2023-06-26;-0,035;-0,075;-0,049;-0,043;-0,035;;-0,049;-0,042;-0,035;-0,013;-0,048;-0,037;-0,031;-0,040;-0,075;-0,075;-0,069;
2023-06-27;;;;;;;;;;;;;;;;;;
2023-06-28;-0,029;-0,067;-0,049;-0,035;-0,035;;-0,044;-0,032;-0,026;-0,004;-0,048;-0,028;-0,031;-0,040;-0,070;-0,069;-0,060;
2023-06-29;-0,029;-0,066;-0,049;-0,032;-0,036;;-0,041;-0,028;-0,023;-0,002;-0,049;-0,026;-0,031;-0,041;-0,067;-0,066;-0,056;
2023-06-30;-0,029;-0,062;-0,049;-0,030;-0,036;;-0,040;-0,026;-0,020;0,001;-0,049;-0,029;-0,031;-0,041;-0,063;-0,062;-0,053;
2023-07-03;-0,020;-0,062;-0,049;-0,027;-0,036;;-0,038;-0,023;-0,018;0,004;-0,049;-0,020;-0,031;-0,041;-0,066;-0,064;-0,051;
2023-07-04;-0,020;-0,064;-0,049;;;;;;;;-0,049;-0,025;-0,031;-0,041;-0,064;-0,062;;
2023-07-05;;;;;;;;;;;;;;;;;;
2023-07-06;-0,024;-0,071;-0,048;-0,029;-0,039;;-0,039;-0,026;-0,021;-0,001;-0,050;-0,023;-0,031;-0,043;-0,076;-0,074;-0,051;
2023-07-07;-0,031;-0,073;-0,048;-0,035;-0,038;;-0,046;-0,029;-0,026;-0,005;-0,049;-0,027;-0,031;-0,042;-0,073;-0,071;-0,057;
2023-07-10;-0,031;-0,072;-0,048;-0,034;-0,037;;-0,045;-0,027;-0,025;-0,002;-0,050;-0,029;-0,031;-0,043;-0,075;-0,073;-0,056;
2023-07-11;-0,031;-0,075;-0,048;-0,037;-0,037;;-0,048;-0,029;-0,028;-0,003;-0,050;-0,033;-0,030;-0,044;-0,073;-0,071;-0,059;
2023-07-12;-0,038;-0,075;-0,048;-0,044;-0,035;;-0,059;-0,037;-0,035;-0,010;-0,049;-0,041;-0,030;-0,042;-0,069;-0,067;-0,068;
2023-07-13;-0,039;-0,078;-0,047;-0,047;-0,033;;-0,065;-0,042;-0,038;-0,013;-0,048;-0,043;-0,030;-0,039;-0,071;-0,069;-0,072;
2023-07-14;-0,034;-0,075;-0,047;-0,046;-0,034;;-0,063;-0,042;-0,037;-0,013;-0,048;-0,043;-0,030;-0,040;-0,074;-0,071;-0,071;
2023-07-17;-0,032;-0,076;-0,047;-0,043;-0,034;;-0,062;-0,039;-0,035;-0,009;-0,048;;-0,030;-0,040;-0,075;-0,073;-0,067;
2023-07-18;-0,036;-0,076;-0,047;-0,043;-0,032;;-0,062;-0,039;-0,034;-0,011;-0,046;-0,042;-0,030;-0,037;-0,071;-0,068;-0,067;
2023-07-19;-0,035;-0,074;-0,047;-0,040;-0,032;;-0,057;-0,035;-0,030;-0,008;-0,046;-0,037;-0,030;-0,036;-0,073;-0,069;-0,063;
2023-07-20;-0,033;-0,072;-0,047;-0,039;-0,034;;-0,053;-0,035;-0,031;-0,011;-0,046;-0,041;-0,030;-0,038;-0,074;-0,070;-0,063;
2023-07-21;-0,030;-0,068;-0,047;-0,036;-0,033;;-0,049;-0,033;-0,027;-0,007;-0,046;-0,042;-0,030;-0,038;-0,073;-0,068;-0,059;
2023-07-24;-0,031;-0,070;-0,046;-0,036;-0,033;;-0,050;-0,032;-0,027;-0,006;-0,045;-0,037;-0,030;-0,036;-0,070;-0,065;-0,059;
2023-07-25;-0,025;-0,069;-0,046;-0,035;-0,033;;-0,050;-0,032;-0,026;-0,005;-0,046;-0,037;-0,030;-0,037;-0,066;-0,061;-0,058;
2023-07-26;-0,021;-0,067;-0,046;-0,032;-0,033;;-0,048;-0,030;-0,024;-0,002;-0,046;-0,032;-0,030;-0,038;-0,070;-0,064;-0,055;
2023-07-27;-0,019;-0,062;-0,046;-0,031;-0,033;;-0,047;-0,029;-0,024;-0,003;-0,045;-0,031;-0,030;-0,037;-0,067;-0,062;-0,057;
2023-07-28;-0,014;-0,061;-0,046;-0,028;-0,033;;-0,047;-0,027;-0,021;-0,001;-0,045;-0,028;-0,030;-0,037;-0,067;-0,062;-0,052;
2023-07-31;-0,014;-0,061;-0,046;-0,026;-0,032;;-0,047;-0,025;-0,020;0,000;-0,045;-0,028;-0,029;-0,038;-0,067;-0,062;-0,051;
2023-08-01;-0,013;-0,063;-0,046;-0,025;-0,033;;-0,045;-0,024;-0,018;0,002;-0,045;-0,025;-0,029;-0,038;-0,069;-0,065;-0,048;
2023-08-02;-0,017;-0,065;-0,046;-0,026;-0,034;;-0,042;-0,022;-0,019;-0,004;-0,045;-0,026;-0,029;-0,038;-0,073;-0,069;-0,048;
2023-08-03;;;;;;;;;;;;;;;;;;
2023-08-04;-0,024;-0,071;-0,045;-0,036;-0,033;;-0,054;-0,031;-0,030;-0,013;-0,046;-0,035;-0,029;-0,040;-0,075;-0,070;-0,061;
2023-08-07;-0,023;-0,069;-0,045;-0,032;-0,033;;-0,050;-0,026;-0,026;-0,012;-0,046;-0,033;-0,029;-0,041;-0,076;-0,071;-0,055;
2023-08-08;-0,023;-0,067;-0,045;-0,030;-0,032;;-0,047;-0,023;-0,023;-0,011;-0,046;-0,029;-0,029;-0,039;-0,078;-0,074;-0,052;
2023-08-09;-0,023;-0,066;-0,045;-0,033;-0,032;;-0,048;-0,026;-0,027;-0,012;-0,046;-0,036;-0,029;-0,039;-0,076;-0,072;-0,058;
2023-08-10;-0,026;-0,064;-0,045;-0,035;-0,033;;-0,049;-0,028;-0,029;-0,014;-0,046;-0,037;-0,029;-0,040;-0,072;-0,068;-0,061;
2023-08-11;-0,023;-0,063;-0,045;-0,029;-0,035;;-0,041;-0,021;-0,023;-0,008;-0,046;;-0,029;-0,041;-0,076;-0,072;-0,054;
2023-08-14;-0,027;-0,064;-0,044;-0,029;-0,035;;-0,042;-0,021;-0,021;-0,008;-0,046;-0,036;-0,029;-0,042;-0,076;-0,073;-0,050;
2023-08-15;-0,030;-0,067;-0,044;-0,033;-0,036;;-0,045;-0,026;-0,026;-0,013;-0,047;-0,034;-0,029;-0,043;-0,081;-0,078;-0,055;
2023-08-16;-0,030;-0,066;-0,044;-0,033;-0,036;;-0,044;-0,027;-0,026;-0,016;-0,046;-0,039;-0,029;-0,042;-0,081;-0,078;-0,056;
2023-08-17;-0,031;-0,069;-0,044;-0,036;-0,037;;-0,046;-0,030;-0,030;-0,022;-0,047;-0,040;-0,029;-0,043;-0,087;-0,084;-0,058;
2023-08-18;-0,032;-0,069;-0,044;-0,033;-0,036;;-0,042;-0,026;-0,027;-0,020;-0,047;-0,037;-0,029;-0,042;-0,089;-0,087;-0,055;
2023-08-21;-0,034;-0,070;-0,044;-0,033;-0,037;;-0,044;-0,027;-0,026;-0,018;-0,047;-0,041;-0,028;-0,044;-0,092;-0,090;-0,053;
2023-08-22;-0,032;-0,069;-0,044;-0,034;-0,037;;-0,045;-0,028;-0,028;-0,019;-0,047;-0,036;-0,028;-0,044;-0,088;-0,087;-0,055;
2023-08-23;-0,030;-0,067;-0,044;-0,029;-0,035;;-0,043;-0,024;-0,023;-0,014;-0,046;-0,030;-0,028;-0,041;-0,088;-0,086;-0,050;
2023-08-24;-0,023;-0,067;-0,043;-0,031;-0,035;;-0,043;-0,026;-0,026;-0,017;-0,046;-0,029;-0,028;-0,041;-0,090;-0,089;-0,054;
2023-08-25;-0,024;-0,066;-0,043;-0,027;-0,035;;-0,038;-0,022;-0,021;-0,011;-0,046;-0,032;-0,028;-0,042;-0,090;-0,088;-0,047;
2023-08-28;;;;;;;;;;;;;;;;;;
2023-08-29;-0,021;-0,061;-0,043;-0,022;-0,034;;-0,038;-0,018;-0,016;-0,005;-0,045;-0,029;-0,028;-0,041;-0,081;-0,080;-0,043;
2023-08-30;-0,026;-0,063;-0,043;-0,026;-0,034;;-0,043;-0,022;-0,020;-0,009;-0,045;-0,031;-0,028;-0,041;-0,082;-0,081;-0,047;
2023-08-31;-0,025;-0,061;-0,042;-0,022;-0,032;;-0,041;-0,018;-0,015;-0,001;-0,044;-0,022;-0,028;-0,039;-0,080;-0,079;-0,042;
2023-09-01;-0,020;-0,061;-0,042;-0,018;-0,033;;-0,038;-0,013;-0,012;0,002;-0,044;-0,017;-0,028;-0,039;-0,081;-0,080;-0,038;
2023-09-04;-0,017;-0,062;-0,042;;;;;;;;-0,044;-0,014;-0,028;-0,040;-0,079;-0,078;;
2023-09-05;;;;;;;;;;;;;;;;;;
2023-09-06;-0,018;-0,064;-0,041;-0,019;-0,036;;-0,038;-0,014;-0,013;0,002;-0,044;-0,010;-0,028;-0,041;-0,077;-0,077;-0,039;
2023-09-07;-0,022;-0,064;-0,041;-0,020;-0,035;;-0,036;-0,015;-0,015;-0,001;-0,044;-0,010;-0,027;-0,041;-0,082;-0,082;-0,041;
2023-09-08;-0,024;-0,064;-0,041;-0,022;-0,034;;-0,037;-0,017;-0,016;-0,004;-0,044;-0,018;-0,027;-0,041;-0,084;-0,084;-0,042;
2023-09-11;-0,023;-0,063;-0,041;-0,020;-0,035;;-0,036;-0,015;-0,015;-0,004;-0,044;-0,015;-0,027;-0,041;-0,082;-0,082;-0,041;
2023-09-12;-0,021;-0,062;-0,040;-0,020;-0,035;;-0,035;-0,014;-0,016;-0,004;-0,044;-0,011;-0,027;-0,041;-0,085;-0,085;-0,042;
2023-09-13;-0,022;-0,062;-0,040;-0,020;-0,035;;-0,035;-0,016;-0,016;-0,006;-0,044;-0,013;-0,027;-0,041;-0,088;-0,087;-0,042;
2023-09-14;-0,017;-0,058;-0,040;-0,015;-0,034;;-0,030;-0,010;-0,011;-0,001;-0,043;-0,005;-0,027;-0,040;-0,082;-0,081;-0,037;
2023-09-15;-0,015;-0,056;-0,040;-0,017;-0,035;;-0,031;-0,012;-0,013;-0,003;-0,043;-0,002;-0,027;-0,041;-0,080;-0,080;-0,041;
2023-09-18;-0,018;-0,060;-0,040;-0,017;-0,035;;-0,030;-0,012;-0,013;-0,005;-0,044;;-0,027;-0,041;-0,083;-0,083;-0,040;
2023-09-19;-0,021;-0,062;-0,040;-0,020;-0,036;;-0,033;-0,013;-0,016;-0,008;-0,044;-0,004;-0,027;-0,042;-0,085;-0,085;-0,043;
2023-09-20;-0,026;-0,059;-0,039;-0,025;-0,035;;-0,034;-0,016;-0,020;-0,011;-0,043;-0,011;-0,027;-0,041;-0,079;-0,079;-0,050;
2023-09-21;-0,027;-0,062;-0,039;-0,027;-0,037;;-0,034;-0,016;-0,022;-0,015;-0,044;-0,009;-0,027;-0,042;-0,084;-0,083;-0,052;
2023-09-22;-0,027;-0,067;-0,039;-0,030;-0,036;;-0,038;-0,020;-0,026;-0,020;-0,044;-0,016;-0,027;-0,042;-0,087;-0,086;-0,056;
2023-09-25;-0,032;-0,075;-0,039;-0,033;-0,037;;-0,041;-0,023;-0,029;-0,025;-0,044;-0,019;-0,026;-0,042;-0,088;-0,088;-0,056;
2023-09-26;;;;;;;;;;;;;;;;;;
2023-09-27;-0,038;-0,083;-0,039;-0,040;-0,038;;-0,049;-0,030;-0,037;-0,032;-0,043;-0,023;-0,026;-0,041;-0,094;-0,094;-0,064;
2023-09-28;-0,042;-0,081;-0,039;-0,040;-0,039;;-0,049;-0,029;-0,036;-0,031;-0,045;-0,029;-0,026;-0,044;-0,092;-0,093;-0,063;
2023-09-29;-0,042;-0,082;-0,039;-0,043;-0,038;;-0,054;-0,033;-0,040;-0,032;-0,043;-0,035;-0,026;-0,041;-0,088;-0,088;-0,068;
2023-10-02;;-0,083;-0,039;-0,039;-0,039;;-0,051;-0,031;-0,036;-0,032;-0,043;-0,031;-0,026;-0,042;-0,090;-0,091;-0,061;
2023-10-03;-0,039;-0,086;-0,039;-0,043;-0,040;;-0,052;-0,035;-0,040;-0,039;-0,043;-0,033;-0,026;-0,043;-0,095;-0,097;-0,065;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;;;;;;;;;;;;;;;;;;
2023-10-10;-0,043;-0,078;-0,038;-0,039;-0,037;;-0,049;-0,031;-0,035;-0,030;-0,042;-0,034;-0,026;-0,040;-0,082;-0,083;-0,059;
2023-10-11;-0,038;-0,076;-0,038;-0,037;-0,037;;-0,049;-0,030;-0,033;-0,026;-0,041;-0,036;-0,026;-0,039;-0,081;-0,083;-0,058;
2023-10-12;;;;;;;;;;;;;;;;;;
2023-10-13;-0,035;-0,079;-0,038;-0,037;-0,037;;-0,045;-0,032;-0,034;-0,028;-0,041;-0,030;-0,026;-0,039;-0,084;-0,086;-0,058;
2023-10-16;-0,041;-0,081;-0,038;-0,038;-0,038;;-0,047;-0,033;-0,035;-0,030;-0,042;-0,041;-0,026;-0,040;-0,084;-0,086;-0,058;
2023-10-17;-0,039;-0,081;-0,038;-0,038;-0,040;;-0,046;-0,032;-0,035;-0,028;-0,042;-0,038;-0,026;-0,041;-0,088;-0,091;-0,058;
2023-10-18;-0,039;-0,083;-0,038;-0,039;-0,041;;-0,045;-0,033;-0,036;-0,031;-0,042;-0,034;-0,025;-0,041;-0,095;-0,097;-0,060;
2023-10-19;-0,046;-0,089;-0,038;-0,046;-0,042;;-0,051;-0,040;-0,042;-0,039;-0,043;-0,042;-0,025;-0,042;-0,099;-0,101;-0,065;
2023-10-20;-0,048;-0,095;-0,037;-0,050;-0,041;;-0,054;-0,044;-0,047;-0,050;-0,042;-0,044;-0,025;-0,042;-0,108;-0,109;-0,070;
2023-10-23;-0,049;-0,092;-0,037;-0,049;-0,040;;-0,054;-0,044;-0,046;-0,050;-0,042;-0,045;-0,025;-0,042;-0,110;-0,112;-0,070;
2023-10-24;-0,044;-0,089;-0,037;-0,044;-0,039;;-0,048;-0,041;-0,041;-0,043;-0,042;-0,042;-0,025;-0,041;-0,108;-0,109;-0,063;
2023-10-25;-0,045;-0,089;-0,037;-0,048;-0,040;;-0,048;-0,044;-0,045;-0,051;-0,042;-0,040;-0,025;-0,041;-0,109;-0,111;-0,069;
2023-10-26;;;;;;;;;;;;;;;;;;
2023-10-27;-0,045;-0,094;-0,037;-0,053;-0,039;;-0,054;-0,047;-0,050;-0,053;-0,041;-0,039;-0,025;-0,040;-0,111;-0,112;-0,076;
2023-10-30;;;;;;;;;;;;;;;;;;
2023-10-31;-0,047;-0,089;-0,037;-0,046;-0,039;;-0,047;-0,041;-0,042;-0,045;-0,040;-0,043;-0,025;-0,039;-0,104;-0,105;-0,066;
2023-11-01;-0,045;-0,085;-0,037;-0,040;-0,037;;-0,043;-0,036;-0,036;-0,043;-0,040;-0,028;-0,025;-0,038;-0,105;-0,105;-0,060;
2023-11-02;-0,041;-0,079;-0,036;-0,036;-0,035;;-0,042;-0,032;-0,031;-0,036;-0,039;-0,028;-0,025;-0,037;-0,095;-0,095;-0,055;
2023-11-03;;;;;;;;;;;;;;;;;;
2023-11-06;-0,033;-0,083;-0,036;-0,038;-0,035;;-0,048;-0,035;-0,034;-0,037;-0,038;-0,028;-0,024;-0,036;-0,092;-0,092;-0,060;
2023-11-07;-0,035;-0,084;-0,036;-0,037;-0,034;;-0,048;-0,036;-0,033;-0,037;-0,038;-0,034;-0,024;-0,035;-0,094;-0,093;-0,056;
2023-11-08;-0,038;-0,083;-0,036;-0,038;-0,033;;-0,050;-0,039;-0,034;-0,040;-0,038;-0,040;-0,024;-0,036;-0,094;-0,093;-0,057;
2023-11-09;-0,040;-0,080;-0,036;-0,041;-0,034;;-0,053;-0,042;-0,037;-0,044;-0,038;-0,037;-0,024;-0,036;-0,087;-0,086;-0,062;
2023-11-10;-0,041;-0,083;-0,036;-0,035;-0,035;;-0,047;-0,036;-0,031;-0,039;-0,039;-0,036;-0,024;-0,037;-0,092;-0,091;-0,052;
2023-11-13;-0,043;-0,082;-0,035;-0,038;-0,034;;-0,049;-0,038;-0,033;-0,041;-0,039;-0,039;-0,024;-0,037;-0,092;-0,091;-0,056;
2023-11-14;-0,048;-0,079;-0,035;-0,038;-0,031;;-0,053;-0,037;-0,032;-0,033;-0,037;-0,043;-0,024;-0,034;-0,078;-0,077;-0,056;
2023-11-15;-0,042;-0,081;-0,035;-0,040;-0,032;;-0,058;-0,041;-0,035;-0,034;-0,037;-0,043;-0,024;-0,034;-0,075;-0,074;-0,059;
2023-11-16;;;;;;;;;;;;;;;;;;
2023-11-17;-0,044;-0,077;-0,035;-0,038;-0,031;;-0,057;-0,040;-0,032;-0,035;-0,036;-0,034;-0,024;-0,032;-0,074;-0,073;-0,057;
2023-11-20;-0,044;-0,078;-0,035;-0,038;-0,031;;-0,059;-0,041;-0,032;-0,033;-0,036;-0,037;-0,024;-0,032;-0,072;-0,071;-0,057;
2023-11-21;-0,044;-0,080;-0,035;-0,040;-0,030;;-0,060;-0,044;-0,035;-0,037;-0,036;-0,038;-0,024;-0,032;-0,074;-0,073;-0,060;
2023-11-22;-0,042;-0,076;-0,035;-0,035;-0,030;;-0,055;-0,038;-0,030;-0,032;-0,036;-0,037;-0,024;-0,032;-0,071;-0,070;-0,053;
2023-11-23;-0,041;-0,075;-0,034;;;;;;;;-0,036;;-0,023;-0,033;-0,069;-0,068;;
2023-11-24;-0,047;-0,074;-0,034;-0,037;-0,031;;-0,056;-0,040;-0,032;-0,035;-0,036;-0,037;-0,023;-0,033;-0,069;-0,067;-0,056;
2023-11-27;-0,047;-0,075;-0,034;-0,038;-0,029;;-0,056;-0,040;-0,032;-0,036;-0,035;-0,037;-0,023;-0,031;-0,069;-0,067;-0,057;
2023-11-28;-0,047;-0,078;-0,034;-0,041;-0,028;;-0,060;-0,042;-0,035;-0,038;-0,034;-0,039;-0,023;-0,031;-0,071;-0,070;-0,060;
2023-11-29;-0,048;-0,076;-0,034;-0,041;-0,026;;-0,061;-0,043;-0,034;-0,033;-0,033;-0,040;-0,023;-0,028;-0,067;-0,066;-0,060;
2023-11-30;;;;;;;;;;;;;;;;;;
2023-12-01;-0,045;-0,072;-0,034;-0,033;-0,024;;-0,052;-0,032;-0,026;-0,022;-0,032;-0,034;-0,023;-0,027;-0,064;-0,063;-0,052;
2023-12-04;-0,045;-0,071;-0,034;-0,034;-0,025;;-0,051;-0,031;-0,027;-0,024;-0,031;-0,036;-0,023;-0,025;-0,064;-0,063;-0,053;
2023-12-05;-0,048;-0,070;-0,034;-0,035;-0,023;;-0,052;-0,034;-0,027;-0,024;-0,030;-0,039;-0,023;-0,024;-0,060;-0,059;-0,053;
2023-12-06;-0,048;-0,069;-0,033;-0,036;-0,023;;-0,053;-0,034;-0,028;-0,025;-0,030;-0,033;-0,023;-0,024;-0,055;-0,054;-0,056;
2023-12-07;-0,052;-0,072;-0,033;-0,035;-0,022;;-0,054;-0,033;-0,027;-0,025;-0,030;-0,030;-0,023;-0,023;-0,056;-0,054;-0,053;
2023-12-08;-0,047;-0,067;-0,033;-0,032;-0,024;;-0,051;-0,030;-0,024;-0,024;-0,030;-0,036;-0,023;-0,024;-0,053;-0,052;-0,050;
2023-12-11;-0,046;-0,064;-0,033;-0,028;-0,024;;-0,046;-0,025;-0,020;-0,020;-0,030;-0,034;-0,022;-0,024;-0,048;-0,048;-0,045;
2023-12-12;;;;;;;;;;;;;;;;;;
2023-12-13;-0,049;-0,066;-0,033;-0,025;-0,021;;-0,045;-0,021;-0,017;-0,016;-0,029;-0,032;-0,022;-0,022;-0,052;-0,052;-0,040;
2023-12-14;-0,050;-0,065;-0,032;-0,031;-0,019;;-0,055;-0,024;-0,022;-0,012;-0,027;-0,038;-0,022;-0,020;-0,041;-0,039;-0,048;
2023-12-15;-0,045;-0,065;-0,032;-0,028;-0,018;;-0,056;-0,025;-0,020;-0,007;-0,027;-0,033;-0,022;-0,018;-0,037;-0,036;-0,046;
2023-12-18;-0,050;-0,069;-0,032;-0,030;-0,019;;-0,057;-0,028;-0,022;-0,012;-0,026;-0,042;-0,022;-0,018;-0,040;-0,038;-0,047;
2023-12-19;-0,052;-0,067;-0,031;-0,030;-0,018;;-0,057;-0,027;-0,021;-0,010;-0,026;-0,043;-0,022;-0,017;-0,037;-0,035;-0,046;
2023-12-20;-0,053;-0,067;-0,031;-0,034;-0,017;;-0,061;-0,031;-0,026;-0,015;-0,025;-0,040;-0,022;-0,016;-0,037;-0,035;-0,053;
2023-12-21;-0,054;-0,068;-0,031;-0,032;-0,017;;-0,060;-0,029;-0,024;-0,011;-0,026;-0,041;-0,022;-0,016;-0,040;-0,038;-0,050;
2023-12-22;-0,058;-0,071;-0,031;-0,035;-0,017;;-0,062;-0,031;-0,027;-0,013;-0,026;-0,044;-0,022;-0,016;-0,038;-0,036;-0,053;
2023-12-27;-0,055;-0,071;-0,031;-0,036;-0,015;;-0,065;-0,032;-0,028;-0,013;-0,025;-0,043;-0,021;-0,016;-0,036;-0,034;-0,055;
2023-12-28;-0,047;-0,069;-0,031;-0,033;-0,016;;-0,062;-0,031;-0,026;-0,010;-0,025;-0,038;-0,021;-0,016;-0,036;-0,034;-0,053;
2023-12-29;-0,042;-0,065;-0,031;-0,029;-0,016;;-0,056;-0,026;-0,021;-0,007;-0,025;-0,032;-0,021;-0,016;-0,035;-0,033;-0,049;
2024-01-02;-0,041;-0,065;-0,031;-0,027;-0,018;;-0,050;-0,023;-0,020;-0,008;-0,025;;-0,021;-0,017;-0,036;-0,034;-0,047;
2024-01-03;-0,042;-0,066;-0,030;-0,027;-0,018;;-0,047;-0,024;-0,020;-0,014;-0,025;;-0,021;-0,016;-0,044;-0,043;-0,046;
2024-01-04;;;;;;;;;;;;;;;;;;
2024-01-05;-0,048;-0,065;-0,030;-0,030;-0,020;;-0,050;-0,027;-0,024;-0,020;-0,026;-0,032;-0,021;-0,019;-0,047;-0,046;-0,051;
2024-01-08;-0,049;-0,062;-0,030;-0,025;-0,019;;-0,046;-0,022;-0,018;-0,016;-0,026;;-0,021;-0,019;-0,043;-0,042;-0,043;
2024-01-09;-0,048;-0,063;-0,030;-0,024;-0,020;;-0,044;-0,021;-0,017;-0,014;-0,026;-0,026;-0,021;-0,020;-0,046;-0,044;-0,042;
2024-01-10;-0,052;-0,064;-0,029;-0,025;-0,020;;-0,046;-0,022;-0,017;-0,014;-0,027;-0,026;-0,021;-0,020;-0,046;-0,044;-0,041;
2024-01-11;-0,047;-0,065;-0,029;-0,022;-0,019;;-0,043;-0,019;-0,014;-0,012;-0,026;-0,017;-0,021;-0,020;-0,048;-0,047;-0,038;
2024-01-12;-0,047;-0,062;-0,029;-0,022;-0,017;;-0,042;-0,020;-0,014;-0,011;-0,026;-0,012;-0,021;-0,018;-0,043;-0,041;-0,039;
2024-01-15;-0,045;-0,063;-0,029;;;;;;;;-0,026;-0,008;-0,021;-0,019;-0,048;-0,046;;
2024-01-16;-0,047;-0,062;-0,028;-0,018;-0,019;;-0,037;-0,016;-0,010;-0,011;-0,025;-0,010;-0,020;-0,018;-0,051;-0,049;-0,033;
2024-01-17;-0,054;-0,064;-0,028;-0,019;-0,021;;-0,035;-0,016;-0,011;-0,015;-0,027;-0,013;-0,020;-0,020;-0,056;-0,055;-0,032;
2024-01-18;-0,053;-0,062;-0,028;-0,016;-0,020;;-0,034;-0,013;-0,008;-0,013;-0,027;-0,013;-0,020;-0,021;-0,054;-0,053;-0,029;
2024-01-19;-0,048;-0,062;-0,028;-0,011;-0,021;;-0,032;-0,011;-0,004;-0,011;-0,027;-0,009;-0,020;-0,021;-0,057;-0,056;-0,023;
2024-01-22;-0,053;-0,059;-0,028;-0,011;-0,020;;-0,032;-0,009;-0,002;-0,008;-0,027;-0,003;-0,020;-0,020;-0,052;-0,051;-0,023;
