
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;storebrand emerging markets plus a;storebrand europa a;storebrand frn företagsobligation a;storebrand global all countries a;storebrand global företagsobligation a;storebrand global indeks a4;storebrand global low volatility a;storebrand global multifactor a;storebrand global plus a;storebrand global solutions a;storebrand grön obligation a;storebrand japan a;storebrand kortränta a;storebrand obligation a;storebrand sverige a;storebrand sverige plus a;storebrand usa a;
2022-11-17;-0,073;-0,140;-0,065;-0,087;-0,044;;-0,059;-0,069;-0,078;-0,047;-0,054;-0,091;-0,039;-0,036;-0,105;-0,097;-0,111;
2022-11-18;;;;;;;;;;;;;;;;;;
2022-11-21;-0,075;-0,135;-0,064;-0,084;-0,043;;-0,051;-0,063;-0,075;-0,045;-0,054;-0,092;-0,039;-0,034;-0,100;-0,092;-0,108;
2022-11-22;-0,078;-0,134;-0,064;-0,081;-0,042;;-0,049;-0,059;-0,071;-0,043;-0,054;-0,088;-0,039;-0,035;-0,098;-0,090;-0,104;
2022-11-23;-0,084;-0,135;-0,064;-0,086;-0,041;;-0,056;-0,066;-0,076;-0,047;-0,054;;-0,039;-0,034;-0,094;-0,086;-0,110;
2022-11-24;-0,080;-0,135;-0,064;;;;;;;;-0,053;-0,085;-0,039;-0,032;-0,094;-0,085;;
2022-11-25;-0,081;-0,134;-0,064;-0,087;-0,041;;-0,056;-0,064;-0,076;-0,047;-0,054;-0,088;-0,039;-0,034;-0,093;-0,084;-0,112;
2022-11-28;-0,083;-0,135;-0,064;-0,090;-0,042;;-0,057;-0,067;-0,080;-0,051;-0,054;-0,086;-0,039;-0,035;-0,098;-0,089;-0,116;
2022-11-29;;;;;;;;;;;;;;;;;;
2022-11-30;-0,058;-0,131;-0,064;-0,073;-0,041;;-0,045;-0,053;-0,065;-0,038;-0,053;-0,085;-0,039;-0,033;-0,097;-0,089;-0,096;
2022-12-01;-0,067;-0,131;-0,063;-0,082;-0,038;;-0,055;-0,064;-0,073;-0,042;-0,051;-0,086;-0,039;-0,031;-0,092;-0,084;-0,108;
2022-12-02;-0,067;-0,130;-0,063;-0,081;-0,038;;-0,053;-0,063;-0,072;-0,041;-0,052;-0,089;-0,039;-0,032;-0,090;-0,082;-0,107;
2022-12-05;-0,064;-0,132;-0,063;-0,088;-0,038;;-0,058;-0,072;-0,079;-0,048;-0,052;-0,095;-0,039;-0,032;-0,088;-0,080;-0,117;
2022-12-06;-0,068;-0,133;-0,063;-0,091;-0,037;;-0,060;-0,073;-0,083;-0,053;-0,051;-0,094;-0,039;-0,031;-0,095;-0,088;-0,121;
2022-12-07;-0,075;-0,137;-0,063;-0,094;-0,036;;-0,061;-0,075;-0,085;-0,056;-0,051;-0,097;-0,038;-0,030;-0,099;-0,092;-0,123;
2022-12-08;-0,071;-0,137;-0,062;-0,092;-0,036;;-0,059;-0,074;-0,083;-0,053;-0,050;-0,098;-0,038;-0,030;-0,099;-0,092;-0,119;
2022-12-09;-0,068;-0,133;-0,063;-0,093;-0,037;;-0,061;-0,076;-0,085;-0,053;-0,050;-0,095;-0,038;-0,030;-0,093;-0,085;-0,123;
2022-12-12;-0,073;-0,136;-0,062;-0,090;-0,038;;-0,058;-0,072;-0,081;-0,049;-0,050;-0,097;-0,038;-0,029;-0,094;-0,086;-0,116;
2022-12-13;;;;;;;;;;;;;;;;;;
2022-12-14;-0,075;-0,132;-0,062;-0,093;-0,036;;-0,063;-0,077;-0,083;-0,048;-0,049;-0,091;-0,038;-0,029;-0,086;-0,078;-0,122;
2022-12-15;-0,076;-0,140;-0,062;-0,099;-0,038;;-0,066;-0,082;-0,090;-0,055;-0,051;-0,096;-0,038;-0,032;-0,099;-0,091;-0,129;
2022-12-16;-0,075;-0,143;-0,062;-0,100;-0,039;;-0,066;-0,082;-0,092;-0,059;-0,053;-0,096;-0,038;-0,036;-0,108;-0,100;-0,130;
2022-12-19;-0,073;-0,142;-0,062;-0,102;-0,039;;-0,067;-0,084;-0,095;-0,061;-0,053;-0,099;-0,038;-0,036;-0,108;-0,101;-0,133;
2022-12-20;-0,076;-0,142;-0,062;-0,101;-0,041;;-0,065;-0,082;-0,094;-0,062;-0,054;-0,089;-0,038;-0,037;-0,111;-0,104;-0,133;
2022-12-21;-0,075;-0,136;-0,062;-0,096;-0,041;;-0,061;-0,078;-0,089;-0,058;-0,054;-0,094;-0,038;-0,038;-0,104;-0,097;-0,127;
2022-12-22;-0,069;-0,139;-0,062;-0,098;-0,041;;-0,061;-0,079;-0,092;-0,062;-0,055;-0,089;-0,038;-0,040;-0,109;-0,102;-0,131;
2022-12-23;-0,070;-0,135;-0,062;-0,095;-0,042;;-0,057;-0,074;-0,088;-0,060;-0,055;-0,091;-0,038;-0,040;-0,106;-0,099;-0,126;
2022-12-27;-0,072;-0,136;-0,062;-0,098;-0,043;;-0,059;-0,076;-0,092;-0,066;-0,056;-0,094;-0,038;-0,042;-0,104;-0,096;-0,131;
2022-12-28;-0,072;-0,138;-0,062;-0,102;-0,044;;-0,063;-0,081;-0,096;-0,070;-0,055;-0,097;-0,038;-0,042;-0,106;-0,099;-0,136;
2022-12-29;-0,073;-0,133;-0,062;-0,096;-0,043;;-0,060;-0,076;-0,090;-0,063;-0,055;-0,096;-0,038;-0,042;-0,101;-0,093;-0,128;
2022-12-30;-0,075;-0,139;-0,062;-0,100;-0,044;;-0,063;-0,079;-0,093;-0,067;-0,055;-0,094;-0,038;-0,042;-0,109;-0,100;-0,131;
2023-01-02;;-0,136;-0,061;;;;;;;;-0,054;;-0,038;-0,041;-0,101;-0,093;;
2023-01-03;-0,067;-0,129;-0,061;-0,094;-0,042;;-0,056;-0,072;-0,087;-0,061;-0,054;;-0,038;-0,039;-0,098;-0,090;-0,127;
2023-01-04;-0,063;-0,121;-0,061;-0,091;-0,041;;-0,055;-0,069;-0,085;-0,058;-0,053;-0,095;-0,038;-0,037;-0,094;-0,086;-0,125;
