
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;fidelity - asian pacific opportunities fund a;fidelity - asian special situations fund a;fidelity - china consumer fund a;fidelity - china focus fund a;fidelity - emerging asia fund a;fidelity - emerging markets funds a;fidelity - global high yield fund a;folksam lo sverige;folksam lo världen;fondita global megatrends placeringsfond b;fondita nordic micro cap placeringsfond b;fondita nordic small cap placeringsfond b;franklin biotechnology discovery fund;franklin mutual global discovery fund a;franklin natural resources fund a;franklin technology fund a;franklin us opportunities fund a;
2023-07-06;0,025;0,003;0,044;0,017;-0,003;-0,001;-0,008;-0,063;-0,041;0,020;-0,012;-0,001;0,028;-0,022;0,031;-0,057;-0,060;
2023-07-07;0,023;0,003;0,047;0,022;-0,003;-0,000;-0,008;-0,062;-0,043;0,022;-0,009;0,003;0,024;-0,020;0,043;-0,057;-0,061;
2023-07-10;0,022;0,001;0,047;0,020;-0,005;-0,003;-0,013;-0,063;-0,046;0,021;-0,014;-0,001;0,025;-0,023;0,041;-0,058;-0,064;
2023-07-11;0,025;0,004;0,048;0,017;-0,003;-0,001;-0,016;-0,062;-0,050;0,022;-0,012;0,001;0,021;-0,021;0,045;-0,058;-0,066;
2023-07-12;0,024;0,005;0,053;0,020;-0,005;0,000;-0,017;-0,058;-0,054;0,024;-0,010;0,006;0,020;-0,020;0,048;-0,055;-0,063;
2023-07-13;0,021;-0,000;0,051;0,015;-0,008;-0,005;-0,027;-0,057;-0,060;0,019;-0,011;-0,006;0,011;-0,027;0,040;-0,057;-0,069;
2023-07-14;0,018;-0,004;0,044;0,008;-0,012;-0,008;-0,032;-0,063;-0,058;0,015;-0,018;-0,012;0,005;-0,035;0,025;-0,065;-0,074;
2023-07-17;0,016;-0,006;0,038;0,002;-0,013;-0,010;-0,033;-0,065;-0,058;0,014;-0,020;-0,017;0,008;-0,036;0,024;-0,060;-0,072;
2023-07-18;0,017;-0,008;0,034;-0,003;-0,016;-0,011;-0,034;-0,062;-0,058;0,017;-0,017;-0,017;0,009;-0,033;0,028;-0,057;-0,070;
2023-07-19;0,019;-0,006;0,036;0,001;-0,013;-0,009;-0,033;-0,063;-0,055;0,020;-0,012;-0,012;0,014;-0,030;0,032;-0,056;-0,066;
2023-07-20;0,018;-0,007;0,035;0,001;-0,012;-0,010;-0,030;-0,064;-0,054;0,018;-0,017;-0,011;0,015;-0,028;0,035;-0,069;-0,073;
2023-07-21;0,018;-0,006;0,039;0,005;-0,012;-0,009;-0,026;-0,065;-0,051;0,017;-0,017;-0,016;0,022;-0,023;0,041;-0,065;-0,069;
2023-07-24;0,019;-0,002;0,046;0,007;-0,008;-0,006;-0,024;-0,061;-0,049;0,017;-0,016;-0,015;0,019;-0,021;0,048;-0,063;-0,067;
2023-07-25;0,023;-0,001;0,050;0,014;-0,006;-0,004;-0,027;-0,057;-0,049;0,019;-0,012;-0,012;0,015;-0,024;0,049;-0,062;-0,067;
2023-07-26;0,021;-0,002;0,052;0,016;-0,006;-0,006;-0,026;-0,061;-0,049;0,017;-0,013;-0,017;0,015;-0,023;0,048;-0,065;-0,068;
2023-07-27;0,028;0,004;0,058;0,017;0,000;0,002;-0,027;-0,055;-0,044;0,020;-0,010;-0,011;0,011;-0,028;0,041;-0,069;-0,075;
2023-07-28;0,033;0,012;0,074;0,037;0,007;0,007;-0,016;-0,057;-0,046;0,025;-0,008;-0,009;0,029;-0,017;0,055;-0,050;-0,057;
2023-07-31;0,035;0,014;0,078;0,041;0,009;0,009;-0,017;-0,057;-0,046;0,027;-0,010;-0,010;0,029;-0,018;0,059;-0,048;-0,057;
2023-08-01;0,033;0,012;0,072;0,036;0,007;0,008;-0,016;-0,058;-0,041;0,026;-0,008;-0,011;0,028;-0,018;0,057;-0,047;-0,056;
2023-08-02;0,029;0,006;0,063;0,028;0,001;0,001;-0,015;-0,062;-0,041;0,019;-0,011;-0,016;;;;;;
2023-08-03;;;;;;;;;;;;;0,032;-0,017;0,059;-0,058;-0,061;
2023-08-04;0,030;0,006;0,069;0,035;0,001;0,003;-0,011;-0,068;-0,051;0,016;-0,010;-0,015;0,032;-0,019;0,058;-0,058;-0,063;
2023-08-07;0,026;0,002;0,060;0,025;-0,003;-0,001;-0,016;-0,068;-0,050;0,013;-0,014;-0,019;0,023;-0,021;0,053;-0,060;-0,063;
2023-08-08;0,026;-0,002;0,055;0,020;-0,006;-0,005;-0,014;-0,069;-0,045;0,012;-0,015;-0,023;0,028;-0,021;0,054;-0,066;-0,065;
2023-08-09;0,027;0,001;0,058;0,022;-0,004;-0,002;-0,014;-0,065;-0,046;0,011;-0,011;-0,021;0,030;-0,019;0,059;-0,071;-0,068;
2023-08-10;0,027;0,004;0,066;0,026;-0,002;0,002;-0,013;-0,062;-0,048;0,013;-0,009;-0,018;0,032;-0,019;0,058;-0,071;-0,066;
2023-08-11;0,021;-0,004;0,053;0,015;-0,007;-0,003;-0,011;-0,065;-0,046;0,009;-0,014;-0,023;0,036;-0,017;0,063;-0,073;-0,066;
2023-08-14;0,026;0,000;0,055;0,018;-0,003;-0,001;-0,006;-0,066;-0,046;0,017;-0,010;-0,020;0,040;-0,012;0,065;-0,060;-0,056;
2023-08-15;;;;;;;;-0,070;-0,047;0,011;-0,016;-0,028;0,039;-0,017;0,055;-0,066;-0,060;
2023-08-16;0,021;-0,007;0,042;0,008;-0,009;-0,009;-0,007;-0,071;-0,048;0,008;-0,018;-0,029;0,032;-0,020;0,051;-0,071;-0,065;
2023-08-17;0,023;-0,004;0,050;0,012;-0,005;-0,005;-0,004;-0,077;-0,047;0,004;-0,019;-0,034;0,032;-0,019;0,057;-0,075;-0,066;
2023-08-18;0,019;-0,008;0,041;0,007;-0,008;-0,008;-0,004;-0,082;-0,049;0,003;-0,025;-0,041;0,036;-0,018;0,061;-0,072;-0,065;
2023-08-21;0,018;-0,009;0,037;0,003;-0,009;-0,008;-0,004;-0,080;-0,048;0,008;-0,027;-0,041;0,042;-0,017;0,061;-0,063;-0,059;
2023-08-22;0,021;-0,007;0,037;0,002;-0,008;-0,004;-0,007;-0,080;-0,047;0,008;-0,029;-0,041;0,039;-0,022;0,055;-0,067;-0,062;
2023-08-23;0,022;-0,002;0,040;0,008;-0,005;0,001;-0,002;-0,079;-0,044;0,013;-0,029;-0,042;0,044;-0,015;0,061;-0,055;-0,052;
2023-08-24;0,022;0,000;0,041;0,005;-0,003;0,000;-0,003;-0,077;-0,040;0,007;-0,033;-0,050;0,039;-0,020;0,055;-0,068;-0,062;
2023-08-25;0,021;-0,001;0,041;0,009;-0,003;-0,000;-0,000;-0,078;-0,045;0,010;-0,030;-0,047;;;;;;
2023-08-28;;;;;;;;;;;;;0,046;-0,011;0,066;-0,058;-0,052;
2023-08-29;0,029;0,007;0,059;0,021;0,004;0,007;-0,001;-0,072;-0,041;0,019;-0,026;-0,038;0,046;-0,009;0,068;-0,051;-0,046;
2023-08-30;0,027;0,001;0,053;0,016;-0,002;0,002;-0,003;-0,071;-0,041;0,012;-0,029;-0,040;0,043;-0,012;0,066;-0,051;-0,047;
2023-08-31;0,028;0,003;0,056;0,013;0,001;0,003;-0,003;-0,069;-0,036;0,015;-0,027;-0,035;0,039;-0,015;0,065;-0,048;-0,047;
2023-09-01;0,034;0,012;0,068;0,023;0,009;0,010;-0,001;-0,069;-0,035;0,015;-0,029;-0,035;0,046;-0,012;0,075;-0,044;-0,043;
2023-09-04;0,037;0,013;0,068;0,030;0,010;0,011;0,004;-0,066;;0,018;-0,026;-0,032;;;;;;
2023-09-05;;;;;;;;;;;;;0,047;-0,011;0,080;-0,036;-0,038;
2023-09-06;0,033;0,010;0,065;0,027;0,010;0,006;0,005;-0,066;-0,034;0,015;-0,033;-0,037;0,049;-0,010;0,079;-0,039;-0,040;
2023-09-07;0,029;0,005;0,053;0,020;0,004;0,001;0,007;-0,071;-0,036;0,011;-0,035;-0,041;0,050;-0,010;0,077;-0,042;-0,040;
2023-09-08;0,028;0,005;0,050;0,018;0,004;0,001;0,007;-0,073;-0,038;0,010;-0,036;-0,040;0,049;-0,008;0,079;-0,043;-0,041;
2023-09-11;0,027;0,004;0,053;0,019;0,004;0,003;0,005;-0,071;-0,037;0,010;-0,037;-0,041;0,050;-0,006;0,076;-0,041;-0,039;
2023-09-12;0,029;0,007;0,056;0,020;0,006;0,006;0,006;-0,073;-0,035;0,007;-0,041;-0,047;0,050;-0,006;0,083;-0,047;-0,044;
2023-09-13;0,030;0,008;0,056;0,020;0,008;0,008;0,006;-0,076;-0,036;0,007;-0,046;-0,051;0,046;-0,007;0,080;-0,045;-0,042;
2023-09-14;0,036;0,013;0,061;0,022;0,013;0,012;0,008;-0,073;-0,033;0,012;-0,042;-0,048;0,049;-0,002;0,087;-0,044;-0,039;
2023-09-15;0,031;0,010;0,056;0,022;0,011;0,009;0,009;-0,069;-0,033;0,007;-0,043;-0,044;0,046;-0,001;0,086;-0,051;-0,045;
2023-09-18;0,031;0,007;0,056;0,023;0,009;0,007;0,010;-0,072;-0,033;0,004;-0,050;-0,049;0,044;0,000;0,087;-0,050;-0,044;
2023-09-19;0,027;0,003;0,053;0,021;0,005;0,003;0,007;-0,074;-0,038;-0,002;-0,052;-0,052;0,043;-0,002;0,080;-0,055;-0,048;
2023-09-20;;;;;;;;-0,069;-0,039;-0,000;-0,045;-0,045;0,039;-0,002;0,077;-0,060;-0,052;
2023-09-21;0,017;-0,006;0,040;0,013;-0,003;-0,006;0,007;-0,071;-0,042;-0,009;-0,051;-0,052;0,036;-0,007;0,070;-0,071;-0,063;
2023-09-22;0,024;0,001;0,054;0,023;0,004;-0,000;0,008;-0,076;-0,047;-0,008;-0,050;-0,052;0,037;-0,007;0,071;-0,069;-0,060;
2023-09-25;0,021;-0,003;0,048;0,014;0,001;-0,005;0,005;-0,079;-0,052;-0,013;-0,053;-0,058;;;;;;
2023-09-26;;;;;;;;;;;;;0,033;-0,015;0,066;-0,078;-0,069;
2023-09-27;0,012;-0,010;0,039;0,008;-0,006;-0,012;0,001;-0,083;-0,056;-0,023;-0,061;-0,068;0,032;-0,020;0,071;-0,078;-0,071;
2023-09-28;0,008;-0,016;0,033;0,006;-0,010;-0,015;-0,001;-0,084;-0,059;-0,020;-0,062;-0,066;0,033;-0,016;0,073;-0,073;-0,067;
2023-09-29;0,005;-0,017;0,034;0,002;-0,011;-0,016;-0,006;-0,076;-0,057;-0,023;-0,060;-0,063;0,022;-0,027;0,059;-0,078;-0,075;
2023-10-02;0,007;-0,011;0,038;0,003;-0,006;-0,012;-0,003;-0,079;-0,057;-0,021;-0,062;-0,063;0,019;-0,027;0,053;-0,071;-0,069;
2023-10-03;0,006;-0,014;0,035;-0,001;-0,009;-0,016;-0,000;-0,083;-0,057;-0,028;-0,070;-0,069;;;;;;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;;;;;;;;;;;;;0,030;-0,019;0,059;-0,062;-0,058;
2023-10-10;0,008;-0,012;0,043;0,004;-0,009;-0,015;-0,004;-0,074;-0,057;-0,016;-0,065;-0,059;0,031;-0,018;0,061;-0,061;-0,058;
2023-10-11;0,008;-0,010;0,045;0,002;-0,007;-0,014;-0,007;-0,071;-0,055;-0,018;-0,067;-0,060;;;;;;
2023-10-12;;;;;;;;;;;;;0,019;-0,025;0,054;-0,063;-0,061;
2023-10-13;0,008;-0,010;0,040;-0,001;-0,007;-0,013;-0,004;-0,071;-0,052;-0,025;-0,073;-0,066;0,024;-0,026;0,062;-0,069;-0,064;
2023-10-16;0,008;-0,010;0,040;-0,001;-0,009;-0,013;-0,004;-0,073;-0,056;-0,022;-0,079;-0,069;0,032;-0,021;0,067;-0,062;-0,058;
2023-10-17;0,004;-0,014;0,033;-0,005;-0,013;-0,016;-0,007;-0,081;-0,058;-0,025;-0,084;-0,074;0,029;-0,022;0,069;-0,065;-0,061;
2023-10-18;0,003;-0,015;0,032;-0,010;-0,014;-0,019;-0,007;-0,085;-0,056;-0,030;-0,088;-0,079;0,020;-0,026;0,067;-0,074;-0,069;
2023-10-19;-0,001;-0,017;0,028;-0,011;-0,016;-0,019;-0,004;-0,089;-0,059;-0,031;-0,090;-0,081;0,019;-0,025;0,070;-0,072;-0,067;
2023-10-20;-0,005;-0,021;0,021;-0,019;-0,021;-0,024;-0,006;-0,096;-0,064;-0,039;-0,092;-0,084;0,015;-0,031;0,061;-0,082;-0,076;
2023-10-23;-0,006;-0,023;0,021;-0,018;-0,024;-0,026;-0,006;-0,103;-0,065;-0,040;-0,096;-0,089;0,010;-0,030;0,056;-0,081;-0,074;
2023-10-24;0,000;-0,015;0,035;-0,014;-0,016;-0,020;-0,006;-0,101;-0,061;-0,035;-0,093;-0,086;0,014;-0,031;0,052;-0,078;-0,073;
2023-10-25;0,004;-0,015;0,035;-0,007;-0,015;-0,019;0,001;-0,104;-0,063;-0,039;-0,093;-0,090;;;;;;
2023-10-26;;;;;;;;;;;;;0,015;-0,028;0,057;-0,090;-0,084;
2023-10-27;-0,001;-0,018;0,038;-0,002;-0,016;-0,023;0,001;-0,103;-0,068;-0,043;-0,085;-0,092;;;;;;
2023-10-30;;;;;;;;;;;;;0,007;-0,029;0,054;-0,084;-0,077;
2023-10-31;-0,001;-0,018;0,034;-0,013;-0,018;-0,026;-0,002;-0,095;-0,062;-0,037;-0,073;-0,079;0,008;-0,029;0,051;-0,082;-0,077;
2023-11-01;0,000;-0,015;0,036;-0,007;-0,015;-0,024;0,002;-0,096;-0,056;-0,036;-0,073;-0,079;0,016;-0,024;0,053;-0,074;-0,070;
2023-11-02;0,006;-0,010;0,037;-0,005;-0,011;-0,017;0,004;-0,084;-0,052;-0,027;-0,067;-0,069;;;;;;
2023-11-03;;;;;;;;;;;;;0,029;-0,015;0,062;-0,062;-0,057;
2023-11-06;0,007;-0,006;0,043;-0,005;-0,007;-0,014;-0,004;-0,084;-0,056;-0,027;-0,067;-0,066;0,017;-0,025;0,048;-0,072;-0,065;
2023-11-07;0,004;-0,006;0,042;-0,006;-0,007;-0,015;-0,002;-0,084;-0,054;-0,022;-0,063;-0,066;0,021;-0,024;0,039;-0,062;-0,058;
2023-11-08;0,007;-0,009;0,040;-0,006;-0,009;-0,017;-0,001;-0,082;-0,053;-0,018;-0,061;-0,064;0,014;-0,024;0,035;-0,059;-0,054;
2023-11-09;0,006;-0,011;0,035;-0,011;-0,013;-0,018;-0,004;-0,077;-0,053;-0,019;-0,057;-0,057;-0,007;-0,029;0,031;-0,067;-0,061;
2023-11-10;0,004;-0,012;0,029;-0,015;-0,012;-0,018;-0,003;-0,083;-0,055;-0,015;-0,060;-0,061;-0,006;-0,025;0,036;-0,055;-0,051;
2023-11-13;0,003;-0,011;0,032;-0,011;-0,011;-0,018;-0,004;-0,083;-0,055;-0,013;-0,059;-0,060;-0,005;-0,024;0,037;-0,056;-0,051;
2023-11-14;0,003;-0,014;0,029;-0,007;-0,014;-0,017;-0,003;-0,071;-0,054;-0,004;-0,049;-0,044;0,004;-0,017;0,043;-0,045;-0,043;
2023-11-15;0,005;-0,008;0,038;-0,007;-0,010;-0,016;-0,014;-0,065;-0,055;-0,010;-0,048;-0,038;;;;;;
2023-11-16;;;;;;;;;;;;;-0,013;-0,027;0,024;-0,056;-0,054;
2023-11-17;0,000;-0,017;0,023;-0,021;-0,019;-0,022;-0,012;-0,063;-0,054;-0,007;-0,046;-0,039;-0,005;-0,023;0,032;-0,054;-0,053;
2023-11-20;-0,000;-0,016;0,027;-0,017;-0,017;-0,023;-0,016;-0,060;-0,055;-0,007;-0,045;-0,038;-0,007;-0,026;0,029;-0,053;-0,052;
2023-11-21;-0,000;-0,020;0,019;-0,023;-0,020;-0,026;-0,020;-0,064;-0,056;-0,012;-0,049;-0,047;-0,014;-0,030;0,025;-0,059;-0,056;
2023-11-22;0,001;-0,016;0,022;-0,020;-0,018;-0,022;-0,015;-0,060;-0,050;-0,009;-0,046;-0,040;-0,010;-0,024;0,029;-0,054;-0,050;
2023-11-23;0,001;-0,016;0,025;-0,016;-0,017;-0,021;-0,016;-0,058;;;-0,045;-0,040;-0,011;-0,025;0,028;-0,054;-0,051;
2023-11-24;-0,002;-0,020;0,020;-0,017;-0,020;-0,025;-0,016;-0,059;-0,053;;;;-0,008;-0,022;0,029;-0,055;-0,051;
2023-11-27;-0,004;-0,023;0,015;-0,024;-0,023;-0,028;-0,017;-0,058;-0,052;-0,010;-0,043;-0,040;-0,014;-0,025;0,026;-0,055;-0,053;
2023-11-28;-0,004;-0,023;0,016;-0,025;-0,023;-0,027;-0,016;-0,061;-0,057;-0,011;-0,044;-0,040;-0,015;-0,025;0,028;-0,054;-0,053;
2023-11-29;-0,005;-0,026;0,008;-0,036;-0,024;-0,029;-0,018;-0,057;-0,055;-0,009;-0,035;-0,036;;;;;;
2023-11-30;;;;;;;;;;;;;-0,002;-0,022;0,030;-0,050;-0,051;
2023-12-01;-0,003;-0,024;0,011;-0,035;-0,019;-0,023;-0,011;-0,054;-0,050;-0,002;-0,030;-0,034;0,007;-0,016;0,036;-0,046;-0,047;
2023-12-04;-0,005;-0,025;0,003;-0,040;-0,021;-0,024;-0,013;-0,053;-0,051;-0,009;-0,029;-0,041;0,020;-0,019;0,031;-0,052;-0,051;
2023-12-05;-0,012;-0,030;-0,005;-0,046;-0,026;-0,028;-0,012;-0,050;-0,051;-0,009;-0,028;-0,037;0,020;-0,022;0,023;-0,050;-0,050;
2023-12-06;-0,010;-0,030;-0,003;-0,043;-0,025;-0,028;-0,009;-0,045;-0,048;;;;0,026;-0,020;0,019;-0,052;-0,050;
2023-12-07;-0,011;-0,033;-0,007;-0,046;-0,029;-0,031;-0,011;-0,045;-0,050;-0,008;-0,029;-0,030;0,029;-0,019;0,017;-0,048;-0,048;
2023-12-08;-0,011;-0,032;-0,010;-0,053;-0,030;-0,028;-0,013;-0,041;-0,048;-0,007;-0,029;-0,027;0,024;-0,020;0,018;-0,047;-0,048;
2023-12-11;-0,007;-0,030;-0,007;-0,049;-0,026;-0,026;-0,010;-0,037;-0,046;-0,004;-0,029;-0,028;;;;;;
2023-12-12;;;;;;;;;;;;;0,033;-0,015;0,015;-0,038;-0,040;
2023-12-13;-0,009;-0,034;-0,012;-0,053;-0,033;-0,029;-0,010;-0,039;-0,043;0,000;-0,032;-0,031;0,049;-0,010;0,025;-0,032;-0,034;
2023-12-14;-0,004;-0,033;-0,014;-0,051;-0,033;-0,025;-0,012;-0,030;-0,045;0,002;-0,024;-0,015;0,043;-0,012;0,029;-0,038;-0,043;
2023-12-15;0,002;-0,025;-0,005;-0,046;-0,025;-0,018;-0,012;-0,026;-0,044;0,005;-0,021;-0,009;0,040;-0,017;0,026;-0,036;-0,043;
2023-12-18;-0,004;-0,033;-0,015;-0,053;-0,033;-0,024;-0,013;-0,027;-0,046;0,004;-0,019;-0,011;0,035;-0,018;0,027;-0,035;-0,040;
2023-12-19;-0,001;-0,033;-0,012;-0,051;-0,031;-0,023;-0,013;-0,024;-0,046;0,004;-0,014;-0,008;0,042;-0,016;0,032;-0,034;-0,039;
2023-12-20;-0,001;-0,035;-0,016;-0,056;-0,035;-0,025;-0,014;-0,025;-0,045;0,002;-0,014;-0,007;0,027;-0,023;0,025;-0,044;-0,047;
2023-12-21;-0,002;-0,036;-0,017;-0,052;-0,035;-0,027;-0,013;-0,029;-0,049;0,004;-0,013;-0,010;0,037;-0,018;0,030;-0,037;-0,042;
2023-12-22;-0,004;-0,040;-0,031;-0,061;-0,039;-0,031;-0,017;-0,026;-0,052;0,002;-0,012;-0,008;0,046;-0,021;0,027;-0,042;-0,047;
2023-12-27;-0,007;-0,041;-0,037;-0,063;-0,042;-0,031;-0,021;-0,023;-0,050;0,002;-0,013;-0,007;0,059;-0,022;0,027;-0,043;-0,048;
2023-12-28;-0,001;-0,032;-0,022;-0,055;-0,034;-0,026;-0,023;-0,022;-0,049;0,002;-0,008;-0,003;0,055;-0,025;0,019;-0,045;-0,050;
2023-12-29;0,001;-0,032;-0,020;-0,050;-0,033;-0,026;-0,018;-0,021;-0,046;0,004;-0,007;-0,005;0,056;-0,022;0,020;-0,045;-0,049;
2024-01-02;0,002;-0,032;-0,024;-0,054;-0,030;-0,026;-0,016;-0,024;-0,044;0,002;-0,008;-0,007;0,065;-0,018;0,024;-0,054;-0,054;
2024-01-03;-0,000;-0,031;-0,017;-0,048;-0,027;-0,027;-0,013;-0,033;-0,041;-0,003;-0,012;-0,014;;;;;;
2024-01-04;;;;;;;;;;;;;0,070;-0,013;0,027;-0,058;-0,055;
2024-01-05;-0,003;-0,033;-0,025;-0,047;-0,030;-0,024;-0,010;-0,034;-0,045;-0,000;-0,010;-0,018;0,067;-0,010;0,029;-0,054;-0,053;
2024-01-08;-0,001;-0,034;-0,031;-0,054;-0,031;-0,023;-0,008;-0,031;-0,042;0,008;-0,005;-0,010;0,085;-0,006;0,028;-0,040;-0,042;
2024-01-09;-0,004;-0,038;-0,035;-0,060;-0,034;-0,026;-0,009;-0,034;-0,040;0,008;-0,007;-0,011;0,082;-0,011;0,019;-0,038;-0,042;
2024-01-10;-0,007;-0,041;-0,038;-0,062;-0,037;-0,026;-0,010;-0,034;-0,039;0,009;-0,009;-0,013;0,077;-0,011;0,014;-0,036;-0,038;
2024-01-11;-0,009;-0,041;-0,037;-0,064;-0,036;-0,027;-0,009;-0,033;-0,034;0,007;-0,012;-0,017;0,071;-0,014;0,012;-0,035;-0,038;
2024-01-12;-0,006;-0,035;-0,032;-0,059;-0,032;-0,020;-0,006;-0,031;-0,035;0,012;-0,005;-0,009;0,075;-0,013;0,017;-0,034;-0,037;
2024-01-15;-0,005;-0,034;-0,036;-0,061;-0,031;-0,019;-0,004;-0,036;;;-0,009;-0,018;0,076;-0,012;0,018;-0,033;-0,036;
2024-01-16;-0,007;-0,034;-0,039;-0,062;-0,031;-0,020;0,001;-0,039;-0,031;0,013;-0,010;-0,016;0,080;-0,011;0,013;-0,026;-0,030;
2024-01-17;-0,017;-0,045;-0,052;-0,076;-0,040;-0,029;0,002;-0,046;-0,032;0,010;-0,015;-0,023;0,080;-0,011;0,010;-0,026;-0,030;
2024-01-18;-0,011;-0,041;-0,047;-0,072;-0,035;-0,023;0,002;-0,042;-0,030;0,015;-0,012;-0,018;0,077;-0,010;0,010;-0,019;-0,025;
2024-01-19;-0,009;-0,036;-0,050;-0,075;-0,032;-0,020;0,004;-0,044;-0,025;0,018;-0,016;-0,023;0,081;-0,005;0,013;-0,008;-0,018;
2024-01-22;-0,010;-0,039;-0,058;-0,089;-0,036;-0,022;0,003;-0,040;-0,022;0,022;-0,010;-0,021;0,086;-0,005;0,012;-0,007;-0,016;
2024-01-23;-0,006;-0,033;-0,044;-0,074;-0,031;-0,019;0,003;-0,037;-0,021;0,023;-0,011;-0,018;0,088;-0,006;0,015;-0,005;-0,016;
2024-01-24;-0,002;-0,032;-0,035;-0,060;-0,029;-0,016;0,003;-0,036;-0,020;0,021;-0,008;-0,016;0,084;-0,007;0,018;-0,003;-0,015;
2024-01-25;0,002;-0,030;-0,031;-0,057;-0,027;-0,015;0,003;-0,033;-0,018;0,022;-0,009;-0,014;;;;;;
2024-01-26;;;;;;;;;;;;;0,093;-0,003;0,027;-0,005;-0,015;
2024-01-29;0,002;-0,030;-0,042;-0,059;-0,029;-0,013;0,006;-0,030;-0,014;0,029;-0,006;-0,011;0,103;-0,000;0,028;0,004;-0,008;
2024-01-30;-0,005;-0,037;-0,055;-0,069;-0,038;-0,019;0,004;-0,031;-0,013;0,025;-0,007;-0,013;0,096;-0,003;0,029;-0,002;-0,011;
2024-01-31;-0,008;-0,038;-0,055;-0,071;-0,039;-0,020;0,004;-0,030;-0,019;0,023;-0,005;-0,009;0,094;-0,007;0,021;-0,011;-0,019;
2024-02-01;-0,007;-0,036;-0,053;-0,068;-0,038;-0,016;0,006;-0,029;-0,018;0,029;-0,005;-0,011;0,107;-0,002;0,027;-0,003;-0,010;
2024-02-02;-0,006;-0,033;-0,059;-0,078;-0,036;-0,013;0,001;-0,029;-0,014;0,029;-0,006;-0,010;;;;;;
2024-02-05;;;;;;;;;;;;;0,106;-0,005;0,018;0,008;0,003;
2024-02-06;0,006;-0,016;-0,028;-0,048;-0,018;-0,001;0,011;-0,033;-0,009;0,038;-0,006;-0,008;0,113;0,000;0,026;0,010;0,007;
2024-02-07;0,006;-0,020;-0,035;-0,058;-0,022;-0,005;0,008;-0,033;-0,012;0,040;-0,008;-0,008;0,104;-0,004;0,021;0,013;0,009;
2024-02-08;0,003;-0,023;-0,038;-0,061;-0,024;-0,007;0,009;-0,032;-0,009;0,041;-0,005;-0,002;0,104;-0,004;0,023;0,019;0,012;
2024-02-09;0,003;-0,023;-0,040;-0,065;-0,025;-0,006;0,008;-0,035;-0,009;0,045;-0,004;-0,002;0,107;-0,004;0,019;0,025;0,015;
2024-02-12;0,004;-0,020;-0,032;-0,060;-0,022;-0,004;0,006;-0,032;-0,010;0,044;-0,001;0,002;0,112;-0,003;0,022;0,020;0,010;
2024-02-13;-0,005;-0,022;-0,035;-0,062;-0,023;-0,008;0,005;-0,036;-0,009;0,036;-0,005;-0,004;0,101;-0,009;0,012;0,011;0,004;
2024-02-14;-0,000;-0,018;-0,030;-0,058;-0,020;-0,002;0,011;-0,033;-0,007;0,049;-0,004;0,000;0,112;-0,000;0,020;0,026;0,018;
2024-02-15;0,001;-0,018;-0,029;-0,059;-0,021;-0,003;0,009;-0,029;-0,009;0,048;-0,004;0,000;0,119;0,001;0,028;0,021;0,015;
2024-02-16;0,001;-0,016;-0,020;-0,051;-0,018;-0,001;0,006;-0,026;-0,008;0,044;0,000;0,002;0,123;-0,002;0,028;0,014;0,008;
2024-02-19;-0,000;-0,018;-0,027;-0,054;-0,020;-0,004;0,005;-0,025;;;-0,004;0,001;0,122;-0,003;0,027;0,013;0,007;
2024-02-20;-0,003;-0,021;-0,033;-0,054;-0,023;-0,008;0,005;-0,027;-0,013;0,036;-0,008;-0,004;0,118;-0,002;0,022;0,005;0,001;
2024-02-21;-0,002;-0,019;-0,025;-0,047;-0,019;-0,006;0,004;-0,027;-0,014;0,033;-0,009;-0,005;0,114;-0,004;0,026;-0,002;-0,003;
2024-02-22;-0,001;-0,017;-0,025;-0,048;-0,017;-0,003;-0,000;-0,022;-0,009;0,040;-0,012;-0,001;0,116;-0,005;0,023;0,011;0,006;
2024-02-23;0,000;-0,016;-0,022;-0,041;-0,017;-0,004;0,002;-0,021;-0,006;0,040;-0,010;0,001;;;;;;
2024-02-26;;;;;;;;;;;;;0,128;-0,005;0,023;0,014;0,009;
2024-02-27;-0,003;-0,020;-0,023;-0,044;-0,018;-0,004;0,000;-0,020;-0,009;0,038;-0,013;-0,001;0,132;-0,006;0,021;0,012;0,007;
2024-02-28;-0,005;-0,022;-0,032;-0,052;-0,022;-0,005;0,004;-0,020;-0,009;0,039;-0,012;-0,001;0,132;-0,005;0,023;0,014;0,010;
2024-02-29;-0,001;-0,020;-0,030;-0,053;-0,021;-0,003;0,003;-0,017;-0,007;0,040;-0,010;0,001;0,126;-0,004;0,025;0,018;0,013;
2024-03-01;0,001;-0,015;-0,028;-0,048;-0,016;0,002;0,003;-0,016;-0,006;0,045;-0,006;0,005;0,139;-0,000;0,033;0,026;0,020;
2024-03-04;0,003;-0,016;-0,037;-0,057;-0,017;0,001;0,004;-0,017;-0,003;0,045;-0,011;-0,002;;;;;;
2024-03-05;;;;;;;;;;;;;0,132;-0,001;0,032;0,016;0,013;
2024-03-06;0,006;-0,014;-0,036;-0,052;-0,014;0,003;0,006;-0,015;-0,006;0,044;-0,008;-0,006;0,131;0,001;0,035;0,022;0,016;
