
# ;[];[];[];[];[];[];[];[];[];[];[];[];[seb aktiespar][seb aktiesparfond];[];[];[seb choice emerging markets][seb emerg market][seb emerging mark][seb emerging markets][seb emerging markets fund][seb emerging marketsfond];[];
# ;pictet indian equities r;pictet japanese equity opportunities r;pictet premium brands r;pictet security r;pictet timber r;pictet water r;pictet-emerging corporate bonds r ;prior & nilsson realinvest a;prior & nilsson sverige aktiv a;s-banken emerging markets esg aktie a;s-banken fenno aktie a;s-banken usa aktie a;seb aktiespar;seb asienfond ex japan;seb asset selection fund c;seb choice emerging markets;seb dynamic bond fund c;
2022-10-21;-0,075;-0,100;-0,048;-0,062;0,027;-0,045;-0,024;-0,055;-0,142;-0,032;-0,038;-0,117;-0,142;-0,087;0,145;-0,081;-0,081;
2022-10-24;-0,071;-0,096;-0,042;-0,053;0,038;-0,035;-0,026;-0,052;-0,135;-0,046;-0,032;-0,114;-0,136;-0,102;0,141;-0,095;-0,081;
2022-10-25;;;;;;;-0,029;-0,039;-0,127;-0,051;-0,030;-0,114;-0,136;-0,111;0,137;-0,102;-0,080;
2022-10-26;;-0,097;-0,042;-0,052;0,031;-0,038;-0,037;-0,036;-0,124;-0,053;-0,029;-0,126;-0,138;-0,109;0,135;-0,102;-0,081;
2022-10-27;-0,088;-0,099;-0,042;-0,052;0,033;-0,034;-0,038;-0,030;-0,122;-0,045;-0,031;-0,127;-0,140;-0,105;0,133;-0,097;-0,079;
2022-10-28;-0,081;-0,094;-0,043;-0,045;0,040;-0,031;-0,032;-0,036;-0,123;-0,050;-0,033;-0,114;-0,142;-0,112;0,134;-0,101;-0,079;
2022-10-31;-0,081;-0,094;-0,039;-0,044;0,036;-0,029;-0,033;-0,032;-0,125;-0,049;-0,032;-0,116;-0,138;-0,107;0,136;-0,097;-0,080;
2022-11-01;;;;;;;;-0,022;-0,123;-0,036;-0,032;-0,120;-0,139;-0,098;;-0,089;;
2022-11-02;-0,079;-0,089;-0,042;-0,052;0,033;-0,030;;-0,023;-0,120;-0,032;-0,032;-0,131;-0,140;-0,096;0,134;;-0,079;
2022-11-03;;;;;;;-0,026;;;;;;;;;-0,086;-0,080;
2022-11-04;-0,073;-0,087;-0,036;-0,062;0,043;-0,038;-0,027;-0,029;-0,119;-0,026;-0,019;-0,131;-0,148;-0,094;0,134;-0,083;;
2022-11-07;-0,082;-0,093;-0,046;-0,073;0,034;-0,042;-0,037;-0,021;-0,115;-0,026;-0,017;-0,130;-0,149;-0,090;0,135;-0,081;-0,079;
2022-11-08;;-0,088;-0,042;-0,066;0,040;-0,038;-0,036;-0,018;-0,109;-0,027;-0,014;-0,130;-0,146;-0,090;0,134;-0,084;-0,079;
2022-11-09;-0,087;-0,092;-0,045;-0,070;0,035;-0,039;-0,040;-0,016;-0,110;-0,028;-0,014;-0,138;-0,146;-0,085;0,134;-0,078;-0,079;
2022-11-10;-0,077;-0,085;-0,030;-0,045;0,056;-0,026;-0,031;0,003;-0,096;-0,038;-0,006;-0,117;-0,134;-0,096;0,125;-0,090;-0,077;
2022-11-11;-0,086;-0,080;-0,026;-0,050;0,048;-0,026;;0,004;-0,094;-0,025;-0,009;-0,124;-0,137;-0,083;0,123;-0,081;-0,077;
2022-11-14;-0,092;-0,083;-0,027;-0,055;0,042;-0,030;-0,045;0,002;-0,095;-0,023;-0,010;-0,130;-0,134;-0,078;0,123;-0,077;-0,076;
2022-11-15;-0,090;-0,080;-0,026;-0,052;0,045;-0,029;-0,043;-0,001;-0,097;-0,010;-0,006;-0,125;-0,132;-0,070;0,120;-0,070;-0,075;
2022-11-16;-0,093;-0,082;-0,028;-0,055;0,043;-0,029;-0,038;-0,009;-0,103;-0,012;-0,008;-0,128;-0,134;-0,069;0,119;-0,071;-0,075;
2022-11-17;-0,095;-0,079;-0,029;-0,064;0,038;-0,033;;-0,013;-0,104;-0,012;-0,011;-0,126;-0,135;-0,068;0,123;;-0,075;
2022-11-18;;;;;;;-0,031;;;;;;;;;-0,070;;
2022-11-21;-0,089;-0,073;-0,019;-0,048;0,049;-0,018;-0,028;-0,010;-0,099;-0,010;-0,007;-0,121;-0,129;-0,070;0,124;-0,069;-0,075;
2022-11-22;-0,088;-0,072;-0,022;-0,049;0,054;-0,016;-0,028;-0,009;-0,096;-0,015;-0,004;-0,118;-0,131;-0,071;0,124;-0,071;-0,075;
2022-11-23;-0,091;;-0,019;-0,045;0,055;-0,016;-0,029;-0,009;-0,093;-0,016;-0,002;-0,118;-0,129;-0,075;0,120;-0,076;-0,074;
2022-11-24;-0,093;-0,069;;;;;;-0,003;-0,093;-0,013;-0,004;-0,123;;-0,075;0,118;-0,073;-0,074;
2022-11-25;-0,095;-0,069;-0,025;-0,054;0,046;-0,019;-0,035;-0,005;-0,092;-0,018;-0,005;-0,125;-0,129;-0,074;0,119;-0,073;-0,074;
2022-11-28;-0,094;-0,069;-0,025;-0,056;0,041;-0,025;;-0,010;-0,097;-0,023;-0,010;-0,131;-0,130;-0,078;0,119;;-0,074;
2022-11-29;;;;;;;-0,030;;;;;;;;;-0,065;;
2022-11-30;-0,082;-0,072;-0,017;-0,058;0,042;-0,026;-0,026;-0,014;-0,097;0,004;-0,003;-0,109;-0,131;-0,057;0,119;-0,052;-0,075;
2022-12-01;-0,081;-0,067;-0,010;-0,042;0,055;-0,017;-0,026;-0,011;-0,092;-0,001;0,001;-0,118;-0,125;-0,062;0,112;-0,062;-0,073;
2022-12-02;-0,092;-0,076;-0,014;-0,056;0,043;-0,023;-0,031;-0,008;-0,091;-0,006;0,001;-0,121;-0,127;-0,059;0,113;-0,061;-0,073;
2022-12-05;-0,094;-0,081;-0,017;-0,058;0,041;-0,025;-0,030;-0,004;-0,090;;;;-0,128;-0,058;0,112;-0,060;-0,073;
2022-12-06;-0,099;-0,083;-0,018;-0,060;0,042;-0,025;-0,027;-0,006;-0,095;;;;-0,134;-0,061;0,114;-0,063;-0,073;
2022-12-07;-0,096;-0,084;-0,022;-0,061;0,042;-0,027;-0,025;-0,007;-0,099;-0,009;-0,005;-0,138;-0,140;-0,068;0,114;-0,069;-0,073;
2022-12-08;-0,094;-0,084;-0,021;-0,061;0,044;-0,027;-0,027;-0,005;-0,099;-0,004;-0,007;-0,136;-0,137;-0,063;0,113;-0,066;-0,073;
2022-12-09;-0,100;-0,082;-0,021;-0,062;0,044;-0,023;-0,029;0,000;-0,092;0,000;-0,002;-0,138;-0,134;-0,060;0,115;-0,065;-0,073;
2022-12-12;-0,101;-0,082;-0,023;-0,062;0,040;-0,028;;-0,004;-0,093;-0,007;-0,006;-0,131;-0,136;-0,066;0,114;;-0,073;
2022-12-13;;;;;;;-0,027;;;;;;;;;-0,075;;
2022-12-14;-0,104;-0,080;-0,020;-0,057;0,043;-0,024;-0,031;0,007;-0,084;-0,010;-0,004;-0,136;-0,130;-0,066;0,111;-0,072;-0,072;
2022-12-15;-0,110;-0,087;-0,036;-0,068;0,034;-0,037;-0,029;-0,003;-0,095;-0,015;-0,011;-0,147;-0,142;-0,069;0,114;-0,072;-0,073;
2022-12-16;-0,107;-0,087;-0,033;-0,071;0,035;-0,036;-0,025;-0,011;-0,101;-0,008;-0,013;-0,145;-0,142;-0,066;0,115;-0,070;-0,074;
2022-12-19;-0,107;-0,085;-0,036;-0,077;0,034;-0,040;-0,025;-0,019;-0,101;-0,009;-0,011;-0,149;-0,146;-0,068;0,115;-0,070;-0,073;
2022-12-20;-0,106;-0,081;-0,040;-0,080;0,030;-0,043;-0,025;-0,020;-0,103;-0,012;-0,008;-0,149;-0,147;-0,071;0,107;-0,073;-0,073;
2022-12-21;-0,109;-0,080;-0,033;-0,075;0,035;-0,038;-0,023;-0,009;-0,097;-0,007;-0,002;-0,140;-0,144;-0,071;0,104;-0,071;-0,074;
2022-12-22;-0,112;-0,083;-0,038;-0,079;0,030;-0,041;-0,025;-0,012;-0,102;-0,010;-0,007;-0,148;-0,144;-0,065;0,108;-0,065;-0,074;
2022-12-23;-0,117;-0,081;-0,038;-0,079;0,034;-0,038;-0,021;-0,006;-0,099;-0,009;-0,003;-0,143;-0,145;-0,068;0,109;-0,066;;
2022-12-27;-0,108;-0,083;-0,033;-0,078;0,036;-0,036;;-0,006;-0,097;-0,011;-0,001;-0,145;-0,144;;0,108;-0,067;-0,074;
2022-12-28;-0,108;-0,082;-0,031;-0,074;0,038;-0,033;-0,023;-0,008;-0,100;-0,008;-0,004;-0,150;-0,144;-0,068;0,108;-0,067;-0,074;
2022-12-29;-0,104;-0,080;-0,030;-0,073;0,037;-0,032;-0,021;-0,004;-0,095;-0,010;-0,000;-0,142;-0,141;-0,067;0,109;-0,067;-0,074;
2022-12-30;-0,111;-0,083;-0,034;-0,076;0,034;-0,037;-0,024;-0,008;-0,101;-0,011;-0,006;-0,144;-0,144;-0,069;0,108;-0,070;;
2023-01-02;-0,104;;;;;;;0,001;-0,096;-0,010;0,004;-0,140;;;0,107;;-0,073;
2023-01-03;-0,103;;-0,025;-0,067;0,039;-0,030;-0,018;0,003;-0,092;-0,004;0,002;-0,136;-0,134;-0,059;0,108;-0,062;-0,073;
2023-01-04;-0,107;-0,077;-0,018;-0,063;0,042;-0,025;-0,017;0,010;-0,090;0,005;0,004;-0,134;-0,132;-0,055;0,106;-0,060;-0,072;
2023-01-05;-0,106;-0,084;-0,015;-0,070;0,039;-0,025;-0,017;0,012;-0,086;0,013;0,008;-0,136;-0,130;-0,046;0,111;-0,050;;
2023-01-09;-0,103;;-0,009;-0,063;0,052;-0,021;-0,015;0,020;-0,078;0,019;0,017;-0,133;-0,127;-0,046;0,106;-0,052;-0,071;
2023-01-10;-0,108;-0,082;-0,013;-0,068;0,042;-0,025;-0,020;0,020;-0,081;0,017;0,012;-0,131;-0,128;-0,045;0,106;-0,049;-0,071;
2023-01-11;-0,103;-0,074;-0,003;-0,060;0,048;-0,016;-0,016;0,028;-0,077;0,023;0,015;-0,123;-0,122;-0,043;0,105;-0,047;-0,070;
2023-01-12;-0,102;-0,073;-0,002;-0,059;0,053;-0,014;-0,013;0,035;-0,074;0,024;0,021;-0,121;-0,120;-0,041;0,104;-0,047;-0,069;
2023-01-13;-0,103;-0,068;0,000;-0,061;0,050;-0,017;-0,017;0,033;-0,074;0,027;0,020;-0,120;-0,119;-0,039;0,104;-0,044;-0,069;
2023-01-16;-0,102;-0,068;;;;;;0,040;-0,072;0,028;0,020;-0,120;;-0,037;0,105;-0,043;-0,069;
2023-01-17;-0,103;-0,062;0,006;-0,054;0,053;-0,014;-0,015;0,038;-0,073;0,028;0,018;-0,119;-0,117;-0,040;0,104;-0,045;-0,069;
2023-01-18;-0,101;-0,065;0,006;-0,053;0,052;-0,017;-0,016;0,035;-0,071;0,024;0,015;-0,131;-0,118;-0,044;0,098;-0,050;-0,068;
2023-01-19;-0,105;-0,066;-0,006;-0,066;0,041;-0,026;-0,016;0,027;-0,080;0,022;0,009;-0,134;-0,125;-0,042;0,097;-0,046;-0,068;
2023-01-20;-0,105;-0,063;-0,003;-0,066;0,040;-0,028;-0,016;0,031;-0,073;0,026;0,012;-0,125;-0,122;-0,038;0,098;-0,045;-0,068;
2023-01-23;-0,105;-0,064;0,001;-0,060;0,046;-0,026;-0,018;0,037;-0,069;0,025;0,014;-0,122;-0,118;;0,097;;-0,068;
2023-01-24;-0,110;-0,064;0,000;-0,059;0,043;-0,026;-0,018;0,037;-0,070;0,024;0,011;-0,125;-0,118;;0,097;;-0,068;
2023-01-25;-0,114;-0,062;-0,002;-0,066;0,043;-0,028;;0,036;-0,072;0,027;0,009;-0,127;-0,124;;0,093;;-0,067;
2023-01-26;;;;;;;-0,018;;;;;;;;;;;
2023-01-27;-0,113;-0,054;0,011;-0,052;0,058;-0,019;-0,015;0,037;-0,072;0,038;0,016;-0,113;-0,110;-0,031;0,094;-0,038;-0,067;
2023-01-30;-0,111;-0,052;0,013;-0,052;0,059;-0,018;-0,015;0,030;-0,072;0,032;0,015;-0,119;-0,108;-0,030;0,096;-0,037;-0,067;
2023-01-31;-0,108;-0,052;0,013;-0,049;0,064;-0,019;-0,010;0,026;-0,073;0,030;0,013;-0,111;-0,107;-0,030;0,095;-0,038;-0,066;
2023-02-01;-0,111;-0,051;0,018;-0,042;0,069;-0,012;-0,009;0,033;-0,071;0,036;0,019;-0,106;-0,103;-0,027;0,094;-0,035;-0,066;
2023-02-02;-0,117;-0,051;0,026;-0,035;0,074;-0,005;;0,053;-0,061;0,036;0,028;-0,095;-0,095;-0,027;0,090;;-0,064;
2023-02-03;;;;;;;-0,009;;;;;;;;;-0,034;;
2023-02-06;-0,107;-0,048;0,029;-0,033;0,076;-0,003;-0,003;0,032;-0,065;0,032;0,027;-0,092;-0,093;-0,031;0,097;-0,037;-0,064;
2023-02-07;-0,108;-0,048;0,025;-0,035;0,074;-0,004;-0,003;0,032;-0,065;0,033;0,025;-0,086;-0,094;-0,027;0,097;-0,037;-0,064;
2023-02-08;-0,104;-0,047;0,025;-0,031;0,072;-0,004;-0,007;0,033;-0,070;0,032;0,028;-0,095;-0,091;-0,028;0,099;-0,036;-0,064;
2023-02-09;-0,107;-0,048;0,024;-0,033;0,069;-0,008;-0,010;0,025;-0,070;0,029;0,024;-0,105;-0,099;-0,037;0,096;-0,048;-0,064;
2023-02-10;-0,114;-0,053;0,008;-0,049;0,055;-0,020;-0,018;0,023;-0,078;0,020;0,013;-0,109;-0,104;-0,039;0,097;-0,046;-0,065;
2023-02-13;-0,114;-0,054;0,015;-0,042;0,064;-0,013;-0,014;0,024;-0,071;0,022;0,020;-0,102;-0,100;-0,041;0,098;-0,049;-0,064;
2023-02-14;-0,118;-0,055;0,016;-0,042;0,062;-0,015;-0,019;0,030;-0,072;0,019;0,019;-0,104;-0,100;-0,042;0,101;-0,049;-0,064;
2023-02-15;-0,114;-0,060;0,020;-0,041;0,056;-0,014;-0,018;0,024;-0,068;0,019;0,020;-0,100;-0,099;-0,043;0,104;-0,050;-0,064;
2023-02-16;-0,115;-0,062;0,021;-0,043;0,055;-0,016;-0,017;0,021;-0,068;0,021;0,021;-0,108;-0,099;-0,039;0,107;-0,047;-0,064;
2023-02-17;-0,111;-0,062;0,020;-0,043;0,058;-0,012;-0,013;0,020;-0,068;0,020;0,020;-0,107;-0,102;-0,043;0,107;-0,051;-0,064;
2023-02-20;-0,115;-0,063;;;;;;0,020;-0,071;0,018;0,020;-0,110;;-0,048;0,105;;-0,064;
2023-02-21;-0,122;-0,071;0,009;-0,055;0,041;-0,021;;;;;;;;;;-0,060;;
2023-02-22;;;;;;;;0,008;-0,075;0,006;0,013;-0,120;-0,112;-0,057;0,107;;-0,065;
2023-02-23;;;;;;;-0,021;;;;;;;;;-0,057;;
2023-02-24;-0,125;-0,070;0,004;-0,057;0,038;-0,026;-0,022;0,003;-0,077;0,003;0,010;-0,121;-0,111;-0,055;0,111;-0,061;-0,065;
2023-02-27;-0,123;-0,067;0,010;-0,048;0,049;-0,020;-0,018;0,007;-0,071;-0,000;0,017;-0,121;-0,108;-0,060;0,112;-0,067;-0,065;
2023-02-28;-0,127;-0,071;0,006;-0,054;0,043;-0,028;-0,022;0,010;-0,072;-0,004;0,016;-0,122;-0,110;-0,061;0,114;-0,067;-0,065;
2023-03-01;-0,122;-0,068;0,009;-0,053;0,047;-0,029;-0,022;0,007;-0,073;0,003;0,017;-0,126;-0,110;-0,052;0,115;-0,058;-0,065;
2023-03-02;-0,122;-0,066;0,012;-0,055;0,048;-0,026;;0,007;-0,073;0,005;0,019;-0,116;-0,112;-0,050;0,117;;-0,065;
2023-03-03;;;;;;;-0,020;;;;;;;;;-0,053;;
2023-03-06;-0,112;-0,056;0,019;-0,041;0,053;-0,019;-0,018;0,009;-0,065;0,009;0,024;-0,109;-0,102;-0,046;0,118;-0,051;-0,065;
2023-03-07;;-0,055;0,019;-0,044;0,047;-0,021;-0,020;0,003;-0,066;0,009;0,020;-0,112;-0,099;-0,042;0,119;-0,045;-0,066;
2023-03-08;-0,105;-0,048;0,021;-0,040;0,055;-0,017;-0,010;0,003;-0,066;0,013;0,025;-0,105;-0,102;-0,043;0,121;-0,047;-0,066;
2023-03-09;-0,108;-0,043;0,020;-0,038;0,058;-0,016;-0,012;-0,007;-0,066;0,004;0,022;-0,115;-0,100;-0,045;0,121;-0,049;-0,066;
2023-03-10;-0,109;-0,051;0,012;-0,052;0,051;-0,023;-0,009;-0,014;-0,075;-0,002;0,020;-0,121;-0,117;-0,055;0,107;-0,059;-0,065;
2023-03-13;-0,120;-0,057;0,004;-0,061;0,041;-0,026;;-0,011;-0,083;-0,003;0,011;-0,124;-0,127;-0,052;0,086;-0,059;-0,063;
2023-03-14;;-0,064;0,009;-0,055;0,044;-0,023;-0,017;-0,008;-0,078;-0,012;0,013;-0,116;-0,127;-0,066;0,095;-0,071;-0,064;
2023-03-15;-0,136;-0,082;-0,005;-0,074;0,027;-0,031;-0,025;-0,019;-0,094;-0,009;-0,008;-0,116;-0,134;-0,058;0,080;-0,065;-0,063;
2023-03-16;-0,128;-0,066;0,004;-0,062;0,035;-0,028;-0,021;-0,021;-0,090;-0,014;-0,004;-0,109;-0,131;-0,065;0,081;-0,071;-0,064;
2023-03-17;-0,130;-0,071;-0,003;-0,068;0,029;-0,037;-0,022;-0,029;-0,096;;;;-0,129;-0,058;0,076;-0,068;-0,064;
2023-03-20;-0,127;-0,060;0,004;-0,062;0,038;-0,032;-0,027;-0,027;-0,090;-0,019;-0,005;-0,117;-0,130;-0,069;0,078;-0,077;-0,066;
2023-03-21;-0,134;;0,005;-0,065;0,034;-0,037;-0,031;-0,027;-0,084;-0,019;-0,002;-0,115;-0,129;-0,070;0,085;-0,077;-0,065;
2023-03-22;-0,132;-0,067;0,009;-0,064;0,032;-0,036;;-0,038;-0,083;-0,015;-0,004;-0,122;-0,123;-0,062;0,087;-0,071;-0,065;
2023-03-23;;;;;;;-0,032;-0,038;-0,084;-0,011;-0,003;-0,121;-0,123;-0,058;0,084;-0,069;-0,064;
2023-03-24;-0,134;-0,061;0,005;-0,073;0,025;-0,042;-0,027;-0,046;-0,090;-0,007;-0,007;-0,113;-0,126;-0,054;0,078;-0,063;-0,064;
2023-03-27;-0,132;-0,060;0,009;-0,064;0,031;-0,034;;-0,043;-0,086;-0,011;-0,003;-0,113;-0,122;-0,060;0,084;;-0,065;
2023-03-28;;;;;;;-0,031;;;;;;;;;-0,067;;
2023-03-29;-0,131;-0,056;0,014;-0,063;0,033;-0,031;-0,028;-0,044;-0,079;-0,000;0,001;-0,108;-0,120;-0,054;0,087;-0,060;-0,065;
2023-03-30;;-0,051;0,020;-0,053;0,041;-0,024;-0,025;-0,030;-0,070;0,001;0,011;-0,106;-0,116;-0,054;0,088;-0,059;-0,065;
2023-03-31;-0,125;-0,054;0,023;-0,054;0,038;-0,022;-0,025;-0,027;-0,065;0,002;0,012;-0,100;-0,113;-0,053;0,088;-0,058;-0,065;
2023-04-03;-0,125;-0,051;0,023;-0,053;0,044;-0,024;;-0,025;-0,067;-0,001;0,011;-0,100;-0,111;-0,052;0,085;-0,058;-0,064;
2023-04-04;;;;;;;-0,022;;;;;;;;;-0,063;;
2023-04-05;-0,125;-0,059;0,022;-0,063;0,034;-0,029;-0,024;-0,031;-0,072;-0,003;0,011;-0,103;-0,114;;0,080;;-0,064;
2023-04-06;-0,120;-0,058;0,020;-0,064;0,036;-0,026;-0,020;-0,026;-0,070;-0,002;0,017;-0,098;-0,112;-0,050;0,081;-0,058;;
2023-04-11;-0,116;-0,055;0,026;-0,055;0,047;-0,019;-0,018;-0,018;-0,065;0,008;0,023;-0,097;-0,108;-0,047;0,086;-0,052;-0,064;
2023-04-12;-0,114;-0,059;0,024;-0,056;0,046;-0,019;-0,020;-0,016;-0,060;0,002;0,019;-0,104;-0,110;-0,053;0,087;-0,058;-0,064;
2023-04-13;-0,116;-0,057;0,026;-0,059;0,040;-0,024;-0,022;-0,015;-0,059;0,002;0,021;-0,098;-0,111;-0,056;0,085;-0,059;-0,064;
2023-04-14;;-0,055;0,033;-0,059;0,040;-0,020;-0,026;-0,006;-0,052;0,002;0,024;-0,100;-0,107;-0,053;0,088;-0,056;-0,063;
2023-04-17;-0,120;-0,056;0,032;-0,059;0,042;-0,019;-0,024;-0,004;-0,050;0,007;0,028;-0,095;-0,107;-0,050;0,090;-0,053;-0,063;
2023-04-18;-0,121;-0,054;0,031;-0,056;0,043;-0,020;-0,024;-0,007;-0,049;0,001;0,026;-0,098;-0,106;-0,053;0,091;-0,055;-0,063;
2023-04-19;-0,123;-0,057;0,032;-0,061;0,043;-0,023;-0,024;-0,009;-0,051;-0,003;0,025;-0,097;-0,109;-0,055;0,092;-0,057;-0,064;
2023-04-20;-0,121;-0,055;0,031;-0,061;0,045;-0,023;-0,023;-0,012;-0,052;-0,002;0,022;-0,099;-0,110;-0,057;0,091;-0,059;-0,063;
2023-04-21;-0,123;-0,054;0,033;-0,060;0,042;-0,020;-0,024;-0,014;-0,052;-0,007;0,019;-0,099;-0,109;-0,060;0,092;-0,063;-0,063;
2023-04-24;-0,120;-0,054;0,034;-0,060;0,039;-0,021;;-0,016;-0,052;-0,011;0,020;-0,102;-0,110;-0,065;0,094;;-0,063;
2023-04-25;;;;;;;-0,027;;;;;;;;;-0,070;;
2023-04-26;-0,121;-0,064;0,025;-0,074;0,029;-0,033;-0,027;-0,028;-0,058;-0,017;0,021;-0,112;-0,117;-0,067;0,092;-0,068;-0,062;
2023-04-27;-0,116;-0,055;0,029;-0,072;0,030;-0,029;-0,024;-0,019;-0,054;-0,011;0,023;-0,097;-0,114;-0,063;0,094;-0,066;-0,062;
2023-04-28;-0,113;-0,050;0,029;-0,067;0,035;-0,020;-0,024;-0,016;-0,053;-0,008;0,023;-0,097;-0,110;-0,060;0,096;-0,067;-0,061;
2023-05-02;-0,112;-0,062;0,028;-0,070;0,033;-0,022;-0,025;-0,028;-0,058;-0,011;0,015;-0,103;-0,110;-0,059;0,094;-0,066;-0,061;
2023-05-03;-0,112;;0,026;-0,069;0,038;-0,019;-0,024;-0,027;-0,059;-0,015;0,019;-0,107;-0,114;-0,066;0,092;-0,071;-0,060;
2023-05-04;-0,111;;0,025;-0,075;0,032;-0,021;-0,026;-0,027;-0,061;-0,009;0,016;-0,109;-0,118;-0,061;0,090;-0,067;-0,060;
2023-05-05;-0,116;;0,025;-0,073;0,035;-0,021;-0,028;-0,022;-0,058;-0,007;0,019;-0,105;-0,117;-0,064;0,089;-0,068;-0,060;
2023-05-08;-0,114;-0,057;0,024;-0,071;0,037;-0,023;;-0,028;-0,055;-0,006;0,018;-0,107;-0,118;-0,063;0,089;-0,066;-0,060;
2023-05-09;;;;;;;;-0,038;-0,057;-0,010;0,010;-0,108;-0,117;;;-0,067;;
2023-05-10;-0,112;-0,054;0,018;-0,068;0,037;-0,022;-0,030;-0,036;-0,059;-0,010;0,012;-0,105;-0,116;-0,067;0,088;-0,069;-0,060;
2023-05-11;-0,111;-0,051;0,020;-0,068;0,038;-0,021;-0,027;-0,030;-0,056;-0,008;0,012;-0,102;-0,112;-0,064;0,085;-0,067;-0,060;
2023-05-12;-0,107;-0,044;0,024;-0,064;0,041;-0,017;-0,026;-0,033;-0,054;-0,005;0,012;-0,099;-0,109;-0,066;0,089;-0,067;-0,060;
2023-05-15;-0,102;-0,042;0,024;-0,062;0,043;-0,018;-0,023;-0,028;-0,052;-0,000;0,014;-0,096;-0,108;-0,061;0,091;-0,064;-0,060;
2023-05-16;-0,106;-0,042;0,022;-0,064;0,041;-0,021;-0,027;-0,032;-0,057;;;;-0,108;-0,060;0,092;-0,062;-0,060;
2023-05-17;-0,104;-0,038;0,023;-0,063;0,041;-0,020;;-0,036;-0,056;0,001;0,009;-0,089;-0,105;-0,058;0,094;-0,060;;
2023-05-19;-0,098;-0,029;0,028;-0,046;0,053;-0,011;-0,020;-0,033;-0,049;0,006;0,014;-0,081;-0,093;-0,055;0,101;-0,058;-0,061;
2023-05-22;-0,099;-0,027;0,027;-0,048;0,048;-0,015;-0,021;-0,031;-0,049;0,008;0,013;-0,081;-0,093;-0,052;0,102;-0,056;-0,061;
2023-05-23;-0,096;-0,033;0,022;-0,046;0,051;-0,013;-0,019;-0,023;-0,053;0,009;0,014;-0,083;-0,093;-0,051;0,101;-0,056;-0,062;
2023-05-24;-0,094;-0,033;0,014;-0,053;0,046;-0,020;;-0,034;-0,060;0,009;0,009;-0,083;-0,100;-0,051;0,098;-0,053;-0,062;
2023-05-25;;;;;;;-0,013;-0,038;-0,060;0,009;0,005;-0,074;-0,091;-0,047;0,101;-0,050;-0,063;
2023-05-26;-0,082;-0,025;0,023;-0,048;0,049;-0,014;-0,012;;;;;;-0,084;;0,105;;-0,063;
2023-05-29;;;;;;;;-0,039;-0,056;0,013;0,011;-0,064;;;;-0,044;;
2023-05-30;-0,080;-0,028;0,024;-0,033;0,053;-0,010;-0,007;-0,041;-0,057;0,012;0,010;-0,066;-0,079;-0,041;0,104;-0,045;-0,062;
2023-05-31;-0,075;-0,027;0,020;-0,035;0,049;-0,011;-0,003;-0,047;-0,061;0,012;0,008;-0,063;-0,083;-0,045;0,099;-0,049;-0,062;
2023-06-01;-0,077;-0,023;0,015;-0,038;0,047;-0,016;-0,004;-0,045;-0,059;0,011;0,009;-0,062;-0,083;-0,046;0,098;-0,049;-0,062;
2023-06-02;-0,078;-0,014;0,027;-0,037;0,053;-0,009;-0,008;-0,030;-0,053;0,023;0,016;-0,058;-0,080;-0,040;0,101;-0,043;-0,062;
2023-06-05;-0,077;-0,012;0,028;-0,033;0,058;-0,003;-0,005;-0,026;-0,052;0,024;0,016;-0,058;-0,075;-0,035;0,104;-0,038;;
2023-06-07;-0,068;-0,009;0,030;-0,027;0,071;0,001;-0,004;-0,021;-0,049;0,030;0,018;-0,061;-0,073;-0,033;0,100;-0,034;-0,062;
2023-06-08;-0,073;-0,018;0,027;-0,029;0,067;-0,001;-0,004;-0,024;-0,048;0,029;0,018;-0,060;-0,078;-0,035;0,099;-0,036;-0,062;
2023-06-09;-0,076;-0,009;0,030;-0,029;0,066;-0,002;-0,006;-0,021;-0,049;0,033;0,020;-0,058;-0,074;-0,031;0,102;-0,032;-0,062;
2023-06-12;-0,075;-0,007;0,032;-0,030;0,066;-0,002;-0,005;-0,027;-0,048;0,034;0,021;-0,053;-0,075;-0,031;0,103;-0,032;-0,062;
2023-06-13;-0,075;-0,003;0,034;-0,026;0,069;-0,001;-0,008;-0,030;-0,046;0,034;0,024;-0,055;-0,071;-0,029;0,106;-0,032;-0,062;
2023-06-14;-0,075;-0,005;0,034;-0,026;0,070;-0,004;-0,010;-0,029;-0,047;0,029;0,022;-0,059;-0,075;-0,033;0,109;-0,032;-0,063;
2023-06-15;-0,073;-0,008;0,035;-0,023;0,067;-0,002;-0,006;-0,033;-0,047;0,037;0,023;-0,052;-0,074;-0,028;0,109;-0,028;-0,064;
2023-06-16;-0,075;-0,008;0,039;-0,023;0,066;-0,000;-0,012;-0,038;-0,047;0,037;0,022;-0,055;-0,070;-0,029;0,113;-0,027;-0,064;
2023-06-19;-0,075;-0,012;;;;;;-0,046;-0,051;0,036;0,020;-0,053;;-0,026;0,112;-0,025;-0,064;
2023-06-20;-0,071;-0,013;0,038;-0,025;0,067;0,000;-0,007;-0,050;-0,053;0,034;0,016;-0,051;-0,070;-0,026;0,110;-0,025;-0,064;
2023-06-21;-0,068;-0,008;0,036;-0,023;0,068;0,001;-0,003;-0,055;-0,055;0,030;0,010;-0,053;-0,075;-0,032;0,111;-0,033;-0,064;
2023-06-22;-0,073;-0,012;0,033;-0,031;0,060;-0,003;-0,008;-0,057;-0,059;0,027;0,001;-0,053;-0,079;;0,111;;;
