
# ;[];[];[];[];[];[];[];[];[];[kotak funds - india growth fund][kotak funds - india esg a];[];[kpa blandfond][kpa etisk blandfond 2];[];[];[];[];[];
# ;holberg global a;holberg norden;holberg norge;humle småbolagsfond a;indecap guide 1 c;indecap guide 2 c;indecap guide sverige c;jpmorgan china a;jpmorgan funds - europe sustainable equity fund;kotak funds - india growth fund;kotak funds - india midcap a;kpa blandfond;lannebo europa småbolag a;lannebo mixfond;lannebo mixfond offensiv a;lannebo räntefond kort;lannebo småbolag;
2022-10-25;-0,120;-0,107;-0,129;-0,078;-0,040;-0,091;-0,121;0,005;;;;-0,089;-0,051;-0,066;-0,073;-0,053;-0,152;
2022-10-26;-0,129;-0,109;-0,128;-0,073;-0,040;-0,092;-0,120;0,006;;;;-0,089;-0,047;-0,062;-0,067;-0,053;-0,145;
2022-10-27;-0,129;-0,108;-0,123;-0,074;-0,039;-0,090;-0,118;0,004;;;;-0,088;-0,045;-0,060;-0,065;-0,053;-0,144;
2022-10-28;-0,120;-0,102;-0,120;-0,074;-0,039;-0,087;-0,117;-0,007;;;;-0,086;-0,047;-0,058;-0,062;-0,053;-0,145;
2022-10-31;-0,123;-0,105;-0,119;-0,075;-0,039;-0,087;-0,118;-0,009;;;;-0,086;-0,048;-0,060;-0,065;-0,053;-0,151;
2022-11-01;-0,123;-0,102;-0,114;-0,072;-0,039;-0,085;-0,115;0,013;;;;-0,085;-0,048;-0,057;-0,062;-0,053;-0,148;
2022-11-02;-0,129;-0,099;-0,111;-0,071;;;;0,025;;;;-0,084;-0,046;-0,056;-0,061;-0,053;-0,146;
2022-11-03;;;;;-0,039;-0,089;-0,119;;;;;;;;;;;
2022-11-04;-0,136;-0,100;-0,106;-0,075;-0,039;-0,085;-0,112;0,047;;;;-0,086;-0,050;-0,055;-0,058;-0,053;-0,150;
2022-11-07;-0,130;-0,093;-0,106;-0,072;-0,039;-0,082;-0,107;0,041;;;;-0,086;-0,043;-0,053;-0,056;-0,053;-0,143;
2022-11-08;-0,127;-0,088;-0,103;-0,064;-0,039;-0,080;-0,101;0,035;;;;-0,084;-0,041;-0,052;-0,055;-0,053;-0,137;
2022-11-09;-0,132;-0,093;-0,111;;-0,039;-0,081;-0,102;0,023;;;;-0,084;-0,041;-0,051;-0,053;-0,053;-0,138;
2022-11-10;-0,119;-0,086;-0,109;-0,048;-0,037;-0,073;-0,090;0,030;;;;-0,075;-0,033;-0,041;-0,042;-0,053;-0,119;
2022-11-11;-0,114;-0,084;-0,109;-0,041;;;-0,088;0,043;;;;-0,075;-0,032;-0,041;-0,041;-0,052;-0,109;
2022-11-14;-0,114;-0,087;-0,112;-0,044;-0,038;-0,073;-0,088;0,045;;;;-0,073;-0,026;-0,040;-0,040;-0,052;-0,110;
2022-11-15;-0,110;-0,092;-0,111;-0,049;-0,037;-0,072;-0,090;0,065;;;;-0,073;-0,025;-0,043;-0,043;-0,052;-0,115;
2022-11-16;-0,111;-0,092;-0,110;-0,057;-0,037;-0,075;-0,095;0,064;;;;-0,075;-0,030;-0,044;-0,045;-0,052;-0,120;
2022-11-17;-0,111;-0,096;-0,114;-0,062;;;;0,060;;;;-0,077;-0,029;-0,047;-0,048;-0,052;-0,127;
2022-11-18;;;;-0,057;-0,036;-0,071;-0,092;;;;;;;;;;;
2022-11-21;-0,113;-0,092;-0,119;;-0,035;-0,070;-0,093;0,063;;;;-0,071;-0,020;-0,043;-0,044;-0,052;-0,120;
2022-11-22;-0,114;-0,089;-0,111;-0,055;-0,035;-0,068;-0,090;0,052;;;;-0,071;-0,018;-0,041;-0,042;-0,052;-0,119;
2022-11-23;-0,111;-0,083;-0,108;-0,052;-0,035;-0,069;-0,088;0,052;;;;-0,070;-0,018;-0,041;-0,041;-0,052;-0,117;
2022-11-24;;-0,082;-0,106;-0,047;;;-0,087;0,046;;;;-0,070;-0,017;-0,040;-0,040;-0,052;-0,112;
2022-11-25;-0,117;-0,084;-0,107;-0,047;-0,035;-0,068;-0,085;0,038;;;;-0,070;-0,016;-0,039;-0,039;-0,052;-0,110;
2022-11-28;-0,118;-0,088;-0,113;-0,051;;;;0,035;;;;-0,072;-0,021;-0,041;-0,042;-0,052;-0,113;
2022-11-29;;;;;-0,035;-0,069;-0,090;;;;;;;;;;;
2022-11-30;-0,106;-0,084;-0,105;-0,054;-0,034;-0,063;-0,089;0,073;;;;-0,071;-0,019;-0,039;-0,039;-0,051;-0,117;
2022-12-01;-0,105;-0,077;-0,102;-0,047;-0,034;-0,065;-0,085;0,076;;;;-0,067;-0,015;-0,036;-0,035;-0,051;-0,108;
2022-12-02;-0,107;-0,075;-0,103;-0,043;-0,033;-0,063;-0,083;0,072;;;;-0,068;-0,012;-0,036;-0,035;-0,051;-0,106;
2022-12-05;-0,103;-0,073;-0,103;-0,041;-0,034;-0,065;-0,082;0,093;;;;-0,069;-0,017;-0,034;-0,032;-0,051;-0,100;
2022-12-06;-0,110;-0,078;-0,108;-0,050;-0,034;-0,069;-0,088;0,093;;;;-0,070;-0,020;-0,036;-0,034;-0,051;-0,108;
2022-12-07;;;;-0,052;-0,034;-0,073;-0,093;0,083;;;;-0,074;-0,023;-0,038;-0,038;-0,051;-0,115;
2022-12-08;-0,113;-0,086;-0,118;-0,052;-0,034;-0,072;-0,093;0,095;;;;-0,073;-0,022;-0,040;-0,040;-0,051;-0,117;
2022-12-09;-0,112;-0,080;-0,114;-0,045;-0,034;-0,069;-0,087;0,100;;;;-0,071;-0,018;-0,035;-0,034;-0,051;-0,109;
2022-12-12;-0,110;-0,086;-0,116;-0,046;;;;0,091;;;;-0,073;-0,019;-0,036;-0,035;-0,051;-0,110;
2022-12-13;;;;;-0,033;-0,068;-0,083;;;;;;;;;;;
2022-12-14;-0,109;-0,080;-0,111;-0,035;-0,033;-0,067;-0,082;0,089;;;;-0,068;-0,017;-0,030;-0,027;-0,050;-0,095;
2022-12-15;-0,116;-0,089;-0,111;-0,052;-0,035;-0,076;-0,095;0,085;;;;-0,077;-0,022;-0,036;-0,035;-0,050;-0,112;
2022-12-16;-0,117;-0,092;-0,112;-0,059;-0,035;-0,080;-0,102;0,090;;;;-0,080;-0,025;-0,037;-0,037;-0,050;-0,118;
2022-12-19;-0,120;-0,089;-0,111;-0,063;-0,035;-0,080;-0,102;0,087;;;;-0,082;-0,026;-0,039;-0,039;-0,050;-0,126;
2022-12-20;-0,124;-0,092;-0,110;-0,066;-0,035;-0,081;-0,103;0,080;;;;-0,084;-0,027;-0,041;-0,040;-0,050;-0,129;
2022-12-21;-0,117;-0,085;-0,104;-0,060;-0,034;-0,076;-0,097;0,082;;;;-0,082;-0,024;-0,038;-0,037;-0,050;-0,128;
2022-12-22;-0,119;-0,084;-0,101;-0,065;-0,035;-0,078;-0,102;0,089;;;;-0,083;-0,022;-0,037;-0,036;-0,050;-0,128;
2022-12-23;-0,116;-0,081;-0,104;-0,061;-0,034;-0,074;-0,098;0,090;;;;-0,082;-0,019;-0,036;-0,034;-0,050;-0,126;
2022-12-27;-0,120;-0,079;-0,102;-0,060;-0,035;-0,075;-0,096;;;;;-0,083;;-0,033;-0,031;-0,050;-0,124;
2022-12-28;-0,121;-0,080;-0,105;-0,064;-0,035;-0,078;-0,100;0,098;;;;-0,083;-0,020;-0,034;-0,032;-0,050;-0,123;
2022-12-29;-0,115;-0,076;-0,102;-0,056;-0,034;-0,073;-0,094;0,097;;;;-0,081;-0,017;-0,032;-0,030;-0,050;-0,119;
2022-12-30;-0,120;-0,084;-0,100;-0,062;-0,035;-0,078;-0,101;0,096;;;;-0,083;-0,019;-0,034;-0,032;-0,050;-0,119;
2023-01-02;;-0,074;-0,098;-0,057;-0,034;;-0,093;;;;;-0,081;;-0,033;-0,031;-0,050;-0,120;
2023-01-03;-0,105;-0,068;-0,101;-0,056;-0,033;-0,070;-0,091;0,109;;;;-0,077;-0,011;-0,030;-0,027;-0,050;-0,113;
2023-01-04;-0,110;-0,070;-0,108;-0,058;-0,032;-0,066;-0,086;0,121;;;;-0,075;-0,008;-0,028;-0,025;-0,049;-0,113;
2023-01-05;-0,110;-0,069;-0,110;-0,059;-0,031;-0,062;-0,081;0,128;;;;-0,072;-0,009;-0,027;-0,024;-0,049;-0,112;
2023-01-09;-0,104;-0,061;-0,099;-0,052;-0,031;-0,057;-0,073;0,136;;;;-0,068;-0,005;-0,023;-0,019;-0,049;-0,105;
2023-01-10;-0,103;-0,068;-0,105;-0,053;-0,031;-0,058;-0,075;0,129;;;;-0,069;-0,007;-0,024;-0,020;-0,049;-0,103;
2023-01-11;-0,096;-0,068;-0,106;-0,050;-0,030;-0,053;-0,070;0,133;;;;-0,064;-0,002;-0,023;-0,018;-0,049;-0,098;
2023-01-12;-0,096;-0,065;-0,101;-0,047;-0,029;-0,050;-0,065;0,134;;;;-0,062;0,001;-0,021;-0,016;-0,049;-0,090;
2023-01-13;-0,091;-0,062;-0,094;-0,046;-0,029;-0,051;-0,067;0,139;;;;-0,062;0,000;-0,022;-0,017;-0,049;-0,092;
2023-01-16;;-0,058;-0,096;-0,042;-0,029;;-0,064;0,141;;;;-0,061;0,003;-0,020;-0,015;-0,049;-0,087;
2023-01-17;-0,093;-0,061;-0,094;-0,042;-0,028;-0,051;-0,066;0,138;;;;-0,061;0,002;-0,020;-0,016;-0,049;-0,090;
2023-01-18;-0,094;-0,058;-0,097;-0,043;-0,029;-0,054;-0,065;0,135;;;;-0,060;0,003;-0,019;-0,014;-0,048;-0,081;
2023-01-19;-0,103;-0,067;-0,105;-0,051;-0,029;-0,058;-0,074;0,133;;;;-0,066;-0,004;-0,024;-0,020;-0,048;-0,091;
2023-01-20;-0,091;-0,061;-0,102;-0,044;-0,029;-0,055;-0,069;0,140;;;;-0,067;-0,002;-0,025;-0,021;-0,048;-0,092;
2023-01-23;-0,088;-0,057;-0,095;-0,037;-0,030;-0,052;-0,065;;;;;-0,064;-0,003;-0,023;-0,018;-0,048;-0,086;
2023-01-24;-0,087;-0,057;-0,100;-0,038;-0,030;-0,053;-0,065;;;;;-0,064;-0,004;-0,022;-0,018;-0,048;-0,085;
2023-01-25;-0,089;-0,066;-0,107;-0,042;;;;;;;;-0,065;-0,005;-0,025;-0,021;-0,048;-0,089;
2023-01-26;;;;;-0,029;-0,051;-0,067;;;;;;;;;;;
2023-01-27;-0,081;-0,062;-0,098;-0,033;-0,029;-0,048;-0,062;0,154;;;;-0,062;0,001;-0,024;-0,020;-0,047;-0,081;
2023-01-30;-0,085;-0,061;-0,096;-0,038;-0,029;-0,049;-0,062;0,137;;;;-0,061;0,004;-0,023;-0,018;-0,047;-0,083;
2023-01-31;-0,082;-0,066;-0,097;-0,042;-0,028;-0,046;-0,064;0,136;;;;-0,061;0,005;-0,023;-0,019;-0,047;-0,088;
2023-02-01;-0,075;-0,057;-0,092;-0,035;-0,028;-0,044;-0,061;0,142;;;;-0,059;0,009;-0,019;-0,014;-0,047;-0,076;
2023-02-02;-0,064;-0,051;-0,094;-0,015;;;;0,135;;;;-0,053;0,015;-0,015;-0,008;-0,047;-0,060;
2023-02-03;;;;;-0,025;-0,037;-0,050;;;;;;;;;;;
2023-02-06;-0,067;-0,055;-0,098;-0,026;-0,025;-0,041;-0,057;0,129;;;;-0,053;0,014;-0,017;-0,011;-0,046;-0,064;
2023-02-07;-0,065;-0,056;-0,093;-0,026;-0,026;-0,039;-0,056;0,133;;;;-0,053;0,011;-0,017;-0,011;-0,046;-0,066;
2023-02-08;-0,068;-0,057;-0,084;-0,028;-0,026;-0,041;-0,058;0,127;;;;-0,053;0,013;-0,016;-0,009;-0,046;-0,064;
2023-02-09;-0,075;-0,055;-0,087;-0,034;-0,028;-0,048;-0,060;0,133;;;;-0,059;0,008;-0,019;-0,013;-0,046;-0,071;
2023-02-10;-0,082;-0,064;-0,088;-0,040;-0,028;-0,049;-0,066;0,118;;;;-0,063;0,005;-0,023;-0,019;-0,046;-0,076;
2023-02-13;-0,076;-0,055;-0,086;-0,036;-0,028;-0,045;-0,060;0,126;;;;-0,060;0,007;-0,020;-0,014;-0,046;-0,068;
2023-02-14;-0,075;-0,057;-0,086;-0,032;-0,028;-0,045;-0,059;0,119;;;;-0,060;0,006;-0,019;-0,013;-0,045;-0,063;
2023-02-15;-0,073;-0,056;-0,084;-0,030;-0,027;-0,043;-0,057;0,115;;;;-0,060;0,007;-0,019;-0,014;-0,045;-0,065;
2023-02-16;-0,075;-0,054;-0,081;-0,030;-0,027;-0,043;-0,056;0,117;;;;-0,059;0,009;-0,021;-0,016;-0,045;-0,069;
2023-02-17;-0,078;-0,057;-0,085;-0,033;-0,027;;-0,057;0,116;;;;-0,060;0,011;-0,020;-0,015;-0,045;-0,069;
2023-02-20;;-0,058;-0,086;-0,035;;;;0,117;;;;-0,062;0,007;-0,021;-0,017;-0,045;-0,070;
2023-02-21;;;;;-0,029;-0,050;-0,061;;;;;;;;;;;
2023-02-22;-0,090;-0,063;-0,096;-0,045;;;;0,099;;;;-0,067;-0,001;-0,026;-0,022;-0,045;-0,082;
2023-02-23;;;;;-0,028;-0,048;-0,059;;;;;;;;;;;
2023-02-24;-0,091;-0,064;-0,092;-0,053;-0,028;-0,050;-0,061;0,091;;;;-0,068;0,001;-0,027;-0,023;-0,044;-0,087;
2023-02-27;-0,090;-0,056;-0,086;-0,046;-0,028;-0,048;-0,055;0,093;;;;-0,065;0,008;-0,023;-0,019;-0,044;-0,079;
2023-02-28;-0,091;-0,059;-0,085;-0,042;-0,029;-0,048;-0,056;0,089;;;;-0,066;0,008;-0,025;-0,021;-0,044;-0,078;
2023-03-01;-0,089;-0,058;-0,082;-0,043;-0,029;-0,049;-0,058;0,107;;;;-0,066;0,010;-0,025;-0,021;-0,044;-0,077;
2023-03-02;-0,086;-0,056;-0,080;-0,045;;;;0,106;;;;-0,067;0,008;-0,027;-0,023;-0,044;-0,079;
2023-03-03;;;;;-0,027;-0,041;-0,051;;;;;;;;;;;
2023-03-06;-0,080;-0,049;-0,081;-0,040;-0,028;-0,041;-0,049;0,107;;;;-0,061;0,010;-0,023;-0,018;-0,044;-0,072;
2023-03-07;-0,079;-0,052;-0,087;-0,043;-0,027;-0,041;-0,051;0,099;;;;-0,059;0,012;-0,023;-0,018;-0,044;-0,073;
2023-03-08;-0,080;-0,053;-0,086;-0,046;-0,027;-0,041;-0,051;0,101;;;;-0,061;0,006;-0,024;-0,020;-0,044;-0,080;
2023-03-09;-0,084;-0,053;-0,085;-0,046;-0,027;-0,043;-0,052;0,094;;;;;0,008;-0,025;-0,021;-0,044;-0,080;
2023-03-10;-0,095;-0,058;-0,090;-0,056;-0,027;-0,053;-0,063;0,088;;;;-0,068;0,003;-0,030;-0,028;-0,044;-0,091;
2023-03-13;-0,096;-0,066;-0,101;-0,063;-0,027;-0,060;-0,071;0,094;;;;-0,069;-0,009;-0,034;-0,032;-0,044;-0,100;
2023-03-14;-0,093;-0,062;-0,098;-0,057;-0,028;-0,056;-0,065;0,086;;;;-0,069;-0,004;-0,031;-0,029;-0,044;-0,088;
2023-03-15;-0,095;-0,080;-0,119;-0,068;-0,028;-0,066;-0,082;0,072;;;;-0,074;-0,017;-0,038;-0,038;-0,044;-0,098;
2023-03-16;-0,091;-0,075;-0,123;-0,060;-0,028;-0,064;-0,079;0,079;;;;-0,074;-0,019;-0,038;-0,038;-0,045;-0,094;
2023-03-17;-0,097;-0,082;-0,125;-0,066;-0,029;-0,070;-0,086;0,081;;;;-0,075;-0,023;-0,042;-0,043;-0,045;-0,099;
2023-03-20;-0,099;-0,077;-0,121;-0,063;-0,029;-0,068;-0,082;0,074;;;;-0,073;-0,020;-0,038;-0,037;-0,045;-0,092;
2023-03-21;-0,096;-0,073;-0,117;-0,057;-0,028;-0,063;-0,076;0,075;;;;-0,073;-0,017;-0,036;-0,035;-0,045;-0,089;
2023-03-22;-0,098;-0,074;-0,115;-0,061;-0,028;-0,064;-0,076;0,076;;;;-0,071;-0,015;-0,035;-0,034;-0,045;-0,090;
2023-03-23;-0,094;-0,075;-0,112;-0,058;-0,028;-0,066;-0,078;0,085;;;;-0,073;-0,015;-0,036;-0,035;-0,045;-0,089;
2023-03-24;-0,091;-0,078;-0,120;-0,066;-0,028;-0,068;-0,086;0,087;;;;-0,074;-0,021;-0,039;-0,039;-0,045;-0,095;
2023-03-27;-0,094;-0,075;-0,114;-0,061;;;;0,079;;;;-0,072;-0,017;-0,037;-0,036;-0,045;-0,090;
2023-03-28;;;;;-0,028;-0,065;-0,080;;;;;;;;;;;
2023-03-29;-0,088;-0,068;-0,105;-0,056;-0,027;-0,058;-0,073;0,090;;;;-0,069;-0,013;-0,035;-0,034;-0,045;-0,085;
2023-03-30;-0,084;-0,060;-0,099;-0,046;-0,026;-0,052;-0,062;0,097;;;;-0,066;-0,005;-0,030;-0,027;-0,044;-0,074;
2023-03-31;-0,075;-0,059;-0,097;-0,041;-0,025;-0,047;-0,057;0,096;;;;-0,063;-0,003;-0,024;-0,020;-0,044;-0,066;
2023-04-03;-0,078;-0,061;-0,091;-0,045;;;;0,098;;;;-0,061;-0,001;-0,025;-0,021;-0,044;-0,071;
2023-04-04;-0,073;-0,052;-0,087;;-0,025;-0,049;-0,057;0,092;;;;;;;;;;
2023-04-05;-0,080;-0,061;-0,093;-0,046;-0,023;-0,050;-0,063;;;;;-0,063;-0,009;-0,025;-0,022;-0,044;-0,073;
2023-04-06;;;;-0,044;-0,023;-0,047;-0,060;0,093;;;;-0,062;-0,007;-0,025;-0,021;-0,044;-0,074;
2023-04-11;-0,068;-0,050;-0,087;-0,038;-0,022;-0,042;-0,053;0,097;;;;-0,060;-0,004;-0,021;-0,015;-0,044;-0,066;
2023-04-12;-0,079;-0,055;-0,093;-0,039;-0,023;-0,042;-0,050;0,086;;;;-0,061;-0,005;-0,019;-0,014;-0,043;-0,063;
2023-04-13;-0,075;-0,052;-0,091;-0,038;-0,023;-0,041;-0,049;0,084;;;;-0,062;-0,003;-0,019;-0,013;-0,043;-0,063;
2023-04-14;-0,069;-0,046;-0,091;-0,032;-0,023;-0,037;-0,043;0,081;;;;-0,057;0,001;-0,014;-0,007;-0,043;-0,056;
2023-04-17;-0,065;-0,043;-0,092;-0,031;-0,022;-0,037;-0,042;0,087;;;;-0,058;0,000;-0,015;-0,008;-0,043;-0,054;
2023-04-18;-0,069;-0,046;-0,095;-0,031;-0,023;-0,037;-0,042;0,086;;;;-0,057;0,000;-0,014;-0,007;-0,042;-0,053;
2023-04-19;-0,068;-0,048;-0,098;-0,034;-0,023;-0,039;-0,044;0,081;;;;-0,059;-0,001;-0,015;-0,008;-0,042;-0,055;
2023-04-20;-0,073;-0,052;-0,104;-0,040;-0,022;-0,040;-0,045;0,083;;;;-0,060;-0,004;-0,016;-0,009;-0,042;-0,060;
2023-04-21;-0,075;-0,054;-0,106;-0,039;-0,022;-0,040;-0,046;0,072;;;;-0,060;-0,003;-0,015;-0,008;-0,042;-0,058;
2023-04-24;-0,078;-0,052;-0,102;-0,039;;;;0,064;;;;-0,060;-0,002;-0,014;-0,007;-0,042;-0,057;
2023-04-25;;;;;-0,021;-0,043;-0,048;;;;;;;;;;;
2023-04-26;-0,082;-0,054;-0,105;-0,044;-0,021;-0,044;-0,049;0,055;;;;-0,063;-0,005;-0,018;-0,012;-0,042;-0,063;
2023-04-27;-0,071;-0,051;-0,101;-0,042;-0,021;-0,042;-0,048;0,059;;;;-0,060;-0,001;-0,015;-0,009;-0,042;-0,058;
2023-04-28;-0,066;-0,043;-0,092;-0,037;-0,020;-0,039;-0,043;0,060;;;;-0,058;0,003;-0,013;-0,006;-0,041;-0,055;
2023-05-02;-0,070;-0,047;-0,101;-0,041;-0,020;-0,043;-0,049;0,057;;;;-0,058;0,001;-0,014;-0,007;-0,041;-0,058;
2023-05-03;-0,075;-0,051;-0,107;-0,040;-0,020;-0,045;-0,049;0,054;;;;-0,059;-0,003;-0,015;-0,009;-0,041;-0,056;
2023-05-04;-0,078;-0,056;-0,111;-0,039;-0,020;-0,047;-0,052;0,055;;;;-0,061;-0,008;-0,016;-0,010;-0,041;-0,055;
2023-05-05;-0,075;-0,052;-0,106;-0,034;-0,021;-0,044;-0,048;0,055;;;;-0,060;-0,010;-0,016;-0,010;-0,041;-0,050;
2023-05-08;-0,074;-0,052;-0,104;-0,036;-0,021;-0,043;-0,047;0,052;;;;-0,060;;-0,016;-0,010;-0,041;-0,055;
2023-05-09;-0,073;-0,053;-0,101;-0,042;-0,021;-0,046;-0,051;0,044;;;;-0,061;-0,011;-0,020;-0,015;-0,041;-0,063;
2023-05-10;-0,073;-0,054;-0,097;-0,045;-0,021;-0,047;-0,054;0,044;;;;-0,062;-0,010;-0,020;-0,015;-0,041;-0,064;
2023-05-11;-0,064;-0,048;-0,095;-0,038;-0,020;-0,044;-0,051;0,046;;;;-0,059;-0,007;-0,018;-0,012;-0,041;-0,055;
2023-05-12;-0,069;-0,052;-0,097;-0,040;-0,020;-0,043;-0,050;0,047;;;;-0,058;-0,005;-0,016;-0,010;-0,041;-0,055;
2023-05-15;-0,066;-0,048;-0,092;-0,036;-0,020;-0,041;-0,047;0,057;;;;-0,057;-0,003;-0,015;-0,008;-0,040;-0,053;
2023-05-16;;;;-0,041;-0,020;-0,043;-0,051;0,056;;;;-0,058;-0,003;-0,017;-0,011;-0,040;-0,055;
2023-05-17;;;;-0,043;-0,020;-0,041;-0,051;0,052;;;;-0,057;-0,003;-0,017;-0,011;-0,040;-0,056;
2023-05-19;-0,055;-0,046;-0,090;-0,037;-0,020;-0,035;-0,044;0,053;;;;-0,051;0,005;-0,013;-0,006;-0,040;-0,049;
2023-05-22;-0,055;-0,048;-0,093;-0,037;-0,020;-0,034;-0,044;0,058;;;;-0,052;0,005;-0,014;-0,007;-0,040;-0,050;
2023-05-23;-0,057;-0,050;-0,087;-0,036;-0,020;-0,036;-0,045;0,053;;;;-0,052;0,007;-0,013;-0,007;-0,040;-0,049;
2023-05-24;-0,060;-0,060;-0,088;-0,047;-0,020;-0,040;-0,052;0,050;;;;-0,056;0,002;-0,018;-0,013;-0,040;-0,059;
2023-05-25;-0,049;-0,060;-0,089;-0,050;;-0,039;;0,046;;;;-0,055;0,004;-0,018;-0,012;-0,040;-0,061;
2023-05-26;;;;;-0,020;-0,035;-0,049;;;;;;0,005;;;;;
2023-05-29;;;;-0,046;-0,020;;-0,051;0,045;;;;-0,052;;-0,018;-0,012;-0,040;-0,060;
2023-05-30;-0,043;-0,058;-0,091;-0,047;-0,020;-0,038;-0,055;0,047;;;;-0,051;0,008;-0,017;-0,011;-0,040;-0,060;
2023-05-31;-0,052;-0,069;-0,097;-0,049;-0,021;-0,042;-0,061;0,039;;;;-0,053;0,005;-0,019;-0,014;-0,039;-0,061;
2023-06-01;-0,045;-0,066;-0,095;-0,046;-0,020;-0,039;-0,057;0,040;;;;-0,053;0,008;-0,020;-0,015;-0,040;-0,063;
2023-06-02;-0,040;-0,056;-0,087;-0,036;-0,020;-0,034;-0,049;0,054;;;;-0,049;0,010;-0,016;-0,009;-0,039;-0,051;
2023-06-05;-0,038;-0,055;-0,084;-0,035;-0,019;-0,034;-0,052;0,054;;;;-0,046;0,011;-0,013;-0,006;-0,039;-0,047;
2023-06-07;-0,041;-0,055;-0,088;-0,033;-0,020;-0,032;-0,050;0,059;;;;-0,045;0,011;-0,012;-0,005;-0,039;-0,046;
2023-06-08;-0,041;-0,055;-0,083;-0,037;-0,020;-0,033;-0,050;0,059;;;;-0,047;0,011;-0,012;-0,004;-0,039;-0,052;
2023-06-09;-0,043;-0,056;-0,079;-0,036;-0,020;-0,032;-0,050;0,060;;;;-0,046;0,011;-0,011;-0,003;-0,039;-0,050;
2023-06-12;-0,035;-0,052;-0,079;-0,035;-0,020;-0,033;-0,051;0,062;;;;-0,046;0,012;-0,011;-0,003;-0,039;-0,049;
2023-06-13;-0,040;-0,055;-0,077;-0,032;-0,020;-0,032;-0,049;0,063;;;;-0,044;0,014;-0,010;-0,001;-0,039;-0,044;
2023-06-14;-0,039;-0,052;-0,077;-0,033;-0,020;-0,033;-0,049;0,060;;;;-0,045;0,014;-0,010;-0,002;-0,039;-0,046;
2023-06-15;-0,040;-0,053;-0,078;-0,037;-0,020;-0,032;-0,050;0,078;;;;-0,046;0,013;-0,011;-0,004;-0,039;-0,051;
2023-06-16;-0,035;-0,049;-0,075;-0,036;-0,019;-0,031;-0,047;0,076;;;;-0,044;0,015;-0,010;-0,001;-0,039;-0,052;
2023-06-19;;-0,053;-0,077;-0,045;-0,019;;-0,053;0,074;;;;-0,045;0,015;-0,012;-0,004;-0,039;-0,058;
2023-06-20;-0,035;-0,056;-0,077;-0,049;-0,018;-0,033;-0,056;0,067;;;;-0,046;0,014;-0,012;-0,005;-0,039;-0,061;
2023-06-21;-0,038;-0,059;-0,079;-0,057;-0,019;-0,037;-0,058;0,059;;;;-0,049;0,009;-0,016;-0,009;-0,039;-0,072;
2023-06-22;-0,037;-0,066;-0,085;-0,060;-0,019;-0,040;-0,065;;;;;-0,053;0,002;-0,019;-0,013;-0,039;-0,076;
2023-06-26;-0,046;-0,071;-0,095;-0,064;;;;0,046;;;;-0,052;-0,002;-0,019;-0,015;-0,038;-0,077;
2023-06-27;;;;;-0,019;-0,039;-0,064;;;;;;;;;;;
2023-06-28;-0,039;-0,064;-0,089;-0,058;-0,018;-0,036;-0,060;0,053;;;;-0,049;0,003;-0,017;-0,011;-0,038;-0,072;
2023-06-29;-0,036;-0,062;-0,083;-0,055;-0,018;-0,033;-0,056;0,051;;;;-0,046;0,002;-0,015;-0,008;-0,038;-0,067;
2023-06-30;-0,029;-0,052;-0,074;-0,056;-0,017;-0,030;-0,052;0,053;;;;-0,045;0,002;-0,012;-0,005;-0,038;-0,068;
2023-07-03;-0,030;-0,055;-0,072;-0,062;-0,017;;-0,052;0,059;;;;-0,045;0,000;-0,014;-0,007;-0,038;-0,080;
2023-07-04;;-0,051;-0,068;-0,057;;;;0,063;;;;-0,045;-0,001;-0,013;-0,006;-0,038;-0,075;
2023-07-05;;;;;-0,017;-0,030;-0,052;;;;;;;;;;;
2023-07-06;-0,026;-0,056;-0,072;-0,069;-0,018;-0,035;-0,059;0,052;;;;-0,049;-0,006;-0,018;-0,012;-0,038;-0,083;
2023-07-07;-0,034;-0,057;-0,073;-0,064;-0,019;-0,036;-0,058;0,049;;;;-0,049;-0,006;-0,018;-0,013;-0,037;-0,081;
2023-07-10;-0,035;-0,058;-0,071;-0,068;-0,019;-0,037;-0,059;0,049;;;;-0,051;-0,006;-0,019;-0,014;-0,037;-0,085;
2023-07-11;-0,039;-0,060;-0,073;-0,068;-0,019;-0,037;-0,057;0,050;;;;-0,052;-0,010;-0,019;-0,015;-0,037;-0,085;
2023-07-12;-0,040;-0,054;-0,067;-0,063;-0,020;-0,037;-0,053;0,052;;;;-0,052;-0,010;-0,019;-0,015;-0,037;-0,080;
2023-07-13;-0,041;-0,059;-0,071;-0,067;-0,020;-0,040;-0,055;0,054;;;;-0,052;-0,013;-0,019;-0,014;-0,037;-0,085;
2023-07-14;-0,039;-0,059;-0,077;-0,070;-0,020;-0,040;-0,058;0,048;;;;-0,053;-0,011;-0,022;-0,018;-0,037;-0,092;
2023-07-17;-0,039;-0,059;-0,080;-0,073;-0,020;-0,040;-0,058;;;;;-0,053;-0,014;-0,024;-0,020;-0,037;-0,098;
2023-07-18;-0,041;-0,057;-0,081;-0,071;-0,020;-0,038;-0,053;0,037;;;;-0,051;-0,013;-0,022;-0,018;-0,037;-0,096;
2023-07-19;-0,039;-0,060;-0,078;-0,065;-0,019;-0,038;-0,055;0,037;;;;-0,050;-0,011;-0,021;-0,016;-0,037;-0,091;
