
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2022-10-21;-0,111;-0,096;;-0,117;-0,084;-0,050;-0,019;-0,051;-0,147;-0,096;-0,007;-0,141;-0,142;-0,294;-0,033;-0,060;0,033;
2022-10-24;-0,104;-0,089;;-0,109;-0,083;-0,049;-0,010;-0,042;-0,137;-0,093;-0,006;-0,129;-0,129;-0,288;-0,026;-0,056;0,041;
2022-10-25;-0,108;-0,079;;-0,112;-0,081;-0,048;-0,013;-0,046;-0,136;-0,091;-0,004;-0,123;-0,123;-0,290;-0,026;-0,056;0,045;
2022-10-26;-0,109;-0,072;;-0,114;-0,079;-0,048;-0,008;-0,046;-0,134;-0,092;-0,005;-0,121;-0,120;-0,288;-0,028;-0,057;0,041;
2022-10-27;-0,108;-0,072;;-0,114;-0,076;-0,046;-0,011;-0,043;-0,132;-0,092;-0,003;-0,120;-0,119;-0,287;-0,027;-0,060;0,044;
2022-10-28;-0,107;-0,072;;-0,111;-0,074;-0,047;-0,010;-0,038;-0,132;-0,088;-0,004;-0,120;-0,119;-0,285;-0,023;-0,059;0,047;
2022-10-31;-0,100;-0,076;;-0,104;-0,075;-0,047;-0,002;-0,031;-0,134;-0,088;-0,004;-0,124;-0,123;;-0,025;-0,050;0,055;
2022-11-01;-0,101;-0,074;;-0,105;;;-0,005;-0,026;-0,132;;;-0,119;;;-0,025;-0,051;0,055;
2022-11-02;-0,100;-0,071;;-0,106;;-0,047;-0,002;-0,026;-0,132;;-0,004;-0,117;-0,116;-0,277;-0,028;-0,050;0,057;
2022-11-03;;;;;-0,078;-0,048;;;;-0,093;-0,006;;-0,123;-0,280;;;;
2022-11-04;-0,108;-0,073;;-0,115;-0,077;;-0,011;-0,039;-0,128;-0,093;;-0,117;;;-0,031;-0,059;0,057;
2022-11-07;-0,110;-0,072;;-0,118;-0,077;-0,049;-0,013;-0,043;-0,126;-0,092;-0,005;-0,114;-0,113;-0,267;-0,032;-0,058;0,049;
2022-11-08;-0,107;-0,063;;-0,114;-0,076;-0,048;-0,012;-0,039;-0,123;-0,092;-0,005;-0,109;-0,108;-0,265;-0,034;-0,056;0,053;
2022-11-09;-0,106;-0,063;;-0,114;-0,078;-0,047;-0,011;-0,042;-0,122;-0,093;-0,004;-0,108;-0,108;-0,266;-0,031;-0,058;0,050;
2022-11-10;-0,103;-0,049;;-0,108;-0,071;-0,044;-0,009;-0,034;-0,112;-0,084;-0,000;-0,090;-0,089;-0,256;-0,027;-0,058;0,056;
2022-11-11;-0,108;-0,041;;-0,115;;-0,045;-0,021;-0,036;-0,113;-0,086;-0,002;-0,085;-0,083;-0,260;-0,029;-0,051;0,048;
2022-11-14;-0,103;-0,039;;-0,111;-0,068;-0,045;-0,016;-0,037;-0,111;-0,085;-0,001;-0,085;-0,083;-0,256;-0,032;-0,053;0,036;
2022-11-15;-0,102;-0,043;;-0,110;-0,066;-0,044;-0,017;-0,035;-0,113;-0,084;-0,001;-0,090;-0,088;-0,248;-0,027;-0,053;0,043;
2022-11-16;-0,104;-0,051;;-0,112;-0,066;-0,043;-0,017;-0,036;-0,114;-0,085;0,000;-0,092;-0,090;-0,250;-0,024;-0,050;0,044;
2022-11-17;-0,104;-0,050;;-0,112;;;-0,018;-0,038;-0,117;;0,000;-0,097;-0,096;;-0,020;-0,049;0,048;
2022-11-18;;;;;-0,067;-0,043;;;;-0,082;;;;-0,247;;;;
2022-11-21;-0,096;-0,044;;-0,103;-0,067;-0,043;-0,007;-0,030;-0,111;-0,081;0,002;-0,091;-0,089;-0,248;-0,017;-0,040;0,060;
2022-11-22;-0,093;-0,043;;-0,100;-0,065;-0,042;-0,006;-0,030;-0,109;-0,079;0,002;-0,089;-0,088;-0,246;-0,017;-0,040;0,062;
2022-11-23;-0,095;-0,041;;-0,102;-0,063;-0,042;-0,008;-0,029;-0,107;-0,080;0,002;-0,086;-0,085;-0,245;-0,016;-0,039;0,063;
2022-11-24;;-0,039;;;;-0,041;;;-0,108;;0,003;-0,086;-0,084;-0,241;-0,014;-0,042;0,057;
2022-11-25;-0,096;-0,038;;-0,103;-0,062;-0,042;-0,009;-0,033;-0,106;-0,080;0,001;-0,084;-0,083;-0,242;-0,019;-0,044;0,055;
2022-11-28;-0,098;-0,040;;-0,105;;;-0,006;-0,034;-0,109;;0,001;-0,087;-0,086;;-0,021;-0,046;0,056;
2022-11-29;;;;;-0,064;-0,041;;;;-0,081;;;;-0,242;;;;
2022-11-30;-0,096;-0,041;;-0,105;-0,063;-0,041;-0,003;-0,037;-0,104;-0,075;0,000;-0,087;-0,086;-0,237;-0,015;-0,042;0,060;
2022-12-01;-0,093;-0,036;;-0,101;-0,060;-0,039;-0,001;-0,030;-0,101;-0,077;0,005;-0,081;-0,080;-0,237;-0,012;-0,035;0,064;
2022-12-02;-0,093;-0,033;;-0,102;-0,060;-0,039;-0,002;-0,031;-0,100;-0,076;0,005;-0,081;-0,079;-0,245;-0,013;-0,039;0,058;
2022-12-05;-0,096;-0,035;;-0,106;-0,061;-0,039;-0,005;-0,038;-0,098;-0,079;0,005;-0,076;-0,075;-0,245;-0,014;-0,038;0,059;
2022-12-06;-0,099;-0,045;;-0,109;-0,061;-0,038;-0,008;-0,041;-0,101;-0,081;0,006;-0,081;-0,080;-0,244;;;;
2022-12-07;-0,104;-0,050;;-0,114;-0,061;-0,038;-0,011;-0,047;-0,106;-0,082;0,006;-0,088;-0,087;-0,247;-0,013;-0,043;0,058;
2022-12-08;-0,101;-0,053;;-0,111;-0,061;-0,038;-0,008;-0,044;-0,106;-0,081;0,006;-0,089;-0,088;-0,246;-0,011;-0,046;0,059;
2022-12-09;-0,100;-0,046;;-0,110;-0,061;-0,039;-0,006;-0,044;-0,099;-0,082;0,006;-0,081;-0,081;-0,243;-0,014;-0,045;0,060;
2022-12-12;-0,104;-0,047;;-0,113;;;-0,010;-0,047;-0,104;;0,007;-0,084;-0,083;;-0,015;-0,047;0,056;
2022-12-13;;;;;-0,058;-0,039;;;;-0,080;;;;-0,234;;;;
2022-12-14;-0,101;-0,037;;-0,109;-0,058;-0,038;-0,005;-0,041;-0,096;-0,080;0,006;-0,073;-0,072;-0,232;-0,019;-0,046;0,057;
2022-12-15;-0,111;-0,048;;-0,121;-0,059;-0,040;-0,010;-0,054;-0,105;-0,084;0,003;-0,088;-0,087;-0,234;-0,017;-0,046;0,061;
2022-12-16;-0,110;-0,053;;-0,121;-0,061;-0,041;-0,011;-0,051;-0,108;-0,087;0,000;-0,095;-0,094;-0,231;-0,022;-0,053;0,057;
2022-12-19;-0,111;-0,061;;-0,122;-0,062;-0,041;-0,014;-0,054;-0,109;-0,088;0,000;-0,100;-0,100;-0,228;-0,022;-0,055;0,053;
2022-12-20;-0,112;-0,064;;-0,124;-0,064;-0,042;-0,013;-0,056;-0,109;-0,089;-0,001;-0,103;-0,103;-0,223;-0,023;-0,056;0,054;
2022-12-21;-0,109;-0,064;;-0,120;-0,062;-0,042;-0,010;-0,049;-0,106;-0,086;-0,003;-0,101;-0,100;-0,217;-0,023;-0,054;0,056;
2022-12-22;-0,109;-0,064;;-0,120;-0,063;-0,042;-0,008;-0,050;-0,106;-0,088;-0,004;-0,101;-0,101;-0,217;-0,026;-0,050;0,057;
2022-12-23;-0,109;-0,063;;-0,120;-0,063;;-0,008;-0,049;-0,104;-0,086;;-0,100;-0,100;-0,214;-0,024;-0,050;0,060;
2022-12-27;-0,108;-0,060;;-0,119;-0,064;-0,043;-0,009;-0,048;-0,101;-0,088;-0,007;-0,096;-0,096;-0,216;-0,026;-0,049;0,059;
2022-12-28;-0,110;-0,062;;-0,121;-0,066;-0,043;-0,012;-0,049;-0,103;-0,091;-0,006;-0,097;-0,097;-0,218;-0,026;-0,048;0,055;
2022-12-29;-0,108;-0,057;;-0,119;-0,066;-0,043;-0,008;-0,048;-0,100;-0,087;-0,006;-0,094;-0,093;-0,212;-0,026;-0,052;0,055;
2022-12-30;-0,112;-0,058;;-0,123;-0,065;;-0,013;-0,051;-0,103;-0,089;;-0,096;-0,096;-0,215;-0,027;-0,050;0,056;
2023-01-02;;-0,058;;;;-0,042;;;-0,100;;-0,005;-0,097;-0,097;-0,209;-0,022;-0,047;0,058;
2023-01-03;-0,106;-0,051;;-0,117;-0,064;-0,042;-0,005;-0,042;-0,097;-0,086;-0,004;-0,091;-0,090;-0,205;-0,023;-0,043;0,061;
2023-01-04;-0,104;-0,052;;-0,114;-0,062;-0,041;-0,006;-0,037;-0,096;-0,084;-0,002;-0,088;-0,088;-0,201;-0,019;-0,042;0,059;
2023-01-05;-0,101;-0,052;;-0,112;-0,062;;-0,006;-0,036;-0,094;-0,082;;-0,086;;-0,201;-0,018;-0,037;0,057;
2023-01-09;-0,099;-0,047;;-0,110;-0,057;-0,041;-0,013;-0,034;-0,088;-0,081;-0,002;-0,077;-0,077;-0,192;-0,017;-0,032;0,061;
2023-01-10;-0,102;-0,048;;-0,114;-0,057;-0,041;-0,015;-0,034;-0,091;-0,080;-0,001;-0,077;-0,076;-0,192;-0,019;-0,037;0,050;
2023-01-11;-0,097;-0,043;;-0,108;-0,056;-0,040;-0,013;-0,025;-0,086;-0,075;0,001;-0,070;-0,070;-0,192;-0,013;-0,032;0,055;
2023-01-12;-0,093;-0,039;;-0,105;-0,053;-0,039;-0,013;-0,024;-0,082;-0,073;0,003;-0,066;-0,065;-0,187;-0,008;-0,025;0,059;
2023-01-13;-0,095;-0,037;;-0,107;-0,053;-0,039;-0,009;-0,026;-0,084;-0,074;0,003;-0,068;-0,067;-0,188;-0,007;-0,029;0,057;
2023-01-16;;-0,033;;;;-0,039;;;-0,080;;0,002;-0,064;-0,063;-0,185;-0,010;-0,025;0,061;
2023-01-17;-0,091;-0,032;;-0,103;-0,053;-0,037;-0,009;-0,023;-0,083;-0,073;0,002;-0,066;-0,066;-0,186;-0,009;-0,026;0,062;
2023-01-18;-0,095;-0,029;;-0,107;-0,051;-0,037;-0,013;-0,028;-0,080;-0,076;0,004;-0,060;-0,060;-0,190;-0,008;-0,029;0,057;
2023-01-19;-0,102;-0,038;;-0,114;-0,053;-0,037;-0,018;-0,036;-0,086;-0,078;0,003;-0,070;-0,069;-0,196;-0,010;-0,037;0,053;
2023-01-20;-0,101;-0,037;;-0,113;-0,053;-0,038;-0,018;-0,034;-0,086;-0,076;0,001;-0,071;-0,072;-0,192;-0,010;-0,038;0,053;
2023-01-23;-0,098;-0,035;;-0,110;-0,053;-0,038;-0,018;-0,029;-0,083;-0,075;0,000;-0,066;-0,065;-0,189;-0,014;-0,035;0,050;
2023-01-24;-0,098;-0,035;;-0,109;-0,053;-0,037;-0,019;-0,026;-0,082;-0,075;0,000;-0,067;-0,066;-0,192;-0,016;-0,033;0,049;
2023-01-25;-0,100;-0,043;;-0,112;;;-0,022;-0,034;-0,085;;0,002;-0,070;-0,070;;-0,011;-0,033;0,048;
2023-01-26;;;;;-0,052;-0,037;;;;-0,071;;;;-0,191;;;;
2023-01-27;-0,086;-0,037;;-0,098;-0,052;-0,037;-0,017;-0,022;-0,082;-0,070;-0,001;-0,070;-0,070;-0,189;-0,014;-0,026;0,049;
2023-01-30;-0,085;-0,036;;-0,096;-0,053;-0,038;-0,015;-0,019;-0,079;-0,072;-0,001;-0,069;-0,069;-0,191;-0,014;-0,024;0,048;
2023-01-31;-0,082;-0,036;;-0,093;-0,052;-0,037;-0,016;-0,014;-0,082;-0,068;0,000;-0,072;-0,072;-0,186;-0,012;-0,021;0,049;
2023-02-01;-0,078;-0,029;;-0,090;-0,050;-0,037;-0,014;-0,004;-0,077;-0,066;0,001;-0,066;-0,066;-0,185;-0,009;-0,017;0,050;
2023-02-02;-0,074;-0,022;;-0,085;;;-0,016;0,003;-0,072;;0,005;-0,053;-0,052;;-0,008;-0,016;0,044;
2023-02-03;;;;;-0,048;-0,035;;;;-0,061;;;;-0,178;;;;
2023-02-06;-0,071;-0,020;;-0,080;-0,050;-0,036;-0,009;0,005;-0,071;-0,062;0,002;-0,056;-0,055;-0,179;-0,005;-0,004;0,051;
2023-02-07;-0,069;-0,022;;-0,079;-0,050;-0,037;-0,012;0,003;-0,070;-0,061;0,002;-0,058;-0,057;-0,183;-0,008;-0,006;0,054;
2023-02-08;-0,067;-0,018;;-0,077;-0,050;-0,037;-0,009;0,005;-0,069;-0,062;0,002;-0,055;-0,054;-0,178;-0,010;-0,007;0,054;
2023-02-09;-0,077;-0,030;;-0,087;-0,051;-0,036;-0,019;-0,007;-0,076;-0,069;-0,002;-0,058;-0,057;;-0,011;-0,014;0,052;
2023-02-10;-0,079;-0,036;;-0,089;-0,053;-0,037;-0,020;-0,011;-0,081;-0,068;-0,005;-0,065;-0,064;;-0,020;-0,025;0,043;
2023-02-13;-0,076;-0,030;;-0,086;-0,053;-0,037;-0,019;-0,008;-0,075;-0,067;-0,006;-0,057;-0,056;-0,187;-0,017;-0,020;0,049;
2023-02-14;-0,076;-0,029;;-0,085;-0,054;-0,038;-0,018;-0,008;-0,074;-0,067;-0,006;-0,055;-0,054;-0,190;-0,019;-0,020;0,049;
2023-02-15;-0,074;-0,029;;-0,083;-0,055;-0,038;-0,020;-0,007;-0,074;-0,066;-0,006;-0,055;-0,054;-0,183;-0,020;-0,019;0,048;
2023-02-16;-0,071;-0,028;;-0,082;-0,056;-0,038;-0,022;-0,005;-0,073;-0,067;-0,006;-0,056;-0,055;-0,185;-0,022;-0,016;0,045;
2023-02-17;-0,073;-0,026;;-0,084;;-0,038;-0,019;-0,006;-0,071;;-0,007;-0,055;-0,054;-0,181;-0,021;-0,017;0,043;
2023-02-20;;-0,031;;;;;;;-0,073;;-0,008;-0,058;-0,057;;-0,022;-0,018;0,044;
2023-02-21;;;;;-0,059;-0,039;;;;-0,075;;;;-0,189;;;;
2023-02-22;-0,085;-0,045;;-0,095;;;-0,031;-0,019;-0,079;;-0,010;-0,066;-0,066;;-0,028;-0,025;0,040;
2023-02-23;;;;;-0,058;-0,038;;;;-0,073;;;;-0,188;;;;
2023-02-24;-0,085;-0,047;;-0,095;-0,059;-0,040;-0,033;-0,018;-0,081;-0,075;-0,007;-0,069;-0,069;-0,190;-0,028;-0,025;0,041;
2023-02-27;-0,082;-0,041;;-0,091;-0,058;-0,040;-0,033;-0,011;-0,074;-0,075;-0,006;-0,063;-0,062;-0,184;-0,029;-0,026;0,038;
2023-02-28;-0,082;-0,039;;-0,092;-0,058;-0,040;-0,037;-0,014;-0,075;-0,075;-0,006;-0,065;-0,064;-0,181;-0,032;-0,028;0,033;
2023-03-01;-0,080;-0,037;;-0,091;-0,059;-0,041;-0,037;-0,013;-0,071;-0,075;-0,005;-0,064;-0,064;-0,176;-0,031;-0,027;0,029;
2023-03-02;-0,080;-0,041;;-0,092;;;-0,035;-0,012;-0,074;;-0,004;-0,068;-0,067;;-0,029;-0,028;0,032;
2023-03-03;;;;;-0,058;-0,041;;;;-0,070;;;;-0,178;;;;
2023-03-06;-0,072;-0,036;;-0,083;-0,057;-0,041;-0,028;-0,004;-0,067;-0,070;-0,002;-0,059;-0,058;-0,175;-0,027;-0,017;0,037;
2023-03-07;-0,068;-0,034;;-0,079;-0,058;-0,041;-0,025;-0,002;-0,067;-0,069;-0,001;-0,060;-0,059;-0,178;-0,028;-0,018;0,038;
