
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;blackrock - global high yield bond fund a2;blackrock - india a2;blackrock - japan small & midcap a2;blackrock - latin american a2;blackrock - natural resources growth & income fund a2;blackrock - sustainable energy a2;blackrock - us basic value a2;blackrock - us flexible equity a2;blackrock - us mid-cap value fund a2;blackrock - world energy a2;blackrock - world financials a2;blackrock - world gold a2;blackrock - world healthscience a2;blackrock - world mining a2;blackrock - world real estate securities fund a2;blackrock - world technology a2;bmc global select fund;
2022-10-25;-0,038;-0,021;-0,083;0,024;;0,033;-0,033;-0,049;-0,014;0,047;-0,187;-0,247;0,015;0,014;-0,007;-0,156;;
2022-10-26;-0,045;-0,030;-0,087;0,010;;0,027;-0,038;-0,059;-0,019;0,039;-0,193;-0,252;0,011;0,011;-0,010;-0,168;;
2022-10-27;-0,045;-0,028;-0,089;0,011;;0,029;-0,037;-0,061;-0,017;0,049;-0,191;-0,247;0,008;0,011;-0,007;-0,174;;
2022-10-28;-0,038;-0,022;-0,088;0,016;;0,033;-0,030;-0,055;-0,011;0,054;-0,185;-0,248;0,016;0,008;-0,004;-0,170;;
2022-10-31;-0,037;-0,019;-0,087;0,031;;0,033;-0,027;-0,051;-0,010;0,057;-0,181;-0,252;0,018;0,005;-0,002;-0,169;;
2022-11-01;;;;;;;;;;;;;;;;;;
2022-11-02;-0,037;-0,021;-0,084;0,038;;0,037;-0,026;-0,055;-0,008;0,055;-0,181;-0,253;0,020;0,010;-0,005;-0,174;;
2022-11-03;;;;;;;;;;;;;;;;;;
2022-11-04;-0,034;-0,014;-0,082;0,061;;0,050;-0,023;-0,055;-0,004;0,075;-0,174;-0,242;0,022;0,034;-0,001;-0,185;;
2022-11-07;-0,044;-0,020;-0,090;0,038;;0,041;-0,034;-0,066;-0,016;0,061;-0,184;-0,244;0,011;0,025;-0,010;-0,198;;
2022-11-08;-0,044;-0,020;-0,085;0,031;;0,048;-0,033;-0,061;-0,013;0,060;-0,184;-0,243;0,014;0,027;-0,010;-0,191;;
2022-11-09;-0,050;-0,026;-0,093;0,026;;0,046;-0,040;-0,068;-0,020;0,049;-0,192;-0,229;0,011;0,029;-0,015;-0,201;;
2022-11-10;-0,042;-0,019;-0,070;0,013;;0,070;-0,025;-0,050;-0,002;0,053;-0,176;-0,206;0,024;0,043;0,009;-0,172;;
2022-11-11;-0,053;-0,028;-0,076;-0,002;;0,065;-0,037;-0,060;-0,011;0,048;-0,185;-0,210;0,004;0,047;0,006;-0,175;;
2022-11-14;-0,057;-0,037;-0,090;-0,006;;0,060;-0,040;-0,064;-0,015;0,046;-0,192;-0,215;0,001;0,042;-0,005;-0,179;;
2022-11-15;-0,056;-0,036;-0,085;-0,001;;0,066;-0,039;-0,061;-0,013;0,047;-0,188;-0,216;0,000;0,044;-0,005;-0,167;;
2022-11-16;-0,052;-0,035;-0,082;-0,004;;0,063;-0,040;-0,064;-0,016;0,049;-0,191;-0,222;0,003;0,042;-0,006;-0,173;;
2022-11-17;-0,052;-0,036;-0,079;-0,018;;0,057;-0,044;-0,068;-0,021;0,041;-0,197;-0,229;-0,001;0,031;-0,010;-0,180;;
2022-11-18;;;;;;;;;;;;;;;;;;
2022-11-21;-0,042;-0,032;-0,072;-0,002;;0,067;-0,028;-0,054;-0,007;0,037;-0,183;-0,219;0,017;0,037;0,006;-0,172;;
2022-11-22;-0,042;-0,030;-0,070;-0,001;;0,067;-0,025;-0,053;-0,004;0,052;-0,179;-0,208;0,017;0,046;0,006;-0,177;;
2022-11-23;-0,043;-0,033;-0,069;-0,006;;0,070;-0,024;-0,050;-0,003;0,053;-0,178;-0,204;0,019;0,052;0,006;-0,167;;
2022-11-24;-0,048;-0,033;-0,063;-0,004;;0,069;-0,030;-0,056;-0,008;0,047;-0,182;-0,204;0,012;0,050;0,001;-0,173;;
2022-11-25;-0,050;-0,036;-0,067;-0,009;;0,066;-0,031;-0,057;-0,009;0,048;-0,185;-0,208;0,011;0,045;-0,000;-0,177;;
2022-11-28;-0,051;-0,034;-0,068;-0,013;;0,061;-0,034;-0,060;-0,012;0,035;-0,187;-0,215;0,013;0,038;-0,002;-0,180;;
2022-11-29;;;;;;;;;;;;;;;;;;
2022-11-30;-0,045;-0,021;-0,069;0,002;;0,065;-0,028;-0,057;-0,008;0,049;-0,182;-0,202;0,017;0,061;0,001;-0,180;;
2022-12-01;-0,045;-0,023;-0,063;0,009;;0,074;-0,020;-0,047;0,001;0,048;-0,178;-0,186;0,024;0,071;0,011;-0,161;;
2022-12-02;-0,052;-0,033;-0,076;0,004;;0,061;-0,033;-0,060;-0,012;0,035;-0,190;-0,199;0,014;0,059;-0,003;-0,177;;
2022-12-05;-0,050;-0,036;-0,082;-0,010;;0,061;-0,034;-0,059;-0,013;0,034;-0,193;-0,200;0,014;0,063;-0,003;-0,177;;
2022-12-06;-0,048;-0,038;-0,081;-0,008;;0,061;-0,036;-0,062;-0,015;0,026;-0,198;-0,206;0,015;0,061;-0,003;-0,185;;
2022-12-07;-0,048;-0,037;-0,079;-0,004;;0,059;-0,037;-0,065;-0,018;0,018;-0,199;-0,198;0,017;0,060;-0,005;-0,189;;
2022-12-08;-0,050;-0,036;-0,082;-0,010;;0,057;-0,038;-0,063;-0,017;0,019;-0,198;-0,196;0,018;0,064;-0,003;-0,185;;
2022-12-09;-0,051;-0,040;-0,080;-0,019;;0,055;-0,041;-0,068;-0,020;0,006;-0,201;-0,199;0,017;0,062;-0,005;-0,185;;
2022-12-12;-0,050;-0,040;-0,083;-0,034;;0,055;-0,042;-0,069;-0,022;0,005;-0,202;-0,208;0,015;0,053;-0,007;-0,183;;
2022-12-13;;;;;;;;;;;;;;;;;;
2022-12-14;-0,052;-0,043;-0,079;-0,048;;0,063;-0,040;-0,065;-0,018;0,012;-0,201;-0,204;0,017;0,051;0,001;-0,177;;
2022-12-15;-0,051;-0,047;-0,082;-0,039;;0,054;-0,047;-0,075;-0,026;0,006;-0,211;-0,213;0,011;0,044;-0,004;-0,191;;
2022-12-16;-0,049;-0,047;-0,082;-0,038;;0,052;-0,048;-0,075;-0,028;0,003;-0,207;-0,213;0,010;0,040;-0,011;-0,192;;
2022-12-19;-0,050;-0,042;-0,084;-0,039;;0,048;-0,049;-0,078;-0,030;0,006;-0,207;-0,213;0,006;0,042;-0,015;-0,200;;
2022-12-20;-0,051;-0,043;-0,079;-0,019;;0,046;-0,049;-0,079;-0,030;0,009;-0,204;-0,207;0,007;0,044;-0,021;-0,203;;
2022-12-21;-0,048;-0,046;-0,081;-0,016;;0,049;-0,045;-0,075;-0,026;0,016;-0,199;-0,196;0,011;0,052;-0,014;-0,199;;
2022-12-22;-0,050;-0,050;-0,079;-0,016;;0,045;-0,048;-0,078;-0,030;0,015;-0,204;-0,202;0,011;0,047;-0,017;-0,205;;
2022-12-23;-0,046;-0,054;-0,078;-0,003;;0,045;-0,044;-0,077;-0,026;0,020;-0,198;-0,201;0,014;0,051;-0,015;-0,209;;
2022-12-27;-0,047;-0,045;-0,074;-0,014;;0,046;-0,042;-0,075;-0,024;0,027;-0,198;-0,192;0,014;0,054;-0,012;-0,210;;
2022-12-28;-0,048;-0,046;-0,076;-0,010;;0,046;-0,040;-0,073;-0,021;0,025;-0,196;-0,191;0,016;0,058;-0,010;-0,208;;
2022-12-29;-0,049;-0,043;-0,073;-0,004;;0,048;-0,040;-0,073;-0,022;0,023;-0,194;-0,192;0,017;0,055;-0,011;-0,205;;
2022-12-30;-0,051;-0,048;;-0,013;;0,045;-0,043;-0,076;-0,024;0,022;-0,195;-0,200;0,012;0,050;-0,012;-0,209;;
2023-01-02;-0,048;-0,043;;-0,019;;0,049;-0,039;-0,071;-0,021;0,027;-0,191;-0,197;0,016;0,053;-0,009;-0,203;;
2023-01-03;-0,044;-0,041;;-0,024;;0,052;-0,037;-0,068;-0,017;0,026;-0,185;-0,182;0,019;0,057;-0,005;-0,200;;
2023-01-04;-0,044;-0,046;-0,070;-0,034;;0,054;-0,034;-0,067;-0,015;0,011;-0,179;-0,174;0,018;0,052;-0,002;-0,200;;
2023-01-05;-0,043;-0,043;-0,081;-0,024;;0,049;-0,037;-0,071;-0,016;0,013;-0,179;-0,173;0,013;0,055;-0,008;-0,203;;
2023-01-09;-0,040;-0,042;-0,072;-0,010;;0,067;-0,029;-0,059;-0,006;0,031;-0,167;-0,156;0,015;0,083;-0,000;-0,187;;
2023-01-10;-0,043;-0,047;-0,081;-0,007;;0,063;-0,035;-0,066;-0,011;0,020;-0,173;-0,164;0,008;0,075;-0,007;-0,193;;
2023-01-11;-0,039;-0,044;-0,077;0,003;;0,073;-0,029;-0,058;-0,003;0,028;-0,166;-0,158;0,012;0,085;0,004;-0,186;;
2023-01-12;-0,035;-0,041;-0,068;0,011;;0,078;-0,025;-0,055;0,001;0,035;-0,161;-0,155;0,012;0,090;0,013;-0,184;;
2023-01-13;-0,039;-0,043;-0,064;0,010;;0,078;-0,029;-0,058;-0,003;0,032;-0,165;-0,149;0,013;0,093;0,011;-0,183;;
2023-01-16;-0,035;-0,045;-0,071;0,008;;0,080;-0,024;-0,053;0,002;0,038;-0,157;-0,147;0,016;0,095;0,014;-0,176;;
2023-01-17;-0,036;-0,042;-0,070;0,009;;0,081;-0,025;-0,053;0,001;0,040;-0,159;-0,154;0,015;0,092;0,014;-0,175;;
2023-01-18;-0,038;-0,042;-0,066;0,016;;0,079;-0,028;-0,055;-0,001;0,041;-0,159;-0,158;0,012;0,096;0,014;-0,173;;
2023-01-19;-0,041;-0,045;-0,070;0,001;;0,066;-0,040;-0,068;-0,014;0,026;-0,173;-0,164;0,004;0,084;0,006;-0,186;;
2023-01-20;-0,041;-0,046;-0,075;0,002;;0,064;-0,038;-0,065;-0,012;0,032;-0,167;-0,159;0,004;0,089;0,003;-0,184;;
2023-01-23;-0,044;-0,049;-0,076;0,003;;0,066;-0,035;-0,061;-0,008;0,032;-0,165;-0,160;0,004;0,090;0,006;-0,174;;
2023-01-24;-0,045;-0,052;-0,075;0,002;;0,066;-0,037;-0,061;-0,008;0,026;-0,164;-0,160;-0,000;0,087;0,006;-0,172;;
2023-01-25;-0,044;-0,056;-0,068;0,005;;0,064;-0,037;-0,066;-0,010;0,022;-0,165;-0,155;-0,001;0,090;0,008;-0,182;;
2023-01-26;;;;;;;;;;;;;;;;;;
2023-01-27;-0,040;-0,057;-0,065;0,013;;0,073;-0,027;-0,050;0,002;0,042;-0,151;-0,155;0,003;0,097;0,018;-0,161;;
2023-01-30;-0,039;-0,056;-0,065;0,011;;0,073;-0,026;-0,051;0,003;0,033;-0,151;-0,157;0,003;0,095;0,021;-0,163;;
2023-01-31;-0,034;-0,051;-0,059;0,021;;0,075;-0,023;-0,047;0,006;0,034;-0,146;-0,158;0,004;0,094;0,022;-0,163;;
2023-02-01;-0,034;-0,052;-0,061;0,019;;0,080;-0,019;-0,043;0,010;0,036;-0,137;-0,155;0,009;0,098;0,027;-0,155;;
2023-02-02;-0,035;-0,056;-0,064;0,020;;0,083;-0,023;-0,040;0,009;0,016;-0,140;-0,157;0,001;0,092;0,032;-0,142;;
2023-02-03;;;;;;;;;;;;;;;;;;
2023-02-06;-0,024;-0,046;-0,067;0,004;;0,088;-0,017;-0,034;0,014;0,022;-0,137;-0,166;0,011;0,087;0,033;-0,137;;
2023-02-07;-0,025;-0,046;-0,062;0,006;;0,088;-0,016;-0,035;0,014;0,028;-0,134;-0,165;0,008;0,090;0,032;-0,138;;
2023-02-08;-0,027;-0,045;-0,062;0,005;;0,090;-0,013;-0,033;0,016;0,035;-0,132;-0,165;0,011;0,089;0,034;-0,134;;
2023-02-09;-0,031;-0,047;-0,062;-0,002;;0,087;-0,017;-0,035;0,011;0,030;-0,132;-0,166;0,009;0,086;0,031;-0,135;;
2023-02-10;-0,039;-0,053;-0,069;-0,011;;0,073;-0,027;-0,047;-0,000;0,033;-0,145;-0,186;0,001;0,068;0,018;-0,152;;
2023-02-13;-0,035;-0,051;-0,071;0,004;;0,081;-0,020;-0,040;0,006;0,040;-0,139;-0,182;0,007;0,075;0,025;-0,145;;
2023-02-14;-0,040;-0,054;-0,072;0,004;;0,080;-0,021;-0,041;0,005;0,038;-0,138;-0,187;0,006;0,073;0,023;-0,144;;
2023-02-15;-0,039;-0,051;-0,077;-0,001;;0,080;-0,023;-0,042;0,004;0,032;-0,141;-0,197;0,002;0,066;0,018;-0,143;;
2023-02-16;-0,039;-0,051;-0,075;0,001;;0,081;-0,022;-0,043;0,005;0,033;-0,139;-0,205;-0,002;0,072;0,016;-0,142;;
2023-02-17;-0,036;-0,048;-0,072;0,009;;0,083;-0,018;-0,041;0,008;0,025;-0,135;-0,202;0,005;0,073;0,020;-0,146;;
2023-02-20;-0,040;-0,054;-0,072;0,008;;0,079;-0,020;-0,043;0,006;0,019;-0,137;-0,201;0,003;0,074;0,018;-0,150;;
2023-02-21;;;;;;;;;;;;;;;;;;
