
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2022-11-17;-0,062;-0,075;-0,079;-0,046;-0,066;-0,092;-0,069;-0,009;-0,116;-0,080;-0,128;-0,062;-0,126;-0,097;-0,039;-0,131;-0,038;
2022-11-18;;;;;;;;;;;;;;;;;;
2022-11-21;-0,060;-0,074;-0,079;-0,046;-0,061;-0,088;-0,073;-0,002;-0,116;-0,076;-0,120;-0,059;-0,118;-0,096;-0,039;-0,122;-0,037;
2022-11-22;-0,059;-0,074;-0,078;-0,046;-0,063;-0,089;-0,078;-0,007;-0,116;-0,075;-0,119;-0,059;-0,118;-0,091;-0,039;-0,122;-0,037;
2022-11-23;-0,058;-0,074;-0,077;-0,046;-0,061;-0,089;-0,079;-0,009;-0,113;-0,076;-0,121;-0,059;-0,119;;-0,039;-0,123;-0,037;
2022-11-24;-0,058;-0,073;-0,076;-0,046;-0,059;-0,092;-0,075;-0,007;-0,113;-0,076;;-0,059;;-0,088;-0,039;;-0,036;
2022-11-25;-0,057;-0,073;-0,076;-0,046;-0,060;-0,094;-0,079;-0,010;-0,115;-0,075;-0,121;-0,059;-0,120;-0,091;-0,039;-0,124;-0,037;
2022-11-28;-0,058;-0,073;-0,076;-0,046;-0,062;-0,096;-0,079;-0,015;-0,117;-0,077;-0,120;-0,060;-0,122;-0,091;-0,039;-0,126;-0,037;
2022-11-29;;;;;;;;;;;;;;;;;;
2022-11-30;-0,057;-0,073;-0,077;-0,045;-0,055;-0,080;-0,058;-0,007;-0,107;-0,076;-0,117;-0,060;-0,123;-0,094;-0,039;-0,129;-0,037;
2022-12-01;-0,055;-0,073;-0,076;-0,045;-0,053;-0,084;-0,060;-0,010;-0,106;-0,072;-0,115;-0,057;-0,117;-0,091;-0,039;-0,121;-0,035;
2022-12-02;-0,055;-0,073;-0,075;-0,045;-0,054;-0,083;-0,060;-0,010;-0,107;-0,073;-0,114;-0,057;-0,119;-0,092;-0,038;-0,124;-0,035;
2022-12-05;-0,053;-0,072;-0,075;-0,045;-0,054;-0,090;-0,051;-0,012;-0,103;-0,074;-0,117;-0,058;-0,123;-0,099;-0,039;-0,128;-0,035;
2022-12-06;-0,055;-0,072;-0,075;-0,045;-0,057;-0,094;-0,057;-0,014;-0,108;-0,076;-0,119;-0,058;-0,126;-0,098;-0,038;-0,132;-0,035;
2022-12-07;-0,058;-0,072;-0,075;-0,045;-0,062;-0,100;-0,067;-0,019;-0,117;;;;;;;;;
2022-12-08;-0,058;-0,072;-0,075;-0,045;-0,062;-0,098;-0,066;-0,018;-0,115;-0,078;-0,123;-0,059;-0,129;-0,102;-0,038;-0,135;-0,033;
2022-12-09;-0,055;-0,072;-0,075;-0,045;-0,057;-0,100;-0,060;-0,017;-0,109;-0,076;-0,118;-0,058;-0,127;-0,097;-0,038;-0,134;-0,033;
2022-12-12;-0,057;-0,072;-0,075;-0,045;-0,059;-0,095;-0,065;-0,019;-0,112;-0,077;-0,121;-0,058;-0,130;-0,102;-0,038;-0,137;-0,033;
2022-12-13;;;;;;;;;;;;;;;;;;
2022-12-14;-0,052;-0,072;-0,074;-0,045;-0,060;-0,096;-0,068;-0,012;-0,108;-0,073;-0,116;-0,056;-0,125;-0,094;-0,038;-0,131;-0,033;
2022-12-15;-0,058;-0,072;-0,074;-0,045;-0,067;-0,107;-0,071;-0,016;-0,115;-0,080;-0,126;-0,061;-0,137;-0,101;-0,038;-0,145;-0,035;
2022-12-16;-0,063;-0,071;-0,074;-0,045;-0,062;-0,107;-0,067;-0,019;-0,113;-0,083;-0,127;-0,063;-0,137;-0,102;-0,038;-0,144;-0,037;
2022-12-19;-0,064;-0,071;-0,074;-0,045;-0,061;-0,109;-0,065;-0,021;-0,111;-0,085;-0,128;-0,064;-0,139;-0,104;-0,038;-0,148;-0,038;
2022-12-20;-0,065;-0,072;-0,075;-0,045;-0,058;-0,112;-0,068;-0,026;-0,113;-0,086;-0,128;-0,066;-0,140;-0,096;-0,038;-0,149;-0,039;
2022-12-21;-0,061;-0,072;-0,075;-0,045;-0,057;-0,104;-0,065;-0,026;-0,108;-0,084;-0,124;-0,065;-0,137;-0,098;-0,038;-0,146;-0,040;
2022-12-22;-0,063;-0,071;-0,075;-0,044;-0,054;-0,106;-0,058;-0,023;-0,106;-0,085;-0,124;-0,066;-0,137;-0,094;-0,038;-0,147;-0,041;
2022-12-23;-0,062;-0,071;-0,075;-0,044;-0,053;-0,104;-0,059;-0,020;-0,105;-0,085;-0,123;-0,066;-0,138;-0,096;-0,038;-0,148;-0,041;
2022-12-27;-0,061;-0,071;-0,075;-0,044;-0,052;-0,105;-0,060;-0,023;-0,104;-0,085;;-0,066;-0,137;-0,097;-0,038;-0,148;-0,042;
2022-12-28;-0,063;-0,071;-0,075;-0,044;-0,054;-0,107;-0,057;-0,024;-0,104;-0,085;-0,123;-0,067;-0,139;-0,102;-0,038;-0,149;-0,042;
2022-12-29;-0,059;-0,071;-0,076;-0,044;-0,052;-0,100;-0,060;-0,018;-0,104;-0,084;-0,120;-0,066;-0,137;-0,099;-0,038;-0,147;-0,042;
2022-12-30;-0,063;-0,071;-0,076;-0,044;-0,055;-0,106;-0,063;-0,022;-0,107;-0,085;-0,124;-0,067;-0,140;-0,098;-0,038;-0,151;-0,042;
2023-01-02;-0,058;-0,071;-0,076;-0,044;;;-0,061;;-0,102;-0,083;;-0,065;;;-0,038;;-0,041;
