
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2023-05-08;-0,046;-0,060;-0,068;-0,037;-0,012;-0,081;-0,038;-0,026;-0,073;-0,064;;-0,052;-0,107;-0,075;-0,033;-0,121;-0,036;
2023-05-09;-0,049;-0,060;-0,068;-0,037;-0,013;-0,079;-0,042;-0,028;-0,075;-0,065;-0,074;-0,053;-0,106;-0,068;-0,033;-0,119;-0,036;
2023-05-10;-0,050;-0,060;-0,069;-0,037;-0,013;-0,078;-0,043;-0,025;-0,075;-0,065;-0,074;-0,053;-0,105;-0,067;-0,033;-0,117;-0,036;
2023-05-11;-0,048;-0,060;-0,068;-0,036;-0,008;-0,070;-0,035;-0,017;-0,066;-0,063;-0,072;-0,051;-0,102;-0,062;-0,033;-0,114;-0,035;
2023-05-12;-0,048;-0,060;-0,068;-0,036;-0,012;-0,072;-0,040;-0,022;-0,070;-0,062;-0,069;-0,050;-0,100;-0,061;-0,033;-0,111;-0,035;
2023-05-15;-0,046;-0,060;-0,068;-0,036;-0,008;-0,070;-0,035;-0,021;-0,066;-0,061;-0,067;-0,050;-0,099;-0,059;-0,033;-0,111;-0,035;
2023-05-16;-0,047;-0,060;-0,068;-0,036;-0,008;-0,069;-0,033;-0,024;-0,064;-0,061;-0,068;-0,050;-0,098;-0,056;-0,033;-0,110;-0,035;
2023-05-17;-0,047;-0,060;-0,069;-0,036;;;;;;-0,060;-0,068;-0,050;-0,095;-0,054;-0,033;-0,107;-0,035;
2023-05-19;-0,043;-0,059;-0,068;-0,036;-0,001;-0,059;-0,024;-0,018;-0,060;-0,056;-0,059;-0,049;-0,084;-0,048;-0,033;-0,094;-0,037;
2023-05-22;-0,042;-0,059;-0,067;-0,036;-0,004;-0,059;-0,024;-0,015;-0,059;-0,056;-0,060;-0,049;-0,086;-0,045;-0,033;-0,096;-0,037;
2023-05-23;-0,043;-0,059;-0,068;-0,036;-0,002;-0,066;-0,023;-0,012;-0,061;-0,056;-0,060;-0,049;-0,085;-0,045;-0,033;-0,095;-0,038;
2023-05-24;-0,048;-0,059;-0,068;-0,036;-0,005;-0,069;-0,026;-0,018;-0,064;-0,060;-0,067;-0,051;-0,089;-0,045;-0,033;-0,099;-0,038;
2023-05-25;-0,048;-0,059;-0,068;-0,036;-0,005;-0,061;-0,025;-0,014;-0,061;-0,058;-0,063;-0,051;-0,083;-0,043;-0,033;-0,091;-0,039;
2023-05-26;-0,044;;;;-0,003;-0,054;-0,021;-0,011;-0,056;;-0,060;;-0,080;;;-0,087;;
2023-05-29;;-0,059;-0,067;-0,036;;;;;;-0,056;;-0,050;;-0,041;-0,033;;-0,039;
2023-05-30;-0,045;-0,059;-0,067;-0,036;-0,001;-0,052;-0,018;-0,009;-0,057;-0,054;-0,057;-0,049;-0,073;-0,038;-0,033;-0,079;-0,038;
2023-05-31;-0,046;-0,059;-0,066;-0,036;-0,009;-0,058;-0,029;-0,011;-0,066;-0,056;-0,064;-0,049;-0,078;-0,043;-0,033;-0,083;-0,037;
2023-06-01;-0,044;-0,059;-0,066;-0,035;-0,002;-0,056;-0,024;-0,008;-0,063;-0,056;-0,064;-0,049;-0,077;-0,037;-0,033;-0,084;-0,037;
2023-06-02;-0,040;-0,059;-0,066;-0,035;0,004;-0,052;-0,014;;-0,058;-0,053;-0,060;-0,048;-0,075;-0,037;-0,032;-0,081;-0,037;
2023-06-05;-0,040;-0,058;-0,066;-0,035;0,010;-0,051;-0,009;0,006;-0,056;-0,049;-0,056;-0,046;-0,066;-0,024;-0,032;-0,071;-0,038;
2023-06-07;-0,039;-0,058;-0,065;-0,035;0,009;-0,055;-0,006;0,011;-0,055;-0,049;-0,056;-0,046;-0,068;-0,028;-0,032;-0,073;-0,038;
2023-06-08;-0,038;-0,058;-0,065;-0,035;0,011;-0,056;-0,006;0,009;-0,054;-0,051;-0,057;-0,047;-0,071;-0,031;-0,032;-0,077;-0,038;
2023-06-09;-0,038;-0,058;-0,064;-0,035;0,010;-0,058;-0,004;0,009;-0,054;-0,049;-0,057;-0,046;-0,067;-0,026;-0,032;-0,072;-0,038;
2023-06-12;-0,038;-0,058;-0,063;-0,035;0,015;-0,052;0,004;0,012;-0,048;-0,049;-0,057;-0,046;-0,067;-0,025;-0,032;-0,072;-0,037;
2023-06-13;-0,036;-0,058;-0,063;-0,035;0,008;-0,060;-0,005;0,002;-0,056;-0,048;-0,057;-0,045;-0,065;-0,022;-0,032;-0,070;-0,037;
2023-06-14;-0,037;-0,058;-0,063;-0,035;0,007;-0,057;-0,007;0,004;-0,056;-0,049;-0,056;-0,046;-0,066;-0,019;-0,032;-0,072;-0,038;
2023-06-15;-0,037;-0,058;-0,064;-0,035;0,008;-0,051;-0,005;0,006;-0,053;-0,050;-0,056;-0,047;-0,066;-0,022;-0,032;-0,071;-0,039;
2023-06-16;-0,035;-0,057;-0,063;-0,035;0,013;-0,047;0,003;0,010;-0,048;-0,049;-0,052;-0,047;-0,063;-0,026;-0,032;-0,068;-0,040;
2023-06-19;-0,038;-0,057;-0,063;-0,035;0,014;;0,004;0,010;-0,049;-0,049;-0,053;-0,047;;-0,025;-0,032;;-0,040;
2023-06-20;;-0,058;-0,064;-0,035;0,013;-0,044;0,003;0,009;-0,049;-0,049;-0,052;-0,047;-0,060;-0,023;-0,032;-0,064;-0,039;
2023-06-21;-0,041;-0,058;-0,064;-0,034;0,009;-0,048;-0,002;0,004;-0,054;-0,053;-0,058;-0,049;-0,064;-0,026;-0,032;-0,069;-0,040;
2023-06-22;-0,044;-0,058;-0,064;-0,034;0,003;-0,049;-0,007;-0,004;-0,058;-0,055;-0,061;-0,051;-0,068;-0,029;-0,032;-0,072;-0,041;
2023-06-26;-0,045;-0,058;-0,065;-0,034;-0,003;-0,055;-0,014;-0,012;-0,064;-0,055;-0,062;-0,051;-0,068;-0,037;-0,032;-0,071;-0,040;
2023-06-27;;;;;;;;;;;;;;;;;;
2023-06-28;-0,042;-0,058;-0,064;-0,034;0,007;-0,044;-0,007;-0,003;-0,058;-0,052;-0,055;-0,049;-0,062;-0,029;-0,032;-0,066;-0,040;
2023-06-29;-0,040;-0,058;-0,064;-0,034;0,007;-0,040;-0,009;0,000;-0,058;-0,050;-0,053;-0,048;-0,058;-0,026;-0,031;-0,061;-0,041;
2023-06-30;-0,037;-0,058;-0,064;-0,034;0,012;-0,035;-0,006;0,005;-0,053;-0,049;-0,050;-0,048;-0,057;-0,031;-0,031;-0,060;-0,041;
2023-07-03;-0,039;-0,058;-0,064;-0,034;0,014;-0,037;-0,000;0,007;-0,051;-0,049;-0,050;-0,048;-0,054;-0,023;-0,031;-0,057;-0,041;
2023-07-04;-0,038;-0,058;-0,063;-0,034;0,016;;0,002;0,011;-0,050;-0,048;-0,051;-0,047;;-0,026;-0,031;;-0,041;
2023-07-05;;;;;;;;;;;;;;;;;;
2023-07-06;-0,044;-0,058;-0,064;-0,034;0,014;-0,031;0,001;0,014;-0,049;-0,052;-0,058;-0,050;-0,057;-0,027;-0,031;-0,058;-0,042;
2023-07-07;;-0,058;-0,064;-0,034;0,010;-0,042;-0,007;0,004;-0,057;-0,052;-0,059;-0,050;-0,057;-0,028;-0,031;-0,057;-0,042;
2023-07-10;-0,044;-0,058;-0,064;-0,033;0,010;-0,040;-0,008;0,004;-0,056;-0,054;-0,060;-0,051;-0,061;-0,031;-0,031;-0,062;-0,042;
2023-07-11;-0,044;-0,058;-0,064;-0,033;0,005;-0,044;-0,011;0,002;-0,059;-0,055;-0,062;-0,052;-0,065;-0,035;-0,031;-0,067;-0,043;
2023-07-12;-0,042;-0,057;-0,064;-0,033;0,005;-0,048;-0,014;0,001;-0,060;-0,055;-0,062;-0,051;-0,067;-0,040;-0,031;-0,069;-0,042;
2023-07-13;-0,042;-0,057;-0,062;-0,033;0,003;-0,051;-0,014;-0,002;-0,059;-0,056;-0,063;-0,050;-0,073;-0,043;-0,031;-0,078;-0,040;
2023-07-14;-0,043;-0,057;-0,062;-0,033;0,002;-0,051;-0,015;-0,005;-0,062;-0,056;-0,061;-0,051;-0,071;-0,045;-0,031;-0,074;-0,040;
2023-07-17;-0,043;-0,057;-0,062;-0,033;0,001;-0,051;-0,016;-0,008;-0,062;-0,057;-0,063;-0,051;-0,071;;-0,031;-0,074;-0,040;
2023-07-18;-0,043;-0,057;-0,062;-0,033;0,002;-0,051;-0,018;-0,010;-0,063;-0,055;-0,063;-0,049;-0,070;-0,043;-0,030;-0,073;-0,038;
2023-07-19;-0,043;-0,056;-0,061;-0,033;0,002;-0,052;-0,018;-0,002;-0,065;-0,054;-0,062;-0,048;-0,067;-0,042;-0,030;-0,070;-0,037;
2023-07-20;-0,041;-0,056;-0,061;-0,033;0,005;-0,048;-0,014;0,001;-0,060;-0,053;-0,060;-0,048;-0,066;-0,044;-0,030;-0,068;-0,038;
2023-07-21;-0,039;-0,056;-0,061;-0,033;0,006;-0,044;-0,010;0,005;-0,057;-0,053;-0,057;-0,048;-0,063;-0,044;-0,030;-0,065;-0,038;
2023-07-24;-0,038;-0,056;-0,061;-0,033;0,007;-0,044;-0,010;0,006;-0,057;-0,051;-0,058;-0,047;-0,063;-0,039;-0,030;-0,065;-0,037;
2023-07-25;-0,037;-0,056;-0,061;-0,033;0,009;-0,042;-0,004;0,005;-0,054;-0,050;-0,056;-0,046;-0,061;-0,038;-0,030;-0,062;-0,037;
2023-07-26;-0,039;-0,056;-0,061;-0,033;0,009;-0,043;-0,004;0,008;-0,056;-0,051;-0,058;-0,047;-0,061;-0,035;-0,030;-0,062;-0,038;
2023-07-27;-0,037;-0,055;-0,060;-0,032;0,010;-0,046;-0,002;0,002;-0,053;-0,047;-0,050;-0,045;-0,055;-0,033;-0,030;-0,057;-0,037;
2023-07-28;-0,036;-0,055;-0,060;-0,032;0,015;-0,040;0,004;0,007;-0,049;-0,048;-0,050;-0,045;-0,055;-0,031;-0,030;-0,058;-0,037;
2023-07-31;-0,036;-0,055;-0,059;-0,032;0,014;-0,043;0,004;0,005;-0,051;-0,047;-0,050;-0,045;-0,056;-0,032;-0,030;-0,058;-0,038;
2023-08-01;-0,037;-0,055;-0,059;-0,032;0,015;-0,041;0,006;0,006;-0,048;-0,047;-0,050;-0,045;-0,053;-0,027;-0,030;-0,054;-0,038;
2023-08-02;-0,039;-0,055;-0,059;-0,032;0,016;-0,041;0,003;0,007;-0,050;-0,048;-0,054;-0,046;-0,054;-0,031;-0,030;-0,054;-0,038;
2023-08-03;;;;;;;;;;;;;;;;;;
2023-08-04;-0,040;-0,055;-0,059;-0,032;0,010;-0,048;-0,002;0,000;-0,053;-0,053;-0,061;-0,049;-0,061;-0,036;-0,030;-0,062;-0,039;
2023-08-07;-0,040;-0,054;-0,059;-0,032;0,011;-0,043;-0,003;0,003;-0,051;-0,053;-0,060;-0,049;-0,061;-0,034;-0,030;-0,062;-0,039;
2023-08-08;-0,042;-0,054;-0,059;-0,032;0,013;-0,042;-0,003;0,005;-0,044;-0,051;-0,057;-0,048;-0,058;-0,031;-0,030;-0,059;-0,038;
2023-08-09;-0,039;-0,054;-0,059;-0,032;0,010;-0,046;-0,004;0,004;-0,046;-0,051;-0,054;-0,048;-0,059;-0,036;-0,029;-0,060;-0,039;
2023-08-10;-0,038;-0,054;-0,058;-0,032;0,010;-0,044;-0,001;0,008;-0,046;-0,051;-0,053;-0,047;-0,060;-0,040;-0,029;-0,062;-0,039;
2023-08-11;-0,039;-0,054;-0,059;-0,032;0,012;-0,041;-0,001;0,007;-0,047;-0,051;-0,052;-0,048;-0,057;;-0,029;-0,059;-0,040;
2023-08-14;-0,039;-0,054;-0,059;-0,031;0,012;-0,037;-0,004;0,007;-0,047;-0,051;-0,053;-0,049;-0,056;-0,037;-0,029;-0,056;-0,040;
2023-08-15;-0,043;-0,054;-0,059;-0,031;0,008;-0,043;-0,008;0,003;-0,051;-0,053;-0,055;-0,050;-0,057;-0,036;-0,029;-0,058;-0,041;
2023-08-16;-0,042;-0,054;-0,059;-0,031;0,006;-0,041;-0,010;0,002;-0,050;-0,053;-0,055;-0,050;-0,058;-0,042;-0,029;-0,058;-0,040;
2023-08-17;-0,045;-0,054;-0,060;-0,031;0,003;-0,046;-0,011;-0,003;-0,051;-0,056;-0,058;-0,051;-0,060;-0,042;-0,029;-0,060;-0,040;
2023-08-18;-0,047;-0,054;-0,060;-0,031;0,006;-0,043;-0,009;-0,002;-0,051;-0,057;-0,060;-0,052;-0,062;-0,039;-0,029;-0,063;-0,040;
2023-08-21;-0,047;-0,054;-0,060;-0,031;0,004;-0,042;-0,012;-0,008;-0,051;-0,057;-0,057;-0,052;-0,060;-0,042;-0,029;-0,059;-0,041;
2023-08-22;-0,046;-0,053;-0,060;-0,031;0,004;-0,043;-0,011;-0,005;-0,053;-0,057;-0,057;-0,052;-0,058;-0,037;-0,029;-0,058;-0,041;
2023-08-23;-0,045;-0,053;-0,060;-0,031;0,006;-0,039;-0,009;0,003;-0,050;-0,055;-0,056;-0,050;-0,057;-0,031;-0,029;-0,058;-0,039;
2023-08-24;-0,046;-0,053;-0,059;-0,031;0,006;-0,043;-0,004;0,002;-0,051;-0,053;-0,054;-0,049;-0,053;-0,032;-0,029;-0,052;-0,039;
2023-08-25;-0,046;-0,053;-0,059;-0,031;0,006;-0,039;-0,006;0,003;-0,051;-0,054;-0,055;-0,050;-0,056;-0,036;-0,029;-0,056;-0,040;
2023-08-28;;;;;;;;;;;;;;;;;;
2023-08-29;-0,042;-0,053;-0,059;-0,030;0,013;-0,034;-0,002;0,008;-0,044;-0,052;-0,050;-0,049;-0,052;-0,032;-0,029;-0,052;-0,040;
2023-08-30;-0,043;-0,053;-0,059;-0,030;0,011;-0,035;-0,000;0,007;-0,043;-0,052;-0,051;-0,048;-0,052;-0,034;-0,029;-0,053;-0,039;
2023-08-31;-0,042;-0,052;-0,058;-0,030;0,013;-0,038;-0,000;0,008;-0,042;-0,049;-0,050;-0,046;-0,047;-0,027;-0,028;-0,047;-0,038;
2023-09-01;-0,042;-0,052;-0,058;-0,030;0,018;-0,035;0,006;0,009;-0,038;-0,048;-0,051;-0,046;-0,045;-0,020;-0,028;-0,045;-0,038;
2023-09-04;-0,042;-0,052;-0,058;-0,030;0,022;;0,012;0,012;-0,034;-0,047;-0,049;-0,046;;-0,016;-0,028;;-0,038;
2023-09-05;;;;;;;;;;-0,047;-0,052;-0,045;-0,044;-0,016;-0,028;-0,043;-0,038;
2023-09-06;-0,040;-0,052;-0,058;-0,030;0,019;-0,034;0,011;0,013;-0,035;;;;;;;;;
2023-09-07;-0,042;-0,051;-0,058;-0,030;0,013;-0,036;0,007;0,008;-0,038;-0,049;-0,055;-0,047;-0,047;-0,012;-0,028;-0,047;-0,039;
2023-09-08;-0,043;-0,051;-0,058;-0,030;0,013;-0,037;0,005;0,008;-0,039;-0,050;-0,056;-0,047;-0,048;-0,020;-0,028;-0,048;-0,039;
2023-09-11;-0,042;-0,051;-0,057;-0,029;0,013;-0,037;0,007;0,008;-0,038;-0,049;-0,055;-0,047;-0,047;-0,017;-0,028;-0,046;-0,039;
2023-09-12;-0,043;-0,051;-0,057;-0,029;0,016;-0,037;0,010;0,010;-0,037;-0,049;-0,054;-0,047;-0,046;-0,015;-0,028;-0,045;-0,039;
2023-09-13;-0,045;-0,051;-0,057;-0,029;0,016;-0,036;0,011;0,008;-0,036;-0,050;-0,054;-0,048;-0,046;-0,015;-0,028;-0,045;-0,039;
2023-09-14;-0,041;-0,050;-0,056;-0,029;;;;;;-0,047;-0,050;-0,045;-0,042;-0,007;-0,028;-0,041;-0,038;
2023-09-15;-0,039;-0,050;-0,056;-0,029;0,029;-0,033;0,022;0,015;-0,028;-0,046;-0,047;-0,045;-0,042;-0,005;-0,028;-0,042;-0,039;
2023-09-18;-0,041;-0,050;-0,056;-0,029;0,023;-0,036;0,016;0,007;-0,033;-0,048;-0,051;-0,046;-0,043;;-0,028;-0,043;-0,039;
2023-09-19;;-0,050;-0,056;-0,029;;;;;;-0,050;-0,054;-0,047;-0,048;-0,006;-0,028;-0,048;-0,039;
2023-09-20;-0,039;-0,050;-0,056;-0,029;0,023;-0,042;0,013;0,018;-0,032;-0,049;-0,052;-0,047;-0,048;-0,013;-0,027;-0,049;-0,039;
2023-09-21;-0,042;-0,050;-0,056;-0,029;0,018;-0,050;0,007;0,011;-0,037;-0,050;-0,054;-0,048;-0,052;-0,012;-0,027;-0,053;-0,039;
2023-09-22;-0,044;-0,050;-0,056;-0,029;0,019;-0,050;0,009;0,011;-0,035;-0,053;-0,058;-0,049;-0,056;-0,018;-0,027;-0,058;-0,039;
2023-09-25;-0,045;-0,050;-0,057;-0,029;;;;;;-0,056;-0,067;-0,051;-0,061;-0,021;-0,027;-0,063;-0,040;
2023-09-26;;;;;;;;;;;;;;;;;;
2023-09-27;-0,049;-0,050;-0,057;-0,028;0,005;-0,064;-0,009;-0,008;-0,049;-0,059;-0,073;-0,052;-0,066;-0,025;-0,027;-0,067;-0,039;
2023-09-28;-0,048;-0,050;-0,058;-0,028;0,012;-0,057;-0,005;-0,005;-0,043;-0,061;-0,075;-0,054;-0,069;-0,029;-0,027;-0,069;-0,041;
2023-09-29;-0,047;-0,049;-0,057;-0,028;0,006;-0,065;-0,010;-0,006;-0,048;-0,058;-0,070;-0,052;-0,067;-0,036;-0,027;-0,067;-0,039;
2023-10-02;-0,048;-0,049;-0,057;-0,028;0,009;-0,059;;-0,005;-0,046;-0,059;-0,075;-0,052;-0,067;-0,034;-0,027;-0,067;-0,040;
2023-10-03;-0,051;-0,049;-0,057;-0,028;0,005;-0,060;-0,010;-0,012;-0,050;-0,060;-0,077;-0,053;-0,066;-0,039;-0,027;-0,065;-0,040;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;;;;;;;;;;;;;;;;;;
2023-10-10;-0,043;-0,049;-0,059;-0,028;0,007;-0,055;-0,010;-0,005;-0,047;-0,057;-0,071;-0,051;-0,064;-0,036;-0,027;-0,064;-0,038;
2023-10-11;-0,043;-0,049;-0,058;-0,028;0,010;-0,056;-0,007;-0,001;-0,043;-0,056;-0,068;-0,049;-0,063;-0,038;-0,027;-0,063;-0,037;
2023-10-12;;;;;;;;;;;;;;;;;;
2023-10-13;-0,044;-0,049;-0,058;-0,027;0,003;-0,059;-0,006;-0,011;-0,043;-0,055;-0,070;-0,049;-0,061;-0,035;-0,026;-0,059;-0,037;
2023-10-16;-0,044;-0,049;-0,058;-0,027;0,003;-0,055;-0,005;-0,008;-0,043;-0,056;-0,074;-0,050;-0,064;-0,043;-0,027;-0,062;-0,038;
2023-10-17;-0,045;-0,049;-0,059;-0,027;0,002;-0,058;-0,007;-0,012;-0,046;-0,060;-0,076;-0,052;-0,066;-0,040;-0,027;-0,064;-0,039;
2023-10-18;-0,048;-0,049;-0,059;-0,027;0,002;-0,060;-0,007;-0,016;-0,046;-0,059;-0,076;-0,052;-0,064;-0,038;-0,026;-0,062;-0,039;
2023-10-19;-0,052;-0,049;-0,060;-0,027;-0,004;-0,063;-0,013;-0,024;-0,053;-0,062;-0,080;-0,054;-0,068;-0,045;-0,026;-0,066;-0,040;
2023-10-20;-0,056;-0,049;-0,060;-0,027;-0,008;-0,067;-0,015;-0,024;-0,058;-0,066;-0,085;-0,056;-0,074;-0,047;-0,026;-0,072;-0,040;
2023-10-23;-0,058;-0,049;-0,060;-0,027;-0,010;-0,067;-0,015;-0,025;-0,060;-0,068;-0,085;-0,057;-0,075;-0,047;-0,026;-0,073;-0,040;
2023-10-24;-0,056;-0,049;-0,059;-0,027;-0,004;-0,065;-0,013;-0,021;-0,058;-0,065;-0,082;-0,055;-0,071;-0,046;-0,026;-0,069;-0,039;
2023-10-25;-0,057;-0,049;-0,059;-0,027;-0,003;-0,066;-0,012;-0,025;-0,058;-0,066;-0,082;-0,056;-0,072;-0,041;-0,026;-0,071;-0,039;
2023-10-26;;;;;;;;;;;;;;;;;;
2023-10-27;-0,060;-0,049;-0,059;-0,027;-0,004;-0,076;-0,014;-0,025;-0,060;-0,067;-0,084;-0,055;-0,077;-0,041;-0,026;-0,077;-0,038;
2023-10-30;;;;;;;;;;;;;;;;;;
2023-10-31;-0,058;-0,049;-0,058;-0,027;-0,006;-0,066;-0,019;-0,016;-0,058;-0,064;-0,080;-0,053;-0,074;-0,046;-0,026;-0,074;-0,036;
2023-11-01;-0,058;-0,048;-0,058;-0,027;-0,002;-0,063;-0,014;-0,011;-0,054;-0,062;-0,077;-0,052;-0,068;-0,032;-0,026;-0,068;-0,036;
2023-11-02;-0,054;-0,048;-0,056;-0,026;0,005;-0,055;-0,009;0,004;-0,046;-0,057;-0,068;-0,049;-0,062;-0,031;-0,025;-0,062;-0,035;
2023-11-03;;;;;;;;;;;;;;;;;;
2023-11-06;-0,054;-0,048;-0,055;-0,026;0,005;-0,062;-0,005;-0,001;-0,048;-0,057;-0,075;-0,049;-0,064;-0,031;-0,025;-0,064;-0,035;
2023-11-07;-0,054;-0,047;-0,055;-0,026;;;;;;-0,056;-0,074;-0,048;-0,062;-0,036;-0,025;-0,061;-0,034;
2023-11-08;-0,055;-0,047;-0,055;-0,026;-0,001;-0,056;-0,009;-0,002;-0,052;-0,056;-0,071;-0,048;-0,061;-0,041;-0,025;-0,060;-0,034;
2023-11-09;-0,052;-0,047;-0,055;-0,026;-0,002;-0,062;-0,015;-0,006;-0,055;-0,056;-0,071;-0,048;-0,063;-0,039;-0,025;-0,063;-0,035;
2023-11-10;-0,055;-0,047;-0,055;-0,026;-0,002;-0,056;-0,014;-0,004;-0,052;-0,058;-0,076;-0,049;-0,064;-0,038;-0,025;-0,062;-0,035;
2023-11-13;-0,054;-0,047;-0,054;-0,026;-0,004;-0,060;-0,015;-0,011;-0,052;-0,058;-0,075;-0,050;-0,063;-0,041;-0,025;-0,061;-0,035;
2023-11-14;-0,046;-0,046;-0,053;-0,026;0,002;-0,060;-0,019;0,004;-0,052;-0,054;-0,070;-0,046;-0,061;-0,045;-0,025;-0,059;-0,033;
2023-11-15;-0,046;-0,046;-0,052;-0,026;0,004;-0,063;-0,017;-0,001;-0,054;-0,053;-0,071;-0,046;-0,062;-0,042;-0,025;-0,060;-0,033;
2023-11-16;;;;;;;;;;;;;;;;;;
2023-11-17;-0,045;-0,046;-0,052;-0,025;0,008;-0,061;-0,021;-0,002;-0,054;-0,052;-0,069;-0,044;-0,062;-0,036;-0,024;-0,061;-0,032;
2023-11-20;-0,044;-0,046;-0,053;-0,025;0,008;-0,063;-0,021;-0,002;-0,055;-0,052;-0,070;-0,045;-0,064;-0,040;-0,024;-0,064;-0,032;
2023-11-21;-0,047;-0,047;-0,053;-0,025;0,007;-0,063;-0,022;-0,007;-0,056;-0,053;-0,072;-0,045;-0,065;-0,040;-0,024;-0,065;-0,031;
2023-11-22;-0,045;-0,047;-0,053;-0,025;0,012;-0,055;-0,018;0,002;-0,053;-0,050;-0,068;-0,044;-0,060;-0,040;-0,024;-0,059;-0,031;
2023-11-23;-0,043;-0,047;-0,052;-0,025;0,010;;-0,016;0,001;-0,051;-0,050;-0,066;-0,044;;;-0,024;;-0,032;
2023-11-24;-0,042;-0,046;-0,052;-0,025;0,008;-0,060;-0,024;-0,003;-0,055;-0,051;-0,066;-0,044;-0,061;-0,040;-0,024;-0,061;-0,032;
2023-11-27;-0,042;-0,046;-0,052;-0,025;0,007;-0,062;-0,025;-0,003;-0,056;;;;;;;;;
2023-11-28;-0,044;-0,046;-0,052;-0,025;0,011;-0,062;-0,023;-0,001;-0,058;;;;;;;;;
2023-11-29;-0,042;-0,046;-0,052;-0,025;0,009;-0,063;-0,026;-0,003;-0,061;-0,050;-0,069;-0,042;-0,063;-0,043;-0,024;-0,062;-0,028;
2023-11-30;;;;;;;;;;;;;;;;;;
2023-12-01;-0,040;-0,046;-0,051;-0,026;0,010;-0,056;-0,028;0,006;-0,060;-0,047;-0,064;-0,040;-0,059;-0,037;-0,023;-0,059;-0,028;
2023-12-04;-0,040;-0,046;-0,050;-0,026;0,016;-0,049;-0,022;0,011;-0,056;-0,046;-0,064;-0,039;-0,061;-0,039;-0,023;-0,061;-0,026;
2023-12-05;-0,037;-0,045;-0,050;-0,026;0,011;-0,052;-0,030;0,008;-0,061;-0,045;-0,063;-0,037;-0,060;-0,042;-0,023;-0,059;-0,025;
2023-12-06;-0,035;-0,045;-0,049;-0,026;0,011;-0,052;-0,030;0,010;-0,062;-0,043;-0,061;-0,036;-0,057;-0,034;-0,023;-0,057;-0,024;
2023-12-07;-0,035;-0,045;-0,049;-0,026;0,003;-0,057;-0,038;0,007;-0,066;;;;;;;;;
2023-12-08;-0,033;-0,045;-0,049;-0,026;0,007;-0,055;-0,034;0,004;-0,061;-0,042;-0,059;-0,036;-0,056;-0,036;-0,023;-0,056;-0,025;
2023-12-11;-0,030;-0,045;-0,049;-0,026;0,012;-0,047;-0,030;0,011;-0,057;-0,041;-0,057;-0,035;-0,054;-0,036;-0,023;-0,053;-0,024;
2023-12-12;;;;;;;;;;;;;;;;;;
2023-12-13;-0,031;-0,044;-0,048;-0,026;0,008;-0,043;-0,036;0,012;-0,061;-0,040;-0,057;-0,034;-0,052;-0,035;-0,022;-0,052;-0,023;
2023-12-14;-0,024;-0,043;-0,045;-0,025;0,004;-0,057;-0,043;0,014;-0,064;-0,037;-0,057;-0,031;-0,053;-0,040;-0,022;-0,052;-0,021;
2023-12-15;;-0,043;-0,044;-0,025;0,014;-0,050;-0,033;0,019;-0,056;-0,035;-0,057;-0,030;-0,052;-0,035;-0,022;-0,052;-0,020;
2023-12-18;-0,025;-0,042;-0,044;-0,025;0,011;-0,050;-0,034;0,015;-0,055;-0,037;-0,061;-0,030;-0,055;-0,045;-0,022;-0,054;-0,020;
2023-12-19;-0,023;-0,042;-0,044;-0,025;0,012;-0,052;-0,037;0,012;-0,057;-0,035;-0,059;-0,029;-0,054;-0,046;-0,022;-0,052;-0,019;
2023-12-20;-0,023;-0,042;-0,043;-0,025;0,018;-0,052;-0,032;0,013;-0,052;-0,034;-0,059;-0,028;-0,053;-0,041;-0,022;-0,052;-0,018;
2023-12-21;-0,026;-0,041;-0,043;-0,025;0,018;-0,048;-0,033;0,014;-0,053;-0,037;-0,062;-0,030;-0,058;-0,045;-0,021;-0,058;-0,019;
2023-12-22;-0,025;-0,041;-0,043;-0,025;0,015;-0,053;-0,041;0,012;-0,056;-0,037;-0,064;-0,030;-0,060;-0,048;-0,021;-0,059;-0,019;
2023-12-27;-0,023;-0,041;-0,042;-0,025;0,013;-0,056;-0,038;0,012;-0,055;-0,036;-0,062;-0,029;-0,059;-0,045;-0,021;-0,059;-0,018;
2023-12-28;-0,023;-0,041;-0,042;-0,024;0,017;-0,053;-0,031;0,018;-0,050;;;;;;;;;
2023-12-29;;-0,041;-0,042;-0,025;0,016;-0,053;-0,031;0,013;-0,051;-0,034;-0,058;-0,028;-0,054;-0,037;-0,021;-0,054;-0,019;
2024-01-02;-0,023;-0,040;-0,041;-0,025;;;;;;-0,034;-0,059;-0,028;-0,054;;-0,021;-0,054;-0,019;
2024-01-03;;-0,040;-0,042;-0,025;0,012;-0,053;-0,031;0,012;-0,049;-0,036;-0,060;-0,029;-0,053;;-0,021;-0,052;-0,019;
2024-01-04;;;;;;;;;;;;;;;;;;
2024-01-05;-0,029;-0,040;-0,042;-0,024;0,013;-0,054;-0,033;0,009;-0,046;-0,038;-0,058;-0,031;-0,055;-0,036;-0,021;-0,055;-0,021;
